team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds
Atlanta Falcons,0.86,NA,2.9,NA,0.63,NA,0.08,19.25,NA,NA,NA,NA,NA,6.36,NA,NFL,0526,DST,100001,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings,0.78,0.06,2.49,NA,0.55,NA,0.17,19.25,NA,NA,NA,NA,NA,6.29,NA,NFL,0524,DST,100020,NA,NA,NA,NA,NA,NA,NA,NA
Tampa Bay Buccaneers,0.78,NA,2.74,NA,0.59,NA,0.13,22.75,NA,NA,NA,NA,NA,6.26,NA,NFL,0525,DST,100031,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs,0.75,0.06,2.47,NA,0.57,NA,0.17,19.5,NA,NA,NA,NA,NA,6.25,NA,NFL,0512,DST,100016,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers,0.77,0.05,2.46,NA,0.55,NA,0.16,22.75,NA,NA,NA,NA,NA,6.16,NA,NFL,0510,DST,100027,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles,0.82,0.05,2.3,NA,0.51,NA,0.15,22.75,NA,NA,NA,NA,NA,5.96,NA,NFL,0518,DST,100025,NA,NA,NA,NA,NA,NA,NA,NA
Washington Commanders,0.78,NA,2.51,NA,0.54,NA,0.12,20.75,NA,NA,NA,NA,NA,5.87,NA,NFL,0520,DST,100032,NA,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars,0.79,NA,2.72,NA,0.57,NA,0.07,21.5,NA,NA,NA,NA,NA,5.86,NA,NFL,0509,DST,100015,NA,NA,NA,NA,NA,NA,NA,NA
Houston Texans,0.7,0.05,2.29,NA,0.5,NA,0.15,22,NA,NA,NA,NA,NA,5.69,NA,NFL,0532,DST,100013,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco 49ers,0.71,NA,2.47,NA,0.53,NA,0.12,22.75,NA,NA,NA,NA,NA,5.67,NA,NFL,0530,DST,100029,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Bengals,0.73,NA,2.49,NA,0.49,NA,0.12,22.25,NA,NA,NA,NA,NA,5.65,NA,NFL,0506,DST,100006,NA,NA,NA,NA,NA,NA,NA,NA
New England Patriots,0.74,NA,2.47,NA,0.49,NA,0.12,22.75,NA,NA,NA,NA,NA,5.65,NA,NFL,0504,DST,100021,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers,0.65,NA,2.29,NA,0.47,NA,0.12,22.75,NA,NA,NA,NA,NA,5.61,NA,NFL,0514,DST,100028,NA,NA,NA,NA,NA,NA,NA,0.06
Baltimore Ravens,0.73,0.05,2.18,NA,0.48,NA,0.15,23.25,NA,NA,NA,NA,NA,5.6,NA,NFL,0531,DST,100002,NA,NA,NA,NA,NA,NA,NA,NA
Carolina Panthers,0.69,NA,2.43,NA,0.56,NA,0.07,22.75,NA,NA,NA,NA,NA,5.35,NA,NFL,0527,DST,100004,NA,NA,NA,NA,NA,NA,NA,NA
Denver Broncos,0.65,0.05,2.15,NA,0.47,NA,0.14,22.5,NA,NA,NA,NA,NA,5.33,NA,NFL,0511,DST,100009,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals,0.65,NA,2.35,NA,0.47,NA,0.12,22.75,NA,NA,NA,NA,NA,5.31,NA,NFL,0519,DST,100026,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bears,0.68,NA,2.28,NA,0.46,NA,0.11,24.25,NA,NA,NA,NA,NA,5.22,NA,NFL,0521,DST,100005,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Cowboys,0.65,NA,2.01,NA,0.43,NA,0.11,25.75,NA,NA,NA,NA,NA,5.13,NA,NFL,0516,DST,100008,NA,NA,NA,NA,NA,NA,NA,0.05
Tennessee Titans,0.65,NA,2.22,NA,0.52,NA,0.07,22.25,NA,NA,NA,NA,NA,4.98,NA,NFL,0508,DST,100012,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Saints,0.59,NA,2.12,NA,0.47,NA,0.06,22.75,NA,NA,NA,NA,NA,4.96,NA,NFL,0529,DST,100022,NA,NA,NA,NA,NA,NA,NA,0.06
Los Angeles Rams,0.6,NA,2.25,NA,0.45,NA,0.1,22.75,NA,NA,NA,NA,NA,4.95,NA,NFL,0528,DST,100017,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Lions,0.57,0.04,1.94,NA,0.44,NA,0.13,22.75,NA,NA,NA,NA,NA,4.82,NA,NFL,0522,DST,100010,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Browns,0.57,NA,2.08,NA,0.42,NA,0.1,24.75,NA,NA,NA,NA,NA,4.66,NA,NFL,0507,DST,100007,NA,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders,0.62,NA,2.1,NA,0.45,NA,0.06,23.75,NA,NA,NA,NA,NA,4.6,NA,NFL,0513,DST,100018,NA,NA,NA,NA,NA,NA,NA,NA
New York Giants,0.57,NA,1.95,NA,0.43,NA,0.1,24.25,NA,NA,NA,NA,NA,4.55,NA,NFL,0517,DST,100023,NA,NA,NA,NA,NA,NA,NA,NA
New York Jets,0.56,NA,1.81,NA,0.37,NA,0.09,25.75,NA,NA,NA,NA,NA,4.51,NA,NFL,0505,DST,100024,NA,NA,NA,NA,NA,NA,NA,0.05
Miami Dolphins,0.52,NA,1.84,NA,0.39,NA,0.09,28.75,NA,NA,NA,NA,NA,4.2,NA,NFL,0503,DST,100019,NA,NA,NA,NA,NA,NA,NA,NA
