player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,draft_rank,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Ka'imi Fairbairn,K,HOU,1,2.4,2.7,0,0,0.6,0.6,0.8,0.8,0.6,0.6,0.4,0.4,2.9,3,10.1,10.1,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.2,2.5,0,0,0.6,0.6,0.6,0.7,0.6,0.7,0.4,0.4,2.6,2.7,9.2,9.2,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,1,2,2.3,0,0,0.4,0.4,0.5,0.5,0.7,0.7,0.3,0.3,2.9,2.9,8.9,8.9,2061033,CBS,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Smyth,K,NO,1,2.1,2.6,0,0,0.6,0.6,0.7,0.7,0.6,0.9,0.3,0.3,2.5,2.6,8.8,8.8,29375393,CBS,17424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.9,2.2,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,3,3.1,8.7,8.7,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2,2.2,0,0,0.4,0.4,0.6,0.6,0.6,0.7,0.3,0.3,2.7,2.7,8.7,8.7,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.8,2.2,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,3.1,3.2,8.5,8.5,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,1,1.8,2,0,0,0.4,0.4,0.6,0.7,0.6,0.7,0.2,0.2,3,3.1,8.4,8.4,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,2.1,0,0,0.4,0.4,0.6,0.6,0.4,0.7,0.3,0.3,2.9,3,8.3,8.3,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,1,1.8,2,0,0,0.6,0.6,0.6,0.7,0.5,0.5,0.1,0.1,2.9,3,8.3,8.3,3174704,CBS,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
