player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Drake London,WR,ATL,1,9.3,5.9,79.6,79.6,13.5,0.8,0,0,0,0,0.1,11.6,11.6,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,1,8.6,6.3,91.2,91.2,14.5,0.4,0.3,1.6,5.3,0,0.1,11.2,11.2,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,9.3,7.2,83,83,11.5,0.4,0.6,5,8.3,0.1,0,11,11,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,10,7.1,85.4,85.4,12,0.5,0.2,0.6,3,0,0.1,10.8,10.8,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,8.1,4.4,75.1,75.1,17.1,0.6,0.2,1.3,6.5,0,0,10.6,10.6,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,8.1,6.2,71.7,71.7,11.6,0.6,0.3,0.9,3,0,0,10.6,10.6,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,9.3,6.3,80.2,80.2,12.7,0.4,0.5,3,6,0,0,10.4,10.4,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,6.2,3.7,61.5,61.5,16.6,0.6,0,0,0,0,0,9.6,9.6,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,8.9,5,62.4,62.4,12.5,0.6,0,0,0,0,0,9.6,9.6,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,6.2,4.3,70.7,70.7,16.4,0.4,0.1,0.4,4,0,0,9.4,9.4,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,7.1,4.6,69.9,69.9,15.2,0.5,0.1,0.3,3,0,0,9,9,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.9,5,75.2,75.2,15,0.3,0.1,0.2,2,0,0,8.8,8.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,7.9,4.9,69.5,69.5,14.2,0.5,0.1,0.7,7,0,0.1,8.8,8.8,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
