player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Christian McCaffrey,RB,SF,1,15.4,69,4.5,0.5,7,5.5,52.1,52.1,9.5,0.3,0.1,15.6,15.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,15.6,80.6,5.2,0.5,4.4,3.4,32.2,32.2,9.5,0.2,0.1,15,15,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,17.5,75.2,4.3,0.9,3,2.2,24.1,24.1,11,0.1,0.1,14.8,14.8,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,19.6,96.8,4.9,0.5,2.4,1.8,16.8,16.8,9.3,0.2,0.1,14,14,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,17.7,78,4.4,0.8,2.6,2,11.4,11.4,5.7,0.2,0.2,13.6,13.6,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,14.2,74.4,5.2,0.8,2.4,2.2,19.2,19.2,8.7,0.1,0.1,13.2,13.2,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,10.8,50.7,4.7,0.4,5.3,4.4,33.4,33.4,7.6,0.5,0.1,13.2,13.2,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,13.3,67.9,5.1,0.7,4.5,3.7,29.6,29.6,8,0.1,0.1,12.6,12.6,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,18,84.1,4.7,0.5,3.1,2.4,16.3,16.3,6.8,0.1,0.1,12.4,12.4,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,15,87.9,5.9,0.6,1.1,0.9,8.4,8.4,9.3,0.1,0.2,11.8,11.8,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,1,15.2,60.4,4,0.6,2.8,2.2,21.1,21.1,9.6,0.1,0.2,11.8,11.8,28908905,CBS,17044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Skattebo,RB,NYG,1,14.3,67.1,4.7,0.5,3.4,2.6,21.4,21.4,8.2,0.1,0.2,11.2,11.2,26697012,CBS,17045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,1,17.6,89.1,5.1,0.4,1.9,1.4,10.5,10.5,7.5,0,0.1,11.2,11.2,2967536,CBS,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,1,16.6,74.8,4.5,0.4,2.9,2.7,19.6,19.6,7.3,0.1,0.1,10.8,10.8,26693770,CBS,16598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Benson,RB,ARI,1,13.6,81.2,6,0.3,2.6,2,13.2,13.2,6.6,0,0.1,10.6,10.6,3176915,CBS,16594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,1,16.9,58.5,3.5,0.5,4.2,3.4,21.9,21.9,6.4,0.1,0.1,10.4,10.4,2965160,CBS,16181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,13.5,55.1,4.1,0.6,2.6,2,15.6,15.6,7.8,0.1,0.1,10,10,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,14.5,64.3,4.4,0.3,3.3,2.7,21,21,7.8,0,0.1,9.6,9.6,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,1,16.1,67.3,4.2,0.5,1.7,1.3,10.6,10.6,8.2,0,0.2,9.6,9.6,28878286,CBS,17051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,1,12.9,52.2,4.1,0.4,3.3,2.6,14.2,14.2,5.5,0.2,0.1,9.4,9.4,2865693,CBS,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,1,11.9,60.8,5.1,0.6,2,1.5,6.6,6.6,4.4,0,0.1,9.4,9.4,2804420,CBS,14800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,12,57.4,4.8,0.6,1.6,1.5,13.5,13.5,9,0,0.1,9.4,9.4,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,1,13.2,46,3.5,0.3,4.4,3.7,30.5,30.5,8.2,0.1,0.1,9.2,9.2,3126535,CBS,15742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,12.5,52.2,4.2,0.3,4.2,3,27.9,27.9,9.3,0.1,0.1,9.2,9.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,13,56.4,4.3,0.3,4.7,3.8,25.5,25.5,6.7,0.1,0.1,9.2,9.2,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,1,18.3,69.7,3.8,0.4,2.7,1.9,14,14,7.4,0,0.2,9,9,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,15,55.4,3.7,0.5,3.8,3,15.2,15.2,5.1,0,0.2,8.6,8.6,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,10.6,45.8,4.3,0.5,3.1,2.8,17.2,17.2,6.1,0.1,0.1,8.4,8.4,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
