player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Amon-Ra St. Brown,WR,DET,1,8.7,7,85.7,85.7,12.2,0.9,0.3,1,3.3,0,0,13.4,13.4,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,10.3,7.7,89.7,89.7,11.7,0.5,0.8,6.5,8.1,0.2,0,12.2,12.2,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,8.3,5,73.7,73.7,14.7,0.7,0.1,0.3,3,0,0,11.2,11.2,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,8.7,6.3,80.6,80.6,12.8,0.5,0.2,1.6,8,0,0.1,10.8,10.8,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,7.6,5,76.1,76.1,15.2,0.6,0,0.1,0,0,0.1,10.4,10.4,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,1,8.9,5.9,74.7,74.7,12.7,0.6,0.1,0.1,1,0,0.1,10.4,10.4,3123864,CBS,15753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.2,4.9,60.6,60.6,12.4,0.7,0,0,0,0,0,10.2,10.2,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,7.4,4.3,67.2,67.2,15.6,0.7,0.2,0.1,0.5,0,0,10.2,10.2,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,9.1,5.1,65.5,65.5,12.8,0.6,0,0,0,0,0,9.6,9.6,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,7.5,4.9,61.7,61.7,12.6,0.6,0,0.1,0,0,0,9.6,9.6,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,1,8.7,6.4,79.7,79.7,12.5,0.4,0.4,1.4,3.5,0,0.1,9.2,9.2,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,5.5,3.3,60.1,60.1,18.2,0.4,0.6,4.8,8,0.1,0,9,9,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,7.7,4.6,61.8,61.8,13.4,0.5,0.2,1.2,6,0,0.1,8.8,8.8,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.2,4.9,76,76,15.5,0.3,0.1,0.3,3,0,0,8.8,8.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,7,4.8,72.3,72.3,15.1,0.3,0,0,0,0,0,8.8,8.8,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,1,7.6,4.2,56.9,56.9,13.6,0.6,0,0,0,0,0,8.6,8.6,26701883,CBS,16614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,7.5,5.2,66.8,66.8,12.9,0.4,0.1,0.6,6,0,0,8.4,8.4,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,6.4,4.4,70,70,15.9,0.2,0.3,2,6.7,0,0,8.2,8.2,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,6.3,3.9,54.2,54.2,13.9,0.5,0,0,0,0,0,8,8,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,6,4.2,42.9,42.9,10.2,0.3,2.9,14,4.8,0.2,0,8,8,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,LV,1,8.3,5.5,65.2,65.2,11.9,0.3,0.1,0.9,9,0,0,7.8,7.8,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,8.2,4.7,68.4,68.4,14.6,0.3,0.1,0.4,4,0,0.1,7.6,7.6,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,6,3.9,48.7,48.7,12.5,0.3,1.8,11.2,6.2,0.1,0,7.4,7.4,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,7,3.8,51.7,51.7,13.6,0.3,0.4,3.1,7.8,0.1,0,7.4,7.4,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,6.9,4.3,58.4,58.4,13.6,0.4,0,0,0,0,0,7.4,7.4,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,6.5,4.2,52.9,52.9,12.6,0.4,0,0,0,0,0.1,7.2,7.2,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,5.3,4.2,48.7,48.7,11.6,0.5,0,0,0,0,0,7,7,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,7.9,4.9,50.8,50.8,10.4,0.3,0,0.1,0,0,0,6.8,6.8,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,5.7,3.9,58,58,14.9,0.3,0.6,2.8,4.7,0,0,6.8,6.8,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KC,1,5.8,3,49.1,49.1,16.4,0.4,0.1,1.1,11,0,0,6.4,6.4,2965066,CBS,15787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,4,2.2,49.9,49.9,22.7,0.4,0,0,0,0,0,6.4,6.4,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,5,3,48.2,48.2,16.1,0.4,0.1,0.8,8,0,0,6.4,6.4,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,1,7,3.6,50.7,50.7,14.1,0.2,0.3,1.7,5.7,0,0,6.2,6.2,2186328,CBS,13629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5.3,4.2,48.3,48.3,11.5,0.3,0.1,0.2,2,0,0,5.8,5.8,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,1,5.3,3.2,48.5,48.5,15.2,0.3,0,0.3,0,0,0,5.8,5.8,26717289,CBS,16617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
