player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,draft_rank,fg_pct,xp_pct,pct_owned
Tyler Loop,K,BAL,1,2.2,2.6,0,0,0.7,0.7,0.6,0.7,0.8,0.9,0.1,0.1,3.5,3.6,10.1,10.1,3174704,CBS,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,1,2.1,2.3,0,0,0.5,0.5,0.5,0.6,0.7,0.8,0.4,0.4,2.6,3,8.9,8.9,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,1.9,2.3,0,0,0.4,0.4,0.6,0.6,0.6,0.7,0.3,0.3,3.1,3.1,8.8,8.8,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.7,2.1,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.3,0.3,3.3,3.5,8.4,8.4,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.2,0,0,0.5,0.5,0.7,0.7,0.4,0.5,0.3,0.3,2.7,3,8.4,8.4,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.9,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.4,2.5,8.1,8.1,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.8,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.6,2.7,8,8,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.9,2.5,0,0,0.6,0.6,0.5,0.6,0.4,0.7,0.3,0.3,2.3,2.3,8,8,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.9,2.2,0,0,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,2.2,2.2,7.9,7.9,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,2.1,0,0,0.4,0.4,0.6,0.6,0.4,0.7,0.3,0.3,2.2,2.3,7.6,7.6,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andres Borregales,K,NE,1,1.5,1.8,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.2,0.2,3.1,3.3,7.6,7.6,26699665,CBS,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.7,2.1,0,0,0.4,0.5,0.6,0.6,0.4,0.5,0.3,0.3,2.5,2.6,7.6,7.6,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,1,1.6,1.9,0,0,0.4,0.5,0.5,0.6,0.4,0.6,0.2,0.2,2.7,2.7,7.5,7.5,3162619,CBS,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.6,1.9,0,0,0.3,0.3,0.5,0.5,0.5,0.7,0.2,0.2,2.4,2.4,7.2,7.2,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.4,1.6,0,0,0.3,0.3,0.5,0.5,0.4,0.5,0.2,0.2,2.9,2.9,7.1,7.1,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,1,1.5,1.7,0,0,0.3,0.4,0.4,0.4,0.5,0.6,0.3,0.3,2.5,2.5,7,7,2061033,CBS,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,1,1.6,1.7,0,0,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.3,2.1,2.1,6.9,6.9,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,1,1.6,1.8,0,0,0.3,0.3,0.5,0.5,0.5,0.6,0.3,0.3,1.9,2.1,6.7,6.7,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.6,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,1.9,2,6.7,6.7,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.6,1.8,0,0,0.4,0.4,0.6,0.6,0.4,0.4,0.3,0.3,1.8,1.9,6.6,6.6,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.5,1.8,0,0,0.3,0.3,0.4,0.5,0.5,0.6,0.3,0.3,2,2.1,6.5,6.5,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,BUF,1,1.3,1.6,0,0,0.3,0.3,0.4,0.5,0.4,0.5,0.2,0.2,2.6,2.7,6.5,6.5,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.3,1.6,0,0,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.2,2.4,2.5,6.3,6.3,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,1,1.4,1.7,0,0,0.3,0.3,0.5,0.6,0.4,0.5,0.2,0.2,1.8,2,6,6,3126649,CBS,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,NYG,1,1.3,1.7,0,0,0.3,0.3,0.5,0.5,0.4,0.6,0.2,0.2,2,2.1,5.9,5.9,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,1,1.3,1.6,0,0,0.3,0.3,0.5,0.6,0.3,0.4,0.2,0.2,1.8,1.9,5.7,5.7,2868551,CBS,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.2,1.4,0,0,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.2,1.5,1.5,5.1,5.1,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,1,1.1,1.4,0,0,0.3,0.3,0.3,0.4,0.3,0.5,0.2,0.2,1.2,1.3,4.5,4.5,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4689936,ESPN,16846,0,1,1,1,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,3150744,ESPN,14717,0,1,1,1,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362081,ESPN,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3953687,ESPN,16414,0,1,1,1,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3917232,ESPN,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3050478,ESPN,13303,0,1,1,1,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,17372,ESPN,11936,0,1,1,1,NA,NA,NA,NA,NA,NA
