player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jude McAtamney,K,NYG,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,5.9,NA,26940,FantasyPros,16848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,5.5,NA,25713,FantasyPros,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,4.1,NA,17533,FantasyPros,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,11.64,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,9,DENSun 9:30 AM,NA,2/1,1/1,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,11.34,NA,19685,FleaFlicker,17277,NA,NA,NA,NA,4,DALSun 1:00 PM,NA,2/1,2/2,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,11.06,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,2,CHIMon 8:15 PM,NA,2/2,3/3,61%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,10.77,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,9,SFSun 4:25 PM,NA,2/2,2/2,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.37,NA,18510,FleaFlicker,16680,NA,NA,NA,NA,8,SEASun 1:00 PM,NA,2/2,2/2,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,10.31,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,8,@JACSun 1:00 PM,NA,2/1,2/2,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,BUF,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.3,10.26,NA,4221,FleaFlicker,8930,NA,NA,NA,NA,7,@ATLMon 7:15 PM,NA,2/2,3/3,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,10.24,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,5,CLESun 1:00 PM,NA,2/1,2/2,68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,10.21,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,5,CINSun 4:25 PM,NA,2/2,3/3,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,10.12,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,5,@WASMon 8:15 PM,NA,2/1,2/2,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,9.87,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,9,@NYGL 17-34,9.87,2/1,2/2,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,9.76,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,2,@NYJSun 9:30 AM,NA,2/2,2/2,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,9.75,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,0,@LVSun 4:05 PM,NA,2/2,1/1,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,IND,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.71,NA,14050,FleaFlicker,13980,NA,NA,NA,NA,1,ARISun 1:00 PM,NA,2/2,2/2,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.56,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,8,@BALSun 1:00 PM,NA,2/2,2/2,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.49,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,0,DETSun 8:20 PM,NA,2/2,2/2,79%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,9.36,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,4,@TBSun 4:25 PM,NA,2/2,2/2,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.31,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,8,TENSun 4:05 PM,NA,2/2,2/2,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.25,NA,16587,FleaFlicker,15369,NA,NA,NA,NA,2,LACSun 1:00 PM,NA,2/1,2/2,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parker Romo,K,ATL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,9.14,NA,17237,FleaFlicker,16405,NA,NA,NA,NA,5,BUFMon 7:15 PM,NA,2/1,2/2,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,9.06,NA,19378,FleaFlicker,17220,NA,NA,NA,NA,4,@NOSun 1:00 PM,NA,2/1,2/2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9.05,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,8,@INDSun 1:00 PM,NA,2/2,2/2,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.94,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,1,NESun 1:00 PM,NA,2/1,1/1,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.9,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,0,@CARSun 1:00 PM,NA,2/2,2/2,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.85,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,8,@KCSun 8:20 PM,NA,2/1,2/2,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,8.62,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,2,@MIASun 1:00 PM,NA,2/2,2/2,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jude McAtamney,K,NYG,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.74,NA,19165,FleaFlicker,16848,NA,NA,NA,NA,4,PHIW 34-17,5.74,1/1,1/1,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRDJason Sanders,K,MIA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,5.2,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,2,LACSun 1:00 PM,NA,1/1,1/1,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,5.08,NA,19411,FleaFlicker,17222,NA,NA,NA,NA,7,LARSun 1:00 PM,NA,1/1,2/2,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,4.86,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,0,@GBSun 4:25 PM,NA,1/1,1/1,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,4.47,NA,18046,FleaFlicker,16419,NA,NA,NA,NA,9,@PITSun 1:00 PM,NA,1/1,1/1,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRGraham Gano,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,4,PHIW 34-17,NA,0/0,0/0,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,13324,FleaFlicker,13403,NA,NA,NA,NA,4,PHIW 34-17,NA,0/0,0/0,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,TEN,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,15021,FleaFlicker,14426,NA,NA,NA,NA,0,@LVSun 4:05 PM,NA,0/0,0/0,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRTyler Bass,K,BUF,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,15626,FleaFlicker,14983,NA,NA,NA,NA,7,@ATLMon 7:15 PM,NA,0/0,0/0,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,CHI,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,5,@WASMon 8:15 PM,NA,0/0,0/0,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,NA,0.46,NA,0.52,NA,0.59,NA,0.59,NA,2.49,NA,10.15,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,0.07,NA,0.4,NA,0.54,NA,0.47,NA,0.4,NA,2.9,NA,9.34,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,NA,NA,NA,NA,0.48,NA,0.54,NA,0.48,NA,0.34,NA,2.99,NA,9.19,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,BUF,NA,NA,NA,NA,NA,0.27,NA,0.81,NA,0.54,NA,0.27,NA,2.97,NA,9.18,NA,2506677,NFL,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,0.06,NA,0.38,NA,0.57,NA,0.57,NA,0.38,NA,2.48,NA,9.12,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,NA,0.47,NA,0.47,NA,0.54,NA,0.47,NA,2.28,NA,9.07,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,NA,0.48,NA,0.55,NA,0.55,NA,0.35,NA,2.49,NA,8.98,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,NA,NA,NA,NA,0.32,NA,0.51,NA,0.51,NA,0.38,NA,3,NA,8.92,NA,2571759,NFL,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,NA,NA,NA,NA,0.38,NA,0.51,NA,0.51,NA,0.38,NA,2.69,NA,8.79,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.45,NA,0.52,NA,0.52,NA,0.26,NA,2.86,NA,8.63,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,NA,0.45,NA,0.52,NA,0.45,NA,0.39,NA,2.33,NA,8.54,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAX,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.46,NA,0.33,NA,2.44,NA,8.44,NA,2572147,NFL,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,NA,0.43,NA,0.55,NA,0.49,NA,0.37,NA,2.09,NA,8.35,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,NA,NA,NA,NA,0.45,NA,0.52,NA,0.52,NA,0.32,NA,2.21,NA,8.28,NA,2572201,NFL,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,NA,NA,NA,NA,NA,0.36,NA,0.54,NA,0.63,NA,0.18,NA,2.51,NA,8,NA,2560965,NFL,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,ATL,NA,NA,NA,NA,NA,0.33,NA,0.66,NA,0.33,NA,0.33,NA,2.32,NA,7.93,NA,2569101,NFL,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,NA,NA,NA,NA,0.25,NA,0.74,NA,0.49,NA,0.25,NA,2.21,NA,7.9,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,NA,NA,NA,NA,0.29,NA,0.47,NA,0.53,NA,0.24,NA,2.65,NA,7.72,NA,2573940,NFL,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.56,NA,0.25,NA,1.94,NA,7.69,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,NA,0.43,NA,0.49,NA,0.49,NA,0.25,NA,2.04,NA,7.52,NA,2553112,NFL,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,NA,NA,NA,NA,0.38,NA,0.57,NA,0.38,NA,0.19,NA,2.46,NA,7.4,NA,2567013,NFL,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,NA,NA,NA,NA,0.35,NA,0.47,NA,0.47,NA,0.29,NA,2,NA,7.32,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,NA,0.33,NA,0.43,NA,0.43,NA,0.27,NA,2.33,NA,7.25,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,NA,NA,NA,NA,0.37,NA,0.56,NA,0.49,NA,0.19,NA,1.97,NA,7.18,NA,2573979,NFL,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,NA,0.36,NA,0.48,NA,0.42,NA,0.3,NA,1.87,NA,7.15,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,NA,NA,NA,NA,0.34,NA,0.45,NA,0.45,NA,0.17,NA,1.97,NA,6.54,NA,2574365,NFL,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,NA,NA,NA,NA,0.34,NA,0.4,NA,0.4,NA,0.28,NA,1.65,NA,6.47,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,NA,NA,NA,NA,0.33,NA,0.49,NA,0.44,NA,0.16,NA,1.8,NA,6.38,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jude McAtamney,K,NYG,NA,NA,NA,NA,NA,0.3,NA,0.6,NA,0.3,NA,NA,NA,2.42,NA,6.02,NA,2573503,NFL,16848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2.14,3.12,0.03,NA,0.51,NA,0.74,NA,0.51,NA,0.36,NA,3.12,2.39,10.8,NA,55648,FanDuel,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,9,Dallas Cowboys,5,Carolina Panthers,CAR,9,Dallas Cowboys,DAL,WEEKLY
Brandon McManus,K,GB,NA,2.18,3.49,0.02,NA,0.91,NA,0.56,NA,0.56,NA,0.09,NA,3.49,2.39,10.65,NA,52489,FanDuel,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,12,Green Bay Packers,12,Green Bay Packers,GB,7,Cincinnati Bengals,CIN,WEEKLY
Matt Prater,K,BUF,NA,1.69,3.77,0,NA,0.49,NA,0.49,NA,0.51,NA,0.22,NA,3.74,1.91,9.82,NA,2866,FanDuel,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,Buffalo Bills,2,Atlanta Falcons,ATL,4,Buffalo Bills,BUF,WEEKLY
Eddy Pineiro,K,SF,NA,2.05,2.94,0.09,NA,0.51,NA,0.7,NA,0.47,NA,0.23,NA,2.83,2.32,9.76,NA,54195,FanDuel,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,21,27,San Francisco 49ers,30,Tampa Bay Buccaneers,TB,27,San Francisco 49ers,SF,WEEKLY
Cameron Dicker,K,LAC,NA,1.92,2.85,0.04,NA,0.44,NA,0.64,NA,0.5,NA,0.26,NA,2.81,2.16,9.47,NA,55437,FanDuel,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,34,Los Angeles Chargers,17,Miami Dolphins,MIA,34,Los Angeles Chargers,LAC,WEEKLY
Wil Lutz,K,DEN,NA,1.86,3.08,0.04,NA,0.61,NA,0.54,NA,0.45,NA,0.2,NA,2.99,2.1,9.36,NA,53178,FanDuel,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29,10,Denver Broncos,22,New York Jets,NYJ,10,Denver Broncos,DEN,WEEKLY
Chris Boswell,K,PIT,NA,1.96,2.36,0,NA,0.41,NA,0.68,NA,0.46,NA,0.39,NA,2.27,2.19,9.33,NA,52927,FanDuel,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,25,Pittsburgh Steelers,25,Pittsburgh Steelers,PIT,8,Cleveland Browns,CLE,WEEKLY
Jake Bates,K,DET,NA,1.93,2.77,0.06,NA,0.79,NA,0.48,NA,0.4,NA,0.19,NA,2.65,2.19,9.19,NA,55997,FanDuel,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,20,11,Detroit Lions,16,Kansas City Chiefs,KC,11,Detroit Lions,DET,WEEKLY
Daniel Carlson,K,LV,NA,1.87,2.51,0.09,NA,0.56,NA,0.56,NA,0.42,NA,0.27,NA,2.4,2.26,9.06,NA,53818,FanDuel,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,26,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,31,Tennessee Titans,TEN,WEEKLY
Harrison Butker,K,KC,NA,1.93,2.42,0,NA,0.62,NA,0.62,NA,0.45,NA,0.22,NA,2.36,2.16,8.98,NA,53628,FanDuel,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,11,Detroit Lions,DET,WEEKLY
Chase McLaughlin,K,TB,NA,1.77,2.91,0.02,NA,0.49,NA,0.62,NA,0.43,NA,0.15,NA,2.86,2.25,8.72,NA,54352,FanDuel,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,16,30,Tampa Bay Buccaneers,30,Tampa Bay Buccaneers,TB,27,San Francisco 49ers,SF,WEEKLY
Nick Folk,K,NYJ,NA,1.96,1.81,0,NA,0.56,NA,0.5,NA,0.61,NA,0.27,NA,1.72,2.31,8.69,NA,2816,FanDuel,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,22,New York Jets,22,New York Jets,NYJ,10,Denver Broncos,DEN,WEEKLY
John Parker Romo,K,ATL,NA,1.78,2.42,0.02,NA,0.63,NA,0.59,NA,0.38,NA,0.2,NA,2.35,2.12,8.59,NA,56182,FanDuel,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,2,Atlanta Falcons,2,Atlanta Falcons,ATL,4,Buffalo Bills,BUF,WEEKLY
Mike Badgley,K,IND,NA,1.71,2.99,0,NA,0.57,NA,0.74,NA,0.32,NA,0.09,NA,2.88,2.1,8.54,NA,54004,FanDuel,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,18,14,Indianapolis Colts,14,Indianapolis Colts,IND,1,Arizona Cardinals,ARI,WEEKLY
Cairo Santos,K,CHI,NA,1.88,2.01,0.02,NA,0.61,NA,0.67,NA,0.43,NA,0.16,NA,1.96,2.21,8.38,NA,52487,FanDuel,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,23,6,Chicago Bears,32,Washington Commanders,WSH,6,Chicago Bears,CHI,WEEKLY
Joey Slye,K,TEN,NA,1.8,2.23,0.02,NA,0.37,NA,0.61,NA,0.55,NA,0.19,NA,2.18,2.34,8.33,NA,54202,FanDuel,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,25,31,Tennessee Titans,35,Las Vegas Raiders,LV,31,Tennessee Titans,TEN,WEEKLY
Cam Little,K,JAC,NA,1.76,2.28,0.04,NA,0.54,NA,0.47,NA,0.41,NA,0.26,NA,2.22,2.17,8.31,NA,55987,FanDuel,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,19,15,Jacksonville Jaguars,15,Jacksonville Jaguars,JAC,28,Seattle Seahawks,SEA,WEEKLY
Andy Borregales,K,NE,NA,1.73,2.25,0.02,NA,0.46,NA,0.68,NA,0.5,NA,0.1,NA,2.23,2.09,8.21,NA,56311,FanDuel,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,22,19,New England Patriots,20,New Orleans Saints,NO,19,New England Patriots,NE,WEEKLY
Jake Elliott,K,PHI,NA,1.46,3.04,0,NA,0.39,NA,0.5,NA,0.41,NA,0.16,NA,2.98,1.89,8.09,NA,53569,FanDuel,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,28,24,Philadelphia Eagles,21,New York Giants,NYG,24,Philadelphia Eagles,PHI,WEEKLY
Joshua Karty,K,LA,NA,1.58,2.69,0.02,NA,0.48,NA,0.52,NA,0.51,NA,0.08,NA,2.55,1.89,8.05,NA,55999,FanDuel,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,32,33,Los Angeles Rams,3,Baltimore Ravens,BAL,33,Los Angeles Rams,LA,WEEKLY
Jason Myers,K,SEA,NA,1.61,2.47,0.04,NA,0.61,NA,0.45,NA,0.32,NA,0.21,NA,2.34,1.84,7.97,NA,52814,FanDuel,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,28,Seattle Seahawks,15,Jacksonville Jaguars,JAC,28,Seattle Seahawks,SEA,WEEKLY
