player,pos,team,games,fg,fg_att,fg_long,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,fg_0019,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Chad Ryland,K,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4363538,ESPN,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3049899,ESPN,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,IND,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4259619,ESPN,16444,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4568263,ESPN,17277,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,WAS,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4372066,ESPN,16286,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,3124084,ESPN,14600,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12460,ESPN,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,1,2,NA,NA,4258620,ESPN,16419,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3124679,ESPN,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,2,2,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4034949,ESPN,13719,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3975763,ESPN,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,9.1,NA,26068,FantasyPros,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,8.6,NA,17575,FantasyPros,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,8.4,NA,27291,FantasyPros,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,8.4,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,8.4,NA,26475,FantasyPros,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,8.3,NA,14003,FantasyPros,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,8.3,NA,26075,FantasyPros,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,8.1,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,7.9,NA,26638,FantasyPros,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.8,NA,23901,FantasyPros,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,1.8,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.7,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.7,NA,13731,FantasyPros,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7.6,NA,13029,FantasyPros,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.5,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7.5,NA,23370,FantasyPros,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,BUF,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.4,NA,17693,FantasyPros,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.2,NA,16548,FantasyPros,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7.2,NA,17420,FantasyPros,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,7.2,NA,13274,FantasyPros,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sauls,K,NYG,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,7.1,NA,27798,FantasyPros,17434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7,NA,26341,FantasyPros,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,ARI,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7,NA,26478,FantasyPros,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Smyth,K,NO,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,7,NA,26444,FantasyPros,17424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,IND,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.9,NA,25533,FantasyPros,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.9,NA,27534,FantasyPros,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,6.9,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,WAS,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.9,NA,24009,FantasyPros,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.7,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,6.7,NA,25713,FantasyPros,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.6,NA,27261,FantasyPros,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,1.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.5,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,6.4,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,1.1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,4.6,NA,25354,FantasyPros,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,11.45,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,9,NESun 1:00 PM,NA,NA,2/2,1/1,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,10.78,NA,18510,FleaFlicker,16680,NA,NA,NA,NA,8,@INDSun 1:00 PM,NA,K8,2/2,2/2,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,10.77,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,8,@CARSun 1:00 PM,NA,K12,2/2,2/2,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
