player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Spencer Shrader,K,IND,1,2.5,2.9,0,0,0.8,0.8,0.9,0.9,0.6,0.7,0.2,0.2,3.2,3.2,10.7,10.7,3131541,CBS,16896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.3,2.6,0,0,0.5,0.5,0.6,0.7,0.7,0.8,0.4,0.4,2.5,2.6,9.4,9.4,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,BUF,1,1.8,2.1,0,0,0.4,0.4,0.6,0.7,0.5,0.5,0.3,0.3,3.9,3.9,9.3,9.3,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2.1,2.2,0,0,0.5,0.5,0.7,0.7,0.6,0.6,0.3,0.3,2.5,2.6,8.8,8.8,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,1,2,2.4,0,0,0.6,0.6,0.6,0.7,0.4,0.6,0.3,0.3,2.5,2.7,8.5,8.5,3163734,CBS,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,1,1.9,2.2,0,0,0.4,0.5,0.7,0.7,0.6,0.7,0.1,0.1,2.7,2.8,8.4,8.4,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.8,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.8,2.8,8.2,8.2,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.5,1.8,0,0,0.3,0.3,0.5,0.5,0.5,0.5,0.3,0.3,3.6,3.6,8.1,8.1,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.3,0,0,0.6,0.6,0.6,0.6,0.4,0.5,0.3,0.3,2.3,2.5,8,8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.8,2.1,0,0,0.4,0.4,0.6,0.6,0.5,0.5,0.3,0.3,2.5,2.7,7.9,7.9,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
