player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned
Brock Bowers,TE,LV,1,7.7,5.4,67,67,12.4,0.3,0,7.8,7.8,26693971,CBS,16641,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,1,8.1,6.1,60.9,60.9,10,0.3,0,7.8,7.8,2963385,CBS,15794,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucker Kraft,TE,GB,1,4.3,3.1,48.1,48.1,15.5,0.6,0,7.6,7.6,3133332,CBS,16222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,1,6.5,4.8,50.3,50.3,10.5,0.3,0,6.8,6.8,1725130,CBS,11244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,WAS,1,5.9,4.1,39.8,39.8,9.7,0.6,0,6.6,6.6,1685963,CBS,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Warren,TE,IND,1,6.5,4.4,58.3,58.3,13.3,0.3,0.1,6.6,6.6,3168800,CBS,17102,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,1,5.5,4,45.4,45.4,11.4,0.3,0,5.8,5.8,3124197,CBS,16214,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,1,5.7,4,43.2,43.2,10.8,0.3,0,5.8,5.8,2251097,CBS,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,1,6.8,4.9,46.4,46.4,9.5,0.3,0.1,5.6,5.6,2867159,CBS,15799,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,1,3.4,2.5,32.8,32.8,13.1,0.4,0,5.4,5.4,2961906,CBS,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,PIT,1,3.7,2.9,32.3,32.3,11.1,0.4,0,5.4,5.4,2081506,CBS,13193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,1,5,3.4,34.8,34.8,10.2,0.3,0,4.8,4.8,2982991,CBS,16213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,1,5.2,3.7,38.7,38.7,10.5,0.2,0,4.2,4.2,2186637,CBS,14861,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,1,4.5,3,31.6,31.6,10.5,0.2,0,4.2,4.2,2815179,CBS,15802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Schultz,TE,HOU,1,4.8,3.1,33.2,33.2,10.7,0.2,0,4.2,4.2,2136748,CBS,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,1,5.4,3.4,39.1,39.1,11.5,0.2,0,4.2,4.2,2079848,CBS,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,1,4.6,3.3,30.6,30.6,9.3,0.2,0,4.2,4.2,2965208,CBS,15889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,1,4.6,3.1,36.5,36.5,11.8,0.2,0,4.2,4.2,2964514,CBS,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Njoku,TE,CLE,1,6.6,4.3,33.9,33.9,7.9,0.2,0,4.2,4.2,2136474,CBS,13192,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,DEN,1,5.5,4.2,32.5,32.5,7.7,0.2,0.1,4,4,2079887,CBS,13189,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brenton Strange,TE,JAC,1,4.1,3.1,36.1,36.1,11.7,0.2,0.1,4,4,3121696,CBS,16269,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,1,2.9,2.2,27.2,27.2,12.4,0.3,0,3.8,3.8,2131121,CBS,13671,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harold Fannin Jr.,TE,CLE,1,5.7,4,34.5,34.5,8.6,0.1,0.1,3.4,3.4,28900882,CBS,17103,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,1,2.4,1.9,22,22,11.6,0.2,0,3.2,3.2,2868619,CBS,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,1,3.4,2.5,22.1,22.1,8.8,0.2,0,3.2,3.2,1853103,CBS,12678,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colston Loveland,TE,CHI,1,3.4,2.3,23.3,23.3,10.1,0.2,0.1,3,3,28874696,CBS,17104,NA,NA,NA,NA,NA,NA,NA,NA,NA
