player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned
Joshua Karty,K,LAR,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.71,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,8,NOSun 4:05 PM,NA,2/2,2/2,16%
Riley Patterson,K,MIA,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.62,NA,16587,FleaFlicker,15369,NA,NA,NA,NA,2,BALL 6-28,9.62,2/2,2/2,5%
Chad Ryland,K,ARI,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,9.59,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,8,@DALMon 8:15 PM,NA,2/2,2/2,15%
Joey Slye,K,TEN,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.55,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,0,LACSun 1:00 PM,NA,2/1,1/1,34%
Andy Borregales,K,NE,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.54,NA,19378,FleaFlicker,17220,NA,NA,NA,NA,4,ATLSun 1:00 PM,NA,2/2,2/2,19%
Eddy Pineiro,K,SF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.52,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,4,@NYGSun 1:00 PM,NA,2/2,2/2,67%
Jake Bates,K,DET,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,3.4,9.36,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,8,MINSun 1:00 PM,NA,2/2,3/3,66%
Graham Gano,K,NYG,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.24,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,4,SFSun 1:00 PM,NA,2/1,2/2,4%
Tyler Loop,K,BAL,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.1,9.15,NA,19411,FleaFlicker,17222,NA,NA,NA,NA,7,@MIAW 28-6,9.15,2/2,3/3,36%
Wil Lutz,K,DEN,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,9.13,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,2,@HOUSun 1:00 PM,NA,2/1,2/2,71%
Daniel Carlson,K,LV,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.95,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,8,JACSun 4:05 PM,NA,2/1,1/1,16%
Cameron Dicker,K,LAC,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.88,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,2,@TENSun 1:00 PM,NA,2/2,2/2,92%
Brandon Aubrey,K,DAL,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.9,8.87,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,0,ARIMon 8:15 PM,NA,2/2,2/2,97%
Parker Romo,K,ATL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.8,8.79,NA,17237,FleaFlicker,16405,NA,NA,NA,NA,5,@NESun 1:00 PM,NA,2/1,1/1,7%
Evan McPherson,K,CIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.6,8.64,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,0,CHISun 1:00 PM,NA,2/1,2/2,50%
Blake Grupe,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,8.4,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,1,@LARSun 4:05 PM,NA,2/1,1/1,16%
Ka'imi Fairbairn,K,HOU,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.04,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,6,DENSun 1:00 PM,NA,2/2,2/2,83%
Will Reichard,K,MIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,7.92,NA,18573,FleaFlicker,16681,NA,NA,NA,NA,6,@DETSun 1:00 PM,NA,2/1,1/1,30%
Younghoe Koo,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,13324,FleaFlicker,13403,NA,NA,NA,NA,4,SFSun 1:00 PM,NA,0/0,0/0,11%
