player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jonathan Taylor,RB,IND,1,17.7,95.3,5.4,0.8,2.7,2.3,18.3,18.3,8,0.2,0.1,15.8,15.8,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,1,17,69.6,4.1,0.5,7,5.4,53.6,53.6,9.9,0.3,0.1,15.6,15.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,12.1,71.1,5.9,0.4,5.7,4.3,29.4,29.4,6.8,0.4,0.1,13.6,13.6,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,15.1,84.6,5.6,0.7,2.3,1.9,16.3,16.3,8.6,0.1,0.1,13.6,13.6,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,14.3,77.1,5.4,0.7,3.9,3.3,29.1,29.1,8.8,0.1,0.1,13.6,13.6,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,14.6,69.1,4.7,0.3,5.6,4.3,43.4,43.4,10.1,0.2,0.1,12.8,12.8,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,16.8,68.7,4.1,0.7,2.8,2.3,20,20,8.7,0,0.1,12,12,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,16,81,5.1,0.7,1.3,0.9,8.2,8.2,9.1,0,0.1,12,12,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,1,14.7,79,5.4,0.6,2.1,1.6,13.5,13.5,8.4,0.1,0.1,12,12,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,15.1,65.2,4.3,0.5,2.9,2.2,14.7,14.7,6.7,0.2,0.2,10.8,10.8,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,1,14.8,60.6,4.1,0.6,2.2,1.7,12,12,7.1,0,0.1,10.4,10.4,28878286,CBS,17051,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,15.5,64.5,4.2,0.4,3,2.4,15.4,15.4,6.4,0.2,0.1,10.4,10.4,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,1,12.5,62,5,0.3,3.7,3.1,26.1,26.1,8.4,0.1,0.1,10.2,10.2,3126535,CBS,15742,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,15.7,50.7,3.2,0.5,2.8,2.2,15.5,15.5,7.1,0.2,0.2,9.8,9.8,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,1,14.3,72.7,5.1,0.5,1.4,1.1,4.1,4.1,3.7,0,0.1,9.8,9.8,2804420,CBS,14800,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,13.4,62.4,4.7,0.5,2.3,2,14.2,14.2,7.1,0,0.1,9.8,9.8,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,15.1,63.4,4.2,0.3,3.2,2.4,16.6,16.6,6.9,0.1,0.1,9.2,9.2,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,13.4,56.9,4.3,0.3,3.6,2.7,23.9,23.9,8.9,0.1,0.1,9.2,9.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,1,11.9,69.6,5.9,0.3,2.1,1.5,13.5,13.5,9,0.1,0.1,9.2,9.2,3177368,CBS,17066,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,13.1,47.2,3.6,0.6,2.6,2.3,16.5,16.5,7.2,0.1,0.1,9,9,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,10.7,50.2,4.7,0.5,1.6,1.3,12.3,12.3,9.5,0,0.1,8.8,8.8,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,12.9,52.7,4.1,0.3,4.6,3.7,24.8,24.8,6.7,0,0.1,8.6,8.6,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,9.3,53.4,5.7,0.3,2.5,2,18.4,18.4,9.2,0.1,0.1,8.2,8.2,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,1,6.6,30,4.6,0.3,2.6,2.2,16.7,16.7,7.6,0.4,0,8.2,8.2,3121207,CBS,17068,NA,NA,NA,NA,NA,NA,NA,NA
Kimani Vidal,RB,LAC,1,14.1,58.2,4.1,0.3,2.5,1.7,9.4,9.4,5.5,0.2,0.1,7.8,7.8,3163421,CBS,16757,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,10.1,32,3.2,0.2,2.6,1.7,20.5,20.5,12.1,0.2,0,7.4,7.4,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,1,13.2,54.2,4.1,0.3,3.4,2.8,19.6,19.6,7,0,0.2,7.4,7.4,26699547,CBS,17043,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,1,9.7,34.2,3.5,0.5,2,1.6,12,12,7.5,0,0,7,7,3123810,CBS,16169,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,1,10.5,49.3,4.7,0.2,2.9,2.2,18.6,18.6,8.5,0.1,0.1,6.6,6.6,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA
Jaret Patterson,RB,LAC,1,8.9,36.2,4.1,0.2,2,1.5,15.4,15.4,10.3,0.1,0.1,5.6,5.6,2964701,CBS,15260,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,1,11.1,46,4.1,0.3,1.4,1.2,4.9,4.9,4.1,0,0.1,5.6,5.6,2967536,CBS,15972,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,1,10,44.6,4.5,0.3,1.5,1,8.8,8.8,8.8,0,0.2,5.4,5.4,3126952,CBS,17256,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,1,6.2,27.2,4.4,0.2,2,1.6,10.8,10.8,6.8,0.2,0,5.4,5.4,2865693,CBS,15261,NA,NA,NA,NA,NA,NA,NA,NA
