player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,pass_comp_pct,pct_owned,fumble_TD,rec,rec_tgt,rec_yds,rec_tds,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Josh Allen,QB,BUF,1,30,20.7,243,243,2.2,0.4,112.2,7.2,33.4,4.6,0.7,0.1,28.4,28.4,2181054,CBS,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,IND,1,30.5,19.1,250,250,1.9,0.7,99.6,6.1,23.7,3.9,0.5,0.1,24.8,24.8,2179245,CBS,14059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Fields,QB,NYJ,1,30.2,20.4,230,230,1.8,0.4,104.5,5.7,38.1,6.7,0.4,0.2,24,24,1273205,CBS,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,KC,1,36,24.5,258,258,1.8,0.7,97.2,4.7,24,5.1,0.3,0.1,23,23,2142052,CBS,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,1,31.4,20.4,257,257,1.8,0.4,104.1,4.9,26.1,5.3,0.1,0.2,22.2,22.2,2221960,CBS,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Daniels,QB,WAS,1,30.3,20.5,217,217,1.5,0.5,97.9,8.4,51,6.1,0.2,0,22.2,22.2,3123337,CBS,16581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,1,23.2,16.3,173,173,1.5,0.4,106.1,10.4,46.8,4.5,0.7,0.2,22,22,2240246,CBS,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyler Murray,QB,ARI,1,34.3,24.1,224,224,1.8,0.7,96.8,5.9,39.7,6.7,0.3,0.1,22,22,2180829,CBS,14056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,1,32.1,23.4,272,272,2.2,0.6,113.2,1.9,3,1.6,0,0.1,21.8,21.8,2061053,CBS,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Stafford,QB,LAR,1,31.8,21.2,225,225,1.8,0.4,100.7,2,2.1,1.1,0,0.1,18.8,18.8,1114942,CBS,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,1,29.5,21.1,201,201,1.3,0.7,94.9,5.2,38.3,7.4,0.3,0.2,18.8,18.8,26695757,CBS,16580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
