player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Zavier Scott,RB,MIN,1,3.5,16.4,4.7,0.1,1.4,1.1,10.6,10.6,9.6,0.1,0.1,3,3,2869402,CBS,17337,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,1,5.3,21.4,4,0.1,1.2,1,8.7,8.7,8.7,0.1,0.1,3,3,28875227,CBS,17069,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,1,4.7,20,4.3,0.1,1.4,1.2,10.1,10.1,8.4,0,0.3,3,3,2131148,CBS,13133,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,1,6.2,25.9,4.2,0.1,2.2,1.5,9.5,9.5,6.3,0,0,2.6,2.6,2963637,CBS,16747,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,1,5.2,24.5,4.7,0.1,0.8,0.7,4.7,4.7,6.7,0,0,2.6,2.6,29104952,CBS,16432,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Davis,RB,NYJ,1,4.1,20.6,5,0.1,1.5,1,9.1,9.1,9.1,0,0,2.6,2.6,26718641,CBS,16752,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy McNichols,RB,WAS,1,3.3,21.9,6.6,0.1,1.1,0.7,4.6,4.6,6.6,0,0.1,2.4,2.4,2139987,CBS,13143,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,1,4.7,19.4,4.1,0.1,1.5,1.1,9.9,9.9,9,0.1,0.1,2,2,26703005,CBS,17046,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,FB,SF,1,0.3,0.3,1,0,1.7,1.4,14.6,14.6,10.4,0.1,0,1.6,1.6,1683145,CBS,11367,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,1,2.7,11.3,4.2,0.1,0,0,0.2,0.2,0,0,0,1.6,1.6,2964667,CBS,16174,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,BUF,1,2.9,14.9,5.1,0,1.1,0.6,7.6,7.6,12.7,0.1,0,1.6,1.6,2179323,CBS,14095,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,1,3.1,11.6,3.7,0.1,0.5,0.4,2.3,2.3,5.8,0,0,1.6,1.6,28873887,CBS,17059,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,IND,1,2.1,13.1,6.2,0.1,0.7,0.6,4.5,4.5,7.5,0,0,1.6,1.6,1824308,CBS,12155,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,PHI,1,2.2,11.9,5.4,0.1,0.1,0,0.1,0.1,0,0,0,1.6,1.6,3162021,CBS,16164,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,SF,1,5,18.8,3.8,0.1,0.4,0.3,2.8,2.8,9.3,0,0,1.6,1.6,2741207,CBS,15716,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,1,2.1,10.7,5.1,0.1,0.3,0.2,1,1,5,0,0,1.6,1.6,3122473,CBS,15730,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,1,5.8,19.9,3.4,0.1,0.6,0.5,4,4,8,0,0.1,1.4,1.4,28875572,CBS,17048,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Beck,RB,NYJ,1,0.1,0.1,1,0.1,0.5,0.3,1.4,1.4,4.7,0.1,0,1.2,1.2,2131774,CBS,14319,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,1,2.6,12.8,4.9,0.1,1.5,0.9,9.5,9.5,10.6,0,0.2,1.2,1.2,2964494,CBS,15718,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,1,2.9,9.8,3.4,0.1,0.3,0.2,2,2,10,0.1,0,1.2,1.2,3123108,CBS,16603,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Etienne,RB,CAR,1,1.9,10.2,5.4,0,0.2,0.1,1,1,10,0,0,1,1,28901419,CBS,17056,NA,NA,NA,NA,NA,NA,NA,NA
Will Shipley,RB,PHI,1,1.8,12.7,7.1,0,0.4,0.2,1.4,1.4,7,0,0,1,1,26699119,CBS,16601,NA,NA,NA,NA,NA,NA,NA,NA
AJ Dillon,RB,PHI,1,2.2,11,5,0,0.1,0.1,1.2,1.2,12,0,0,1,1,2867083,CBS,14805,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,1,1.9,10.6,5.6,0,0.4,0.3,1.4,1.4,4.7,0,0,1,1,26725939,CBS,16390,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,1,1.9,13.2,7,0,0.2,0.1,1.2,1.2,12,0,0,1,1,3164710,CBS,16178,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KC,1,1.9,6.7,3.5,0.1,0.1,0.1,0.2,0.2,2,0,0,0.6,0.6,2819876,CBS,15263,NA,NA,NA,NA,NA,NA,NA,NA
Phil Mafah,RB,DAL,1,1.8,7.5,4.2,0.1,0.2,0.2,1.4,1.4,7,0,0,0.6,0.6,26695049,CBS,17063,NA,NA,NA,NA,NA,NA,NA,NA
MarShawn Lloyd,RB,GB,1,2.1,8.7,4.1,0.1,0.1,0.1,0.8,0.8,8,0,0,0.6,0.6,3162514,CBS,16604,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,1,2.1,9.4,4.5,0.1,0.1,0.1,1,1,10,0,0,0.6,0.6,26695679,CBS,17060,NA,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,1,2,7.2,3.6,0.1,0.2,0.1,1.7,1.7,17,0,0,0.6,0.6,28916212,CBS,17055,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,1,2.5,9.4,3.8,0,2.2,1.8,9.7,9.7,5.4,0.1,0,0.6,0.6,2966543,CBS,15713,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Ricard,FB,BAL,1,0,0,0,0,0.5,0.3,2.8,2.8,9.3,0.1,0,0.6,0.6,2818911,CBS,13455,NA,NA,NA,NA,NA,NA,NA,NA
Roschon Johnson,RB,CHI,1,2,7.8,3.9,0.1,0.3,0.2,1.3,1.3,6.5,0,0,0.6,0.6,3121395,CBS,16175,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,1,2,8.9,4.5,0.1,0.2,0.2,2.2,2.2,11,0,0,0.6,0.6,2964154,CBS,16688,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,18,97,NA,1,6,5,49,NA,NA,0,NA,NA,NA,4430807,ESPN,16161,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,NA,17,76,NA,1,4,3,20,NA,NA,0,NA,NA,NA,3929630,ESPN,13604,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429795,ESPN,16162,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,17,67,NA,0,8,6,51,NA,NA,0,NA,NA,NA,3117251,ESPN,13130,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4890973,ESPN,17042,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,14,77,NA,0,6,5,36,NA,NA,0,NA,NA,NA,4429160,ESPN,16167,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,24,115,NA,1,3,3,22,NA,NA,0,NA,NA,NA,4242335,ESPN,14802,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,17,75,NA,1,4,3,25,NA,NA,0,NA,NA,NA,4047365,ESPN,14073,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,17,86,NA,1,2,1,13,NA,NA,0,NA,NA,NA,3043078,ESPN,12626,NA,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4596448,ESPN,16598,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,NA,13,52,NA,0,4,3,17,NA,NA,0,NA,NA,NA,4362238,ESPN,16181,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4430737,ESPN,15710,NA,NA,NA,NA,NA,NA,NA,NA
James Cook III,RB,BUF,NA,19,77,NA,1,2,2,15,NA,NA,0,NA,NA,NA,4379399,ESPN,15715,NA,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685382,ESPN,17044,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,13,53,NA,0,5,4,30,NA,NA,0,NA,NA,NA,3054850,ESPN,13132,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,12,58,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4241416,ESPN,15261,NA,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3045147,ESPN,13146,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,NA,8,30,NA,0,3,2,15,NA,NA,0,NA,NA,NA,4432710,ESPN,17043,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4567048,ESPN,15711,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,NA,18,85,NA,0,4,3,27,NA,NA,0,NA,NA,NA,4427366,ESPN,15708,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,NA,14,66,NA,1,3,2,20,NA,NA,0,NA,NA,NA,4259545,ESPN,14797,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,NA,10,41,NA,0,3,2,15,NA,NA,0,NA,NA,NA,3916148,ESPN,14085,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4035538,ESPN,14071,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones Sr.,RB,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042519,ESPN,13319,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,NA,4,20,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4568490,ESPN,17068,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KCC,NA,12,53,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4361529,ESPN,15749,NA,NA,NA,NA,NA,NA,NA,NA
