player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Kenny Yeboah,TE,DET,NA,0,0,0,NA,NA,0,NA,0,NA,55170,FanDuel,15339,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,9,11,Detroit Lions,11,Detroit Lions,DET,6,Chicago Bears,CHI,WEEKLY
Noah Fant,TE,CIN,NA,0,0,0,NA,NA,0,NA,0,NA,54136,FanDuel,14137,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,2,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Erick All Jr.,TE,CIN,NA,0,0,0,NA,NA,0,NA,0,NA,56061,FanDuel,16645,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,2,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
Cam Grandy,TE,CIN,NA,0,0,0,NA,NA,0,NA,0,NA,56187,FanDuel,16979,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,2,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,15,Jacksonville Jaguars,JAC,WEEKLY
George Kittle,TE,SF,NA,0,0,0,NA,NA,0,NA,0,NA,53461,FanDuel,13299,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,16,27,San Francisco 49ers,20,New Orleans Saints,NO,27,San Francisco 49ers,SF,WEEKLY
Foster Moreau,TE,NO,NA,0,0,0,NA,NA,0,NA,0,NA,54273,FanDuel,14239,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,7,20,New Orleans Saints,20,New Orleans Saints,NO,27,San Francisco 49ers,SF,WEEKLY
Darren Waller,TE,MIA,NA,0,0,0,NA,NA,0,NA,0,NA,52802,FanDuel,12263,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,17,17,Miami Dolphins,17,Miami Dolphins,MIA,19,New England Patriots,NE,WEEKLY
Terrance Ferguson,TE,LA,NA,0,0,0,NA,NA,0,NA,0,NA,56313,FanDuel,17107,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,3,33,Los Angeles Rams,31,Tennessee Titans,TEN,33,Los Angeles Rams,LA,WEEKLY
Travis Vokolek,TE,ARI,NA,0,0,0,NA,NA,0,NA,0,NA,56346,FanDuel,16447,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,21,1,Arizona Cardinals,1,Arizona Cardinals,ARI,5,Carolina Panthers,CAR,WEEKLY
Mitchell Evans,TE,CAR,NA,0,0,0,NA,NA,0,NA,0,NA,56418,FanDuel,17109,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,14,5,Carolina Panthers,1,Arizona Cardinals,ARI,5,Carolina Panthers,CAR,WEEKLY
Nate Adkins,TE,DEN,NA,0,0,0,NA,NA,0,NA,0,NA,55761,FanDuel,16474,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,6,10,Denver Broncos,14,Indianapolis Colts,IND,10,Denver Broncos,DEN,WEEKLY
Dallas Goedert,TE,PHI,NA,0,0,0,NA,NA,0,NA,0,NA,53795,FanDuel,13674,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,29,24,Philadelphia Eagles,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Jared Wiley,TE,KC,NA,0,0,0,NA,NA,0,NA,0,NA,56071,FanDuel,16648,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,19,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,24,Philadelphia Eagles,PHI,WEEKLY
Feleipe Franks,TE,ATL,NA,0,0,0,NA,NA,0,NA,0,NA,55067,FanDuel,15244,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,11,2,Atlanta Falcons,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
Teagan Quitoriano,TE,ATL,NA,0,0,0,NA,NA,0,NA,0,NA,55503,FanDuel,15905,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,11,2,Atlanta Falcons,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
Ben Yurosek,TE,MIN,NA,0,0,0,NA,NA,0,NA,0,NA,56425,FanDuel,17285,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,20,18,Minnesota Vikings,18,Minnesota Vikings,MIN,2,Atlanta Falcons,ATL,WEEKLY
Irv Smith Jr.,TE,HOU,NA,0,0,0,NA,NA,0,NA,0,NA,54189,FanDuel,14141,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,22,13,Houston Texans,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Ko Kieft,TE,TB,NA,0,0,0,NA,NA,0,NA,0,NA,55387,FanDuel,15929,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,15,30,Tampa Bay Buccaneers,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Cade Stover,TE,HOU,NA,0,0,0,NA,NA,0,NA,0,NA,56062,FanDuel,16642,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,22,13,Houston Texans,13,Houston Texans,HOU,30,Tampa Bay Buccaneers,TB,WEEKLY
Justin Shorter,TE,LV,NA,0,0,0,NA,NA,0,NA,0,NA,56196,FanDuel,16210,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88,409,18,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,34,Los Angeles Chargers,LAC,WEEKLY
