player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,curr_site_pts,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Josh Downs,WR,IND,NA,3.4,3.4,37.2,NA,NA,0.2,0,0.4,NA,0,0,5.12,NA,17622,FleaFlicker,16187,NA,NA,NA,NA,NA,1,DENSun 4:05 PM,WR51,0.2,37.6,73%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,NA,3.3,3.3,35.3,NA,NA,0.2,0.4,1.8,NA,0,0,5.11,NA,18373,FleaFlicker,16639,NA,NA,NA,NA,NA,4,@ARISun 4:05 PM,WR67,0.2,37,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KC,NA,3.5,3.5,37.8,NA,NA,0.2,0,0,NA,0,0,5,NA,12950,FleaFlicker,13156,NA,NA,NA,NA,NA,0,PHISun 4:25 PM,WR116,0.2,37.8,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,NA,3.1,3.1,39.1,NA,NA,0.2,0.1,0.5,NA,0,0.1,4.99,NA,19347,FleaFlicker,17073,NA,NA,NA,NA,NA,0,LARSun 1:00 PM,WR70,0.2,39.5,36%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,NA,2.7,2.7,33.9,NA,NA,0.2,0,0.2,NA,0,0,4.81,NA,17671,FleaFlicker,16206,NA,NA,NA,NA,NA,8,CARSun 4:05 PM,WR81,0.2,34.1,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,NA,2.2,2.2,31.3,NA,NA,0.2,0.5,2.5,NA,0,0,4.8,NA,17635,FleaFlicker,16287,NA,NA,NA,NA,NA,8,LACMon 10:00 PM,WR106,0.2,33.8,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,NA,2.8,2.8,33.1,NA,NA,0.2,0.7,2.6,NA,0,0,4.57,NA,18498,FleaFlicker,16684,NA,NA,NA,NA,NA,2,NESun 1:00 PM,WR94,0.2,35.7,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,NA,2,2,32.3,NA,NA,0.2,0.1,0.5,NA,0,0,4.34,NA,14833,FleaFlicker,14122,NA,NA,NA,NA,NA,4,@DALSun 1:00 PM,WR79,0.2,32.9,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dont'e Thornton,WR,LV,NA,2.6,2.6,32.4,NA,NA,0.2,0,0.1,NA,0,0,4.31,NA,19354,FleaFlicker,17087,NA,NA,NA,NA,NA,8,LACMon 10:00 PM,WR73,0.2,32.5,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,JAC,NA,2.5,2.5,32.9,NA,NA,0.1,0.3,1.5,NA,0,0.1,4.24,NA,16309,FleaFlicker,15292,NA,NA,NA,NA,NA,8,@CINSun 1:00 PM,WR90,0.1,34.5,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KC,NA,2.4,2.4,31.4,NA,NA,0.2,0.1,0.7,NA,0,0,4.21,NA,16835,FleaFlicker,15787,NA,NA,NA,NA,NA,0,PHISun 4:25 PM,WR115,0.2,32.1,13%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,NA,1.7,1.7,25.2,NA,NA,0.3,0,0.1,NA,0,0,4.19,NA,9311,FleaFlicker,11232,NA,NA,NA,NA,NA,7,CLESun 1:00 PM,WR74,0.3,25.3,41%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,NA,1.7,1.7,21.3,NA,NA,0.2,1.2,6.6,NA,0,0,3.83,NA,17558,FleaFlicker,15981,NA,NA,NA,NA,NA,0,NYGSun 1:00 PM,WR93,0.2,28,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,NA,2.3,2.3,28.5,NA,NA,0.1,0.1,0.3,NA,0,0,3.76,NA,18466,FleaFlicker,16619,NA,NA,NA,NA,NA,2,@INDSun 4:05 PM,WR85,0.1,28.8,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,NA,1.8,1.8,24.7,NA,NA,0.2,0,0.1,NA,0,0,3.72,NA,17792,FleaFlicker,16195,NA,NA,NA,NA,NA,5,WASW 27-18,WR87,0.2,24.8,22%,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,NA,2.2,2.2,29.6,NA,NA,0.1,0.1,0.2,NA,0,0,3.68,NA,19287,FleaFlicker,17083,NA,NA,NA,NA,NA,6,TBMon 7:00 PM,WR53,0.1,29.9,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray-Ray McCloud,WR,ATL,NA,2.6,2.6,28.2,NA,NA,0.1,0.5,3.2,NA,0,0.1,3.66,NA,13934,FleaFlicker,13641,NA,NA,NA,NA,NA,5,@MINSun 8:20 PM,WR105,0.1,31.4,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,CAR,NA,2.7,2.7,29.2,NA,NA,0.1,0,0,NA,0,0,3.6,NA,14836,FleaFlicker,14123,NA,NA,NA,NA,NA,4,@ARISun 4:05 PM,WR112,0.1,29.2,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,NA,1.6,1.6,22.8,NA,NA,0.2,0,0.1,NA,0,0,3.55,NA,16192,FleaFlicker,15109,NA,NA,NA,NA,NA,2,NESun 1:00 PM,WR98,0.2,22.9,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
