player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned
Brock Bowers,TE,LV,1,7.4,5.6,63.6,63.6,11.4,0.4,0,8.4,8.4,26693971,CBS,16641,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oronde Gadsden II,TE,LAC,1,5.6,4.3,60.3,60.3,14,0.3,0.1,7.6,7.6,26727374,CBS,17099,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,1,5.4,4.1,55.8,55.8,13.6,0.4,0,7.4,7.4,3124197,CBS,16214,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,1,4.9,3.7,47,47,12.7,0.5,0,7,7,2982991,CBS,16213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Warren,TE,IND,1,5.5,4,48.1,48.1,12,0.4,0,7,7,3168800,CBS,17102,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,1,7.9,5.7,50.6,50.6,8.9,0.3,0,6.8,6.8,2963385,CBS,15794,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harold Fannin Jr.,TE,CLE,1,6,4.3,44.4,44.4,10.3,0.4,0,6.4,6.4,28900882,CBS,17103,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,1,5.1,3.9,49.4,49.4,12.7,0.4,0,6.4,6.4,2818265,CBS,13299,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,1,4,3.1,33.5,33.5,10.8,0.5,0,6,6,2131121,CBS,13671,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Goedert,TE,PHI,1,4.7,3.6,33,33,9.2,0.5,0,6,6,2132551,CBS,13674,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,1,6.3,4.4,46.9,46.9,10.7,0.3,0,5.8,5.8,2815179,CBS,15802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colston Loveland,TE,CHI,1,4.6,3.1,36.6,36.6,11.8,0.4,0,5.4,5.4,28874696,CBS,17104,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,WAS,1,4.9,3.4,33.2,33.2,9.8,0.4,0,5.4,5.4,1685963,CBS,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Njoku,TE,CLE,1,5.7,3.7,37.1,37.1,10,0.4,0,5.4,5.4,2136474,CBS,13192,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Johnson,TE,NYG,1,5,3.1,30.7,30.7,9.9,0.4,0,5.4,5.4,3162129,CBS,16649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,1,5.6,4.1,41.6,41.6,10.2,0.2,0,5.2,5.2,2964514,CBS,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Schultz,TE,HOU,1,5.3,3.8,40,40,10.5,0.2,0,5.2,5.2,2136748,CBS,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,1,5.3,3.7,40.4,40.4,10.9,0.2,0.1,5,5,2186637,CBS,14861,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ Barner,TE,SEA,1,3.3,2.6,25.5,25.5,9.8,0.4,0,5,5,3169283,CBS,16723,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,1,4.9,3.3,39.4,39.4,11.9,0.3,0,4.8,4.8,2079848,CBS,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,DEN,1,5.5,3.9,32.5,32.5,8.3,0.3,0,4.8,4.8,2079887,CBS,13189,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Taylor,TE,NYJ,1,4.7,3.2,30.2,30.2,9.4,0.2,0,4.2,4.2,28878064,CBS,17106,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,1,4.9,3.6,33.6,33.6,9.3,0.2,0,4.2,4.2,2251097,CBS,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Bellinger,TE,NYG,1,2.6,2.3,37.4,37.4,16.3,0.1,0,3.6,3.6,2963615,CBS,15873,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,1,1.4,1.1,8.4,8.4,7.6,0.1,0,3.4,3.4,2818935,CBS,13424,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dulcich,TE,MIA,1,4.1,3,29.9,29.9,10,0.2,0,3.2,3.2,2964274,CBS,15797,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,1,2.6,2,22.9,22.9,11.5,0.2,0,3.2,3.2,2961270,CBS,15331,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,PIT,1,3.2,2.4,21.6,21.6,9,0.2,0,3.2,3.2,2081506,CBS,13193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,1,2.8,2.2,28.3,28.3,12.9,0.2,0,3.2,3.2,2961906,CBS,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Wright,TE,DET,1,1.9,1.7,16.5,16.5,9.7,0.3,0,2.8,2.8,2807423,CBS,15626,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Hooper,TE,NE,1,2.1,1.8,21.9,21.9,12.2,0.1,0,2.6,2.6,2067004,CBS,12677,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Mayer,TE,LV,1,3.9,2.5,21.7,21.7,8.7,0.1,0,2.6,2.6,3171673,CBS,16212,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Arroyo,TE,SEA,1,3.2,2.2,23.8,23.8,10.8,0.1,0.1,2.4,2.4,26700496,CBS,17108,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,1,2.1,1.6,16.2,16.2,10.1,0.2,0,2.2,2.2,2182228,CBS,14870,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,1,3.5,2.3,19.5,19.5,8.5,0.2,0,2.2,2.2,1853103,CBS,12678,NA,NA,NA,NA,NA,NA,NA,NA,NA
John FitzPatrick,TE,GB,1,1.7,1.5,12.9,12.9,8.6,0.2,0,2.2,2.2,2975736,CBS,15925,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Tonges,TE,SF,1,2.8,2,19.7,19.7,9.9,0.2,0,2.2,2.2,2870660,CBS,16036,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Oliver,TE,MIN,1,1.6,1.2,13.7,13.7,11.4,0.2,0,2.2,2.2,2184618,CBS,14209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Allen,TE,LAR,1,2,1.5,12.7,12.7,8.5,0.2,0,2.2,2.2,3123267,CBS,16219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Kolar,TE,BAL,1,1.2,0.9,11.5,11.5,12.8,0.2,0,2.2,2.2,2866273,CBS,15795,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,1,2.3,1.5,17.2,17.2,11.5,0.2,0,2.2,2.2,2868619,CBS,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Washington,TE,PIT,1,2.7,1.8,17.9,17.9,9.9,0.1,0,1.6,1.6,3163963,CBS,16216,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,TE,NYJ,1,1.5,1.1,11.2,11.2,10.2,0.1,0,1.6,1.6,2965446,CBS,15796,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,1,1.7,1.1,12.9,12.9,11.7,0.1,0,1.6,1.6,2186345,CBS,14143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julian Hill,TE,MIA,1,2.4,1.7,14.1,14.1,8.3,0.1,0,1.6,1.6,2961743,CBS,16425,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrance Ferguson,TE,LAR,1,2.2,1.4,17,17,12.1,0.1,0,1.6,1.6,26701481,CBS,17107,NA,NA,NA,NA,NA,NA,NA,NA,NA
