player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,dst_int,dst_fum_rec,dst_sacks,dst_fumbles,dst_tackles,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Cedrick Wilson Jr.,WR,MIA,NA,NA,1.1,11.3,NA,NA,0.1,0,0,NA,0,0,1.6,NA,17262,FantasyPros,13652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,LV,NA,NA,1,10.9,NA,NA,0.1,0,0,NA,0,0,1.6,NA,13971,FantasyPros,12187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casey Washington,WR,ATL,NA,NA,0.9,11.4,NA,NA,0.1,0,0,NA,0,0,1.6,NA,26413,FantasyPros,16760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Moore,WR,WAS,NA,NA,0.8,11.1,NA,NA,0.1,0,0.1,NA,0,0,1.5,NA,15654,FantasyPros,12773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrell Shavers,WR,BUF,NA,NA,0.8,10.7,NA,NA,0.1,0,0,NA,0,0,1.4,NA,25813,FantasyPros,16451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,MIN,NA,NA,0.9,9,NA,NA,0.1,0,0,NA,0,0,1.3,NA,13429,FantasyPros,11938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beaux Collins,WR,NYG,NA,NA,0.7,8.7,NA,NA,0.1,0,0,NA,0,0,1.3,NA,22925,FantasyPros,17303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KC,NA,NA,0.6,8.6,NA,NA,0.1,0,0.1,NA,0,0,1.3,NA,22913,FantasyPros,15787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Williams,WR,NE,NA,NA,0.6,7.9,NA,NA,0.1,0.2,0.8,NA,0,0,1.3,NA,27487,FantasyPros,17134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malik Heath,WR,GB,NA,NA,0.7,8.6,NA,NA,0.1,0,0.1,NA,0,0,1.2,NA,25668,FantasyPros,16413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Renfrow,WR,CAR,NA,NA,1,8,NA,NA,0.1,0,0,NA,0,0,1.1,NA,18345,FantasyPros,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bobo,WR,SEA,NA,NA,0.7,7.8,NA,NA,0,0,0,NA,0,0,1.1,NA,25339,FantasyPros,16393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Patrick,WR,JAC,NA,NA,0.6,7.7,NA,NA,0,0,0,NA,0,0,1,NA,16556,FantasyPros,13377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devontez Walker,WR,BAL,NA,NA,0.4,5.6,NA,NA,0.1,0.1,0.3,NA,0,0,1,NA,26011,FantasyPros,16621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savion Williams,WR,GB,NA,NA,0.5,5.2,NA,NA,0,0.4,2,NA,0,0,1,NA,27144,FantasyPros,17096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Flournoy,WR,DAL,NA,NA,0.6,6.5,NA,NA,0,0.3,0.8,NA,0,0,1,NA,26398,FantasyPros,16778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dee Eskridge,WR,MIA,NA,NA,0.6,6.8,NA,NA,0.1,0,0.3,NA,0,0,1,NA,22785,FantasyPros,15302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalin Hyatt,WR,NYG,NA,NA,0.6,7.2,NA,NA,0,0,0,NA,0,0,1,NA,25251,FantasyPros,16183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,NA,0.8,7.9,NA,NA,0,0,0,NA,0,0,1,NA,26409,FantasyPros,16788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,IND,NA,NA,0.5,6.5,NA,NA,0,0,0,NA,0,0,0.8,NA,24357,FantasyPros,16626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Weaver,WR,ARI,NA,NA,0.4,5.2,NA,NA,0.1,0,0.1,NA,0,0,0.8,NA,23957,FantasyPros,16634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Konata Mumpfield,WR,LAR,NA,NA,0.4,5.1,NA,NA,0.1,0,0,NA,0,0,0.8,NA,27449,FantasyPros,17254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Duvernay,WR,CHI,NA,NA,0.6,5,NA,NA,0,0,0.1,NA,0,0,0.7,NA,19270,FantasyPros,14847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Dulin,WR,IND,NA,NA,0.3,4.1,NA,NA,0,0.2,1.1,NA,0,0,0.7,NA,18656,FantasyPros,14315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Mingo,WR,DAL,NA,NA,0.4,4.3,NA,NA,0,0,0,NA,0,0,0.6,NA,23030,FantasyPros,16197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Smith,WR,LAR,NA,NA,0.5,6.1,NA,NA,0.1,0,0.9,NA,0,0.2,0.5,NA,25627,FantasyPros,16428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Gould,WR,IND,NA,NA,0.4,3.7,NA,NA,0,0,0.2,NA,0,0,0.5,NA,26404,FantasyPros,16732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skyy Moore,WR,SF,NA,NA,0.2,2.4,NA,NA,0,0,0,NA,0,0,0.3,NA,23905,FantasyPros,15766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotty Miller,WR,PIT,NA,NA,0.1,1.8,NA,NA,0,0,0.1,NA,0,0,0.3,NA,18714,FantasyPros,14280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brycen Tremayne,WR,CAR,NA,NA,0.2,1.6,NA,NA,0,0,0.1,NA,0,0,0.2,NA,25631,FantasyPros,16949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derius Davis,WR,LAC,NA,NA,0.1,0.5,NA,NA,0,0.3,1.7,NA,0,0,0.2,NA,25334,FantasyPros,16299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Tipton,WR,NO,NA,NA,0.2,2.1,NA,NA,0,0,0,NA,0,0,0.2,NA,26546,FantasyPros,16858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trent Sherfield Sr.,WR,DEN,NA,NA,0.1,1.2,NA,NA,0,0,0,NA,0,0,0.2,NA,17888,FantasyPros,13893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Skowronek,WR,PIT,NA,NA,0.1,1.2,NA,NA,0,0,0.1,NA,0,0,0.2,NA,22843,FantasyPros,15491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Bachman,WR,LV,NA,NA,0.1,1.1,NA,NA,0,0,0,NA,0,0,0.1,NA,18902,FantasyPros,14548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Jones,WR,CIN,NA,NA,0.1,0.8,NA,NA,0,0,0.1,NA,0,0,0.1,NA,25336,FantasyPros,16203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,7.7,7.7,98.1,NA,NA,1,0.8,5,NA,0.1,0,18.61,NA,17779,FleaFlicker,16211,NA,NA,NA,NA,NA,8,NOSun 4:05 PM,WR2,1.1,103.1,98%,NA,NA
Jaxon Smith-Njigba,WR,SEA,NA,7,7,109.7,NA,NA,1,0.4,1.9,NA,0,0.1,17.06,NA,17606,FleaFlicker,16185,NA,NA,NA,NA,NA,8,@WASSun 8:20 PM,WR4,1,111.6,97%,NA,NA
Amon-Ra St.,WR,WR,NA,6.9,6.9,79.9,NA,NA,1,0.1,0.6,NA,0,0,15.99,NA,16373,FleaFlicker,15287,NA,NA,NA,NA,NA,8,MINSun 1:00 PM,WR6,1,80.6,98%,NA,NA
Ja'Marr Chase,WR,CIN,NA,7.3,7.3,86.5,NA,NA,1,0.2,1.3,NA,0,0.1,14.7,NA,16250,FleaFlicker,15281,NA,NA,NA,NA,NA,0,CHISun 1:00 PM,WR1,1,87.8,99%,NA,NA
CeeDee Lamb,WR,DAL,NA,6.8,6.8,81.9,NA,NA,1,0.3,2.2,NA,0,0,14.41,NA,15523,FleaFlicker,14832,NA,NA,NA,NA,NA,0,ARIMon 8:15 PM,WR3,1,84.1,98%,NA,NA
Rashee Rice,WR,KC,NA,6.3,6.3,70.4,NA,NA,1,0.3,1.2,NA,0,0,13.14,NA,17633,FleaFlicker,16194,NA,NA,NA,NA,NA,0,@BUFSun 4:25 PM,WR9,1,71.6,96%,NA,NA
Rome Odunze,WR,CHI,NA,4.4,4.4,68.1,NA,NA,1,0,0.2,NA,0,0,12.77,NA,18384,FleaFlicker,16616,NA,NA,NA,NA,NA,5,@CINSun 1:00 PM,WR14,1,68.3,96%,NA,NA
Davante Adams,WR,LAR,NA,4.6,4.6,67.9,NA,NA,1,0,0,NA,0,0,12.75,NA,10295,FleaFlicker,11675,NA,NA,NA,NA,NA,8,NOSun 4:05 PM,WR10,1,67.9,98%,NA,NA
DK Metcalf,WR,PIT,NA,4.3,4.3,67.4,NA,NA,1,0,0.1,NA,0,0,12.7,NA,14706,FleaFlicker,14102,NA,NA,NA,NA,NA,5,INDSun 1:00 PM,WR21,1,67.4,98%,NA,NA
Marvin Harrison,WR,ARI,NA,4.5,4.5,66.6,NA,NA,1,0,0.2,NA,0,0,12.64,NA,18381,FleaFlicker,16614,NA,NA,NA,NA,NA,8,@DALMon 8:15 PM,WR29,1,66.8,94%,NA,NA
George Pickens,WR,DAL,NA,4.5,4.5,66.2,NA,NA,1,0,0.2,NA,0,0,12.58,NA,16859,FleaFlicker,15762,NA,NA,NA,NA,NA,0,ARIMon 8:15 PM,WR13,1,66.4,97%,NA,NA
Keenan Allen,WR,LAC,NA,5.4,5.4,59.2,NA,NA,1,0,0.1,NA,0,0,11.87,NA,9380,FleaFlicker,11222,NA,NA,NA,NA,NA,2,@TENSun 1:00 PM,WR31,1,59.3,90%,NA,NA
Quentin Johnston,WR,LAC,NA,3.9,3.9,53.9,NA,NA,1,0.2,1.2,NA,0,0.1,11.45,NA,17593,FleaFlicker,16188,NA,NA,NA,NA,NA,2,@TENSun 1:00 PM,WR36,1,55.1,92%,NA,NA
Tee Higgins,WR,CIN,NA,3.9,3.9,53.2,NA,NA,1,0,0.1,NA,0,0,11.29,NA,15585,FleaFlicker,14835,NA,NA,NA,NA,NA,0,CHISun 1:00 PM,WR22,1,53.3,96%,NA,NA
Justin Jefferson,WR,MIN,NA,5.8,5.8,84.6,NA,NA,0.4,0,0.1,NA,0,0,10.75,NA,15540,FleaFlicker,14836,NA,NA,NA,NA,NA,6,@DETSun 1:00 PM,WR5,0.4,84.7,99%,NA,NA
Zay Flowers,WR,BAL,NA,5.4,5.4,76.1,NA,NA,0.5,0.4,2.7,NA,0,0.1,10.7,NA,17595,FleaFlicker,16190,NA,NA,NA,NA,NA,7,@MIAThu 8:15 PM,WR18,0.5,78.9,96%,NA,NA
OUTDrake London,WR,ATL,NA,5.9,5.9,78.4,NA,NA,0.4,0,0.1,NA,0,0.1,9.95,NA,16823,FleaFlicker,15751,NA,NA,NA,NA,NA,5,@NESun 1:00 PM,WR8,0.4,78.5,97%,NA,NA
Jaylen Waddle,WR,MIA,NA,5.3,5.3,70.7,NA,NA,0.5,0.1,0.5,NA,0,0,9.87,NA,16236,FleaFlicker,15284,NA,NA,NA,NA,NA,2,BALThu 8:15 PM,WR23,0.5,71.2,95%,NA,NA
OUTNico Collins,WR,HOU,NA,5.1,5.1,71.7,NA,NA,0.5,0,0.2,NA,0,0.1,9.83,NA,16281,FleaFlicker,15290,NA,NA,NA,NA,NA,6,DENSun 1:00 PM,WR7,0.5,72,97%,NA,NA
Ladd McConkey,WR,LAC,NA,5.3,5.3,66,NA,NA,0.5,0,0.1,NA,0,0,9.37,NA,18407,FleaFlicker,16627,NA,NA,NA,NA,NA,2,@TENSun 1:00 PM,WR19,0.5,66.1,96%,NA,NA
Michael Pittman,WR,IND,NA,5.9,5.9,65.8,NA,NA,0.4,0,0.1,NA,0,0,9.05,NA,15603,FleaFlicker,14842,NA,NA,NA,NA,NA,1,@PITSun 1:00 PM,WR32,0.4,65.8,94%,NA,NA
Brian Thomas,WR,JAC,NA,4.4,4.4,62.3,NA,NA,0.4,0.1,0.7,NA,0,0,8.66,NA,18361,FleaFlicker,16618,NA,NA,NA,NA,NA,8,@LVSun 4:05 PM,WR16,0.4,63.1,94%,NA,NA
Terry McLaurin,WR,WAS,NA,4.2,4.2,57.9,NA,NA,0.4,0,0.2,NA,0,0,8.3,NA,14746,FleaFlicker,14109,NA,NA,NA,NA,NA,2,SEASun 8:20 PM,WR33,0.4,58.2,93%,NA,NA
Courtland Sutton,WR,DEN,NA,4.3,4.3,59.2,NA,NA,0.4,0,0,NA,0,0,8.16,NA,13795,FleaFlicker,13630,NA,NA,NA,NA,NA,2,@HOUSun 1:00 PM,WR17,0.4,59.2,97%,NA,NA
Stefon Diggs,WR,NE,NA,4.9,4.9,56.2,NA,NA,0.4,0.1,0.7,NA,0,0,7.97,NA,11329,FleaFlicker,12186,NA,NA,NA,NA,NA,4,ATLSun 1:00 PM,WR34,0.4,56.9,91%,NA,NA
Tetairoa McMillan,WR,CAR,NA,5,5,60.8,NA,NA,0.3,0,0.2,NA,0,0,7.92,NA,19258,FleaFlicker,17071,NA,NA,NA,NA,NA,4,@GBSun 1:00 PM,WR20,0.3,61,93%,NA,NA
Chris Olave,WR,NO,NA,5.7,5.7,62.3,NA,NA,0.3,0.1,0.3,NA,0,0,7.82,NA,16824,FleaFlicker,15754,NA,NA,NA,NA,NA,1,@LARSun 4:05 PM,WR30,0.3,62.6,94%,NA,NA
Jameson Williams,WR,DET,NA,3.1,3.1,52.8,NA,NA,0.3,0.3,2.3,NA,0,0,7.75,NA,16830,FleaFlicker,15756,NA,NA,NA,NA,NA,8,MINSun 1:00 PM,WR26,0.4,55.1,89%,NA,NA
Jordan Addison,WR,MIN,NA,3.9,3.9,53.1,NA,NA,0.4,0.1,0.4,NA,0,0,7.71,NA,17613,FleaFlicker,16186,NA,NA,NA,NA,NA,6,@DETSun 1:00 PM,WR35,0.4,53.5,92%,NA,NA
Deebo Samuel,WR,WAS,NA,4.3,4.3,47.4,NA,NA,0.3,1.4,6.2,NA,0.1,0,7.71,NA,14702,FleaFlicker,14136,NA,NA,NA,NA,NA,2,SEASun 8:20 PM,WR28,0.4,53.6,96%,NA,NA
DJ Moore,WR,CHI,NA,4.1,4.1,50.8,NA,NA,0.3,1.1,5.6,NA,0,0.1,7.62,NA,13764,FleaFlicker,13635,NA,NA,NA,NA,NA,5,@CINSun 1:00 PM,WR38,0.3,56.4,88%,NA,NA
Romeo Doubs,WR,GB,NA,3.6,3.6,48.8,NA,NA,0.5,0,0,NA,0,0,7.6,NA,16941,FleaFlicker,15779,NA,NA,NA,NA,NA,5,CARSun 1:00 PM,WR46,0.5,48.8,81%,NA,NA
Xavier Worthy,WR,KC,NA,3.9,3.9,45.4,NA,NA,0.3,0.9,7,NA,0.1,0,7.6,NA,18363,FleaFlicker,16620,NA,NA,NA,NA,NA,0,@BUFSun 4:25 PM,WR24,0.4,52.4,93%,NA,NA
Wan'Dale Robinson,WR,NYG,NA,5,5,52.7,NA,NA,0.3,0.1,1,NA,0,0,7.35,NA,16869,FleaFlicker,15757,NA,NA,NA,NA,NA,4,SFSun 1:00 PM,WR47,0.3,53.7,76%,NA,NA
Travis Hunter,WR,JAC,NA,3.8,3.8,45.7,NA,NA,0.2,0.1,0.8,NA,0,0.1,7.31,NA,19244,FleaFlicker,17074,NA,NA,NA,NA,NA,8,@LVSun 4:05 PM,WR37,0.3,46.5,83%,NA,NA
Khalil Shakir,WR,BUF,NA,4.7,4.7,53.2,NA,NA,0.3,0.1,0.5,NA,0,0,7.28,NA,16947,FleaFlicker,15761,NA,NA,NA,NA,NA,7,KCSun 4:25 PM,WR40,0.3,53.6,84%,NA,NA
Cooper Kupp,WR,SEA,NA,3.9,3.9,51.7,NA,NA,0.3,0,0.2,NA,0,0,7.13,NA,12970,FleaFlicker,13164,NA,NA,NA,NA,NA,8,@WASSun 8:20 PM,WR53,0.3,51.9,75%,NA,NA
OUTRicky Pearsall,WR,SF,NA,3.5,3.5,52,NA,NA,0.3,0.2,0.9,NA,0,0,6.81,NA,18377,FleaFlicker,16622,NA,NA,NA,NA,NA,4,@NYGSun 1:00 PM,WR27,0.3,52.9,84%,NA,NA
Jakobi Meyers,WR,LV,NA,4.4,4.4,51.6,NA,NA,0.2,0,0.6,NA,0,0,6.68,NA,14949,FleaFlicker,14127,NA,NA,NA,NA,NA,8,JACSun 4:05 PM,WR41,0.2,52.2,79%,NA,NA
Kayshon Boutte,WR,NE,NA,2.9,2.9,43.5,NA,NA,0.4,0.1,0.4,NA,0,0,6.53,NA,17725,FleaFlicker,16193,NA,NA,NA,NA,NA,4,ATLSun 1:00 PM,WR49,0.4,43.9,63%,NA,NA
OUTCalvin Ridley,WR,TEN,NA,3.1,3.1,49.2,NA,NA,0.2,0.1,0.4,NA,0,0,6.42,NA,13776,FleaFlicker,13629,NA,NA,NA,NA,NA,0,LACSun 1:00 PM,WR51,0.2,49.6,75%,NA,NA
Keon Coleman,WR,BUF,NA,3.5,3.5,45.7,NA,NA,0.3,0,0.1,NA,0,0.1,6.38,NA,18392,FleaFlicker,16617,NA,NA,NA,NA,NA,7,KCSun 4:25 PM,WR44,0.3,45.8,79%,NA,NA
Tre Tucker,WR,LV,NA,3.2,3.2,42.4,NA,NA,0.3,0.6,3.5,NA,0,0,6.35,NA,17635,FleaFlicker,16287,NA,NA,NA,NA,NA,8,JACSun 4:05 PM,WR65,0.3,45.9,66%,NA,NA
Rashid Shaheed,WR,NO,NA,4.1,4.1,51.1,NA,NA,0.2,0.2,1.1,NA,0,0.1,6.34,NA,17243,FleaFlicker,16080,NA,NA,NA,NA,NA,1,@LARSun 4:05 PM,WR42,0.2,52.3,80%,NA,NA
Christian Watson,WR,GB,NA,2.4,2.4,43.8,NA,NA,0.3,0.2,0.7,NA,0,0,6.29,NA,16896,FleaFlicker,15789,NA,NA,NA,NA,NA,5,CARSun 1:00 PM,WR74,0.3,44.5,40%,NA,NA
Jauan Jennings,WR,SF,NA,3.3,3.3,44.6,NA,NA,0.3,0,0.1,NA,0,0,6.17,NA,15751,FleaFlicker,14860,NA,NA,NA,NA,NA,4,@NYGSun 1:00 PM,WR39,0.3,44.6,77%,NA,NA
Calvin Austin,WR,PIT,NA,3.1,3.1,40.2,NA,NA,0.3,0.1,0.4,NA,0,0,5.95,NA,16921,FleaFlicker,15777,NA,NA,NA,NA,NA,5,INDSun 1:00 PM,WR78,0.3,40.7,30%,NA,NA
Alec Pierce,WR,IND,NA,2.5,2.5,47,NA,NA,0.2,0,0,NA,0,0,5.94,NA,16842,FleaFlicker,15768,NA,NA,NA,NA,NA,1,@PITSun 1:00 PM,WR61,0.2,47,45%,NA,NA
Malik Washington,WR,MIA,NA,3.6,3.6,33,NA,NA,0.3,1.5,7.7,NA,0,0,5.93,NA,18498,FleaFlicker,16684,NA,NA,NA,NA,NA,2,BALThu 8:15 PM,WR75,0.3,40.7,35%,NA,NA
Rashod Bateman,WR,BAL,NA,2.6,2.6,39.5,NA,NA,0.3,0,0.1,NA,0,0,5.92,NA,16248,FleaFlicker,15293,NA,NA,NA,NA,NA,7,@MIAThu 8:15 PM,WR59,0.3,39.5,51%,NA,NA
Darius Slayton,WR,NYG,NA,2.9,2.9,44.2,NA,NA,0.2,0.1,0.3,NA,0,0.1,5.85,NA,14833,FleaFlicker,14122,NA,NA,NA,NA,NA,4,SFSun 1:00 PM,WR54,0.2,44.5,30%,NA,NA
Darnell Mooney,WR,ATL,NA,3.1,3.1,47.2,NA,NA,0.2,0,0.1,NA,0,0,5.77,NA,15658,FleaFlicker,14974,NA,NA,NA,NA,NA,5,@NESun 1:00 PM,WR45,0.2,47.2,66%,NA,NA
Troy Franklin,WR,DEN,NA,3.3,3.3,39.2,NA,NA,0.3,0.1,0.6,NA,0,0.1,5.74,NA,18466,FleaFlicker,16619,NA,NA,NA,NA,NA,2,@HOUSun 1:00 PM,WR48,0.3,39.8,55%,NA,NA
Kendrick Bourne,WR,SF,NA,2.9,2.9,43.8,NA,NA,0.2,0,0.3,NA,0,0,5.69,NA,13364,FleaFlicker,13418,NA,NA,NA,NA,NA,4,@NYGSun 1:00 PM,WR76,0.2,44.1,52%,NA,NA
Josh Downs,WR,IND,NA,3.9,3.9,41.4,NA,NA,0.2,0,0.1,NA,0,0,5.61,NA,17622,FleaFlicker,16187,NA,NA,NA,NA,NA,1,@PITSun 1:00 PM,WR52,0.2,41.6,66%,NA,NA
Matthew Golden,WR,GB,NA,2.8,2.8,37,NA,NA,0.2,0.6,3.3,NA,0,0.1,5.49,NA,19266,FleaFlicker,17075,NA,NA,NA,NA,NA,5,CARSun 1:00 PM,WR43,0.3,40.2,81%,NA,NA
OUTChristian Kirk,WR,HOU,NA,3.2,3.2,41.5,NA,NA,0.2,0,0.1,NA,0,0.1,5.26,NA,13806,FleaFlicker,13633,NA,NA,NA,NA,NA,6,DENSun 1:00 PM,WR60,0.2,41.6,50%,NA,NA
Elic Ayomanor,WR,TEN,NA,3,3,37.1,NA,NA,0.2,0,0.2,NA,0,0,5.01,NA,19347,FleaFlicker,17073,NA,NA,NA,NA,NA,0,LACSun 1:00 PM,WR55,0.2,37.4,47%,NA,NA
Michael Wilson,WR,ARI,NA,2.7,2.7,32.7,NA,NA,0.3,0,0.1,NA,0,0,4.88,NA,17671,FleaFlicker,16206,NA,NA,NA,NA,NA,8,@DALMon 8:15 PM,WR83,0.3,32.8,21%,NA,NA
Parker Washington,WR,JAC,NA,2.7,2.7,31.9,NA,NA,0.2,0.3,1.7,NA,0,0,4.65,NA,17738,FleaFlicker,16192,NA,NA,NA,NA,NA,8,@LVSun 4:05 PM,WR106,0.2,33.6,17%,NA,NA
Tory Horton,WR,SEA,NA,2,2,30.3,NA,NA,0.2,0,0.5,NA,0,0,4.44,NA,19439,FleaFlicker,17098,NA,NA,NA,NA,NA,8,@WASSun 8:20 PM,WR68,0.2,30.8,33%,NA,NA
PUPBrandon Aiyuk,WR,SF,NA,2,2,31.2,NA,NA,0.2,0,0,NA,0,0,4.2,NA,15531,FleaFlicker,14840,NA,NA,NA,NA,NA,4,@NYGSun 1:00 PM,WR66,0.2,31.2,72%,NA,NA
Olamide Zaccheaus,WR,CHI,NA,2.5,2.5,27.1,NA,NA,0.2,0.3,1.8,NA,0,0,4.07,NA,15107,FleaFlicker,14592,NA,NA,NA,NA,NA,5,@CINSun 1:00 PM,WR88,0.2,28.9,12%,NA,NA
Hollywood Brown,WR,KC,NA,2.4,2.4,26.2,NA,NA,0.2,0.1,0.4,NA,0,0,4.02,NA,14661,FleaFlicker,14105,NA,NA,NA,NA,NA,0,@BUFSun 4:25 PM,WR67,0.2,26.6,65%,NA,NA
Chimere Dike,WR,TEN,NA,2.5,2.5,26.2,NA,NA,0.2,0.8,3.2,NA,0,0.1,3.98,NA,19346,FleaFlicker,17171,NA,NA,NA,NA,NA,0,LACSun 1:00 PM,WR92,0.2,29.4,27%,NA,NA
Mack Hollins,WR,NE,NA,2.1,2.1,26.4,NA,NA,0.2,0.1,0.3,NA,0,0,3.97,NA,13008,FleaFlicker,13289,NA,NA,NA,NA,NA,4,ATLSun 1:00 PM,WR121,0.2,26.7,7%,NA,NA
Xavier Legette,WR,CAR,NA,2.9,2.9,27.6,NA,NA,0.2,0.1,0.4,NA,0,0,3.96,NA,18373,FleaFlicker,16639,NA,NA,NA,NA,NA,4,@GBSun 1:00 PM,WR82,0.2,28.1,42%,NA,NA
Marvin Mims,WR,DEN,NA,2.1,2.1,26.4,NA,NA,0.2,0.6,2.8,NA,0,0.1,3.9,NA,17631,FleaFlicker,16189,NA,NA,NA,NA,NA,2,@HOUSun 1:00 PM,WR63,0.2,29.2,60%,NA,NA
Jalen Coker,WR,CAR,NA,2.6,2.6,30,NA,NA,0.1,0,0,NA,0,0,3.88,NA,18787,FleaFlicker,16809,NA,NA,NA,NA,NA,4,@GBSun 1:00 PM,WR57,0.1,30.1,31%,NA,NA
Zay Jones,WR,ARI,NA,2.3,2.3,27.3,NA,NA,0.2,0,0.1,NA,0,0,3.68,NA,12937,FleaFlicker,13176,NA,NA,NA,NA,NA,8,@DALMon 8:15 PM,WR124,0.2,27.4,6%,NA,NA
Dyami Brown,WR,JAC,NA,2,2,25,NA,NA,0.1,0.3,1.3,NA,0,0,3.51,NA,16309,FleaFlicker,15292,NA,NA,NA,NA,NA,8,@LVSun 4:05 PM,WR80,0.1,26.3,18%,NA,NA
Andrei Iosivas,WR,CIN,NA,1.8,1.8,23.1,NA,NA,0.2,0.1,0.6,NA,0,0,3.43,NA,17754,FleaFlicker,16207,NA,NA,NA,NA,NA,0,CHISun 1:00 PM,WR94,0.2,23.7,15%,NA,NA
OUTLuther Burden,WR,CHI,NA,1.8,1.8,23.4,NA,NA,0.1,0.3,1.4,NA,0,0,3.43,NA,19335,FleaFlicker,17070,NA,NA,NA,NA,NA,5,@CINSun 1:00 PM,WR64,0.2,24.8,52%,NA,NA
OUTJoshua Palmer,WR,BUF,NA,1.9,1.9,26,NA,NA,0.1,0,0,NA,0,0,3.36,NA,16292,FleaFlicker,15319,NA,NA,NA,NA,NA,7,KCSun 4:25 PM,WR71,0.1,26,26%,NA,NA
Nick Westbrook-Ikhine,WR,MIA,NA,1.6,1.6,20.5,NA,NA,0.2,0,0.1,NA,0,0,3.29,NA,16192,FleaFlicker,15109,NA,NA,NA,NA,NA,2,BALThu 8:15 PM,WR109,0.2,20.5,11%,NA,NA
Jalen Nailor,WR,MIN,NA,1.7,1.7,22.7,NA,NA,0.2,0.1,0.4,NA,0,0,3.25,NA,17018,FleaFlicker,15786,NA,NA,NA,NA,NA,6,@DETSun 1:00 PM,WR97,0.2,23.1,16%,NA,NA
Jordan Whittington,WR,LAR,NA,1.8,1.8,22.8,NA,NA,0.1,0.1,0.8,NA,0,0,3.24,NA,18564,FleaFlicker,16633,NA,NA,NA,NA,NA,8,NOSun 4:05 PM,WR107,0.1,23.6,15%,NA,NA
DeAndre Hopkins,WR,BAL,NA,1.4,1.4,19.4,NA,NA,0.2,0,0.1,NA,0,0,3.18,NA,9311,FleaFlicker,11232,NA,NA,NA,NA,NA,7,@MIAThu 8:15 PM,WR77,0.2,19.4,34%,NA,NA
