team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,idp_solo,pct_owned,return_tds
SEA,0.7,0,4.6,35.2,0.8,1.1,0.2,12.8,12.8,0,82,218,218,18.8,18.8,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA
GB,1.6,0,3.5,36.1,0.8,1.1,0.3,14.2,14.2,0,96,242,242,18.1,18.1,CBS,0523,DST,1911,NA,NA,NA,NA,NA,NA,NA
CLE,1.4,0,4.3,36.7,0.6,0.8,0.2,18.8,18.8,0,71,238,238,17.5,17.5,CBS,0507,DST,1930,NA,NA,NA,NA,NA,NA,NA
DET,0.7,0,4.2,39.4,0.7,0.9,0.2,20.1,20.1,0,110,289,289,14.2,14.2,CBS,0522,DST,1910,NA,NA,NA,NA,NA,NA,NA
BUF,0.6,0.1,3.5,39.3,0.8,1.1,0.2,18.1,18.1,0,108,291,291,13.7,13.7,CBS,0501,DST,1904,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,0,2.9,38.1,0.9,1.2,0.2,19.8,19.8,0,123,260,260,13.5,13.5,CBS,0531,DST,1903,NA,NA,NA,NA,NA,NA,NA
LV,0.8,0,3,40.6,0.6,0.8,0.1,17.7,17.7,0,95,261,261,12.4,12.4,CBS,0513,DST,1920,NA,NA,NA,NA,NA,NA,NA
SF,0.8,0,1.8,42.4,0.8,1.1,0.2,20.5,20.5,0,108,288,288,12.2,12.2,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,0,2.5,39.6,0.7,1,0.2,20.8,20.8,0,110,304,304,10.7,10.7,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA
ATL,0.8,0,3.2,41.4,0.8,1.1,0.2,22.2,22.2,0,113,310,310,9.6,9.6,CBS,0526,DST,1902,NA,NA,NA,NA,NA,NA,NA
PHI,0.9,0.1,2.1,42.4,1,1.4,0.2,22.1,22.1,0,111,321,321,9.3,9.3,CBS,0518,DST,1921,NA,NA,NA,NA,NA,NA,NA
NE,0.8,0,2.6,39.3,0.8,1,0.2,22.5,22.5,0,79,301,301,9,9,CBS,0504,DST,1931,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0.1,2.7,42.7,0.7,1,0.2,22.1,22.1,0,114,323,323,8.9,8.9,CBS,0528,DST,1923,NA,NA,NA,NA,NA,NA,NA
PIT,0.5,0,2.8,42.6,0.9,1.2,0.2,23.5,23.5,0,128,332,332,8.8,8.8,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA
KC,0.7,0,2.5,43.3,0.8,1.1,0.2,21.3,21.3,0,135,348,348,8.7,8.7,CBS,0512,DST,1914,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,2.3,43.3,0.7,0.9,0.2,23.2,23.2,0,139,347,347,8.7,8.7,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA
ARI,0.7,0,2.2,43.4,0.7,1,0.2,24.6,24.6,0,117,322,322,8.2,8.2,CBS,0519,DST,1901,NA,NA,NA,NA,NA,NA,NA
DAL,0.4,0,3.5,42.2,0.6,0.8,0.1,25,25,0,141,327,327,8.1,8.1,CBS,0516,DST,1908,NA,NA,NA,NA,NA,NA,NA
JAC,0.6,0,2.1,42,0.8,1,0.2,22.3,22.3,0,110,320,320,8.1,8.1,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA
NO,0.6,0.1,2,41.6,0.7,1,0.2,22.1,22.1,0,124,340,340,8,8,CBS,0529,DST,1917,NA,NA,NA,NA,NA,NA,NA
MIN,0.6,0,2.1,44.3,0.8,1,0.1,23.5,23.5,0,114,329,329,7.5,7.5,CBS,0524,DST,1916,NA,NA,NA,NA,NA,NA,NA
TB,0.4,0,1.9,42.4,0.8,1.2,0.1,24.9,24.9,0,105,340,340,6.9,6.9,CBS,0525,DST,1927,NA,NA,NA,NA,NA,NA,NA
TEN,0.8,0,2.2,44,0.8,1.1,0.2,28.5,28.5,0,118,371,371,6.6,6.6,CBS,0508,DST,1928,NA,NA,NA,NA,NA,NA,NA
CIN,0.5,0,2.7,42,0.7,0.9,0.1,28.7,28.7,0,129,377,377,5.7,5.7,CBS,0506,DST,1907,NA,NA,NA,NA,NA,NA,NA
NYG,0.6,0.1,2.5,44.9,0.5,0.7,0.1,31.5,31.5,0,169,405,405,5.5,5.5,CBS,0517,DST,1918,NA,NA,NA,NA,NA,NA,NA
NYJ,0.5,0,2,40.8,0.6,0.8,0.2,32.9,32.9,0,151,353,353,5.4,5.4,CBS,0505,DST,1919,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,0,1.4,44,0.6,0.8,0.1,30.4,30.4,0,111,391,391,4.8,4.8,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0,2.2,43.8,0.4,0.5,0.1,28.6,28.6,0,109,349,349,4.8,4.8,CBS,0502,DST,1912,NA,NA,NA,NA,NA,NA,NA
PIT,1,NA,2,59,1,NA,0,347,NA,NA,NA,347,NA,NA,NA,ESPN,0510,DST,-16023,Steelers D/ST,1,NA,NA,NA,NA,NA
HOU,1,NA,2,58,1,NA,0,336,NA,NA,NA,336,NA,NA,NA,ESPN,0532,DST,-16034,Texans D/ST,1,NA,NA,NA,NA,NA
BAL,1,NA,3,60,0,NA,0,324,NA,NA,NA,324,NA,NA,NA,ESPN,0531,DST,-16033,Ravens D/ST,1,NA,NA,NA,NA,NA
MIN,0,NA,2,64,1,NA,0,357,NA,NA,NA,357,NA,NA,NA,ESPN,0524,DST,-16016,Vikings D/ST,1,NA,NA,NA,NA,NA
SEA,1,NA,3,60,0,NA,0,283,NA,NA,NA,283,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,1,NA,NA,NA,NA,NA
DET,1,NA,3,60,1,NA,0,317,NA,NA,NA,317,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA
NE,1,NA,3,63,0,NA,0,321,NA,NA,NA,321,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA
IND,1,NA,2,61,0,NA,0,352,NA,NA,NA,352,NA,NA,NA,ESPN,0502,DST,-16011,Colts D/ST,1,NA,NA,NA,NA,NA
PHI,1,NA,2,61,0,NA,0,350,NA,NA,NA,350,NA,NA,NA,ESPN,0518,DST,-16021,Eagles D/ST,1,NA,NA,NA,NA,NA
BUF,1,NA,2,61,1,NA,0,335,NA,NA,NA,335,NA,NA,NA,ESPN,0501,DST,-16002,Bills D/ST,1,NA,NA,NA,NA,NA
NYJ,1,NA,3,64,0,NA,0,364,NA,NA,NA,364,NA,NA,NA,ESPN,0505,DST,-16020,Jets D/ST,1,NA,NA,NA,NA,NA
NYG,1,NA,2,61,0,NA,0,411,NA,NA,NA,411,NA,NA,NA,ESPN,0517,DST,-16019,Giants D/ST,1,NA,NA,NA,NA,NA
TB,0,NA,2,61,1,NA,0,388,NA,NA,NA,388,NA,NA,NA,ESPN,0525,DST,-16027,Buccaneers D/ST,1,NA,NA,NA,NA,NA
ARI,1,NA,2,60,0,NA,0,323,NA,NA,NA,323,NA,NA,NA,ESPN,0519,DST,-16022,Cardinals D/ST,1,NA,NA,NA,NA,NA
GB,1,NA,3,63,0,NA,0,319,NA,NA,NA,319,NA,NA,NA,ESPN,0523,DST,-16009,Packers D/ST,1,NA,NA,NA,NA,NA
KCC,1,NA,2,63,0,NA,0,391,NA,NA,NA,391,NA,NA,NA,ESPN,0512,DST,-16012,Chiefs D/ST,1,NA,NA,NA,NA,NA
CHI,1,NA,2,61,1,NA,0,367,NA,NA,NA,367,NA,NA,NA,ESPN,0521,DST,-16003,Bears D/ST,1,NA,NA,NA,NA,NA
LAR,1,NA,2,59,1,NA,0,316,NA,NA,NA,316,NA,NA,NA,ESPN,0528,DST,-16014,Rams D/ST,1,NA,NA,NA,NA,NA
JAC,1,NA,3,59,0,NA,0,318,NA,NA,NA,318,NA,NA,NA,ESPN,0509,DST,-16030,Jaguars D/ST,1,NA,NA,NA,NA,NA
SF,1,NA,2,60,0,NA,0,322,NA,NA,NA,322,NA,NA,NA,ESPN,0530,DST,-16025,49ers D/ST,1,NA,NA,NA,NA,NA
DAL,0,NA,3,61,0,NA,0,355,NA,NA,NA,355,NA,NA,NA,ESPN,0516,DST,-16006,Cowboys D/ST,1,NA,NA,NA,NA,NA
TEN,1,NA,2,60,0,NA,0,387,NA,NA,NA,387,NA,NA,NA,ESPN,0508,DST,-16010,Titans D/ST,1,NA,NA,NA,NA,NA
ATL,1,NA,2,61,1,NA,0,365,NA,NA,NA,365,NA,NA,NA,ESPN,0526,DST,-16001,Falcons D/ST,1,NA,NA,NA,NA,NA
CLE,1,NA,3,61,0,NA,0,322,NA,NA,NA,322,NA,NA,NA,ESPN,0507,DST,-16005,Browns D/ST,1,NA,NA,NA,NA,NA
NO,1,NA,2,59,0,NA,0,339,NA,NA,NA,339,NA,NA,NA,ESPN,0529,DST,-16018,Saints D/ST,1,NA,NA,NA,NA,NA
CIN,1,NA,3,65,0,NA,0,442,NA,NA,NA,442,NA,NA,NA,ESPN,0506,DST,-16004,Bengals D/ST,0,NA,NA,NA,NA,NA
LV,1,NA,3,61,0,NA,0,270,NA,NA,NA,270,NA,NA,NA,ESPN,0513,DST,-16013,Raiders D/ST,1,NA,NA,NA,NA,NA
