player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Treylon Burks,WR,WAS,NA,1.2,1.2,18.2,NA,NA,0.1,0.1,0.6,NA,0,0,2.35,NA,16803,FleaFlicker,15752,2,DENSun 8:20 PM,NA,NA,0.1,18.7,8%,NA
Allen Lazard,WR,NYJ,NA,1.2,1.2,14.9,NA,NA,0.1,0,0,NA,0,0,2.33,NA,14059,FleaFlicker,13632,9,ATLSun 1:00 PM,NA,NA,0.1,14.9,8%,NA
Xavier Hutchinson,WR,HOU,NA,1.3,1.3,15.3,NA,NA,0.1,0.1,0.7,NA,0,0,2.32,NA,17740,FleaFlicker,16201,6,@INDSun 1:00 PM,NA,NA,0.1,16,17%,NA
Demarcus Robinson,WR,SF,NA,1.1,1.1,16.6,NA,NA,0.1,0,0.1,NA,0,0,2.27,NA,12106,FleaFlicker,12785,4,@CLESun 1:00 PM,NA,NA,0.1,16.7,10%,NA
Tyquan Thornton,WR,KC,NA,1,1,15.6,NA,NA,0.1,0,0.1,NA,0,0,2.27,NA,16835,FleaFlicker,15787,0,@DALL 28-31,2.27,NA,0.1,15.7,23%,NA
Ryan Flournoy,WR,DAL,NA,1.4,1.4,15.2,NA,NA,0.1,0,0,NA,0,0,2.22,NA,18536,FleaFlicker,16778,0,KCW 31-28,2.22,NA,0.1,15.2,8%,NA
Dont'e Thornton,WR,LV,NA,1.3,1.3,16.8,NA,NA,0.1,0,0.1,NA,0,0,2.08,NA,19354,FleaFlicker,17087,8,@LACSun 4:25 PM,NA,NA,0.1,16.8,22%,NA
Jaylin Lane,WR,WAS,NA,1.3,1.3,16.8,NA,NA,0.1,0,0.2,NA,0,0.1,2.06,NA,19363,FleaFlicker,17184,2,DENSun 8:20 PM,NA,NA,0.1,17,18%,NA
Jaylin Noel,WR,HOU,NA,1.3,1.3,14.4,NA,NA,0.1,0.1,0.7,NA,0,0,2.03,NA,19286,FleaFlicker,17080,6,@INDSun 1:00 PM,NA,NA,0.1,15.1,27%,NA
Isaiah Williams,WR,NYJ,NA,1.1,1.1,13.5,NA,NA,0.1,0.1,1,NA,0,0,1.91,NA,18910,FleaFlicker,16630,9,ATLSun 1:00 PM,NA,NA,0.1,14.5,4%,NA
Tre' Harris,WR,LAC,NA,1.2,1.2,12.8,NA,NA,0.1,0.1,0.5,NA,0,0,1.85,NA,19298,FleaFlicker,17072,2,LVSun 4:25 PM,NA,NA,0.1,13.3,32%,NA
Olamide Zaccheaus,WR,CHI,NA,1.3,1.3,12.9,NA,NA,0.1,0.1,1,NA,0,0,1.81,NA,15107,FleaFlicker,14592,5,@PHIFri 3:00 PM,NA,NA,0.1,13.9,15%,NA
IRDNoah Brown,WR,WAS,NA,1,1,14.4,NA,NA,0.1,0,0,NA,0,0,1.8,NA,13120,FleaFlicker,13172,2,DENSun 8:20 PM,NA,NA,0.1,14.4,7%,NA
KhaDarel Hodge,WR,ATL,NA,0.8,0.8,11.5,NA,NA,0.1,0,0,NA,0,0,1.55,NA,14600,FleaFlicker,13963,5,@NYJSun 1:00 PM,NA,NA,0.1,11.6,1%,NA
Devontez Walker,WR,BAL,NA,0.6,0.6,9.3,NA,NA,0.1,0,0.2,NA,0,0,1.55,NA,18473,FleaFlicker,16621,7,CINL 14-32,1.55,NA,0.1,9.4,7%,NA
Malachi Corley,WR,CLE,NA,0.8,0.8,8.7,NA,NA,0,0.4,2.8,NA,0,0,1.49,NA,18388,FleaFlicker,16636,9,SFSun 1:00 PM,NA,NA,0.1,11.5,6%,NA
Xavier Restrepo,WR,TEN,NA,0.8,0.8,10.5,NA,NA,0.1,0,0.1,NA,0,0,1.48,NA,19752,FleaFlicker,17077,0,JACSun 1:00 PM,NA,NA,0.1,10.6,10%,NA
Brandin Cooks,WR,BUF,NA,0.9,0.9,10.6,NA,NA,0.1,0,0,NA,0,0,1.46,NA,10242,FleaFlicker,11674,7,@PITSun 4:25 PM,NA,NA,0.1,10.6,15%,NA
Kyle Williams,WR,NE,NA,0.7,0.7,10.3,NA,NA,0.1,0,0.1,NA,0,0,1.43,NA,19273,FleaFlicker,17134,4,NYGMon 8:15 PM,NA,NA,0.1,10.4,27%,NA
Malik Heath,WR,GB,NA,0.8,0.8,10.3,NA,NA,0.1,0,0,NA,0,0,1.37,NA,17992,FleaFlicker,16413,5,@DETW 31-24,1.37,NA,0.1,10.3,1%,NA
Keon Coleman,WR,BUF,NA,0.7,0.7,9.9,NA,NA,0.1,0,0,NA,0,0,1.35,NA,18392,FleaFlicker,16617,7,@PITSun 4:25 PM,NA,NA,0.1,9.9,66%,NA
Jaxon Smith-Njigba,WR,SEA,NA,NA,7.09,108.39,NA,NA,0.63,NA,1.87,NA,0.01,0.04,21.88,NA,2570341,NFL,16185,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,NA,7.04,96.85,NA,NA,0.47,NA,4.76,NA,0.03,0.03,20.14,NA,2570026,NFL,16211,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,7.1,88.42,NA,NA,0.66,NA,1.64,NA,0.01,0.03,20.07,NA,2565941,NFL,15281,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,NA,6.75,79.72,NA,NA,0.73,NA,0.96,NA,0.01,0.03,19.2,NA,2566073,NFL,15287,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,6.41,84.9,NA,NA,0.52,NA,2.51,NA,0.02,0.03,18.33,NA,2563848,NFL,14832,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,NA,NA,6.3,76.93,NA,NA,0.69,NA,1.01,NA,0.01,0.04,18.21,NA,2569921,NFL,16194,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,NA,NA,5.46,83.31,NA,NA,0.56,NA,0.53,NA,NA,0.03,17.14,NA,2568159,NFL,15762,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,NA,NA,4.33,69.03,NA,NA,0.8,NA,NA,NA,NA,0.03,15.97,NA,2543495,NFL,11675,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,NA,5.07,74.61,NA,NA,0.57,NA,0.42,NA,NA,0.03,15.93,NA,2566127,NFL,15290,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,NA,6.13,73.93,NA,NA,0.4,NA,0.36,NA,NA,0.03,15.9,NA,2567973,NFL,15754,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,NA,4.97,74.5,NA,NA,0.48,NA,3.07,NA,0.02,0.03,15.67,NA,2569573,NFL,16190,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,NA,4.82,72.52,NA,NA,0.56,NA,0.14,NA,NA,0.03,15.39,NA,2562238,NFL,14104,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,NA,5.11,72.62,NA,NA,0.51,NA,0.14,NA,NA,0.03,15.39,NA,2566409,NFL,15282,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,NA,NA,5.05,71.22,NA,NA,0.43,NA,0.45,NA,NA,0.02,14.76,NA,2572477,NFL,16627,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,NA,NA,4.49,68.84,NA,NA,0.48,NA,0.97,NA,0.01,0.04,14.33,NA,2574585,NFL,17081,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,NA,4.65,66.65,NA,NA,0.45,NA,0.24,NA,NA,0.03,13.98,NA,2566292,NFL,15284,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,NA,NA,4.74,65.54,NA,NA,0.37,NA,0.73,NA,0.01,0.03,13.59,NA,2573992,NFL,17071,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,NA,NA,5.02,65.95,NA,NA,0.33,NA,0.2,NA,NA,0.02,13.58,NA,2570224,NFL,16206,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,NA,NA,4.9,61.19,NA,NA,0.4,NA,0.28,NA,NA,0.03,13.39,NA,2552608,NFL,12186,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,NA,NA,5.1,54.76,NA,NA,0.38,NA,1.07,NA,0.01,0.04,12.94,NA,2568012,NFL,15757,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,NA,NA,4.8,55.91,NA,NA,0.41,NA,0.37,NA,NA,0.03,12.83,NA,2567334,NFL,15761,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,NA,NA,4.75,56.21,NA,NA,0.37,NA,0.27,NA,NA,0.03,12.56,NA,2564136,NFL,14842,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,NA,3.86,59.87,NA,NA,0.45,NA,NA,NA,NA,0.02,12.51,NA,2560888,NFL,13630,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel Sr.,WR,WAS,NA,NA,4.23,49.42,NA,NA,0.39,NA,6.17,NA,0.07,0.03,12.49,NA,2562721,NFL,14136,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,NA,4.12,61.04,NA,NA,0.36,NA,0.19,NA,NA,0.02,12.36,NA,2564556,NFL,14836,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,NA,NA,3.79,61.31,NA,NA,0.41,NA,NA,NA,NA,0.02,12.34,NA,2572411,NFL,16614,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAX,NA,NA,3.94,60.21,NA,NA,0.4,NA,0.16,NA,NA,0.02,12.34,NA,2572162,NFL,16618,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,NA,NA,4.09,54.71,NA,NA,0.45,NA,0.79,NA,0.01,0.06,12.28,NA,2570275,NFL,16188,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,NA,NA,3.55,57.49,NA,NA,0.49,NA,0.23,NA,NA,0.02,12.22,NA,2562685,NFL,14102,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,NA,NA,3.77,55.24,NA,NA,0.48,NA,0.23,NA,NA,0.02,12.16,NA,2562489,NFL,14109,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,NA,3.49,55,NA,NA,0.44,NA,1.81,NA,0.02,0.03,11.87,NA,2567565,NFL,15756,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,NA,NA,3.76,56.19,NA,NA,0.38,NA,0.12,NA,NA,0.03,11.61,NA,2563707,NFL,14974,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,NA,NA,4.02,47.26,NA,NA,0.46,NA,0.11,NA,NA,0.04,11.44,NA,2540154,NFL,11222,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,NA,NA,3.59,44.61,NA,NA,0.36,NA,6.75,NA,0.05,0.02,11.15,NA,2572186,NFL,16620,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,NA,NA,3.58,50.92,NA,NA,0.39,NA,0.23,NA,NA,0.03,10.98,NA,2565114,NFL,14860,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,NA,NA,3.1,52.7,NA,NA,0.41,NA,0.73,NA,NA,0.03,10.84,NA,2571907,NFL,16616,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,NA,NA,3.03,61.28,NA,NA,0.27,NA,0.12,NA,NA,0.02,10.75,NA,2567715,NFL,15768,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAX,NA,NA,3.71,49.97,NA,NA,0.31,NA,1.44,NA,0.01,0.02,10.73,NA,2562492,NFL,14127,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,NA,NA,3.41,45.78,NA,NA,0.34,NA,3.29,NA,0.02,0.02,10.44,NA,2570059,NFL,16287,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,NA,NA,3.31,48.08,NA,NA,0.38,NA,0.23,NA,NA,0.03,10.36,NA,2567586,NFL,15779,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,NA,NA,2.82,53.29,NA,NA,0.36,NA,0.66,NA,NA,0.01,10.36,NA,2567637,NFL,15789,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,NA,NA,3.44,42.19,NA,NA,0.44,NA,0.6,NA,NA,0.02,10.32,NA,2571997,NFL,16619,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,NA,NA,3.18,48.13,NA,NA,0.3,NA,1.18,NA,0.01,0.02,9.93,NA,2572507,NFL,16622,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,NA,NA,3.21,40.65,NA,NA,0.4,NA,0.1,NA,NA,0.02,9.65,NA,2574170,NFL,17083,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,NA,NA,2.86,46.72,NA,NA,0.34,NA,0.28,NA,NA,0.01,9.58,NA,2570092,NFL,16193,NA,NA,NA,NA,NA,NA,NA,NA
John Metchie III,WR,NYJ,NA,NA,3.4,37.36,NA,NA,0.36,NA,0.94,NA,0.01,0.02,9.41,NA,2567682,NFL,15759,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,NA,NA,3.54,39.79,NA,NA,0.29,NA,0.23,NA,NA,0.02,9.24,NA,2569861,NFL,16187,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAX,NA,NA,3.04,39.07,NA,NA,0.31,NA,2.54,NA,0.02,0.02,9.14,NA,2569888,NFL,16192,NA,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,NA,NA,3.41,37.12,NA,NA,0.27,NA,2.48,NA,0.02,0.02,9.07,NA,2574147,NFL,17171,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,NA,NA,3.01,28.48,NA,NA,0.25,NA,7.81,NA,0.06,0.04,8.78,NA,2572255,NFL,16684,NA,NA,NA,NA,NA,NA,NA,0.06
DJ Moore,WR,CHI,NA,NA,2.77,37.71,NA,NA,0.23,NA,5.16,NA,0.05,0.02,8.7,NA,2560813,NFL,13635,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,NA,NA,3.01,40.51,NA,NA,0.26,NA,0.12,NA,NA,0.02,8.59,NA,2557898,NFL,13164,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,NA,NA,2.93,37.76,NA,NA,0.31,NA,0.51,NA,NA,0.02,8.58,NA,2569657,NFL,16207,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,NA,NA,2.66,36.36,NA,NA,0.33,NA,0.73,NA,0.01,0.02,8.37,NA,2570074,NFL,16186,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,NA,NA,2.74,34.86,NA,NA,0.36,NA,0.13,NA,NA,0.02,8.36,NA,2574589,NFL,17079,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,LV,NA,NA,3.14,38.55,NA,NA,0.23,NA,NA,NA,NA,0.02,8.34,NA,2552430,NFL,12187,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,NA,NA,2.78,38.93,NA,NA,0.26,NA,0.15,NA,NA,0.02,8.21,NA,2558262,NFL,13289,NA,NA,NA,NA,NA,NA,NA,NA
Cedric Tillman,WR,CLE,NA,NA,2.69,35.27,NA,NA,0.31,NA,0.22,NA,NA,0.01,8.08,NA,2569681,NFL,16191,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,NA,2.97,34,NA,NA,0.28,NA,0.51,NA,NA,0.02,8.06,NA,2572006,NFL,16788,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,SEA,NA,NA,2.35,36.31,NA,NA,0.23,NA,2.27,NA,0.02,0.04,8.05,NA,2569110,NFL,16080,NA,NA,NA,NA,NA,NA,NA,0.07
Darius Slayton,WR,NYG,NA,NA,2.63,41.8,NA,NA,0.19,NA,0.13,NA,NA,0.01,7.94,NA,2562736,NFL,14122,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,NA,NA,2.15,35.02,NA,NA,0.38,NA,NA,NA,NA,0.01,7.91,NA,2565836,NFL,15293,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Hodgins,WR,NYG,NA,NA,2.79,32.88,NA,NA,0.3,NA,NA,NA,NA,NA,7.88,NA,2563611,NFL,14849,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,NA,NA,2.76,39.87,NA,NA,0.18,NA,0.37,NA,NA,0.02,7.82,NA,2563896,NFL,14833,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,NYJ,NA,NA,2.34,36.13,NA,NA,0.25,NA,1.33,NA,0.01,0.02,7.61,NA,2572129,NFL,16626,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,NA,NA,2.51,34.2,NA,NA,0.24,NA,0.21,NA,NA,0.02,7.35,NA,2574142,NFL,17073,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,NA,NA,2.41,32.18,NA,NA,0.27,NA,0.53,NA,NA,0.01,7.28,NA,2568132,NFL,15777,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,NA,NA,2.73,32.62,NA,NA,0.19,NA,1.15,NA,0.01,0.03,7.25,NA,2574004,NFL,17070,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,NA,NA,2.56,35.2,NA,NA,0.2,NA,0.11,NA,NA,0.02,7.25,NA,2572920,NFL,16809,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,NA,NA,2.66,30.32,NA,NA,0.23,NA,0.62,NA,NA,0.03,7.07,NA,2571889,NFL,16639,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,NA,NA,2.21,31.14,NA,NA,0.23,NA,0.55,NA,NA,0.01,6.74,NA,2569759,NFL,16195,NA,NA,NA,NA,NA,NA,NA,NA
Van Jefferson,WR,TEN,NA,NA,2.34,31.27,NA,NA,0.2,NA,0.1,NA,NA,0.01,6.66,NA,2564358,NFL,14858,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Tinsley,WR,CIN,NA,NA,2.24,26.97,NA,NA,0.28,NA,0.1,NA,NA,0.01,6.61,NA,2571650,NFL,16403,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin Jr.,WR,TB,NA,NA,2.35,28.66,NA,NA,0.2,NA,NA,NA,NA,0.02,6.38,NA,2558105,NFL,13163,NA,NA,NA,NA,NA,NA,NA,NA
David Sills,WR,ATL,NA,NA,2.18,25.47,NA,NA,0.26,NA,0.06,NA,NA,NA,6.29,NA,2562732,NFL,14110,NA,NA,NA,NA,NA,NA,NA,NA
Pat Bryant,WR,DEN,NA,NA,1.96,28.3,NA,NA,0.19,NA,0.04,NA,NA,0.01,5.91,NA,2574086,NFL,17082,NA,NA,NA,NA,NA,NA,NA,NA
Mason Tipton,WR,NO,NA,NA,2.3,23.7,NA,NA,0.18,NA,NA,NA,NA,NA,5.75,NA,2573403,NFL,16858,NA,NA,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,KC,NA,NA,1.96,24.38,NA,NA,0.22,NA,0.13,NA,NA,0.01,5.71,NA,2562379,NFL,14105,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,NA,NA,1.93,26.06,NA,NA,0.19,NA,0.19,NA,NA,0.02,5.66,NA,2560781,NFL,13633,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,NA,NA,2.02,21.04,NA,NA,0.19,NA,1.47,NA,0.02,0.01,5.51,NA,2562645,NFL,14108,NA,NA,NA,NA,NA,NA,NA,NA
Gabe Davis,WR,BUF,NA,NA,1.59,25.72,NA,NA,0.22,NA,NA,NA,NA,0.01,5.46,NA,2563602,NFL,14845,NA,NA,NA,NA,NA,NA,NA,NA
Tyrell Shavers,WR,BUF,NA,NA,1.65,24.82,NA,NA,0.19,NA,NA,NA,NA,0.01,5.25,NA,2571425,NFL,16451,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,NA,NA,1.74,26.62,NA,NA,0.14,NA,NA,NA,NA,0.01,5.22,NA,2566502,NFL,15319,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,NA,NA,1.61,23.97,NA,NA,0.2,NA,0.11,NA,NA,0.01,5.2,NA,2567925,NFL,15786,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,NA,NA,1.66,20.5,NA,NA,0.22,NA,0.21,NA,NA,0.01,5.03,NA,2565477,NFL,15109,NA,NA,NA,NA,NA,NA,NA,NA
DeMario Douglas,WR,NE,NA,NA,1.69,21.93,NA,NA,0.16,NA,1.31,NA,0.01,0.01,5.01,NA,2570119,NFL,16342,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims Jr.,WR,DEN,NA,NA,1.36,18.62,NA,NA,0.17,NA,2.31,NA,0.02,0.02,4.91,NA,2569717,NFL,16189,NA,NA,NA,NA,NA,NA,NA,0.06
JuJu Smith-Schuster,WR,KC,NA,NA,1.72,20.5,NA,NA,0.15,NA,0.24,NA,NA,0.01,4.67,NA,2558149,NFL,13156,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,NA,NA,1.52,18.73,NA,NA,0.2,NA,0.23,NA,NA,0.01,4.6,NA,2574120,NFL,17157,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,NA,NA,1.66,19.16,NA,NA,0.15,NA,0.31,NA,NA,0.01,4.49,NA,2555295,NFL,12658,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,NA,1.29,21.78,NA,NA,0.15,NA,0.64,NA,0.01,0.01,4.47,NA,2566196,NFL,15301,NA,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,PHI,NA,NA,1.4,20.31,NA,NA,0.16,NA,0.3,NA,NA,0.01,4.4,NA,2568321,NFL,15755,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,NA,NA,1.29,20.03,NA,NA,0.18,NA,NA,NA,NA,0.01,4.35,NA,2540165,NFL,11232,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,NA,NA,1.2,14.92,NA,NA,0.11,NA,4.85,NA,0.03,0.02,4.34,NA,2569509,NFL,15981,NA,NA,NA,NA,NA,NA,NA,0.06
Roman Wilson,WR,PIT,NA,NA,1.32,17.21,NA,NA,0.16,NA,0.13,NA,NA,0.01,3.99,NA,2572459,NFL,16629,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Drummond,WR,ATL,NA,NA,1.43,15.25,NA,NA,0.13,NA,NA,NA,NA,NA,3.74,NA,2571446,NFL,16429,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Flournoy,WR,DAL,NA,NA,1.28,13.99,NA,NA,0.12,NA,NA,NA,NA,0.01,3.38,NA,2571970,NFL,16778,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,NA,NA,1.15,14.81,NA,NA,0.09,NA,0.77,NA,0.01,0.01,3.29,NA,2572216,NFL,16633,NA,NA,NA,NA,NA,NA,NA,NA
Tre Harris,WR,LAC,NA,NA,1.3,12.88,NA,NA,0.1,NA,0.22,NA,NA,0.01,3.19,NA,2574515,NFL,17072,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,NA,NA,1.02,12.35,NA,NA,0.11,NA,1.24,NA,0.01,0.01,3.08,NA,2562808,NFL,14592,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Noel,WR,HOU,NA,NA,1.09,12.75,NA,NA,0.09,NA,0.91,NA,0.01,0.01,3.04,NA,2574176,NFL,17080,NA,NA,NA,NA,NA,NA,NA,NA
KhaDarel Hodge,WR,ATL,NA,NA,0.94,13.94,NA,NA,0.1,NA,0.06,NA,NA,0.01,2.92,NA,2561653,NFL,13963,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,NA,NA,0.9,13.03,NA,NA,0.1,NA,0.13,NA,NA,0.01,2.8,NA,2571859,NFL,16617,NA,NA,NA,NA,NA,NA,NA,NA
Treylon Burks,WR,WAS,NA,NA,0.9,12.54,NA,NA,0.08,NA,0.84,NA,0.01,NA,2.78,NA,2567643,NFL,15752,NA,NA,NA,NA,NA,NA,NA,NA
Dont'e Thornton Jr.,WR,LV,NA,NA,0.91,13.12,NA,NA,0.09,NA,0.24,NA,NA,0.01,2.77,NA,2574312,NFL,17087,NA,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,SF,NA,NA,0.81,12.8,NA,NA,0.1,NA,NA,NA,NA,NA,2.69,NA,2555478,NFL,12785,NA,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KC,NA,NA,0.75,12.84,NA,NA,0.1,NA,0.28,NA,NA,NA,2.66,NA,2567958,NFL,15787,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Williams,WR,NYJ,NA,NA,0.88,9.45,NA,NA,0.09,NA,2.27,NA,0.01,NA,2.65,NA,2573154,NFL,16630,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,NA,NA,0.92,11.62,NA,NA,0.09,NA,0.12,NA,NA,NA,2.63,NA,2569825,NFL,16201,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,WAS,NA,NA,0.86,12.37,NA,NA,0.08,NA,NA,NA,NA,NA,2.58,NA,2558091,NFL,13172,NA,NA,NA,NA,NA,NA,NA,NA
Arian Smith,WR,NYJ,NA,NA,0.89,9.76,NA,NA,0.09,NA,1.14,NA,0.01,NA,2.58,NA,2574450,NFL,17175,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,NA,NA,0.8,10.88,NA,NA,0.11,NA,NA,NA,NA,NA,2.55,NA,2560787,NFL,13632,NA,NA,NA,NA,NA,NA,NA,NA
Jamari Thrash,WR,CLE,NA,NA,0.98,9.85,NA,NA,0.07,NA,0.61,NA,NA,NA,2.45,NA,2571955,NFL,16624,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,NA,NA,0.76,11.79,NA,NA,0.07,NA,0.58,NA,NA,NA,2.42,NA,2574663,NFL,17076,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Horn Jr.,WR,CAR,NA,NA,0.82,9.57,NA,NA,0.06,NA,2.25,NA,0.01,NA,2.42,NA,2573985,NFL,17234,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Restrepo,WR,TEN,NA,NA,0.81,10.46,NA,NA,0.07,NA,0.1,NA,NA,0.01,2.27,NA,2574160,NFL,17077,NA,NA,NA,NA,NA,NA,NA,NA
Devontez Walker,WR,BAL,NA,NA,0.57,8.63,NA,NA,0.09,NA,0.32,NA,NA,NA,2.01,NA,2571844,NFL,16621,NA,NA,NA,NA,NA,NA,NA,NA
