player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jaxon Smith-Njigba,WR,SEA,1,8.4,6.2,91.6,91.6,14.8,0.6,0.3,2.2,7.3,0,0.1,12.4,12.4,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,7.7,5.1,87.7,87.7,17.2,0.6,0.1,0.2,2,0,0,11.6,11.6,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,8.9,4.9,63.8,63.8,13,0.9,0,0,0,0,0,11.4,11.4,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,9.6,7.3,89.6,89.6,12.3,0.5,0.6,5.8,9.7,0.1,0.1,11.4,11.4,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,9.1,4.7,78.9,78.9,16.8,0.7,0.2,0.8,4,0,0,11.2,11.2,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,1,10.2,6.8,82.4,82.4,12.1,0.5,0.2,0.7,3.5,0,0.1,10.8,10.8,2966320,CBS,15281,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,6.8,4.1,77.7,77.7,19,0.6,0.4,2.3,5.8,0,0,10.6,10.6,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,8.7,5.8,85.2,85.2,14.7,0.4,0.4,2.5,6.3,0,0,10.4,10.4,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,7.1,5.2,62.3,62.3,12,0.6,0.5,1.6,3.2,0.1,0,10.2,10.2,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,7,4.4,61.3,61.3,13.9,0.5,0,0,0,0,0,9,9,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,6.3,3.7,53.2,53.2,14.4,0.6,0,0,0,0,0,8.6,8.6,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.1,5.2,64.3,64.3,12.4,0.4,0.1,-0.1,-1,0,0,8.4,8.4,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,8.5,5.4,69.1,69.1,12.8,0.3,0.1,1.1,11,0.1,0.1,8.2,8.2,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,6.6,4.3,58.3,58.3,13.6,0.5,0,0,0,0,0,8,8,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.4,5.2,56.3,56.3,10.8,0.5,0,0,0,0,0,8,8,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,6.8,4.8,63.4,63.4,13.2,0.3,0.6,3.3,5.5,0,0.1,7.6,7.6,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,4.9,2.9,53.1,53.1,18.3,0.4,0.2,1,5,0,0,7.4,7.4,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,6,3.7,52.3,52.3,14.1,0.4,0,0,0,0,0,7.4,7.4,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,6.6,4.3,55,55,12.8,0.4,0,0,0,0,0,7.4,7.4,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.1,4.4,67.1,67.1,15.3,0.2,0.1,0.1,1,0,0,7.2,7.2,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,7.2,4.1,45.4,45.4,11.1,0.5,0.3,0.7,2.3,0,0.1,6.8,6.8,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,5.2,2.8,58.6,58.6,20.9,0.3,0,0,0,0,0,6.8,6.8,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,5.9,4,55.8,55.8,14,0.3,0.1,0.3,3,0,0,6.8,6.8,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,5.8,4.1,55.5,55.5,13.5,0.3,0,0,0,0,0,6.8,6.8,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,1,6.6,4.6,56.1,56.1,12.2,0.3,0.1,0.8,8,0,0,6.8,6.8,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,6.8,3.4,44.8,44.8,13.2,0.4,0,0.2,0,0,0,6.4,6.4,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,5.6,3.3,47.9,47.9,14.5,0.3,0.1,0.6,6,0.1,0,6.4,6.4,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,5.9,4.3,41.4,41.4,9.6,0.3,2.1,7.3,3.5,0.1,0,6.4,6.4,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,5.8,3.2,47.9,47.9,15,0.3,0.2,1.9,9.5,0.1,0,6.4,6.4,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,5.5,3.5,46,46,13.1,0.4,0,0,0,0,0,6.4,6.4,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,4.9,2.8,43.6,43.6,15.6,0.4,0.1,1.4,14,0,0,6.4,6.4,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,5.3,3.1,40.4,40.4,13,0.4,0.2,0.7,3.5,0,0.1,6.2,6.2,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,1,7.7,5,58.1,58.1,11.6,0.2,0,0.1,0,0,0,6.2,6.2,2965181,CBS,16206,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,4.4,2.7,35.2,35.2,13,0.5,0.6,1.7,2.8,0,0,6,6,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,1,5.2,3.1,40.5,40.5,13.1,0.3,0.1,0.4,4,0,0,5.8,5.8,3122375,CBS,16195,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,1,6.2,4,40.5,40.5,10.1,0.3,0,0,0,0,0,5.8,5.8,26708551,CBS,17083,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,5.9,3.9,40.8,40.8,10.5,0.3,0,0.1,0,0,0.1,5.6,5.6,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5.3,4,46.2,46.2,11.6,0.3,0.1,0.4,4,0,0.1,5.6,5.6,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,1,5.6,3.4,42.8,42.8,12.6,0.2,0.1,1,10,0,0,5.2,5.2,2818150,CBS,13163,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,6.8,3.4,49.3,49.3,14.5,0.2,0,0.1,0,0,0,5.2,5.2,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,5.5,3.5,40.4,40.4,11.5,0.2,0.9,3.7,4.1,0,0.1,5,5,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,6.6,3.3,43.5,43.5,13.2,0.2,0,0,0,0,0.1,5,5,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,5.1,3.1,36.8,36.8,11.9,0.2,1.4,9.9,7.1,0.1,0,4.8,4.8,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAC,1,5.2,3,37.5,37.5,12.5,0.3,0.4,0.3,0.8,0,0,4.8,4.8,3168820,CBS,16192,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,1,4.1,2.3,31.2,31.2,13.6,0.3,0.2,0.9,4.5,0,0,4.8,4.8,2966908,CBS,16207,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,5.1,3.2,39.9,39.9,12.5,0.3,0.5,2.7,5.4,0,0,4.8,4.8,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,1,4.8,3.1,37.5,37.5,12.1,0.3,0,0,0,0,0,4.8,4.8,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,1,4.6,2.9,36.5,36.5,12.6,0.3,0,0,0,0,0,4.8,4.8,3121113,CBS,16788,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,NYJ,1,6.8,3.4,40.9,40.9,12,0.2,0.1,0.1,1,0,0.2,4.8,4.8,26701928,CBS,16626,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,1,3.9,3.1,24.8,24.8,8,0.3,0.4,1.1,2.8,0.1,0,4.4,4.4,2223207,CBS,14108,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,3.8,2.3,37.2,37.2,16.2,0.2,0,0.1,0,0,0,4.2,4.2,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,4.3,2.9,34.9,34.9,12,0.2,0,0.1,0,0,0,4.2,4.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,1,3.5,2.5,32.9,32.9,13.2,0.2,0.7,4.6,6.6,0,0,4.2,4.2,28874927,CBS,17075,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,5.3,3.5,39,39,11.1,0.2,0,0.1,0,0,0,4.2,4.2,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA
