player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Amon-Ra St. Brown,WR,DET,1,8.4,6.5,86.9,86.9,13.4,0.7,0.3,1,3.3,0,0,12.2,12.2,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,1,9.4,5.8,72.9,72.9,12.6,0.6,0,0,0,0,0.1,10.4,10.4,3127902,CBS,15751,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,7.7,4.4,70.2,70.2,16,0.6,0.2,0.9,4.5,0,0.1,10.4,10.4,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,1,8.4,6.1,84.7,84.7,13.9,0.4,0.3,1.8,6,0,0.1,10.2,10.2,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,7.7,4.9,70.4,70.4,14.4,0.5,0.1,0.7,7,0,0.1,9.8,9.8,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,9.1,5,61.4,61.4,12.3,0.6,0,0,0,0,0,9.6,9.6,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,1,7.8,5.4,77.1,77.1,14.3,0.4,0.1,0.5,5,0,0,9.4,9.4,2962110,CBS,15284,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,1,7.3,4.5,64.2,64.2,14.3,0.6,0,0,0,0,0.1,9.4,9.4,2218461,CBS,13630,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.8,5.1,72.9,72.9,14.3,0.3,0.1,0.2,2,0,0,8.8,8.8,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.3,5.3,57.1,57.1,10.8,0.6,0,0,0,0,0,8.6,8.6,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,6.5,3.5,51,51,14.6,0.6,0.1,0.3,3,0,0,8.6,8.6,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,1,7.1,4.2,60.3,60.3,14.4,0.4,0,0,0,0,0,8.4,8.4,26701883,CBS,16614,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,4.5,2.7,52,52,19.3,0.4,0.4,2.8,7,0.1,0,8,8,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,5.6,3.3,56.3,56.3,17.1,0.5,0,0,0,0,0,8,8,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.4,5.4,63.1,63.1,11.7,0.3,0.1,-0.1,-1,0,0,7.8,7.8,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,1,6,3.6,51.6,51.6,14.3,0.5,0.2,0.7,3.5,0,0.1,7.8,7.8,3162609,CBS,16188,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,1,7.8,5.1,64.8,64.8,12.7,0.3,0,0,0,0,0,7.8,7.8,3163962,CBS,16627,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,1,7.5,4.7,56.8,56.8,12.1,0.5,0.1,0.1,1,0,0.1,7.8,7.8,3123864,CBS,15753,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,6.5,4.7,61.4,61.4,13.1,0.3,0.5,2.6,5.2,0,0.1,7.6,7.6,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,1,7.6,5,58.6,58.6,11.7,0.4,0,0.1,0,0,0,7.4,7.4,1737096,CBS,11222,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,6.8,4.2,54.2,54.2,12.9,0.4,0,0,0,0,0,7.4,7.4,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,5.8,4,51.2,51.2,12.8,0.3,1,5.5,5.5,0.1,0.1,7.2,7.2,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,6,4.7,55.8,55.8,11.9,0.3,0,0,0,0,0,6.8,6.8,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,6.5,5,54.7,54.7,10.9,0.3,0.1,0.2,2,0,0,6.8,6.8,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,7.2,4.1,43.2,43.2,10.5,0.5,0.3,0.8,2.7,0,0.1,6.8,6.8,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,6.8,4.1,58.3,58.3,14.2,0.3,0,0.2,0,0,0,6.8,6.8,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,1,5,3.3,47.9,47.9,14.5,0.4,0.2,2,10,0,0,6.4,6.4,3162290,CBS,16186,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,5.2,3.4,43.6,43.6,12.8,0.4,0,0,0,0,0,6.4,6.4,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5.4,4.3,47.3,47.3,11,0.4,0.1,0.5,5,0,0,6.4,6.4,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel,WR,WAS,1,6.1,4.4,44.6,44.6,10.1,0.3,2.2,9.8,4.5,0.1,0,6.4,6.4,2139735,CBS,14136,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,4.9,2.6,51.7,51.7,19.9,0.2,0,0,0,0,0,6.2,6.2,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,7.8,5.5,58.7,58.7,10.7,0.2,0.2,1.4,7,0,0,6.2,6.2,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,1,5.6,4,40.8,40.8,10.2,0.4,0,0.2,0,0,0.1,6.2,6.2,3162970,CBS,16187,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Reed,WR,GB,1,4.2,2.9,39.4,39.4,13.6,0.4,0.8,7.4,9.3,0.1,0,6,6,2967762,CBS,16184,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,5.8,3.2,47.7,47.7,14.9,0.2,0.3,1.9,6.3,0.1,0,5.8,5.8,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,5,3.5,44.5,44.5,12.7,0.3,0.6,3,5,0,0,5.8,5.8,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,5.2,3.1,43.7,43.7,14.1,0.3,0.2,0.9,4.5,0,0,5.8,5.8,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,5.3,3.2,51.2,51.2,16,0.1,0,0.2,0,0,0.1,5.4,5.4,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,1,4.4,3.2,48.9,48.9,15.3,0.2,0,0.2,0,0,0,5.2,5.2,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,3.5,2.1,41,41,19.5,0.2,0.2,1,5,0,0,5.2,5.2,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,1,6.7,3.4,45.8,45.8,13.5,0.2,0,0,0,0,0,5.2,5.2,2741201,CBS,14833,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin,WR,TB,1,6.3,3.9,42.2,42.2,10.8,0.2,0.1,1.1,11,0,0,5.2,5.2,2818150,CBS,13163,NA,NA,NA,NA,NA,NA,NA,NA
Josh Palmer,WR,BUF,1,3.9,2.5,41.4,41.4,16.6,0.2,0,0.1,0,0,0,5.2,5.2,2867325,CBS,15319,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAC,1,5.6,3.3,40.4,40.4,12.2,0.2,0.4,0.8,2,0,0,5.2,5.2,3168820,CBS,16192,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,1,5.7,3.5,44.8,44.8,12.8,0.2,0,0.1,0,0,0.1,5,5,2180820,CBS,13633,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,1,4.9,3.2,36.1,36.1,11.3,0.3,0,0.1,0,0,0.1,4.6,4.6,26717289,CBS,16617,NA,NA,NA,NA,NA,NA,NA,NA
