team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,curr_site_pts,idp_solo,pct_owned,return_tds
DET,1,NA,3,59,1,NA,0,327,NA,NA,NA,327,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA,NA
NE,1,NA,2,62,0,NA,0,364,NA,NA,NA,364,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA,NA
IND,1,NA,2,63,0,NA,0,344,NA,NA,NA,344,NA,NA,NA,ESPN,0502,DST,-16011,Colts D/ST,1,NA,NA,NA,NA,NA,NA
BUF,1,NA,2,64,1,NA,0,379,NA,NA,NA,379,NA,NA,NA,ESPN,0501,DST,-16002,Bills D/ST,1,NA,NA,NA,NA,NA,NA
NYG,1,NA,2,62,0,NA,0,415,NA,NA,NA,415,NA,NA,NA,ESPN,0517,DST,-16019,Giants D/ST,1,NA,NA,NA,NA,NA,NA
ARI,1,NA,2,63,0,NA,0,358,NA,NA,NA,358,NA,NA,NA,ESPN,0519,DST,-16022,Cardinals D/ST,1,NA,NA,NA,NA,NA,NA
GB,1,NA,2,62,0,NA,0,289,NA,NA,NA,289,NA,NA,NA,ESPN,0523,DST,-16009,Packers D/ST,1,NA,NA,NA,NA,NA,NA
KCC,1,NA,2,61,1,NA,0,356,NA,NA,NA,356,NA,NA,NA,ESPN,0512,DST,-16012,Chiefs D/ST,1,NA,NA,NA,NA,NA,NA
CHI,1,NA,2,65,1,NA,0,340,NA,NA,NA,340,NA,NA,NA,ESPN,0521,DST,-16003,Bears D/ST,1,NA,NA,NA,NA,NA,NA
LAR,1,NA,3,62,1,NA,0,291,NA,NA,NA,291,NA,NA,NA,ESPN,0528,DST,-16014,Rams D/ST,1,NA,NA,NA,NA,NA,NA
JAC,1,NA,3,58,0,NA,0,320,NA,NA,NA,320,NA,NA,NA,ESPN,0509,DST,-16030,Jaguars D/ST,1,NA,NA,NA,NA,NA,NA
SF,1,NA,2,62,0,NA,0,338,NA,NA,NA,338,NA,NA,NA,ESPN,0530,DST,-16025,49ers D/ST,1,NA,NA,NA,NA,NA,NA
LAC,1,NA,3,61,0,NA,0,320,NA,NA,NA,320,NA,NA,NA,ESPN,0514,DST,-16024,Chargers D/ST,1,NA,NA,NA,NA,NA,NA
DAL,1,NA,3,61,0,NA,0,354,NA,NA,NA,354,NA,NA,NA,ESPN,0516,DST,-16006,Cowboys D/ST,1,NA,NA,NA,NA,NA,NA
MIA,1,NA,3,64,0,NA,0,396,NA,NA,NA,396,NA,NA,NA,ESPN,0503,DST,-16015,Dolphins D/ST,1,NA,NA,NA,NA,NA,NA
TEN,1,NA,2,60,0,NA,0,385,NA,NA,NA,385,NA,NA,NA,ESPN,0508,DST,-16010,Titans D/ST,0,NA,NA,NA,NA,NA,NA
ATL,1,NA,3,62,0,NA,0,353,NA,NA,NA,353,NA,NA,NA,ESPN,0526,DST,-16001,Falcons D/ST,1,NA,NA,NA,NA,NA,NA
WAS,1,NA,2,61,0,NA,0,410,NA,NA,NA,410,NA,NA,NA,ESPN,0520,DST,-16028,Commanders D/ST,1,NA,NA,NA,NA,NA,NA
NO,1,NA,2,61,0,NA,0,365,NA,NA,NA,365,NA,NA,NA,ESPN,0529,DST,-16018,Saints D/ST,1,NA,NA,NA,NA,NA,NA
CIN,1,NA,2,65,0,NA,0,401,NA,NA,NA,401,NA,NA,NA,ESPN,0506,DST,-16004,Bengals D/ST,0,NA,NA,NA,NA,NA,NA
LV,1,NA,2,62,0,NA,0,324,NA,NA,NA,324,NA,NA,NA,ESPN,0513,DST,-16013,Raiders D/ST,1,NA,NA,NA,NA,NA,NA
CAR,1,NA,2,61,0,NA,0,363,NA,NA,NA,363,NA,NA,NA,ESPN,0527,DST,-16029,Panthers D/ST,0,NA,NA,NA,NA,NA,NA
NA,1,0,3.7,NA,0.7,1.1,0.2,19.6,NA,NA,NA,320.2,NA,9.3,NA,FantasyPros,0522,DST,8100,Detroit Lions,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.6,NA,0.6,0.9,0.2,16.4,NA,NA,NA,280.6,NA,8.4,NA,FantasyPros,0514,DST,8250,Los Angeles Chargers,NA,NA,NA,NA,NA,NA,NA
NA,1,0,3.1,NA,0.6,1,0.2,15,NA,NA,NA,291.1,NA,8.3,NA,FantasyPros,0528,DST,8280,Los Angeles Rams,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,3.5,NA,0.5,0.8,0.1,19.9,NA,NA,NA,305.2,NA,7.9,NA,FantasyPros,0511,DST,8090,Denver Broncos,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.6,NA,0.6,0.9,0.2,16.8,NA,NA,NA,281,NA,7.6,NA,FantasyPros,0523,DST,8110,Green Bay Packers,NA,NA,NA,NA,NA,NA,NA
NA,1,0,2.4,NA,0.5,0.8,0.2,19.9,NA,NA,NA,308.6,NA,7.3,NA,FantasyPros,0509,DST,8140,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA,NA
