player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Wan'Dale Robinson,WR,NYG,1,7.2,4.9,51.2,51.2,10.5,0.2,0.2,1.7,8.5,0,0,6.2,6.2,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,4.6,2.6,40.7,40.7,15.7,0.3,0.2,1,5,0,0,5.8,5.8,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,1,5.7,3.6,45.4,45.4,12.6,0.3,0,0,0,0,0,5.8,5.8,2139279,CBS,14109,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,4.8,3.7,43.6,43.6,11.8,0.3,0.1,0.6,6,0,0,5.8,5.8,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,5.5,4.3,47.7,47.7,11.1,0.3,0.1,0.3,3,0,0,5.8,5.8,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,6.1,4.3,49.7,49.7,11.6,0.3,0.9,3.8,4.2,0,0.1,5.6,5.6,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,1,4.4,3.2,52.9,52.9,16.5,0.1,0,0.2,0,0,0,5.6,5.6,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA
Marquise Brown,WR,KC,1,5.3,3.2,37.3,37.3,11.7,0.4,0,0.4,0,0,0,5.4,5.4,2804128,CBS,14105,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,3.2,2.3,39,39,17,0.4,0,0,0,0,0,5.4,5.4,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,4,2.2,41.3,41.3,18.8,0.2,0.3,1.3,4.3,0,0,5.2,5.2,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,1,6.2,3.6,39.8,39.8,11.1,0.4,0.2,1.4,7,0,0.1,5.2,5.2,26693436,CBS,16619,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,1,5.7,2.9,46.8,46.8,16.1,0.2,0.2,1.1,5.5,0,0,5.2,5.2,2186328,CBS,13629,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,5.8,3.1,47.1,47.1,15.2,0.2,0,0.1,0,0,0,5.2,5.2,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,1,4.6,3.2,48.9,48.9,15.3,0.2,0.7,4.3,6.1,0,0.1,5,5,28874927,CBS,17075,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,1,4.5,2.4,30.4,30.4,12.7,0.3,0,0.2,0,0,0,4.8,4.8,28900714,CBS,17073,NA,NA,NA,NA,NA,NA,NA
Garrett Wilson,WR,NYJ,1,4.5,2.8,34.7,34.7,12.4,0.3,0.1,0.1,1,0,0,4.8,4.8,3123864,CBS,15753,NA,NA,NA,NA,NA,NA,NA
