team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,draft_rank,idp_solo,pct_owned,return_tds,pos_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type,fumblesRecovered,opponentOffensiveRank
PHI,1.3,0,3.9,35.7,0.8,1.1,0.2,13.4,13.4,0,73,227,227,19.3,19.3,CBS,0518,DST,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.8,0,4,35.3,0.8,1.1,0.3,18.9,18.9,0,98,282,282,17,17,CBS,0516,DST,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,1,0,3,37.1,0.8,1.1,0.2,17.5,17.5,0,103,248,248,15.8,15.8,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.6,0,3,36.3,1.1,1.5,0.2,18.1,18.1,0,87,239,239,15.6,15.6,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,3.9,38.5,0.7,1,0.2,17.6,17.6,0,100,282,282,14.3,14.3,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.1,0,2.5,39.9,0.9,1.3,0.2,18.1,18.1,0,114,293,293,13.7,13.7,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.8,0,3.7,41.3,0.6,0.8,0.2,17.5,17.5,0,110,294,294,13.7,13.7,CBS,0512,DST,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1,0,2.9,38,0.8,1.1,0.2,14.4,14.4,0,107,266,266,13.7,13.7,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.9,0,2.8,40.3,0.7,0.9,0.2,19.8,19.8,0,116,296,296,13.2,13.2,CBS,0529,DST,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.9,0,2.4,41.1,0.7,0.9,0.2,16.1,16.1,0,117,276,276,12.8,12.8,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
