player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,pass_comp_pct,pct_owned,fumble_TD
Patrick Mahomes,QB,KC,1,34.5,23.8,285,285,2.2,0.4,110.4,5.2,29.8,5.7,0.3,0.1,27,27,2142052,CBS,13116,NA,NA,NA,NA,NA,NA
Daniel Jones,QB,IND,1,31.1,22.1,264,264,2.2,0.5,113.6,5.4,20.3,3.8,0.5,0.1,27,27,2179245,CBS,14059,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,1,30.4,19.8,234,234,2,0.7,100.8,7.1,38,5.4,0.7,0.2,26.4,26.4,2181054,CBS,13589,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,1,25.7,17.8,197,197,1.9,0.4,109.9,8.8,42.8,4.9,0.8,0.2,26,26,2240246,CBS,14783,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,1,34.5,23.1,249,249,2.1,0.6,101,5.4,26,4.8,0.4,0.1,24.6,24.6,3121193,CBS,16582,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,1,25.2,17.8,224,224,1.9,0.7,111.5,6.5,43.9,6.8,0.2,0.3,22.6,22.6,2181169,CBS,13593,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,1,31.1,21.1,251,251,1.8,0.7,102.2,3.2,20.1,6.3,0.1,0.1,21.8,21.8,2080032,CBS,13590,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,1,28.3,19.3,213,213,1.7,0.7,100,5.6,30.9,5.5,0.3,0.1,21.4,21.4,26695757,CBS,16580,NA,NA,NA,NA,NA,NA
Michael Penix Jr.,QB,ATL,1,32,22.1,250,250,1.8,0.6,103.1,2.8,8,2.9,0.2,0.2,20.4,20.4,2963496,CBS,16583,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,1,33.1,21,220,220,1.7,0.5,93.5,5.3,21.8,4.1,0.2,0.1,20.2,20.2,26695775,CBS,16579,NA,NA,NA,NA,NA,NA
