player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,pass_comp_pct,pct_owned,fumble_TD,rec,rec_tgt,rec_yds,rec_tds,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Jalen Hurts,QB,PHI,1,26.8,18.1,228,228,1.8,0.4,110,7.7,34.5,4.5,0.6,0.3,25,25,2240246,CBS,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,1,33.8,23.6,284,284,2,0.8,105.1,3.3,12.9,3.9,0.2,0.2,23.2,23.2,2961306,CBS,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,1,28.8,18,208,208,1.8,1,90.6,6.9,34.1,4.9,0.6,0.1,23.2,23.2,2181054,CBS,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,1,26.2,18.1,220,220,2,0.5,112.1,6.3,34.5,5.5,0.2,0.3,22.6,22.6,2181169,CBS,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Stroud,QB,HOU,1,32.9,22.3,251,251,1.9,0.5,103.3,3.1,15.4,5,0.1,0.1,21.8,21.8,3163079,CBS,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,1,30.8,20.8,257,257,1.8,0.8,101.8,4.5,26.1,5.8,0.1,0.1,21.6,21.6,2221960,CBS,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baker Mayfield,QB,TB,1,32.6,21.2,244,244,2,0.8,97.7,3.4,21,6.2,0.1,0.2,21.6,21.6,2080032,CBS,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Burrow,QB,CIN,1,36.9,26,257,257,2,0.7,100,2,7.7,3.9,0.1,0.1,21,21,2179798,CBS,14777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,1,32.4,22.9,270,270,2,0.5,109.9,1.4,2.9,2.1,0,0.1,20.8,20.8,2061053,CBS,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dak Prescott,QB,DAL,1,36.7,23.6,251,251,1.8,0.9,90.3,3.1,11.4,3.7,0.1,0.1,20.4,20.4,1824864,CBS,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drake Maye,QB,NE,1,29.3,20,235,235,1.5,0.6,100.9,5.6,24.6,4.4,0.2,0.2,19.6,19.6,26695757,CBS,16580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tua Tagovailoa,QB,MIA,1,29.9,20.7,231,231,2.1,1.1,100,1.6,4,2.5,0,0.1,19.2,19.2,2741209,CBS,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bo Nix,QB,DEN,1,35.2,22.1,215,215,1.8,0.8,87.4,4.6,18.2,4,0.2,0.1,19.2,19.2,3121193,CBS,16582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caleb Williams,QB,CHI,1,32.4,20.2,214,214,1.6,0.5,91.6,4.7,20.9,4.5,0.1,0.1,19,19,26695775,CBS,16579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaxson Dart,QB,NYG,1,30.8,18.9,199,199,1.4,0.6,87.2,5.9,31.2,5.3,0.3,0.1,18.8,18.8,26694019,CBS,17032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,ATL,1,32.7,21.5,250,250,1.7,0.7,97.1,1.2,2.7,2.3,0,0.1,18.6,18.6,1272574,CBS,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,1,29.9,20.1,248,248,1.7,0.8,100.5,3,14.4,4.8,0,0.1,18.4,18.4,2239997,CBS,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Shough,QB,NO,1,31.7,19.4,208,208,1.6,0.7,88,4.5,17.6,3.9,0.2,0.3,17.8,17.8,2964064,CBS,17039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
