player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,fg_pct,xp_pct,pct_owned
Mike Badgley,K,IND,1,2.2,2.5,0,0,0.5,0.5,0.8,0.9,0.7,0.8,0.2,0.2,3.2,3.6,9.8,9.8,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,ATL,1,2.2,2.8,0,0,0.6,0.6,0.8,1,0.6,0.8,0.3,0.3,3,3.1,9.6,9.6,2245258,CBS,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2.2,2.6,0,0,0.6,0.6,0.8,0.8,0.5,0.6,0.3,0.3,2.7,3,9.3,9.3,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.9,2.4,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,3,3,8.7,8.7,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.8,2.1,0,0,0.4,0.4,0.7,0.7,0.4,0.5,0.3,0.3,3.2,3.2,8.6,8.6,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,2,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,3.1,3.2,8.2,8.2,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2,2.2,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.4,0.4,2.1,2.2,8.1,8.1,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.9,2,0,0,0.4,0.4,0.7,0.7,0.5,0.5,0.3,0.3,2.4,2.4,8.1,8.1,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.7,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.5,2.6,7.6,7.6,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.8,2,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,2.1,2.1,7.5,7.5,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.7,1.9,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,2.4,2.5,7.5,7.5,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,1,1.6,1.9,0,0,0.4,0.4,0.5,0.6,0.5,0.6,0.2,0.2,2.6,2.8,7.4,7.4,3174704,CBS,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.8,2.3,0,0,0.6,0.6,0.5,0.6,0.4,0.6,0.3,0.3,2,2,7.4,7.4,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.7,2,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.2,2.4,7.3,7.3,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,2.2,2.2,7.3,7.3,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.7,2,0,0,0.4,0.5,0.5,0.6,0.4,0.5,0.3,0.3,2,2.1,7.1,7.1,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,1,1.6,1.8,0,0,0.4,0.4,0.6,0.6,0.6,0.6,0.1,0.1,2.2,2.2,7,7,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,1,1.6,1.8,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.2,0.2,2.1,2.3,6.9,6.9,3126649,CBS,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA
