player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned
Tyler Warren,TE,IND,1,6.5,4.6,63.3,63.3,13.8,0.6,0.1,10.6,10.6,3168800,CBS,17102,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucker Kraft,TE,GB,1,4.8,3.5,50.8,50.8,14.5,0.5,0,8,8,3133332,CBS,16222,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,1,5,3.8,54.1,54.1,14.2,0.4,0,7.4,7.4,2818265,CBS,13299,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Goedert,TE,PHI,1,4.9,3.7,37.7,37.7,10.2,0.6,0,6.6,6.6,2132551,CBS,13674,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,1,4.6,3.5,43.4,43.4,12.4,0.4,0,6.4,6.4,2982991,CBS,16213,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theo Johnson,TE,NYG,1,5.8,3.6,34.7,34.7,9.6,0.5,0,6,6,3162129,CBS,16649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,1,5.8,4.1,43.6,43.6,10.6,0.3,0,5.8,5.8,2964514,CBS,15329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,1,5.3,4,49.9,49.9,12.5,0.3,0,5.8,5.8,1725130,CBS,11244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,DEN,1,6.3,4.6,40.7,40.7,8.9,0.3,0.1,5.6,5.6,2079887,CBS,13189,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Ertz,TE,WAS,1,5.3,3.6,30.1,30.1,8.4,0.4,0,5.4,5.4,1685963,CBS,11247,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,1,5.4,4.4,34.7,34.7,7.9,0.4,0,5.4,5.4,2867159,CBS,15799,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,1,4.5,3,37,37,12.3,0.4,0,5.4,5.4,2079848,CBS,12676,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,1,3.6,2.8,30.8,30.8,11,0.4,0,5.4,5.4,2131121,CBS,13671,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,1,5.5,3.9,43.6,43.6,11.2,0.2,0,5.2,5.2,2815179,CBS,15802,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oronde Gadsden II,TE,LAC,1,5.2,3.7,46.9,46.9,12.7,0.2,0.1,5,5,26727374,CBS,17099,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harold Fannin Jr.,TE,CLE,1,6.1,4.4,43.5,43.5,9.9,0.2,0.1,5,5,28900882,CBS,17103,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,1,5.4,3.8,40.5,40.5,10.7,0.2,0.1,5,5,2186637,CBS,14861,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,CIN,1,4.4,3.7,34.3,34.3,9.3,0.3,0.1,4.6,4.6,2251095,CBS,14137,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,1,2.9,2.2,28.2,28.2,12.8,0.4,0,4.4,4.4,2961906,CBS,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Schultz,TE,HOU,1,5.3,3.8,36.4,36.4,9.6,0.2,0,4.2,4.2,2136748,CBS,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Taylor,TE,NYJ,1,5.3,3.7,36.6,36.6,9.9,0.2,0,4.2,4.2,28878064,CBS,17106,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,1,5.5,4.1,39.6,39.6,9.7,0.2,0,4.2,4.2,2251097,CBS,14138,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Bellinger,TE,NYG,1,2.5,2.2,33.7,33.7,15.3,0.2,0,4.2,4.2,2963615,CBS,15873,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Ogletree,TE,IND,1,2.9,1.5,21.8,21.8,14.5,0.3,0,3.8,3.8,26725942,CBS,15916,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foster Moreau,TE,NO,1,2.4,1.9,20.9,20.9,11,0.2,0,3.2,3.2,2180634,CBS,14239,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,1,2.8,2.1,23.2,23.2,11.1,0.2,0,3.2,3.2,2961270,CBS,15331,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,PIT,1,3.4,2.6,21.3,21.3,8.2,0.2,0,3.2,3.2,2081506,CBS,13193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Tonges,TE,SF,1,2.9,2.1,22.5,22.5,10.7,0.2,0,3.2,3.2,2870660,CBS,16036,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,1,1.3,1,7.5,7.5,7.5,0,0,2.8,2.8,2818935,CBS,13424,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Adkins,TE,DEN,1,1.7,1.2,10.1,10.1,8.4,0.3,0,2.8,2.8,2977285,CBS,16474,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnar Helm,TE,TEN,1,2.9,2.2,20.7,20.7,9.4,0.1,0,2.6,2.6,26696189,CBS,17105,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,1,4.1,2.9,27.8,27.8,9.6,0.1,0,2.6,2.6,2965208,CBS,15889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Tavion Sanders,TE,CAR,1,3.4,2.5,23,23,9.2,0.1,0,2.6,2.6,26731381,CBS,16643,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colston Loveland,TE,CHI,1,3.4,2.2,20.7,20.7,9.4,0.1,0,2.6,2.6,28874696,CBS,17104,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,1,2.5,1.7,18,18,10.6,0.2,0,2.2,2.2,2868619,CBS,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Oliver,TE,MIN,1,1.8,1.3,15.7,15.7,12.1,0.2,0,2.2,2.2,2184618,CBS,14209,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,1,2.7,2.1,17.4,17.4,8.3,0.2,0,2.2,2.2,2969027,CBS,15332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Hudson,TE,CIN,1,2.3,1.8,14.1,14.1,7.8,0.2,0,2.2,2.2,2926606,CBS,14370,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,TE,NYJ,1,1.8,1.4,12.7,12.7,9.1,0.1,0,1.6,1.6,2965446,CBS,15796,NA,NA,NA,NA,NA,NA,NA,NA,NA
