player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,rush_att,rush_yds,rush_tds,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned
Dalton Schultz,TE,HOU,NA,NA,3.4,34.7,NA,NA,0.2,0,4.8,NA,17349,FantasyPros,13772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ Barner,TE,SEA,NA,NA,2.8,29.2,NA,NA,0.3,0,4.8,NA,26335,FantasyPros,16723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,PIT,NA,NA,3.3,30.8,NA,NA,0.3,0,4.7,NA,16460,FantasyPros,13193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,CIN,NA,NA,3.5,33,NA,NA,0.2,0,4.5,NA,17527,FantasyPros,14137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,NA,NA,2.3,25.9,NA,NA,0.3,0,4.3,NA,23781,FantasyPros,15798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,DEN,NA,NA,3.6,31.2,NA,NA,0.2,0,4.1,NA,16411,FantasyPros,13189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chig Okonkwo,TE,TEN,NA,NA,3.4,33,NA,NA,0.1,0,4,NA,23982,FantasyPros,15889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,NA,NA,2.6,26.7,NA,NA,0.2,0,4,NA,20163,FantasyPros,15331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colston Loveland,TE,CHI,NA,NA,2.7,28.1,NA,NA,0.2,0,4,NA,26006,FantasyPros,17104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,NA,NA,2.3,23.2,NA,NA,0.2,0,3.4,NA,15623,FantasyPros,12678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Arroyo,TE,SEA,NA,NA,2,23.6,NA,NA,0.2,0,3.2,NA,23004,FantasyPros,17108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Tavion Sanders,TE,CAR,NA,NA,2.6,23.2,NA,NA,0.1,0,3.1,NA,24334,FantasyPros,16643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Long,TE,JAC,NA,NA,2,17.7,NA,NA,0.2,0,2.7,NA,22783,FantasyPros,15334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,NA,NA,1.6,17.8,NA,NA,0.1,0,2.6,NA,19229,FantasyPros,14867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnar Helm,TE,TEN,NA,NA,2.1,19.7,NA,NA,0.1,0,2.6,NA,27109,FantasyPros,17105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Mayer,TE,LV,NA,NA,1.9,18.3,NA,NA,0.1,0,2.5,NA,23056,FantasyPros,16212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,NA,NA,1.6,16.3,NA,NA,0.1,0,2.4,NA,18631,FantasyPros,14143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Wright,TE,DET,NA,NA,1.4,12.8,NA,NA,0.2,0,2.4,NA,23341,FantasyPros,15626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Washington,TE,PIT,NA,NA,1.4,14.9,NA,NA,0.1,0,2.3,NA,22967,FantasyPros,16216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Hooper,TE,NE,NA,NA,1.4,15.5,NA,NA,0.1,0,2.2,NA,15581,FantasyPros,12677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,NA,NA,0.8,6.2,NA,NA,0,0,2.1,NA,17115,FantasyPros,13424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Hudson,TE,CIN,NA,NA,1.8,14.2,NA,NA,0.1,0,2.1,NA,17826,FantasyPros,14370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Bellinger,TE,NYG,NA,NA,1.2,14.4,NA,NA,0.1,0,2.1,NA,24238,FantasyPros,15873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Conner,TE,MIA,NA,NA,1.6,15.1,NA,NA,0.1,0,2.1,NA,24216,FantasyPros,15991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnny Mundt,TE,JAC,NA,NA,1.5,13.6,NA,NA,0.1,0,2,NA,16743,FantasyPros,13940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Higgins,TE,ARI,NA,NA,1.3,13.4,NA,NA,0.1,0,2,NA,23119,FantasyPros,16333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Allen,TE,LAR,NA,NA,0.9,8.9,NA,NA,0.1,0,1.8,NA,23761,FantasyPros,16219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Tonges,TE,SF,NA,NA,1.2,12.1,NA,NA,0.1,0,1.7,NA,24778,FantasyPros,16036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Gray,TE,KC,NA,NA,1,10.1,NA,NA,0.1,0,1.6,NA,19539,FantasyPros,15337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Sample,TE,CIN,NA,NA,1.2,9.3,NA,NA,0.1,0,1.5,NA,18561,FantasyPros,14146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,NA,NA,1.3,10.5,NA,NA,0.1,0,1.5,NA,22795,FantasyPros,15332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrance Ferguson,TE,LAR,NA,NA,0.7,9.3,NA,NA,0.1,0,1.4,NA,23091,FantasyPros,17107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Musgrave,TE,GB,NA,NA,1,9.8,NA,NA,0.1,0,1.4,NA,25282,FantasyPros,16215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Ouzts,TE,SEA,NA,NA,0.6,7.7,NA,NA,0.1,0,1.4,NA,27473,FantasyPros,17215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John FitzPatrick,TE,GB,NA,NA,0.8,8.3,NA,NA,0.1,0,1.3,NA,24181,FantasyPros,15925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Briningstool,TE,KC,NA,NA,0.7,7.2,NA,NA,0.1,0,1.3,NA,22924,FantasyPros,17268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Ogletree,TE,IND,NA,NA,0.6,8.4,NA,NA,0.1,0,1.3,NA,24561,FantasyPros,15916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Schoonmaker,TE,DAL,NA,NA,0.8,7.1,NA,NA,0.1,0,1.2,NA,25267,FantasyPros,16221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Adkins,TE,DEN,NA,NA,0.8,7,NA,NA,0.1,0,1.2,NA,25881,FantasyPros,16474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dulcich,TE,MIA,NA,NA,0.8,8.5,NA,NA,0.1,0,1.2,NA,23153,FantasyPros,15797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Manhertz,TE,NYG,NA,NA,0.7,6.7,NA,NA,0.1,0,1.1,NA,14014,FantasyPros,12955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby Parkinson,TE,LAR,NA,NA,0.7,7,NA,NA,0.1,0,1.1,NA,19372,FantasyPros,14871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Kolar,TE,BAL,NA,NA,0.6,6.4,NA,NA,0.1,0,1.1,NA,22756,FantasyPros,15795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,NA,NA,0.6,6.2,NA,NA,0.1,0,1.1,NA,19423,FantasyPros,14870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Evans,TE,CAR,NA,NA,0.7,6.4,NA,NA,0.1,0,1,NA,27138,FantasyPros,17109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foster Moreau,TE,NO,NA,NA,0.7,7.4,NA,NA,0,0,1,NA,18397,FantasyPros,14239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Yurosek,TE,MIN,NA,NA,0.7,6.4,NA,NA,0,0,0.9,NA,27843,FantasyPros,17285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connor Heyward,TE,PIT,NA,NA,0.6,4.9,NA,NA,0.1,0,0.9,NA,24562,FantasyPros,15800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Bryant,TE,HOU,NA,NA,0.7,5.9,NA,NA,0.1,0,0.9,NA,19389,FantasyPros,14875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Dissly,TE,LAC,NA,NA,0.6,5.9,NA,NA,0,0,0.9,NA,18049,FantasyPros,13763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcedes Lewis,TE,DEN,NA,NA,0.6,5.8,NA,NA,0,0,0.8,NA,9413,FantasyPros,8269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jackson Hawes,TE,BUF,NA,NA,0.5,4.9,NA,NA,0.1,0,0.8,NA,27469,FantasyPros,17213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Conklin,TE,LAC,NA,NA,0.5,5.8,NA,NA,0,0,0.8,NA,17598,FantasyPros,13675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Stoll,TE,NO,NA,NA,0.5,4.3,NA,NA,0.1,0,0.8,NA,23193,FantasyPros,15541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mo Alie-Cox,TE,IND,NA,NA,0.5,5.4,NA,NA,0,0,0.7,NA,16579,FantasyPros,13246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Bates,TE,WAS,NA,NA,0.5,5.2,NA,NA,0,0,0.7,NA,22833,FantasyPros,15344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Farrell,TE,SF,NA,NA,0.4,4.1,NA,NA,0,0,0.6,NA,19501,FantasyPros,15335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Fidone II,TE,NYG,NA,NA,0.6,5.8,NA,NA,0,0,0.6,NA,23039,FantasyPros,17243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sims,TE,MIN,NA,NA,0.3,2.7,NA,NA,0.1,0,0.6,NA,25349,FantasyPros,16483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham Smythe,TE,CHI,NA,NA,0.3,3.2,NA,NA,0,0,0.5,NA,17508,FantasyPros,13676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Wiley,TE,KC,NA,NA,0.3,2.9,NA,NA,0,0,0.5,NA,26343,FantasyPros,16648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Sinnott,TE,WAS,NA,NA,0.4,4.1,NA,NA,0,0,0.5,NA,26310,FantasyPros,16644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Mallory,TE,IND,NA,NA,0.3,3.9,NA,NA,0,0,0.4,NA,23821,FantasyPros,16220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teagan Quitoriano,TE,ATL,NA,NA,0.3,3.8,NA,NA,0,0,0.4,NA,24182,FantasyPros,15905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlie Woerner,TE,ATL,NA,NA,0.4,3.1,NA,NA,0,0,0.4,NA,19665,FantasyPros,14984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevyn Spann-Ford,TE,DAL,NA,NA,0.3,2.9,NA,NA,0,0,0.4,NA,26003,FantasyPros,16647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gavin Bartholomew,TE,MIN,NA,NA,0.3,3.3,NA,NA,0,0,0.3,NA,26002,FantasyPros,17231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ian Thomas,TE,LV,NA,NA,0.3,2.6,NA,NA,0,0,0.3,NA,17387,FantasyPros,13678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carter Runyon,TE,LV,NA,NA,0.4,2.9,NA,NA,0,0,0.3,NA,27470,FantasyPros,17385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zaire Mitchell-Paden,TE,NO,NA,NA,0.3,2.7,NA,NA,0,0,0.3,NA,24853,FantasyPros,17375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Grandy,TE,CIN,NA,NA,0.3,2.6,NA,NA,0,0,0.3,NA,26429,FantasyPros,16979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Westover,TE,NE,NA,NA,0.3,2.1,NA,NA,0,0,0.2,NA,26436,FantasyPros,16839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Saubert,TE,SEA,NA,NA,0.1,1,NA,NA,0,0,0.2,NA,16706,FantasyPros,13315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quintin Morris,TE,JAC,NA,NA,0.1,1,NA,NA,0,0,0.1,NA,22820,FantasyPros,15341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feleipe Franks,TE,ATL,NA,NA,0.1,0.7,NA,NA,0,0,0.1,NA,20081,FantasyPros,15244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucker Fisk,TE,LAC,NA,NA,0.1,0.6,NA,NA,0,0,0.1,NA,24921,FantasyPros,16557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,NA,7.3,7.3,71.4,NA,NA,1,0,13.08,NA,16895,FleaFlicker,15794,0,0,0,8,@DALMon 8:15 PM,NA,TE1,1,71.4,98%
Tucker Kraft,TE,GB,NA,4.4,4.4,58.4,NA,NA,1,0,11.8,NA,17675,FleaFlicker,16222,0,0,0,5,CARSun 1:00 PM,NA,TE3,1,58.4,96%
George Kittle,TE,SF,NA,4.4,4.4,59,NA,NA,0.5,0,8.68,NA,13023,FleaFlicker,13299,0,0,0,4,@NYGSun 1:00 PM,NA,NA,0.5,59,97%
Tyler Warren,TE,IND,NA,5.2,5.2,61.6,NA,NA,0.4,0.1,8.36,NA,19242,FleaFlicker,17102,0,0,0,1,@PITSun 1:00 PM,NA,TE2,0.4,61.6,94%
Oronde Gadsden,TE,LAC,NA,4.6,4.6,52.5,NA,NA,0.4,0.1,7.43,NA,19404,FleaFlicker,17099,0,0,0,2,@TENSun 1:00 PM,NA,NA,0.4,52.5,77%
Travis Kelce,TE,KC,NA,4.8,4.8,51.4,NA,NA,0.4,0,7.32,NA,9360,FleaFlicker,11244,0,0,0,0,@BUFSun 4:25 PM,NA,NA,0.4,51.4,97%
Brock Bowers,TE,LV,NA,5.2,5.2,55.5,NA,NA,0.3,0,7.31,NA,18364,FleaFlicker,16641,0,0,0,8,JACSun 4:05 PM,NA,NA,0.3,55.5,96%
Sam LaPorta,TE,DET,NA,4.2,4.2,46.7,NA,NA,0.4,0,6.79,NA,17681,FleaFlicker,16214,0,0,0,8,MINSun 1:00 PM,NA,NA,0.4,46.7,96%
Jake Ferguson,TE,DAL,NA,5.1,5.1,40,NA,NA,0.4,0,6.42,NA,16933,FleaFlicker,15799,0,0,0,0,ARIMon 8:15 PM,NA,NA,0.4,40,95%
Hunter Henry,TE,NE,NA,3.6,3.6,39.4,NA,NA,0.4,0,6.3,NA,12088,FleaFlicker,12676,0,0,0,4,ATLSun 1:00 PM,NA,NA,0.4,39.4,87%
Kyle Pitts,TE,ATL,NA,4.4,4.4,49.3,NA,NA,0.2,0,6.11,NA,16256,FleaFlicker,15329,0,0,0,5,@NESun 1:00 PM,NA,NA,0.2,49.3,88%
Mark Andrews,TE,BAL,NA,3.1,3.1,35.7,NA,NA,0.4,0,5.99,NA,13829,FleaFlicker,13671,0,0,0,7,@MIAW 28-6,5.99,NA,0.4,35.7,87%
Theo Johnson,TE,NYG,NA,3.6,3.6,37.7,NA,NA,0.4,0,5.97,NA,18475,FleaFlicker,16649,0,0,0,4,SFSun 1:00 PM,NA,NA,0.4,37.7,51%
Dalton Kincaid,TE,BUF,NA,3.7,3.7,41.8,NA,NA,0.3,0,5.82,NA,17585,FleaFlicker,16213,0,0,0,7,KCSun 4:25 PM,NA,NA,0.3,41.8,89%
Zach Ertz,TE,WAS,NA,4.1,4.1,36.3,NA,NA,0.3,0,5.65,NA,9376,FleaFlicker,11247,0,0,0,2,SEASun 8:20 PM,NA,NA,0.3,36.3,79%
Juwan Johnson,TE,NO,NA,4,4,39.8,NA,NA,0.2,0.1,4.95,NA,16036,FleaFlicker,14861,0,0,0,1,@LARSun 4:05 PM,NA,NA,0.2,39.8,55%
Dalton Schultz,TE,HOU,NA,3.4,3.4,34.7,NA,NA,0.2,0,4.81,NA,13853,FleaFlicker,13772,0,0,0,6,DENSun 1:00 PM,NA,NA,0.2,34.7,45%
T.J. Hockenson,TE,MIN,NA,3.8,3.8,37.5,NA,NA,0.2,0,4.79,NA,14677,FleaFlicker,14138,0,0,0,6,@DETSun 1:00 PM,NA,NA,0.2,37.5,84%
AJ Barner,TE,SEA,NA,2.8,2.8,29.2,NA,NA,0.3,0,4.7,NA,18484,FleaFlicker,16723,0,0,0,8,@WASSun 8:20 PM,NA,NA,0.3,29.2,41%
Jonnu Smith,TE,PIT,NA,3.3,3.3,30.8,NA,NA,0.3,0,4.66,NA,12974,FleaFlicker,13193,0,0,0,5,INDSun 1:00 PM,NA,NA,0.3,30.8,54%
Noah Fant,TE,CIN,NA,3.5,3.5,33,NA,NA,0.2,0.1,4.52,NA,14665,FleaFlicker,14137,0,0,0,0,CHISun 1:00 PM,NA,NA,0.2,33,30%
Isaiah Likely,TE,BAL,NA,2.3,2.3,25.9,NA,NA,0.3,0,4.31,NA,16927,FleaFlicker,15798,0,0,0,7,@MIAW 28-6,4.31,NA,0.3,25.9,42%
Chig Okonkwo,TE,TEN,NA,3.4,3.4,33,NA,NA,0.1,0,4.06,NA,16912,FleaFlicker,15889,0,0,0,0,LACSun 1:00 PM,NA,NA,0.1,33,33%
Evan Engram,TE,DEN,NA,3.6,3.6,31.2,NA,NA,0.2,0,4.04,NA,12906,FleaFlicker,13189,0,0,0,2,@HOUSun 1:00 PM,NA,NA,0.2,31.2,69%
Pat Freiermuth,TE,PIT,NA,2.5,2.5,26.7,NA,NA,0.2,0,4.03,NA,16293,FleaFlicker,15331,0,0,0,5,INDSun 1:00 PM,NA,NA,0.2,26.7,40%
Colston Loveland,TE,CHI,NA,2.8,2.8,28.1,NA,NA,0.2,0,4,NA,19267,FleaFlicker,17104,0,0,0,5,@CINSun 1:00 PM,NA,NA,0.2,28.1,58%
Tyler Higbee,TE,LAR,NA,2.3,2.3,23.1,NA,NA,0.2,0,3.34,NA,12140,FleaFlicker,12678,0,0,0,8,NOSun 4:05 PM,NA,NA,0.2,23.1,19%
Elijah Arroyo,TE,SEA,NA,2,2,23.6,NA,NA,0.2,0,3.24,NA,19326,FleaFlicker,17108,0,0,0,8,@WASSun 8:20 PM,NA,NA,0.2,23.6,28%
Ja'Tavion Sanders,TE,CAR,NA,2.6,2.6,23.2,NA,NA,0.1,0,3.08,NA,18477,FleaFlicker,16643,0,0,0,4,@GBSun 1:00 PM,NA,NA,0.1,23.2,25%
Hunter Long,TE,JAC,NA,2,2,17.7,NA,NA,0.2,0,2.71,NA,16269,FleaFlicker,15334,0,0,0,8,@LVSun 4:05 PM,NA,NA,0.2,17.7,6%
Gunnar Helm,TE,TEN,NA,2.1,2.1,19.7,NA,NA,0.1,0,2.61,NA,19348,FleaFlicker,17105,0,0,0,0,LACSun 1:00 PM,NA,NA,0.1,19.7,20%
Cole Kmet,TE,CHI,NA,1.6,1.6,17.8,NA,NA,0.1,0,2.6,NA,15573,FleaFlicker,14867,0,0,0,5,@CINSun 1:00 PM,NA,NA,0.1,17.8,27%
Michael Mayer,TE,LV,NA,1.9,1.9,18.3,NA,NA,0.1,0,2.55,NA,17634,FleaFlicker,16212,0,0,0,8,JACSun 4:05 PM,NA,NA,0.1,18.3,22%
Dawson Knox,TE,BUF,NA,1.6,1.6,16.2,NA,NA,0.1,0,2.47,NA,14734,FleaFlicker,14143,0,0,0,7,KCSun 4:25 PM,NA,NA,0.1,16.2,12%
Brock Wright,TE,DET,NA,1.4,1.4,12.8,NA,NA,0.2,0,2.45,NA,16572,FleaFlicker,15626,0,0,0,8,MINSun 1:00 PM,NA,NA,0.2,12.8,3%
Darnell Washington,TE,PIT,NA,1.4,1.4,14.9,NA,NA,0.1,0,2.33,NA,17639,FleaFlicker,16216,0,0,0,5,INDSun 1:00 PM,NA,NA,0.1,14.9,10%
Austin Hooper,TE,NE,NA,1.4,1.4,15.5,NA,NA,0.1,0,2.21,NA,12069,FleaFlicker,12677,0,0,0,4,ATLSun 1:00 PM,NA,NA,0.1,15.5,9%
Tanner Hudson,TE,CIN,NA,1.8,1.8,14.2,NA,NA,0.1,0,2.06,NA,14275,FleaFlicker,14370,0,0,0,0,CHISun 1:00 PM,NA,NA,0.1,14.2,2%
Daniel Bellinger,TE,NYG,NA,1.2,1.2,14.4,NA,NA,0.1,0,2.04,NA,16932,FleaFlicker,15873,0,0,0,4,SFSun 1:00 PM,NA,NA,0.1,14.4,10%
Tanner Conner,TE,MIA,NA,1.6,1.6,15.1,NA,NA,0.1,0,2.04,NA,17462,FleaFlicker,15991,0,0,0,2,BALL 6-28,2.04,NA,0.1,15.1,2%
Johnny Mundt,TE,JAC,NA,1.5,1.5,13.6,NA,NA,0.1,0,2.02,NA,13239,FleaFlicker,13940,0,0,0,8,@LVSun 4:05 PM,NA,NA,0.1,13.6,1%
Elijah Higgins,TE,ARI,NA,1.3,1.3,13.4,NA,NA,0.1,0,2,NA,17726,FleaFlicker,16333,0,0,0,8,@DALMon 8:15 PM,NA,NA,0.1,13.4,3%
Davis Allen,TE,LAR,NA,0.9,0.9,8.9,NA,NA,0.1,0,1.79,NA,17778,FleaFlicker,16219,0,0,0,8,NOSun 4:05 PM,NA,NA,0.1,8.9,4%
Jake Tonges,TE,SF,NA,1.2,1.2,12.1,NA,NA,0.1,0,1.75,NA,17274,FleaFlicker,16036,0,0,0,4,@NYGSun 1:00 PM,NA,NA,0.1,12.1,27%
Noah Gray,TE,KC,NA,1,1,10.1,NA,NA,0.1,0,1.55,NA,16430,FleaFlicker,15337,0,0,0,0,@BUFSun 4:25 PM,NA,NA,0.1,10.1,16%
Drew Sample,TE,CIN,NA,1.2,1.2,9.3,NA,NA,0.1,0,1.53,NA,14714,FleaFlicker,14146,0,0,0,0,CHISun 1:00 PM,NA,NA,0.1,9.3,1%
Tommy Tremble,TE,CAR,NA,1.3,1.3,10.5,NA,NA,0.1,0,1.47,NA,16314,FleaFlicker,15332,0,0,0,4,@GBSun 1:00 PM,NA,NA,0.1,10.5,11%
Terrance Ferguson,TE,LAR,NA,0.7,0.7,9.3,NA,NA,0.1,0,1.42,NA,19329,FleaFlicker,17107,0,0,0,8,NOSun 4:05 PM,NA,NA,0.1,9.3,22%
Luke Musgrave,TE,GB,NA,1,1,9.8,NA,NA,0.1,0,1.4,NA,17676,FleaFlicker,16215,0,0,0,5,CARSun 1:00 PM,NA,NA,0.1,9.8,11%
IRDRobbie Ouzts,TE,SEA,NA,0.6,0.6,7.7,NA,NA,0.1,0,1.37,NA,19440,FleaFlicker,NA,0,0,0,8,@WASSun 8:20 PM,NA,NA,0.1,7.7,4%
John FitzPatrick,TE,GB,NA,0.8,0.8,8.3,NA,NA,0.1,0,1.35,NA,16992,FleaFlicker,15925,0,0,0,5,CARSun 1:00 PM,NA,NA,0.1,8.3,0%
IRDJake Briningstool,TE,KC,NA,0.7,0.7,7.2,NA,NA,0.1,0,1.32,NA,19561,FleaFlicker,17268,0,0,0,0,@BUFSun 4:25 PM,NA,NA,0.1,7.2,1%
Drew Ogletree,TE,IND,NA,0.6,0.6,8.4,NA,NA,0.1,0,1.26,NA,16951,FleaFlicker,15916,0,0,0,1,@PITSun 1:00 PM,NA,NA,0.1,8.4,0%
Greg Dulcich,TE,MIA,NA,0.8,0.8,8.5,NA,NA,0.1,0,1.21,NA,16853,FleaFlicker,15797,0,0,0,2,BALL 6-28,1.21,NA,0.1,8.5,3%
Luke Schoonmaker,TE,DAL,NA,0.8,0.8,7.1,NA,NA,0.1,0,1.19,NA,17649,FleaFlicker,16221,0,0,0,0,ARIMon 8:15 PM,NA,NA,0.1,7.1,6%
Nate Adkins,TE,DEN,NA,0.8,0.8,7,NA,NA,0.1,0,1.18,NA,18244,FleaFlicker,16474,0,0,0,2,@HOUSun 1:00 PM,NA,NA,0.1,7,1%
Chris Manhertz,TE,NYG,NA,0.7,0.7,6.7,NA,NA,0.1,0,1.15,NA,11114,FleaFlicker,12955,0,0,0,4,SFSun 1:00 PM,NA,NA,0.1,6.7,0%
Colby Parkinson,TE,LAR,NA,0.7,0.7,7,NA,NA,0.1,0,1.12,NA,15679,FleaFlicker,14871,0,0,0,8,NOSun 4:05 PM,NA,NA,0.1,7,4%
Charlie Kolar,TE,BAL,NA,0.6,0.6,6.4,NA,NA,0.1,0,1.06,NA,16923,FleaFlicker,15795,0,0,0,7,@MIAW 28-6,1.06,NA,0.1,6.4,1%
Mitchell Evans,TE,CAR,NA,0.7,0.7,6.4,NA,NA,0.1,0,1.06,NA,19431,FleaFlicker,17109,0,0,0,4,@GBSun 1:00 PM,NA,NA,0.1,6.4,8%
Adam Trautman,TE,DEN,NA,0.6,0.6,6.2,NA,NA,0.1,0,1.04,NA,15575,FleaFlicker,14870,0,0,0,2,@HOUSun 1:00 PM,NA,NA,0.1,6.2,4%
Foster Moreau,TE,NO,NA,0.7,0.7,7.4,NA,NA,0,0,0.98,NA,14781,FleaFlicker,14239,0,0,0,1,@LARSun 4:05 PM,NA,NA,0,7.4,4%
Ben Yurosek,TE,MIN,NA,0.7,0.7,6.4,NA,NA,0.1,0,0.92,NA,19914,FleaFlicker,17285,0,0,0,6,@DETSun 1:00 PM,NA,NA,0.1,6.4,0%
Connor Heyward,TE,PIT,NA,0.6,0.6,4.9,NA,NA,0.1,0,0.91,NA,16971,FleaFlicker,15800,0,0,0,5,INDSun 1:00 PM,NA,NA,0.1,4.9,1%
Will Dissly,TE,LAC,NA,0.6,0.6,5.9,NA,NA,0.1,0,0.89,NA,14475,FleaFlicker,13763,0,0,0,2,@TENSun 1:00 PM,NA,NA,0.1,5.9,9%
Harrison Bryant,TE,HOU,NA,0.7,0.7,5.9,NA,NA,0.1,0,0.87,NA,15644,FleaFlicker,14875,0,0,0,6,DENSun 1:00 PM,NA,NA,0.1,5.9,1%
Taysom Hill,TE,NO,NA,0.8,0.8,6.2,NA,NA,0,0,0.84,NA,13653,FleaFlicker,13424,0,0,0,1,@LARSun 4:05 PM,NA,NA,0,6.2,19%
Marcedes Lewis,TE,DEN,NA,0.6,0.6,5.8,NA,NA,0,0,0.82,NA,4007,FleaFlicker,8269,0,0,0,2,@HOUSun 1:00 PM,NA,NA,0,5.8,0%
Jack Stoll,TE,NO,NA,0.5,0.5,4.3,NA,NA,0.1,0,0.79,NA,16621,FleaFlicker,15541,0,0,0,1,@LARSun 4:05 PM,NA,NA,0.1,4.3,0%
Jackson Hawes,TE,BUF,NA,0.5,0.5,4.9,NA,NA,0.1,0,0.79,NA,19386,FleaFlicker,17213,0,0,0,7,KCSun 4:25 PM,NA,NA,0.1,4.9,4%
