team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,idp_solo,pct_owned,return_tds
SEA,1,NA,2,62,0,NA,0,341,NA,NA,NA,341,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,0,NA,NA,NA,NA,NA
DET,0,NA,3,58,1,NA,0,320,NA,NA,NA,320,NA,NA,NA,ESPN,0522,DST,-16008,Lions D/ST,1,NA,NA,NA,NA,NA
NE,1,NA,3,62,0,NA,0,297,NA,NA,NA,297,NA,NA,NA,ESPN,0504,DST,-16017,Patriots D/ST,1,NA,NA,NA,NA,NA
PHI,1,NA,2,61,1,NA,0,366,NA,NA,NA,366,NA,NA,NA,ESPN,0518,DST,-16021,Eagles D/ST,1,NA,NA,NA,NA,NA
BUF,0,NA,2,60,1,NA,0,358,NA,NA,NA,358,NA,NA,NA,ESPN,0501,DST,-16002,Bills D/ST,1,NA,NA,NA,NA,NA
NYJ,1,NA,3,66,0,NA,0,379,NA,NA,NA,379,NA,NA,NA,ESPN,0505,DST,-16020,Jets D/ST,1,NA,NA,NA,NA,NA
NYG,1,NA,2,60,0,NA,0,384,NA,NA,NA,384,NA,NA,NA,ESPN,0517,DST,-16019,Giants D/ST,1,NA,NA,NA,NA,NA
TB,1,NA,2,59,0,NA,0,378,NA,NA,NA,378,NA,NA,NA,ESPN,0525,DST,-16027,Buccaneers D/ST,1,NA,NA,NA,NA,NA
ARI,1,NA,2,63,1,NA,0,356,NA,NA,NA,356,NA,NA,NA,ESPN,0519,DST,-16022,Cardinals D/ST,1,NA,NA,NA,NA,NA
GB,1,NA,3,65,0,NA,0,317,NA,NA,NA,317,NA,NA,NA,ESPN,0523,DST,-16009,Packers D/ST,1,NA,NA,NA,NA,NA
KCC,1,NA,2,63,0,NA,0,338,NA,NA,NA,338,NA,NA,NA,ESPN,0512,DST,-16012,Chiefs D/ST,1,NA,NA,NA,NA,NA
CHI,1,NA,3,63,0,NA,0,389,NA,NA,NA,389,NA,NA,NA,ESPN,0521,DST,-16003,Bears D/ST,1,NA,NA,NA,NA,NA
LAR,1,NA,2,62,1,NA,0,364,NA,NA,NA,364,NA,NA,NA,ESPN,0528,DST,-16014,Rams D/ST,1,NA,NA,NA,NA,NA
JAC,1,NA,3,60,0,NA,0,345,NA,NA,NA,345,NA,NA,NA,ESPN,0509,DST,-16030,Jaguars D/ST,1,NA,NA,NA,NA,NA
SF,0,NA,3,61,0,NA,0,330,NA,NA,NA,330,NA,NA,NA,ESPN,0530,DST,-16025,49ers D/ST,1,NA,NA,NA,NA,NA
LAC,1,NA,3,60,0,NA,0,306,NA,NA,NA,306,NA,NA,NA,ESPN,0514,DST,-16024,Chargers D/ST,1,NA,NA,NA,NA,NA
DAL,1,NA,3,61,0,NA,0,365,NA,NA,NA,365,NA,NA,NA,ESPN,0516,DST,-16006,Cowboys D/ST,1,NA,NA,NA,NA,NA
MIA,1,NA,2,64,1,NA,0,357,NA,NA,NA,357,NA,NA,NA,ESPN,0503,DST,-16015,Dolphins D/ST,1,NA,NA,NA,NA,NA
TEN,1,NA,2,60,0,NA,0,355,NA,NA,NA,355,NA,NA,NA,ESPN,0508,DST,-16010,Titans D/ST,1,NA,NA,NA,NA,NA
ATL,1,NA,2,60,1,NA,0,326,NA,NA,NA,326,NA,NA,NA,ESPN,0526,DST,-16001,Falcons D/ST,1,NA,NA,NA,NA,NA
CLE,0,NA,3,62,1,NA,0,366,NA,NA,NA,366,NA,NA,NA,ESPN,0507,DST,-16005,Browns D/ST,1,NA,NA,NA,NA,NA
WAS,1,NA,2,62,0,NA,0,408,NA,NA,NA,408,NA,NA,NA,ESPN,0520,DST,-16028,Commanders D/ST,1,NA,NA,NA,NA,NA
CIN,1,NA,2,64,0,NA,0,395,NA,NA,NA,395,NA,NA,NA,ESPN,0506,DST,-16004,Bengals D/ST,0,NA,NA,NA,NA,NA
LV,1,NA,2,64,0,NA,0,341,NA,NA,NA,341,NA,NA,NA,ESPN,0513,DST,-16013,Raiders D/ST,1,NA,NA,NA,NA,NA
CAR,1,NA,2,62,0,NA,0,364,NA,NA,NA,364,NA,NA,NA,ESPN,0527,DST,-16029,Panthers D/ST,0,NA,NA,NA,NA,NA
NA,0.8,0,3.7,NA,0.6,1,0.2,16.3,NA,NA,NA,258.3,NA,8.7,NA,FantasyPros,0532,DST,8120,Houston Texans,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.2,NA,0.6,0.8,0.2,19.2,NA,NA,NA,302.1,NA,8.1,NA,FantasyPros,0523,DST,8110,Green Bay Packers,NA,NA,NA,NA,NA,NA
NA,1.1,0,3.3,NA,0.6,1,0.2,23.3,NA,NA,NA,343.4,NA,7.9,NA,FantasyPros,0521,DST,8050,Chicago Bears,NA,NA,NA,NA,NA,NA
NA,0.7,0,3.2,NA,0.5,0.7,0.2,17.3,NA,NA,NA,278.2,NA,7.7,NA,FantasyPros,0504,DST,8180,New England Patriots,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.6,NA,0.5,0.8,0.2,17.1,NA,NA,NA,294.9,NA,7.1,NA,FantasyPros,0531,DST,8020,Baltimore Ravens,NA,NA,NA,NA,NA,NA
NA,0.9,0,3.2,NA,0.5,0.8,0.2,22.1,NA,NA,NA,327.8,NA,7,NA,FantasyPros,0516,DST,8080,Dallas Cowboys,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.8,NA,0.6,1.1,0.2,22.1,NA,NA,NA,310.1,NA,6.8,NA,FantasyPros,0510,DST,8240,Pittsburgh Steelers,NA,NA,NA,NA,NA,NA
NA,0.8,0,3.1,NA,0.5,0.8,0.2,20.6,NA,NA,NA,311.5,NA,6.6,NA,FantasyPros,0514,DST,8250,Los Angeles Chargers,NA,NA,NA,NA,NA,NA
NA,0.8,0.1,2.6,NA,0.6,1.1,0.2,23.5,NA,NA,NA,348.4,NA,6.5,NA,FantasyPros,0503,DST,8160,Miami Dolphins,NA,NA,NA,NA,NA,NA
NA,0.6,0.1,2.6,NA,0.7,1,0.2,22.5,NA,NA,NA,348.4,NA,6.4,NA,FantasyPros,0501,DST,8030,Buffalo Bills,NA,NA,NA,NA,NA,NA
NA,0.6,0,3.2,NA,0.5,0.8,0.1,30.3,NA,NA,NA,375.7,NA,6.3,NA,FantasyPros,0505,DST,8210,New York Jets,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.9,NA,0.5,0.7,0.1,23.7,NA,NA,NA,347.5,NA,6.2,NA,FantasyPros,0509,DST,8140,Jacksonville Jaguars,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.5,NA,0.6,1,0.2,20.1,NA,NA,NA,301.4,NA,6.2,NA,FantasyPros,0526,DST,8010,Atlanta Falcons,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.3,NA,0.6,1.1,0.2,22.2,NA,NA,NA,354.4,NA,6.1,NA,FantasyPros,0528,DST,8280,Los Angeles Rams,NA,NA,NA,NA,NA,NA
NA,0.5,0,3.3,NA,0.5,0.9,0.1,25.2,NA,NA,NA,328.7,NA,6.1,NA,FantasyPros,0522,DST,8100,Detroit Lions,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.7,NA,0.6,1,0.2,22.7,NA,NA,NA,342.7,NA,6,NA,FantasyPros,0524,DST,8170,Minnesota Vikings,NA,NA,NA,NA,NA,NA
NA,0.7,0,3,NA,0.4,0.7,0.1,22.8,NA,NA,NA,316.9,NA,6,NA,FantasyPros,0511,DST,8090,Denver Broncos,NA,NA,NA,NA,NA,NA
NA,0.5,0,2.9,NA,0.6,0.9,0.1,24.2,NA,NA,NA,359.5,NA,5.9,NA,FantasyPros,0507,DST,8070,Cleveland Browns,NA,NA,NA,NA,NA,NA
NA,0.7,0.1,2.2,NA,0.5,1,0.2,23.8,NA,NA,NA,370.9,NA,5.8,NA,FantasyPros,0518,DST,8230,Philadelphia Eagles,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.7,NA,0.6,0.9,0.1,22.5,NA,NA,NA,318.1,NA,5.7,NA,FantasyPros,0530,DST,8270,San Francisco 49ers,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.2,NA,0.6,1,0.2,24.1,NA,NA,NA,372.1,NA,5.7,NA,FantasyPros,0519,DST,8000,Arizona Cardinals,NA,NA,NA,NA,NA,NA
NA,0.9,0,2.1,NA,0.5,0.7,0.2,25.4,NA,NA,NA,360.1,NA,5.7,NA,FantasyPros,0520,DST,8310,Washington Commanders,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.4,NA,0.5,0.8,0.1,25.8,NA,NA,NA,374,NA,5.4,NA,FantasyPros,0525,DST,8290,Tampa Bay Buccaneers,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.5,NA,0.4,0.6,0.1,23.1,NA,NA,NA,331.8,NA,5.3,NA,FantasyPros,0508,DST,8300,Tennessee Titans,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.9,NA,0.6,0.8,0.1,26.9,NA,NA,NA,341.6,NA,5.3,NA,FantasyPros,0513,DST,8220,Las Vegas Raiders,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.4,NA,0.4,0.6,0.1,24.3,NA,NA,NA,345.9,NA,5.3,NA,FantasyPros,0515,DST,8260,Seattle Seahawks,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.8,NA,0.5,0.8,0.1,20.4,NA,NA,NA,322.9,NA,5.2,NA,FantasyPros,0512,DST,8150,Kansas City Chiefs,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.1,NA,0.4,0.6,0.1,26.6,NA,NA,NA,351.3,NA,4.9,NA,FantasyPros,0506,DST,8060,Cincinnati Bengals,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.8,NA,0.5,0.7,0.1,26,NA,NA,NA,377.6,NA,4.8,NA,FantasyPros,0517,DST,8200,New York Giants,NA,NA,NA,NA,NA,NA
NA,0.6,0,1.7,NA,0.4,0.5,0.1,23,NA,NA,NA,353.4,NA,4.4,NA,FantasyPros,0527,DST,8040,Carolina Panthers,NA,NA,NA,NA,NA,NA
HOU,0.8,NA,3.7,NA,0.6,1,0.2,16.3,NA,NA,NA,258.3,NA,12.77,NA,FleaFlicker,0532,DST,2340,Houston Texans,NA,6,@TENSun 1:00 PM,0,90%,NA
CHI,1.1,NA,3.3,NA,0.6,1,0.2,23.2,NA,NA,NA,343.4,NA,12.58,NA,FleaFlicker,0521,DST,2333,Chicago Bears,NA,5,@MINSun 1:00 PM,0,51%,NA
DAL,0.9,NA,3.2,NA,0.5,0.8,0.2,22.1,NA,NA,NA,327.8,NA,11.43,NA,FleaFlicker,0516,DST,2336,Dallas Cowboys,NA,10,@LVMon 8:15 PM,0,31%,NA
GB,0.9,NA,3.2,NA,0.6,0.8,0.2,19.2,NA,NA,NA,302.1,NA,11.24,NA,FleaFlicker,0523,DST,2339,Green Bay Packers,NA,5,@NYGSun 1:00 PM,0,68%,NA
PIT,0.9,NA,2.8,NA,0.7,1.1,0.2,22.1,NA,NA,NA,310.1,NA,11.09,NA,FleaFlicker,0510,DST,2352,Pittsburgh Steelers,NA,5,CINSun 1:00 PM,0,86%,NA
MIA,0.8,NA,2.6,NA,0.6,1.1,0.2,23.5,NA,NA,NA,348.4,NA,10.84,NA,FleaFlicker,0503,DST,2344,Miami Dolphins,NA,12,WASSun 9:30 AM,0,13%,NA
LAC,0.8,NA,3.1,NA,0.5,0.8,0.2,20.6,NA,NA,NA,311.5,NA,10.81,NA,FleaFlicker,0514,DST,2353,Los Angeles Chargers,NA,12,@JACSun 1:00 PM,0,68%,NA
NE,0.7,NA,3.2,NA,0.5,0.7,0.2,17.3,NA,NA,NA,278.2,NA,10.74,NA,FleaFlicker,0504,DST,2346,New England Patriots,NA,14,NYJThu 8:15 PM,0,72%,NA
NYJ,0.6,NA,3.2,NA,0.5,0.8,0.1,30.3,NA,NA,NA,375.7,NA,10.72,NA,FleaFlicker,0505,DST,2349,New York Jets,NA,9,@NEThu 8:15 PM,0,16%,NA
BUF,0.6,NA,2.6,NA,0.7,1,0.2,22.5,NA,NA,NA,348.4,NA,10.58,NA,FleaFlicker,0501,DST,2331,Buffalo Bills,NA,7,TBSun 1:00 PM,0,74%,NA
DET,0.5,NA,3.3,NA,0.5,0.9,0.1,25.2,NA,NA,NA,328.7,NA,10.58,NA,FleaFlicker,0522,DST,2338,Detroit Lions,NA,8,@PHISun 8:20 PM,0,88%,NA
JAC,0.7,NA,2.9,NA,0.5,0.7,0.1,23.7,NA,NA,NA,347.5,NA,10.13,NA,FleaFlicker,0509,DST,2342,Jacksonville Jaguars,NA,8,LACSun 1:00 PM,0,30%,NA
CLE,0.5,NA,2.9,NA,0.6,0.9,0.1,24.2,NA,NA,NA,359.5,NA,10.13,NA,FleaFlicker,0507,DST,2335,Cleveland Browns,NA,9,BALSun 4:25 PM,0,51%,NA
MIN,0.6,NA,2.7,NA,0.6,1,0.2,22.7,NA,NA,NA,342.7,NA,10.09,NA,FleaFlicker,0524,DST,2345,Minnesota Vikings,NA,6,CHISun 1:00 PM,0,77%,NA
LAR,0.8,NA,2.3,NA,0.6,1.1,0.2,22.2,NA,NA,NA,354.4,NA,10.03,NA,FleaFlicker,0528,DST,2356,Los Angeles Rams,NA,8,SEASun 4:05 PM,0,77%,NA
ATL,0.8,NA,2.5,NA,0.6,0.9,0.1,20.1,NA,NA,NA,301.4,NA,10,NA,FleaFlicker,0526,DST,2329,Atlanta Falcons,NA,5,CARSun 1:00 PM,0,37%,NA
DEN,0.7,NA,3,NA,0.4,0.7,0.1,22.8,NA,NA,NA,316.9,NA,9.86,NA,FleaFlicker,0511,DST,2337,Denver Broncos,NA,12,KCSun 4:25 PM,0,97%,NA
BAL,0.7,NA,2.6,NA,0.5,0.8,0.2,17.1,NA,NA,NA,294.9,NA,9.75,NA,FleaFlicker,0531,DST,2330,Baltimore Ravens,NA,7,@CLESun 4:25 PM,0,74%,NA
SF,0.6,NA,2.7,NA,0.6,0.9,0.1,22.5,NA,NA,NA,318.1,NA,9.61,NA,FleaFlicker,0530,DST,2355,San Francisco 49ers,NA,14,@ARISun 4:05 PM,0,28%,NA
PHI,0.7,NA,2.2,NA,0.5,0.9,0.2,23.8,NA,NA,NA,370.9,NA,9.57,NA,FleaFlicker,0518,DST,2351,Philadelphia Eagles,NA,9,DETSun 8:20 PM,0,74%,NA
ARI,0.7,NA,2.2,NA,0.6,1,0.1,24.1,NA,NA,NA,372.1,NA,9.37,NA,FleaFlicker,0519,DST,2328,Arizona Cardinals,NA,8,SFSun 4:05 PM,0,14%,NA
TB,0.6,NA,2.4,NA,0.5,0.8,0.1,25.8,NA,NA,NA,374,NA,8.8,NA,FleaFlicker,0525,DST,2357,Tampa Bay Buccaneers,NA,9,@BUFSun 1:00 PM,0,58%,NA
WAS,0.9,NA,2.1,NA,0.5,0.7,0.1,25.4,NA,NA,NA,360.1,NA,8.71,NA,FleaFlicker,0520,DST,2359,Washington Commanders,NA,12,@MIASun 9:30 AM,0,23%,NA
TEN,0.6,NA,2.5,NA,0.4,0.6,0.1,23.1,NA,NA,NA,331.8,NA,8.62,NA,FleaFlicker,0508,DST,2358,Tennessee Titans,NA,10,HOUSun 1:00 PM,0,5%,NA
SEA,0.6,NA,2.4,NA,0.4,0.7,0.1,24.3,NA,NA,NA,345.9,NA,8.54,NA,FleaFlicker,0515,DST,2354,Seattle Seahawks,NA,8,@LARSun 4:05 PM,0,85%,NA
LV,0.7,NA,1.9,NA,0.6,0.8,0.1,26.9,NA,NA,NA,341.6,NA,8.38,NA,FleaFlicker,0513,DST,2350,Las Vegas Raiders,NA,8,DALMon 8:15 PM,0,7%,NA
KC,0.7,NA,1.8,NA,0.5,0.8,0.1,20.4,NA,NA,NA,322.9,NA,8.12,NA,FleaFlicker,0512,DST,2343,Kansas City Chiefs,NA,10,@DENSun 4:25 PM,0,62%,NA
CIN,0.7,NA,2.1,NA,0.4,0.6,0.1,26.6,NA,NA,NA,351.3,NA,7.73,NA,FleaFlicker,0506,DST,2334,Cincinnati Bengals,NA,10,@PITSun 1:00 PM,0,9%,NA
NYG,0.6,NA,1.9,NA,0.5,0.7,0.1,26,NA,NA,NA,377.6,NA,7.54,NA,FleaFlicker,0517,DST,2348,New York Giants,NA,14,GBSun 1:00 PM,0,12%,NA
CAR,0.6,NA,1.7,NA,0.4,0.5,0.1,23.1,NA,NA,NA,353.4,NA,6.73,NA,FleaFlicker,0527,DST,2332,Carolina Panthers,NA,14,@ATLSun 1:00 PM,0,12%,NA
New England Patriots,0.9,NA,3.01,NA,0.6,NA,0.15,18,NA,NA,NA,NA,NA,6.91,NA,NFL,0504,DST,100021,NA,NA,NA,NA,NA,NA,NA
Houston Texans,0.82,0.06,2.71,NA,0.59,NA,0.18,22.75,NA,NA,NA,NA,NA,6.73,NA,NFL,0532,DST,100013,NA,NA,NA,NA,NA,NA,NA
Baltimore Ravens,0.86,0.06,2.59,NA,0.58,NA,0.17,17,NA,NA,NA,NA,NA,6.61,NA,NFL,0531,DST,100002,NA,NA,NA,NA,NA,NA,NA
Green Bay Packers DEF  View News,0.76,NA,2.75,NA,0.59,NA,0.18,19.75,NA,NA,NA,NA,NA,6.53,NA,NFL,0523,DST,100011,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Steelers DEF  View News,0.77,0.05,2.47,NA,0.55,NA,0.16,22,NA,NA,NA,NA,NA,6.17,NA,NFL,0510,DST,100027,NA,NA,NA,NA,NA,NA,NA
Kansas City Chiefs DEF  View News,0.72,0.06,2.39,NA,0.56,NA,0.17,20.25,NA,NA,NA,NA,NA,6.09,NA,NFL,0512,DST,100016,NA,NA,NA,NA,NA,NA,NA
Atlanta Falcons,0.82,NA,2.76,NA,0.6,NA,0.07,22.75,NA,NA,NA,NA,NA,6.02,NA,NFL,0526,DST,100001,NA,NA,NA,NA,NA,NA,NA
Minnesota Vikings DEF  View News,0.75,0.05,2.4,NA,0.53,NA,0.16,22.75,NA,NA,NA,NA,NA,6.02,NA,NFL,0524,DST,100020,NA,NA,NA,NA,NA,NA,NA
Buffalo Bills,0.7,0.05,2.41,NA,0.54,NA,0.16,22.25,NA,NA,NA,NA,NA,5.95,NA,NFL,0501,DST,100003,NA,NA,NA,NA,NA,NA,NA
Los Angeles Chargers DEF  View News,0.74,NA,2.39,NA,0.49,NA,0.12,20.5,NA,NA,NA,NA,NA,5.93,NA,NFL,0514,DST,100028,NA,NA,NA,NA,NA,NA,0.06
Los Angeles Rams DEF  View News,0.69,NA,2.59,NA,0.52,NA,0.12,22.75,NA,NA,NA,NA,NA,5.73,NA,NFL,0528,DST,100017,NA,NA,NA,NA,NA,NA,NA
Dallas Cowboys DEF  View News,0.72,NA,2.21,NA,0.48,NA,0.12,23.25,NA,NA,NA,NA,NA,5.69,NA,NFL,0516,DST,100008,NA,NA,NA,NA,NA,NA,0.06
San Francisco 49ers DEF  View News,0.71,NA,2.47,NA,0.53,NA,0.12,22.75,NA,NA,NA,NA,NA,5.67,NA,NFL,0530,DST,100029,NA,NA,NA,NA,NA,NA,NA
Chicago Bears DEF  View News,0.73,NA,2.45,NA,0.49,NA,0.12,22.75,NA,NA,NA,NA,NA,5.61,NA,NFL,0521,DST,100005,NA,NA,NA,NA,NA,NA,NA
Seattle Seahawks DEF  View News,0.71,NA,2.41,NA,0.53,NA,0.12,22.75,NA,NA,NA,NA,NA,5.61,NA,NFL,0515,DST,100030,NA,NA,NA,NA,NA,NA,NA
Philadelphia Eagles DEF  View News,0.76,0.05,2.14,NA,0.48,NA,0.14,22.75,NA,NA,NA,NA,NA,5.56,NA,NFL,0518,DST,100025,NA,NA,NA,NA,NA,NA,NA
Detroit Lions DEF  View News,0.65,0.05,2.2,NA,0.5,NA,0.15,25,NA,NA,NA,NA,NA,5.5,NA,NFL,0522,DST,100010,NA,NA,NA,NA,NA,NA,NA
Miami Dolphins,0.69,NA,2.41,NA,0.52,NA,0.11,22.25,NA,NA,NA,NA,NA,5.49,NA,NFL,0503,DST,100019,NA,NA,NA,NA,NA,NA,NA
Arizona Cardinals DEF  View News,0.65,NA,2.35,NA,0.47,NA,0.12,22.75,NA,NA,NA,NA,NA,5.31,NA,NFL,0519,DST,100026,NA,NA,NA,NA,NA,NA,NA
Cleveland Browns,0.64,NA,2.33,NA,0.47,NA,0.12,24.75,NA,NA,NA,NA,NA,5.27,NA,NFL,0507,DST,100007,NA,NA,NA,NA,NA,NA,NA
Jacksonville Jaguars DEF  View News,0.71,NA,2.44,NA,0.51,NA,0.06,22.75,NA,NA,NA,NA,NA,5.24,NA,NFL,0509,DST,100015,NA,NA,NA,NA,NA,NA,NA
Denver Broncos DEF  View News,0.63,0.05,2.08,NA,0.45,NA,0.14,22.75,NA,NA,NA,NA,NA,5.18,NA,NFL,0511,DST,100009,NA,NA,NA,NA,NA,NA,NA
Las Vegas Raiders DEF  View News,0.69,NA,2.32,NA,0.5,NA,0.06,27,NA,NA,NA,NA,NA,5.06,NA,NFL,0513,DST,100018,NA,NA,NA,NA,NA,NA,NA
Washington Commanders,0.66,NA,2.14,NA,0.46,NA,0.1,25,NA,NA,NA,NA,NA,4.98,NA,NFL,0520,DST,100032,NA,NA,NA,NA,NA,NA,NA
