player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Kenneth Gainwell,RB,PIT,1,4,14.1,3.5,0,1.2,0.9,6.5,6.5,7.2,0,0,1,1,2968948,CBS,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,1,1.9,10.4,5.5,0,0.1,0.1,0.8,0.8,8,0,0,1,1,3121860,CBS,15727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,RB,LAC,1,2.4,6.5,2.7,0.1,0.3,0.2,2.5,2.5,12.5,0.1,0.2,0.8,0.8,2968506,CBS,15720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brashard Smith,RB,KC,1,1.8,7.6,4.2,0.1,0.2,0.2,1.6,1.6,8,0,0,0.6,0.6,26694196,CBS,17049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,FB,MIA,1,0.8,1.3,1.6,0.1,0.5,0.4,3.5,3.5,8.8,0,0,0.6,0.6,2183930,CBS,14420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,1,1.9,8.8,4.6,0.1,0.2,0.1,1.6,1.6,16,0,0,0.6,0.6,28916212,CBS,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheim Sanders,RB,CLE,1,1.7,7.3,4.3,0.1,0.2,0.2,1.5,1.5,7.5,0,0,0.6,0.6,26700087,CBS,17062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,1.8,7.6,4.2,0.1,0.2,0.1,1.4,1.4,14,0,0,0.6,0.6,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,1,1.8,7.4,4.1,0.1,0.2,0.1,1.3,1.3,13,0,0,0.6,0.6,3177368,CBS,17066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Davis,RB,NYJ,1,1.6,8.3,5.2,0.1,0.2,0.2,1.6,1.6,8,0,0,0.6,0.6,26718641,CBS,16752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeQuint Allen,RB,JAC,1,1.8,8.7,4.8,0.1,0.2,0.2,1.6,1.6,8,0,0,0.6,0.6,28877884,CBS,17061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Ricard,FB,BAL,1,0.1,0.4,4,0,0.6,0.4,2.8,2.8,7,0.1,0,0.6,0.6,2818911,CBS,13455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,1,1.8,8,4.4,0.1,0.2,0.1,1.3,1.3,13,0,0,0.6,0.6,26703005,CBS,17046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,1,2,9.4,4.7,0.1,0.2,0.1,1.3,1.3,13,0,0,0.6,0.6,26695679,CBS,17060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Laube,RB,LV,1,1.5,4.8,3.2,0.1,0.2,0.1,1.3,1.3,13,0,0.1,0.4,0.4,2964322,CBS,16613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,17,80,NA,1,5,4,29,NA,NA,0,NA,NA,NA,4430807,ESPN,16161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,NA,21,105,NA,1,4,3,23,NA,NA,0,NA,NA,NA,3929630,ESPN,13604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,13,66,NA,1,5,4,34,NA,NA,0,NA,NA,NA,4429795,ESPN,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,15,64,NA,0,5,4,35,NA,NA,0,NA,NA,NA,3117251,ESPN,13130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,16,73,NA,0,5,4,29,NA,NA,0,NA,NA,NA,4890973,ESPN,17042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,13,60,NA,0,5,4,32,NA,NA,0,NA,NA,NA,4429160,ESPN,16167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,21,97,NA,1,3,2,15,NA,NA,0,NA,NA,NA,4242335,ESPN,14802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,17,69,NA,1,3,2,19,NA,NA,0,NA,NA,NA,4047365,ESPN,14073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,18,85,NA,1,1,1,10,NA,NA,0,NA,NA,NA,3043078,ESPN,12626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucky Irving,RB,TB,NA,16,76,NA,1,4,3,25,NA,NA,0,NA,NA,NA,4596448,ESPN,16598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,NA,17,73,NA,1,4,4,25,NA,NA,0,NA,NA,NA,4362238,ESPN,16181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,18,77,NA,1,3,2,13,NA,NA,0,NA,NA,NA,4430737,ESPN,15710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,NA,14,63,NA,1,3,2,17,NA,NA,0,NA,NA,NA,4379399,ESPN,15715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omarion Hampton,RB,LAC,NA,14,63,NA,1,3,2,18,NA,NA,0,NA,NA,NA,4685382,ESPN,17044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,13,54,NA,0,6,4,34,NA,NA,0,NA,NA,NA,3054850,ESPN,13132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,17,75,NA,1,4,3,17,NA,NA,0,NA,NA,NA,4241416,ESPN,15261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Conner,RB,ARI,NA,15,67,NA,1,3,3,20,NA,NA,0,NA,NA,NA,3045147,ESPN,13146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,NA,14,66,NA,0,3,2,20,NA,NA,0,NA,NA,NA,4432710,ESPN,17043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,15,66,NA,1,3,3,20,NA,NA,0,NA,NA,NA,4567048,ESPN,15711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,NA,14,56,NA,0,4,3,23,NA,NA,0,NA,NA,NA,4427366,ESPN,15708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,NA,15,58,NA,0,3,2,16,NA,NA,0,NA,NA,NA,4259545,ESPN,14797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,NA,15,59,NA,0,4,3,18,NA,NA,0,NA,NA,NA,3916148,ESPN,14085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,NA,12,48,NA,1,3,2,16,NA,NA,0,NA,NA,NA,4035538,ESPN,14071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones Sr.,RB,MIN,NA,10,46,NA,0,4,3,23,NA,NA,0,NA,NA,NA,3042519,ESPN,13319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,NA,12,54,NA,0,3,3,20,NA,NA,0,NA,NA,NA,4568490,ESPN,17068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KCC,NA,12,54,NA,0,3,3,18,NA,NA,0,NA,NA,NA,4361529,ESPN,15749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,NA,12,56,NA,0,3,2,19,NA,NA,0,NA,NA,NA,4360516,ESPN,16747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,13,56,NA,0,4,3,23,NA,NA,0,NA,NA,NA,4569987,ESPN,15742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,11,47,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4575131,ESPN,17256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Ekeler,RB,WAS,NA,6,27,NA,0,3,3,23,NA,NA,0,NA,NA,NA,3068267,ESPN,13404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,NA,10,46,NA,0,3,2,14,NA,NA,0,NA,NA,NA,4241985,ESPN,14800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,NA,12,51,NA,0,2,2,12,NA,NA,0,NA,NA,NA,4569173,ESPN,15259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,NA,9,33,NA,0,3,2,14,NA,NA,0,NA,NA,NA,4361579,ESPN,15256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,NA,7,30,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4819231,ESPN,17048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Skattebo,RB,NYG,NA,8,38,NA,0,2,2,13,NA,NA,0,NA,NA,NA,4696981,ESPN,17045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,NA,10,47,NA,0,1,1,7,NA,NA,0,NA,NA,NA,4360569,ESPN,15972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne Jr.,RB,JAC,NA,8,36,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4239996,ESPN,15253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tank Bigsby,RB,JAC,NA,11,50,NA,0,1,1,6,NA,NA,0,NA,NA,NA,4429013,ESPN,16164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAC,NA,4,19,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4882093,ESPN,17052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,NA,8,36,NA,0,2,2,13,NA,NA,0,NA,NA,NA,4426385,ESPN,16169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,HOU,NA,11,49,NA,0,1,1,8,NA,NA,0,NA,NA,NA,3128720,ESPN,13610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,NA,14,65,NA,0,4,3,22,NA,NA,0,NA,NA,NA,4372019,ESPN,15713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey Benson,RB,ARI,NA,9,39,NA,0,2,1,9,NA,NA,0,NA,NA,NA,4429275,ESPN,16594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,NA,7,29,NA,0,2,2,14,NA,NA,0,NA,NA,NA,4697815,ESPN,15721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,NA,6,23,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4685279,ESPN,17069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,NA,7,31,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4373626,ESPN,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braelon Allen,RB,NYJ,NA,7,25,NA,0,1,1,7,NA,NA,0,NA,NA,NA,4685247,ESPN,16596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Najee Harris,RB,LAC,NA,6,25,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4241457,ESPN,15254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Sampson,RB,CLE,NA,8,36,NA,0,2,2,14,NA,NA,0,NA,NA,NA,5081397,ESPN,17047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685702,ESPN,17051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Mixon,RB,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3116385,ESPN,13131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,NA,6,22,NA,0,1,0,3,NA,NA,0,NA,NA,NA,4429501,ESPN,16603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Shipley,RB,PHI,NA,3,16,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4431545,ESPN,16601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,NA,8,31,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4711533,ESPN,17059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,NA,3,12,NA,0,2,2,14,NA,NA,0,NA,NA,NA,4429059,ESPN,17053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,NA,6,26,NA,0,1,1,7,NA,NA,0,NA,NA,NA,4360238,ESPN,15717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kendre Miller,RB,NO,NA,6,25,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4599739,ESPN,16171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,SF,NA,5,22,NA,0,0,0,3,NA,NA,0,NA,NA,NA,4241474,ESPN,15716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,NA,2,10,NA,0,3,2,20,NA,NA,0,NA,NA,NA,4038441,ESPN,14086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4428557,ESPN,16165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,NA,4,20,NA,0,2,1,9,NA,NA,0,NA,NA,NA,4038815,ESPN,14823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miles Sanders,RB,DAL,NA,5,22,NA,0,1,1,3,NA,NA,0,NA,NA,NA,4045163,ESPN,14079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roschon Johnson,RB,CHI,NA,4,17,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4426386,ESPN,16175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KCC,NA,4,16,NA,0,1,1,6,NA,NA,0,NA,NA,NA,3059915,ESPN,13138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Corum,RB,LAR,NA,3,12,NA,0,1,1,3,NA,NA,0,NA,NA,NA,4429096,ESPN,16593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MarShawn Lloyd,RB,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429023,ESPN,16604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,NA,1,4,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4874509,ESPN,17060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,NA,3,13,NA,0,1,1,8,NA,NA,0,NA,NA,NA,3116389,ESPN,13133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PIT,NA,6,26,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4371733,ESPN,15255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Wright,RB,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4682745,ESPN,16610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,BUF,NA,2,8,NA,0,1,1,8,NA,NA,0,NA,NA,NA,3915411,ESPN,14095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,NA,3,13,NA,0,1,0,3,NA,NA,0,NA,NA,NA,4608686,ESPN,17066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,NA,4,15,NA,0,1,0,3,NA,NA,0,NA,NA,NA,4682652,ESPN,17046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KCC,NA,3,13,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4241555,ESPN,15263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,NA,3,12,NA,0,1,1,4,NA,NA,0,NA,NA,NA,2576414,ESPN,12447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,NA,2,10,NA,0,0,0,1,NA,NA,0,NA,NA,NA,4372561,ESPN,16688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,NA,2,10,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4710341,ESPN,17064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,NA,2,9,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4362619,ESPN,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,NA,3,13,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4887558,ESPN,16432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,NA,2,9,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4430871,ESPN,16166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,NA,1,4,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4362478,ESPN,16385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Davis,RB,NYJ,NA,1,4,NA,0,0,0,1,NA,NA,0,NA,NA,NA,4695404,ESPN,16752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalel Mullings,RB,TEN,NA,3,12,NA,0,2,1,8,NA,NA,0,NA,NA,NA,4429121,ESPN,17050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,NA,2,9,NA,0,0,0,1,NA,NA,0,NA,NA,NA,4596334,ESPN,16178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,RB,SF,NA,0,1,NA,0,1,1,5,NA,NA,0,NA,NA,NA,16002,ESPN,11367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
