player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,draft_rank,fg_pct,xp_pct,pct_owned
Tyler Bass,K,BUF,1,1.9,2.2,0,0,0.5,0.5,0.7,0.7,0.4,0.6,0.3,0.3,3.7,3.8,9.4,9.4,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,2.1,2.5,0,0,0.5,0.5,0.7,0.7,0.6,0.8,0.4,0.4,3,3.1,9.3,9.3,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,1,2.1,2.4,0,0,0.5,0.5,0.6,0.6,0.7,0.8,0.4,0.4,2.9,3.1,9.2,9.2,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.9,2.2,0,0,0.4,0.4,0.7,0.8,0.4,0.6,0.3,0.3,3.3,3.3,9,9,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.7,2.1,0,0,0.4,0.4,0.5,0.5,0.5,0.7,0.3,0.3,3.4,3.5,8.5,8.5,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,2.2,0,0,0.4,0.4,0.6,0.7,0.5,0.7,0.3,0.3,2.6,2.7,8,8,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.9,2.1,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.3,0.3,2.3,2.3,8,8,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,1.8,2.1,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,2.5,2.6,7.9,7.9,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.8,2.2,0,0,0.5,0.5,0.6,0.6,0.4,0.6,0.3,0.3,2.3,2.4,7.7,7.7,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.8,2,0,0,0.5,0.5,0.6,0.6,0.4,0.5,0.3,0.3,2.3,2.3,7.7,7.7,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,2.5,2.6,7.6,7.6,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.8,2,0,0,0.4,0.4,0.6,0.7,0.4,0.5,0.3,0.3,2.1,2.2,7.5,7.5,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
