player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Jaxon Smith-Njigba,WR,SEA,1,9.8,7.2,104,104,14.4,0.6,0.3,2.4,8,0,0.1,13.4,13.4,3162959,CBS,16185,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,1,9.8,7.1,84,84,11.8,0.8,0.2,1.1,5.5,0,0,12.8,12.8,2967690,CBS,15287,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,1,9,7,88,88,12.6,0.5,0.7,5.8,8.3,0.1,0.1,11.4,11.4,3121687,CBS,16211,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,1,8.6,4.7,62.8,62.8,13.4,0.7,0,0,0,0,0,10.2,10.2,1893167,CBS,11675,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,1,7.2,4.8,73.8,73.8,15.4,0.5,0.1,0.3,3,0,0,10,10,3123212,CBS,15762,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,1,8.3,4.5,70.1,70.1,15.6,0.5,0.2,0.8,4,0,0,10,10,26696165,CBS,17081,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,1,7.4,5.6,59.8,59.8,10.7,0.7,0.5,2,4,0.1,0,9.8,9.8,3124978,CBS,16194,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,1,5.6,3.4,61,61,17.9,0.6,0.4,3.6,9,0,0,9.6,9.6,3125968,CBS,15756,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,1,7.7,4.4,63,63,14.3,0.6,0,0,0,0,0,9.6,9.6,2809208,CBS,14835,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,1,6.9,4.3,63.3,63.3,14.7,0.5,0,0,0,0,0,9,9,2258303,CBS,14104,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,1,8.6,5.5,68.2,68.2,12.4,0.5,0.1,-0.1,-1,0,0,9,9,2963666,CBS,15754,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,1,8.5,5.8,74.9,74.9,12.9,0.3,0.5,2.9,5.8,0,0,8.8,8.8,2865251,CBS,14832,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,1,6.5,4.6,66.2,66.2,14.4,0.5,0.5,2.9,5.8,0,0.1,8.8,8.8,3127049,CBS,16190,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,1,6.8,3.6,54.3,54.3,15.1,0.6,0,0.2,0,0,0,8.6,8.6,3162979,CBS,16616,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,1,6,4.4,66,66,15,0.4,0,0,0,0,0,8.4,8.4,2866975,CBS,15282,NA,NA,NA,NA,NA,NA,NA,NA
Stefon Diggs,WR,NE,1,7.1,5.4,64.4,64.4,11.9,0.4,0.1,0.3,3,0,0,8.4,8.4,2000038,CBS,12186,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,1,7.3,4.7,66.7,66.7,14.2,0.4,0.1,0.7,7,0,0.1,8.2,8.2,2878193,CBS,15290,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAC,1,7.8,4.6,51.7,51.7,11.2,0.5,0.5,0.4,0.8,0,0,8,8,3168820,CBS,16192,NA,NA,NA,NA,NA,NA,NA,NA
Tetairoa McMillan,WR,CAR,1,8,4.9,61.5,61.5,12.6,0.3,0,0.1,0,0,0,7.8,7.8,28877124,CBS,17071,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Pearsall,WR,SF,1,5.8,3.8,62.9,62.9,16.6,0.3,0.2,0.8,4,0,0,7.8,7.8,3122949,CBS,16622,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman,WR,IND,1,7.4,5.4,55.2,55.2,10.2,0.4,0,0,0,0,0,7.4,7.4,2240188,CBS,14842,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,1,5.8,3.4,56.1,56.1,16.5,0.4,0,0,0,0,0,7.4,7.4,2260185,CBS,14102,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,1,3.6,2.5,48.6,48.6,19.4,0.5,0,0,0,0,0,7,7,3163170,CBS,16193,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,1,4.8,3.2,44.1,44.1,13.8,0.5,0.6,3,5,0,0,7,7,3121848,CBS,16287,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,1,7.4,5.1,56.9,56.9,11.2,0.3,0.1,0.7,7,0,0,6.8,6.8,2183835,CBS,14127,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,1,7.3,4.9,52.2,52.2,10.7,0.3,0.2,1.2,6,0,0,6.8,6.8,3124107,CBS,15757,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,1,5.6,3.5,37.8,37.8,10.8,0.3,1.4,11.1,7.9,0.1,0,6.4,6.4,26730787,CBS,16620,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,1,5.7,3.5,45.9,45.9,13.1,0.4,0,0,0,0,0,6.4,6.4,2961886,CBS,15779,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,1,7.5,4.7,58.6,58.6,12.5,0.2,0.1,0.1,1,0,0,6.2,6.2,2871343,CBS,14836,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,1,5.3,2.8,53.9,53.9,19.3,0.2,0,0,0,0,0,6.2,6.2,2965664,CBS,15768,NA,NA,NA,NA,NA,NA,NA,NA
Kendrick Bourne,WR,SF,1,4.5,3.2,54.2,54.2,16.9,0.2,0,0.2,0,0,0,6.2,6.2,2088428,CBS,13418,NA,NA,NA,NA,NA,NA,NA,NA
Jauan Jennings,WR,SF,1,6.1,3.7,48,48,13,0.4,0,0,0,0,0.1,6.2,6.2,2180514,CBS,14860,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,1,4,2.5,46.3,46.3,18.5,0.3,0.2,0.7,3.5,0,0,5.8,5.8,2869806,CBS,15789,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,1,4.4,3.3,44.8,44.8,13.6,0.3,0.1,0.3,3,0,0,5.8,5.8,2010349,CBS,13289,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,1,5.5,3.6,47.5,47.5,13.2,0.2,0.9,4,4.4,0.1,0.1,5.6,5.6,2179328,CBS,13635,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,SEA,1,4.9,3.1,47.3,47.3,15.3,0.3,0.5,2.8,5.6,0,0.1,5.6,5.6,2250863,CBS,16080,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,1,4.1,2.5,32.1,32.1,12.8,0.4,0.1,0.3,3,0,0,5.4,5.4,3165177,CBS,17098,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,1,4.7,2.8,36.3,36.3,13,0.4,0.5,0.8,1.6,0,0,5.4,5.4,3161539,CBS,17079,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,1,5,3.9,43.1,43.1,11.1,0.2,0.1,0.4,4,0,0,5.2,5.2,2969119,CBS,15761,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Kupp,WR,SEA,1,5.1,3.4,42.5,42.5,12.5,0.2,0,0.1,0,0,0,5.2,5.2,2006951,CBS,13164,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,1,5.9,3,46.4,46.4,15.5,0.2,0,0.1,0,0,0,5.2,5.2,2240651,CBS,14974,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,1,4.7,3,49.4,49.4,16.5,0.2,0,0.2,0,0,0.1,5,5,2183982,CBS,14122,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,1,4,2.2,30.5,30.5,13.9,0.2,0.3,2.2,7.3,0.1,0,4.8,4.8,3132164,CBS,16618,NA,NA,NA,NA,NA,NA,NA,NA
