player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Christian McCaffrey,RB,SF,1,15.9,69.5,4.4,0.8,7.7,6,63.3,63.3,10.6,0.5,0.1,19.6,19.6,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,14.3,94.7,6.6,0.8,4.4,3.6,31.8,31.8,8.8,0.2,0.1,17.8,17.8,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,16.1,79.8,5,0.4,6.4,5,51.3,51.3,10.3,0.3,0.1,16,16,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,1,18.2,95,5.2,0.7,2.9,2.5,19.9,19.9,8,0.1,0.1,14.6,14.6,2866395,CBS,14802,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,16.7,84.1,5,0.9,1.5,1.1,9.3,9.3,8.5,0,0.1,13.2,13.2,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,17.7,79.8,4.5,0.5,3.1,2.5,20.8,20.8,8.3,0.2,0.1,13,13,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,1,11.7,70,6,0.7,3.2,2.8,18.9,18.9,6.8,0.1,0.1,12.6,12.6,26699547,CBS,17043,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,1,16.3,73.3,4.5,0.6,2.8,2.2,15.9,15.9,7.2,0.1,0.1,12,12,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,17.1,81.7,4.8,0.4,2.3,2,18.8,18.8,9.4,0.1,0.1,11.8,11.8,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,1,14.1,53,3.8,0.4,6.4,4.8,30,30,6.3,0.2,0.1,11.4,11.4,2965160,CBS,16181,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,16.1,60.2,3.7,0.4,2.8,1.9,22.3,22.3,11.7,0.2,0.1,11.4,11.4,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,14.5,62.9,4.3,0.6,2.7,2,15,15,7.5,0.2,0.2,11.4,11.4,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,15,66,4.4,0.3,3.6,2.7,23.7,23.7,8.8,0.2,0.1,10.8,10.8,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,16.4,73.5,4.5,0.6,2.6,2,9,9,4.5,0.1,0.2,10.8,10.8,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,1,14.9,62.8,4.2,0.3,4.7,3.8,27.6,27.6,7.3,0.1,0.1,10.2,10.2,2082721,CBS,13132,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,13.1,42.5,3.2,0.6,3.2,2.4,15.1,15.1,6.3,0.3,0.1,10.2,10.2,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,13,61.6,4.7,0.5,2.3,2,16.5,16.5,8.3,0,0.1,9.8,9.8,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,12.9,57.9,4.5,0.4,3.5,2.5,16.6,16.6,6.6,0.1,0.1,8.8,8.8,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,10.5,58.7,5.6,0.5,1.6,1.3,10.4,10.4,8,0,0.1,8.8,8.8,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KC,1,10.9,41.5,3.8,0.7,1.6,1.2,7.8,7.8,6.5,0.1,0,8.8,8.8,2079567,CBS,13138,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,1,15.2,54.3,3.6,0.6,2.2,1.6,9.7,9.7,6.1,0,0.1,8.4,8.4,28878286,CBS,17051,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAC,1,10.4,41.3,4,0.4,1.8,1.3,10.2,10.2,7.9,0.2,0.1,8.4,8.4,26732838,CBS,17052,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PIT,1,10.6,42.5,4,0.3,4,3.4,20.9,20.9,6.2,0.1,0.1,8.2,8.2,2968948,CBS,15255,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,12.6,58.3,4.6,0.3,3.1,2.3,19.9,19.9,8.7,0.1,0.1,8.2,8.2,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,1,9.6,44.4,4.6,0.5,0.6,0.5,3.1,3.1,6.2,0.1,0,7.6,7.6,3168416,CBS,16166,NA,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,1,10.9,40.6,3.7,0.4,2.5,1.8,13.8,13.8,7.7,0,0.1,7.2,7.2,3121860,CBS,15727,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,1,9.6,36.9,3.8,0.5,1.9,1.6,11.9,11.9,7.4,0,0,7,7,3123810,CBS,16169,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,1,9.2,40.2,4.4,0.3,1.7,1.1,10.7,10.7,9.7,0,0,6.8,6.8,3177368,CBS,17066,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,1,10,41.9,4.2,0.2,3.1,2.1,15.2,15.2,7.2,0.1,0.1,6.6,6.6,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,9.8,38.4,3.9,0.3,2.2,2,12.7,12.7,6.4,0.1,0.1,6.2,6.2,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,1,8.3,32.7,3.9,0.5,1,0.9,6,6,6.7,0,0,6,6,2975590,CBS,15712,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,1,11,44.2,4,0.2,2.8,2,15.2,15.2,7.6,0,0.1,6,6,2963637,CBS,16747,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,1,7.2,30.9,4.3,0.4,2.1,1.7,16.1,16.1,9.5,0,0.2,6,6,3125832,CBS,15259,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,1,7.8,30.5,3.9,0.2,3.4,3,19.6,19.6,6.5,0,0,5.2,5.2,3122588,CBS,16165,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,1,12.5,48.5,3.9,0.2,1.7,1.4,8.7,8.7,6.2,0,0.1,5,5,29104952,CBS,16432,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,1,11,39.9,3.6,0.2,2.5,1.9,11.3,11.3,6,0,0.1,5,5,2184011,CBS,14085,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Davis,RB,NYJ,1,6.7,36.7,5.5,0.1,1.8,1.3,10,10,7.7,0,0,4.6,4.6,26718641,CBS,16752,NA,NA,NA,NA,NA,NA,NA,NA
