player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,fg_pct,xp_pct,pct_owned,pos_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Lucas Havrisik,K,GB,NA,0.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,3.9,NA,25222,FantasyPros,16043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,TEN,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,3.5,NA,18779,FantasyPros,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,12.06,NA,4780,FleaFlicker,8851,NA,NA,NA,NA,9,CARSun 1:00 PM,2/1,2/2,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,3.3,11.31,NA,14848,FleaFlicker,14244,NA,NA,NA,NA,2,@DALSun 4:25 PM,2/2,3/3,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,11.15,NA,19685,FleaFlicker,17277,NA,NA,NA,NA,4,@NYJSun 1:00 PM,2/1,2/2,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.73,NA,15412,FleaFlicker,14717,NA,NA,NA,NA,9,@DETMon 7:00 PM,2/1,2/2,94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,10.66,NA,10779,FleaFlicker,11936,NA,NA,NA,NA,5,@CINThu 8:15 PM,2/2,2/2,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTCairo Santos,K,CHI,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,10.38,NA,10888,FleaFlicker,11945,NA,NA,NA,NA,5,NOSun 1:00 PM,2/2,2/2,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,10.12,NA,11124,FleaFlicker,12437,NA,NA,NA,NA,8,HOUMon 10:00 PM,2/1,2/2,62%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,9.94,NA,18510,FleaFlicker,16680,NA,NA,NA,NA,8,LARSun 9:30 AM,2/1,1/1,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,9.8,NA,13124,FleaFlicker,13354,NA,NA,NA,NA,0,LVSun 1:00 PM,2/2,2/2,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTBrandon McManus,K,GB,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,9.7,NA,9754,FleaFlicker,11947,NA,NA,NA,NA,5,@ARISun 4:25 PM,2/2,2/2,17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUTJoey Slye,K,TEN,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.6,9.59,NA,15366,FleaFlicker,14600,NA,NA,NA,NA,0,NESun 1:00 PM,2/1,1/1,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.51,NA,12611,FleaFlicker,12956,NA,NA,NA,NA,2,NYGSun 4:05 PM,2/2,2/2,70%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,IND,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,9.5,NA,14050,FleaFlicker,13980,NA,NA,NA,NA,1,@LACSun 4:05 PM,2/2,2/2,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.34,NA,13986,FleaFlicker,13719,NA,NA,NA,NA,4,ATLSun 8:20 PM,2/2,2/2,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.33,NA,19378,FleaFlicker,17220,NA,NA,NA,NA,4,@TENSun 1:00 PM,2/1,2/2,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parker Romo,K,ATL,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,9.27,NA,17237,FleaFlicker,16405,NA,NA,NA,NA,5,@SFSun 8:20 PM,2/1,2/2,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.18,NA,13035,FleaFlicker,13303,NA,NA,NA,NA,9,@MINSun 1:00 PM,2/1,2/2,58%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.18,NA,17688,FleaFlicker,16292,NA,NA,NA,NA,8,GBSun 4:25 PM,2/1,2/2,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,9.18,NA,18562,FleaFlicker,16775,NA,NA,NA,NA,8,@JACSun 9:30 AM,2/1,2/2,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.2,9.16,NA,18337,FleaFlicker,16846,NA,NA,NA,NA,8,TBMon 7:00 PM,2/2,3/3,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,NA,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,9.09,NA,18046,FleaFlicker,16419,NA,NA,NA,NA,9,MIASun 1:00 PM,2/2,2/2,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,8.96,NA,18330,FleaFlicker,16414,NA,NA,NA,NA,0,WASSun 4:25 PM,2/2,2/2,97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.9,8.9,NA,17834,FleaFlicker,16444,NA,NA,NA,NA,1,@CHISun 1:00 PM,2/1,1/1,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,8.68,NA,13947,FleaFlicker,13718,NA,NA,NA,NA,8,@KCSun 1:00 PM,2/1,1/1,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.4,8.43,NA,17315,FleaFlicker,15979,NA,NA,NA,NA,2,INDSun 4:05 PM,2/2,2/2,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,8.16,NA,18573,FleaFlicker,16681,NA,NA,NA,NA,6,PHISun 1:00 PM,2/1,2/2,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7.99,NA,12347,FleaFlicker,12860,NA,NA,NA,NA,6,@SEAMon 10:00 PM,2/1,1/1,67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,NA,1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.1,6.08,NA,16587,FleaFlicker,15369,NA,NA,NA,NA,2,@CLESun 1:00 PM,1/1,2/2,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jude McAtamney,K,NYG,NA,1,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,5.74,NA,19165,FleaFlicker,16848,NA,NA,NA,NA,4,@DENSun 4:05 PM,1/1,1/1,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,NA,16457,FleaFlicker,15368,NA,NA,NA,NA,0,PITThu 8:15 PM,1/1,2/2,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,TEN,NA,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,4.84,NA,15021,FleaFlicker,14426,NA,NA,NA,NA,0,NESun 1:00 PM,0/0,0/0,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucas Havrisik,K,GB,NA,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,4.42,NA,17574,FleaFlicker,16043,NA,NA,NA,NA,5,@ARISun 4:25 PM,0/0,1/1,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRGraham Gano,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,6304,FleaFlicker,9694,NA,NA,NA,NA,4,@DENSun 4:05 PM,0/0,0/0,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,NYG,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,13324,FleaFlicker,13403,NA,NA,NA,NA,4,@DENSun 4:05 PM,0/0,0/0,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRDJason Sanders,K,MIA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,13977,FleaFlicker,13832,NA,NA,NA,NA,2,@CLESun 1:00 PM,0/0,0/0,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,CHI,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,17665,FleaFlicker,16286,NA,NA,NA,NA,5,NOSun 1:00 PM,0/0,0/0,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,NA,0.47,NA,0.54,NA,0.6,NA,0.6,NA,2.54,NA,10.37,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,NA,NA,NA,NA,0.35,NA,0.55,NA,0.55,NA,0.42,NA,3.26,NA,9.71,NA,2571759,NFL,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,0.07,NA,0.41,NA,0.55,NA,0.48,NA,0.41,NA,2.94,NA,9.52,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,WAS,NA,NA,NA,NA,NA,0.47,NA,0.54,NA,0.47,NA,0.34,NA,2.98,NA,9.12,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,0.06,NA,0.38,NA,0.56,NA,0.56,NA,0.38,NA,2.44,NA,9.02,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,NA,NA,NA,NA,0.38,NA,0.5,NA,0.5,NA,0.38,NA,2.63,NA,8.67,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,NA,0.44,NA,0.56,NA,0.5,NA,0.38,NA,2.13,NA,8.53,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,NA,0.46,NA,0.52,NA,0.52,NA,0.33,NA,2.35,NA,8.5,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAX,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.46,NA,0.33,NA,2.43,NA,8.43,NA,2572147,NFL,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,NA,NA,NA,NA,0.46,NA,0.52,NA,0.52,NA,0.33,NA,2.22,NA,8.37,NA,2572201,NFL,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.5,NA,0.25,NA,2.75,NA,8.32,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.36,NA,2.2,NA,8.32,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.44,NA,0.38,NA,2.25,NA,8.29,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,NA,NA,NA,NA,NA,0.26,NA,0.77,NA,0.51,NA,0.26,NA,2.3,NA,8.22,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,NA,0.42,NA,0.42,NA,0.48,NA,0.42,NA,2.03,NA,8.09,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.59,NA,0.26,NA,2.05,NA,8.09,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,ATL,NA,NA,NA,NA,NA,0.33,NA,0.67,NA,0.33,NA,0.33,NA,2.33,NA,7.97,NA,2569101,NFL,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,NA,0.36,NA,0.48,NA,0.48,NA,0.36,NA,2.2,NA,7.96,NA,2572273,NFL,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,NA,NA,NA,NA,0.35,NA,0.47,NA,0.47,NA,0.29,NA,2.52,NA,7.84,NA,2565953,NFL,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,NA,0.44,NA,0.5,NA,0.5,NA,0.25,NA,2.06,NA,7.63,NA,2553112,NFL,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,NA,NA,NA,NA,NA,0.34,NA,0.5,NA,0.59,NA,0.17,NA,2.35,NA,7.49,NA,2560965,NFL,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,NA,NA,NA,NA,0.36,NA,0.47,NA,0.47,NA,0.3,NA,2.01,NA,7.41,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,NA,NA,NA,NA,NA,0.38,NA,0.56,NA,0.5,NA,0.19,NA,2,NA,7.27,NA,2573979,NFL,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,NA,0.36,NA,0.47,NA,0.41,NA,0.3,NA,1.84,NA,7.06,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Borregales,K,NE,NA,NA,NA,NA,NA,0.36,NA,0.47,NA,0.47,NA,0.18,NA,2.07,NA,6.87,NA,2574365,NFL,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,NA,NA,NA,NA,NA,0.35,NA,0.41,NA,0.41,NA,0.29,NA,1.69,NA,6.65,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,NA,NA,NA,NA,NA,0.34,NA,0.51,NA,0.45,NA,0.17,NA,1.87,NA,6.62,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jude McAtamney,K,NYG,NA,NA,NA,NA,NA,0.28,NA,0.56,NA,0.28,NA,NA,NA,2.24,NA,5.6,NA,2573503,NFL,16848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2.16,2.86,0.05,NA,0.81,NA,0.57,NA,0.4,NA,0.33,NA,2.79,2.68,10.33,NA,55997,FanDuel,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,11,Detroit Lions,11,Detroit Lions,DET,30,Tampa Bay Buccaneers,TB,WEEKLY
Brandon Aubrey,K,DAL,NA,2.08,3.18,0,NA,0.47,NA,0.8,NA,0.61,NA,0.17,NA,3.18,2.29,10.28,NA,55648,FanDuel,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,9,Dallas Cowboys,9,Dallas Cowboys,DAL,32,Washington Commanders,WSH,WEEKLY
Eddy Pineiro,K,SF,NA,2.18,2.9,0.03,NA,0.84,NA,0.58,NA,0.53,NA,0.18,NA,2.8,2.53,10.17,NA,54195,FanDuel,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,27,San Francisco 49ers,27,San Francisco 49ers,SF,2,Atlanta Falcons,ATL,WEEKLY
Brandon McManus,K,GB,NA,2.05,3.22,0.02,NA,0.87,NA,0.53,NA,0.53,NA,0.12,NA,3.18,2.35,10.16,NA,52489,FanDuel,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,24,12,Green Bay Packers,1,Arizona Cardinals,ARI,12,Green Bay Packers,GB,WEEKLY
Ryan Fitzgerald,K,CAR,NA,2.03,2.42,0.02,NA,0.51,NA,0.64,NA,0.62,NA,0.29,NA,2.27,2.22,9.71,NA,56309,FanDuel,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,5,Carolina Panthers,22,New York Jets,NYJ,5,Carolina Panthers,CAR,WEEKLY
Nick Folk,K,NYJ,NA,2.18,2.18,0.02,NA,0.57,NA,0.78,NA,0.69,NA,0.12,NA,2.16,2.22,9.63,NA,2816,FanDuel,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,22,New York Jets,22,New York Jets,NYJ,5,Carolina Panthers,CAR,WEEKLY
Chris Boswell,K,PIT,NA,2.01,2.73,0.04,NA,0.7,NA,0.68,NA,0.53,NA,0.09,NA,2.73,2.32,9.56,NA,52927,FanDuel,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,29,25,Pittsburgh Steelers,7,Cincinnati Bengals,CIN,25,Pittsburgh Steelers,PIT,WEEKLY
Cairo Santos,K,CHI,NA,2.15,2.38,0.03,NA,0.81,NA,0.55,NA,0.57,NA,0.15,NA,2.35,2.52,9.55,NA,52487,FanDuel,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,22,6,Chicago Bears,6,Chicago Bears,CHI,20,New Orleans Saints,NO,WEEKLY
Harrison Butker,K,KC,NA,2.04,2.5,0.05,NA,0.54,NA,0.66,NA,0.61,NA,0.18,NA,2.45,2.44,9.54,NA,53628,FanDuel,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,15,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,35,Las Vegas Raiders,LV,WEEKLY
Cameron Dicker,K,LAC,NA,1.96,2.69,0,NA,0.53,NA,0.73,NA,0.44,NA,0.26,NA,2.62,2.33,9.46,NA,55437,FanDuel,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,14,Indianapolis Colts,IND,WEEKLY
Wil Lutz,K,DEN,NA,1.93,2.77,0.02,NA,0.57,NA,0.63,NA,0.53,NA,0.18,NA,2.72,2.47,9.4,NA,53178,FanDuel,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,28,10,Denver Broncos,10,Denver Broncos,DEN,21,New York Giants,NYG,WEEKLY
Lucas Havrisik,K,GB,NA,1.67,2.92,0.08,NA,0.76,NA,0.43,NA,0.33,NA,0.1,NA,2.84,1.87,8.47,NA,55828,FanDuel,16043,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,12,Green Bay Packers,1,Arizona Cardinals,ARI,12,Green Bay Packers,GB,WEEKLY
Ka'imi Fairbairn,K,HOU,NA,1.91,2.02,0,NA,0.5,NA,0.62,NA,0.52,NA,0.19,NA,1.97,2.18,8.36,NA,53463,FanDuel,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,13,Houston Texans,28,Seattle Seahawks,SEA,13,Houston Texans,HOU,WEEKLY
Jason Myers,K,SEA,NA,1.8,2.16,0.04,NA,0.42,NA,0.58,NA,0.6,NA,0.15,NA,2.06,2.26,8.33,NA,52814,FanDuel,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,28,Seattle Seahawks,28,Seattle Seahawks,SEA,13,Houston Texans,HOU,WEEKLY
Matt Gay,K,WSH,NA,1.46,3.52,0.07,NA,0.45,NA,0.56,NA,0.29,NA,0.09,NA,3.43,1.93,8.28,NA,54199,FanDuel,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,32,32,Washington Commanders,9,Dallas Cowboys,DAL,32,Washington Commanders,WSH,WEEKLY
Will Reichard,K,MIN,NA,1.82,2.25,0,NA,0.63,NA,0.61,NA,0.42,NA,0.14,NA,2.15,1.97,8.25,NA,55919,FanDuel,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,21,18,Minnesota Vikings,18,Minnesota Vikings,MIN,24,Philadelphia Eagles,PHI,WEEKLY
Matthew Wright,K,TEN,NA,1.79,1.79,0,NA,0.42,NA,0.43,NA,0.67,NA,0.26,NA,1.68,1.84,8.21,NA,54800,FanDuel,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,31,Tennessee Titans,31,Tennessee Titans,TEN,19,New England Patriots,NE,WEEKLY
Andre Szmyt,K,CLE,NA,1.77,2.1,0.02,NA,0.48,NA,0.57,NA,0.5,NA,0.18,NA,2.1,2.22,8.21,NA,56310,FanDuel,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,31,8,Cleveland Browns,8,Cleveland Browns,CLE,17,Miami Dolphins,MIA,WEEKLY
Chad Ryland,K,ARI,NA,1.63,2.38,0.02,NA,0.51,NA,0.43,NA,0.39,NA,0.27,NA,2.19,2.06,7.98,NA,55627,FanDuel,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,1,Arizona Cardinals,1,Arizona Cardinals,ARI,12,Green Bay Packers,GB,WEEKLY
Jake Elliott,K,PHI,NA,1.8,1.66,0,NA,0.46,NA,0.54,NA,0.58,NA,0.21,NA,1.59,2.1,7.96,NA,53569,FanDuel,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,24,Philadelphia Eagles,18,Minnesota Vikings,MIN,24,Philadelphia Eagles,PHI,WEEKLY
Chase McLaughlin,K,TB,NA,1.45,2.94,0.02,NA,0.42,NA,0.45,NA,0.38,NA,0.19,NA,2.82,1.78,7.96,NA,54352,FanDuel,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,17,30,Tampa Bay Buccaneers,11,Detroit Lions,DET,30,Tampa Bay Buccaneers,TB,WEEKLY
Andy Borregales,K,NE,NA,1.67,2.44,0,NA,0.58,NA,0.51,NA,0.44,NA,0.12,NA,2.32,1.91,7.95,NA,56311,FanDuel,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,26,19,New England Patriots,31,Tennessee Titans,TEN,19,New England Patriots,NE,WEEKLY
Mike Badgley,K,IND,NA,1.62,2.37,0.02,NA,0.59,NA,0.47,NA,0.41,NA,0.13,NA,2.29,1.81,7.82,NA,54004,FanDuel,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,10,14,Indianapolis Colts,34,Los Angeles Chargers,LAC,14,Indianapolis Colts,IND,WEEKLY
Joey Slye,K,TEN,NA,1.61,1.89,0,NA,0.32,NA,0.7,NA,0.4,NA,0.22,NA,1.88,1.98,7.64,NA,54202,FanDuel,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,13,31,Tennessee Titans,31,Tennessee Titans,TEN,19,New England Patriots,NE,WEEKLY
