player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Christian McCaffrey,RB,SF,1,16.7,70.2,4.2,0.5,8,6.2,60.6,60.6,9.8,0.4,0.1,18.2,18.2,2136743,CBS,13130,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,1,13.8,79.9,5.8,0.7,6,4.6,37,37,8,0.5,0.1,17,17,3171161,CBS,16167,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,1,17.9,89.6,5,1,3.4,2.7,24.8,24.8,9.2,0,0.1,15.8,15.8,2257876,CBS,14073,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,1,14.9,71.7,4.8,0.4,5.5,4.3,44.2,44.2,10.3,0.3,0.1,15,15,3168163,CBS,16161,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,1,16.6,63,3.8,0.8,3.6,2.7,19,19,7,0.4,0.1,14,14,28874008,CBS,17042,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,1,16.9,90.4,5.4,0.6,2.6,2,13.4,13.4,6.7,0.1,0.1,14,14,2252798,CBS,14823,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,1,14.7,79.5,5.4,0.6,3.8,3.2,24.5,24.5,7.7,0.1,0.1,13,13,3162723,CBS,16162,NA,NA,NA,NA,NA,NA,NA,NA
Saquon Barkley,RB,PHI,1,17.9,77.5,4.3,0.5,3.1,2.6,20.2,20.2,7.8,0.2,0.1,13,13,2185957,CBS,13604,NA,NA,NA,NA,NA,NA,NA,NA
James Cook,RB,BUF,1,17.2,84.8,4.9,0.6,2.4,2.1,17.1,17.1,8.1,0.1,0.1,13,13,2975698,CBS,15715,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,1,13.2,80.4,6.1,0.7,3.2,2.7,18.8,18.8,7,0,0.2,12.8,12.8,26699547,CBS,17043,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,1,17.1,82.7,4.8,0.7,1.4,1,8.1,8.1,8.1,0,0.1,12,12,2061188,CBS,12626,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,1,13.5,67.7,5,0.5,4.1,3.4,29.7,29.7,8.7,0.1,0.1,11.4,11.4,3126535,CBS,15742,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,1,15.1,64.7,4.3,0.7,3,2.2,10.3,10.3,4.7,0.1,0.2,11.4,11.4,2961719,CBS,15256,NA,NA,NA,NA,NA,NA,NA,NA
Kimani Vidal,RB,LAC,1,16.3,67.3,4.1,0.5,2.4,1.7,10.4,10.4,6.1,0.2,0.1,11,11,3163421,CBS,16757,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,1,15.1,61.8,4.1,0.5,2.8,2.1,14.5,14.5,6.9,0.2,0.2,10.8,10.8,3121836,CBS,15710,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne,RB,JAC,1,15.4,77.4,5,0.3,3.5,2.5,17.3,17.3,6.9,0.1,0.1,10.2,10.2,2809206,CBS,15253,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,11.5,45.6,4,0.4,2.7,1.8,20.9,20.9,11.6,0.2,0.1,9.4,9.4,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA,NA
Quinshon Judkins,RB,CLE,1,15.1,56.8,3.8,0.6,2.1,1.6,10.3,10.3,6.4,0,0.1,9.4,9.4,28878286,CBS,17051,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,1,12.6,51.9,4.1,0.3,3.3,2.5,20.9,20.9,8.4,0.1,0.1,9.2,9.2,2871710,CBS,14797,NA,NA,NA,NA,NA,NA,NA,NA
Breece Hall,RB,NYJ,1,12.9,52.7,4.1,0.3,3.3,2.5,22.2,22.2,8.9,0.1,0.1,9.2,9.2,3123469,CBS,15708,NA,NA,NA,NA,NA,NA,NA,NA
Rachaad White,RB,TB,1,11.7,53.6,4.6,0.4,2.4,2.2,14,14,6.4,0.1,0.1,8.8,8.8,3169147,CBS,15721,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,1,12.9,48.1,3.7,0.3,4.7,3.6,23.9,23.9,6.6,0.1,0.1,8.2,8.2,2965160,CBS,16181,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones,RB,MIN,1,9.6,51.3,5.3,0.3,3.1,2.2,19.8,19.8,9,0.1,0.1,8.2,8.2,2071937,CBS,13319,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,1,12.5,52.7,4.2,0.3,2,1.8,12.8,12.8,7.1,0,0.1,7.6,7.6,3121372,CBS,15711,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KC,1,11.2,40.7,3.6,0.5,1.5,1.1,7.5,7.5,6.8,0.1,0,7.6,7.6,2079567,CBS,13138,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,1,9.6,39.1,4.1,0.3,3.1,2.6,17.5,17.5,6.7,0.3,0.1,7.4,7.4,3121207,CBS,17068,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,1,12.9,46.4,3.6,0.3,3.1,2.1,11.8,11.8,5.6,0,0.1,6.6,6.6,2963637,CBS,16747,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,1,9.3,31.8,3.4,0.4,1.7,1.4,10.7,10.7,7.6,0,0,6.4,6.4,3123810,CBS,16169,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,1,8.3,57.2,6.9,0.2,1.8,1.3,9.7,9.7,7.5,0.1,0.3,6.2,6.2,2964372,CBS,16385,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,1,11.1,49.4,4.5,0.4,1.5,1.2,9.6,9.6,8,0,0.1,6.2,6.2,2261252,CBS,14071,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,1,8.2,31.4,3.8,0.5,0.8,0.7,5,5,7.1,0,0,6,6,2975590,CBS,15712,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,1,10.2,45.6,4.5,0.4,1.5,1.1,8.4,8.4,7.6,0,0.2,6,6,3126952,CBS,17256,NA,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,1,8.4,43.1,5.1,0.3,0.5,0.4,1.1,1.1,2.8,0,0,5.8,5.8,3168416,CBS,16166,NA,NA,NA,NA,NA,NA,NA,NA
