player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
DeAndre Hopkins,WR,BAL,NA,2.02,1.16,10.1,NA,NA,0.05,0,0,NA,0,NA,1.87,NA,52070,FanDuel,11232,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,120,289,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Tim Patrick,WR,JAC,NA,1.35,0.77,10.44,NA,NA,0.07,0,0,NA,0,NA,1.85,NA,53848,FanDuel,13377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,121,290,20,15,Jacksonville Jaguars,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
DJ Turner,WR,LV,NA,1.54,0.94,10.51,NA,NA,0.06,0,0,NA,0,NA,1.84,NA,55478,FanDuel,15995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,122,291,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Roman Wilson,WR,PIT,NA,1.4,0.8,10.81,NA,NA,0.06,0,0,NA,0,NA,1.82,NA,55924,FanDuel,16629,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,123,293,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Devontez Walker,WR,BAL,NA,1.73,1,10.13,NA,NA,0.04,0,0,NA,0,NA,1.73,NA,56161,FanDuel,16621,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,124,295,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Arian Smith,WR,NYJ,NA,1.43,0.81,9.1,NA,NA,0.04,0.29,1.19,NA,0.01,NA,1.69,NA,56412,FanDuel,17175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,125,300,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Dylan Drummond,WR,ATL,NA,1.34,0.78,8.62,NA,NA,0.07,0,0,NA,0,NA,1.65,NA,56541,FanDuel,16429,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,126,301,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Savion Williams,WR,GB,NA,0.92,0.57,5.88,NA,NA,0.04,0.87,3.64,NA,0.03,NA,1.6,NA,56328,FanDuel,17096,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,127,303,14,12,Green Bay Packers,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Jimmy Horn Jr.,WR,CAR,NA,0.61,0.35,4.29,NA,NA,0.02,1.14,4.83,NA,0.04,NA,1.43,NA,56496,FanDuel,17234,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,128,308,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Jalen Brooks,WR,ARI,NA,0.73,0.42,5.08,NA,NA,0.04,0,0,NA,0,NA,0.94,NA,55851,FanDuel,16364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,129,322,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Malik Heath,WR,GB,NA,0.61,0.38,3.88,NA,NA,0.03,0,0,NA,0,NA,0.74,NA,55697,FanDuel,16413,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,130,329,14,12,Green Bay Packers,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
Tai Felton,WR,MIN,NA,0.64,0.39,3.95,NA,NA,0.02,0,0,NA,0,NA,0.71,NA,56281,FanDuel,17097,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,131,330,22,18,Minnesota Vikings,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Kyle Williams,WR,NE,NA,0.32,0.2,2.85,NA,NA,0.02,0,0,NA,0,NA,0.51,NA,56374,FanDuel,17134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,132,339,28,19,New England Patriots,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Skyy Moore,WR,SF,NA,0.36,0.21,2.56,NA,NA,0.02,0,0,NA,0,NA,0.48,NA,55256,FanDuel,15766,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,133,342,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Jordan Watkins,WR,SF,NA,0.36,0.21,2.55,NA,NA,0.02,0,0,NA,0,NA,0.48,NA,56540,FanDuel,17192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,133,342,15,27,San Francisco 49ers,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Trent Sherfield,WR,ARI,NA,0.37,0.21,2.43,NA,NA,0.02,0,0,NA,0,NA,0.47,NA,54019,FanDuel,13893,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,135,345,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Deven Thompkins,WR,ATL,NA,0.33,0.2,1.9,NA,NA,0.02,0,0,NA,0,NA,0.41,NA,55541,FanDuel,15977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,136,348,4,2,Atlanta Falcons,2,Atlanta Falcons,ATL,33,Los Angeles Rams,LA,WEEKLY
Kameron Johnson,WR,TB,NA,0.32,0.18,1.95,NA,NA,0.02,0,0,NA,0,NA,0.4,NA,56023,FanDuel,16883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,137,349,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Tez Johnson,WR,TB,NA,0.32,0.18,1.92,NA,NA,0.02,0,0,NA,0,NA,0.4,NA,56383,FanDuel,17079,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,137,349,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Anthony Gould,WR,IND,NA,0.34,0.21,2.22,NA,NA,0.01,0,0,NA,0,NA,0.39,NA,55981,FanDuel,16732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,139,351,6,14,Indianapolis Colts,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Chris Moore,WR,WSH,NA,0.31,0.17,2.34,NA,NA,0.01,0,0,NA,0,NA,0.38,NA,53112,FanDuel,12773,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,140,352,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Jaylin Noel,WR,HOU,NA,0.33,0.2,2.17,NA,NA,0.01,0,0,NA,0,NA,0.38,NA,56308,FanDuel,17080,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,140,352,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
KeAndre Lambert-Smith,WR,LAC,NA,0.31,0.19,2.12,NA,NA,0.01,0,0,NA,0,NA,0.37,NA,56366,FanDuel,17205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,142,354,2,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Alex Bachman,WR,LV,NA,0.31,0.19,2.17,NA,NA,0.01,0,0,NA,0,NA,0.37,NA,55188,FanDuel,14548,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,142,354,29,35,Las Vegas Raiders,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Tay Martin,WR,WSH,NA,0.31,0.17,1.99,NA,NA,0.01,0,0,NA,0,NA,0.34,NA,55562,FanDuel,15771,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,144,357,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Gunner Olszewski,WR,NYG,NA,0.29,0.17,1.91,NA,NA,0.01,0,0,NA,0,NA,0.32,NA,54264,FanDuel,14555,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,145,358,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Darius Cooper,WR,PHI,NA,0.29,0.17,1.66,NA,NA,0.01,0,0,NA,0,NA,0.31,NA,56358,FanDuel,17333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,146,359,16,24,Philadelphia Eagles,4,Buffalo Bills,BUF,24,Philadelphia Eagles,PHI,WEEKLY
Noah Brown,WR,WSH,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53626,FanDuel,13172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Jalen Tolbert,WR,DAL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55243,FanDuel,15788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,31,9,Dallas Cowboys,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Ryan Flournoy,WR,DAL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56139,FanDuel,16778,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,31,9,Dallas Cowboys,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Jaylin Lane,WR,WSH,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56362,FanDuel,17184,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Jalen Cropper,WR,DAL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56483,FanDuel,16395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,31,9,Dallas Cowboys,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Ja'Corey Brooks,WR,WSH,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56524,FanDuel,17091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,32,32,Washington Commanders,32,Washington Commanders,WSH,9,Dallas Cowboys,DAL,WEEKLY
Dominic Lovett,WR,DET,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56316,FanDuel,17255,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,7,11,Detroit Lions,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Myles Price,WR,MIN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56430,FanDuel,17360,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,22,18,Minnesota Vikings,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Jackson Meeks,WR,DET,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56490,FanDuel,17334,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,7,11,Detroit Lions,18,Minnesota Vikings,MIN,11,Detroit Lions,DET,WEEKLY
Elijah Moore,WR,DEN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54875,FanDuel,15288,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,12,10,Denver Broncos,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Tyquan Thornton,WR,KC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55438,FanDuel,15787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Rashee Rice,WR,KC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55622,FanDuel,16194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Jason Brownlee,WR,KC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55860,FanDuel,16423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Nikko Remigio,WR,KC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56202,FanDuel,16422,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Pat Bryant,WR,DEN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56357,FanDuel,17082,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,12,10,Denver Broncos,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Jalen Royals,WR,KC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56493,FanDuel,17086,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,8,16,Kansas City Chiefs,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
D.K. Metcalf,WR,PIT,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54159,FanDuel,14102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Scotty Miller,WR,PIT,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54337,FanDuel,14280,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,3,25,Pittsburgh Steelers,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Jamari Thrash,WR,CLE,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56188,FanDuel,16624,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Cade McDonald,WR,CLE,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56534,FanDuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Sterling Shepard,WR,TB,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53073,FanDuel,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Nick Westbrook-Ikhine,WR,MIA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54661,FanDuel,15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Dee Eskridge,WR,MIA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54898,FanDuel,15302,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Ryan Miller,WR,TB,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56140,FanDuel,16958,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,25,30,Tampa Bay Buccaneers,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Tahj Washington,WR,MIA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56506,FanDuel,16792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Josh Reynolds,WR,NYJ,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53491,FanDuel,13168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Garrett Wilson,WR,NYJ,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55264,FanDuel,15753,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Irvin Charles,WR,NYJ,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55810,FanDuel,15984,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,11,22,New York Jets,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Efton Chism III,WR,NE,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56519,FanDuel,17269,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,28,19,New England Patriots,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Trey Palmer,WR,NO,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55632,FanDuel,16199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,27,20,New Orleans Saints,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Bryce Oliver,WR,TEN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56179,FanDuel,16975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,10,31,Tennessee Titans,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Xavier Restrepo,WR,TEN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56564,FanDuel,17077,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,10,31,Tennessee Titans,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Ashton Dulin,WR,IND,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54348,FanDuel,14315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,6,14,Indianapolis Colts,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Coleman Owen,WR,IND,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56582,FanDuel,17278,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,6,14,Indianapolis Colts,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Chandler Brayboy,WR,JAC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56584,FanDuel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,20,15,Jacksonville Jaguars,14,Indianapolis Colts,IND,15,Jacksonville Jaguars,JAC,WEEKLY
Justin Watson,WR,HOU,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53976,FanDuel,13776,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Braxton Berrios,WR,HOU,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54216,FanDuel,13638,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Tank Dell,WR,HOU,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55643,FanDuel,16204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Derius Davis,WR,LAC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55644,FanDuel,16299,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,2,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Jared Wayne,WR,HOU,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56244,FanDuel,17011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,9,13,Houston Texans,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Dalevon Campbell,WR,LAC,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56469,FanDuel,17325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,2,34,Los Angeles Chargers,34,Los Angeles Chargers,LAC,13,Houston Texans,HOU,WEEKLY
Ray-Ray McCloud,WR,NYG,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53961,FanDuel,13641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Xavier Gipson,WR,NYG,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55714,FanDuel,16416,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Beaux Collins,WR,NYG,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56353,FanDuel,17303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Dalen Cambre,WR,NYG,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56557,FanDuel,17418,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Greg Dortch,WR,ARI,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54382,FanDuel,14108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Simi Fehoko,WR,ARI,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55288,FanDuel,15303,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Andre Baccellia,WR,ARI,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55365,FanDuel,16037,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Charlie Jones,WR,CIN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55642,FanDuel,16203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,26,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Trishton Jackson,WR,ARI,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55826,FanDuel,14859,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,30,1,Arizona Cardinals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Jordan Moore,WR,CIN,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56583,FanDuel,17305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,26,7,Cincinnati Bengals,7,Cincinnati Bengals,CIN,1,Arizona Cardinals,ARI,WEEKLY
Tylan Wallace,WR,BAL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55065,FanDuel,15285,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
LaJohntay Wester,WR,BAL,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56329,FanDuel,17232,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,13,3,Baltimore Ravens,12,Green Bay Packers,GB,3,Baltimore Ravens,BAL,WEEKLY
David Moore,WR,CAR,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,53884,FanDuel,13348,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Hunter Renfrow,WR,CAR,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,54152,FanDuel,14123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Cody White,WR,SEA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55050,FanDuel,15589,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Dareke Young,WR,SEA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55490,FanDuel,15941,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Jake Bobo,WR,SEA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,55730,FanDuel,16393,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Brycen Tremayne,WR,CAR,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56119,FanDuel,16949,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
Tory Horton,WR,SEA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,56304,FanDuel,17098,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,147,379,23,28,Seattle Seahawks,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
