player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD,pass_comp,pass_att,pass_yds,pass_tds,pass_int,pos_rank,overall_rank,opp_def_rank,team_id,team_name,home_team_id,home_team,home_abbr,away_team_id,away_team,away_abbr,proj_type
Marvin Mims,WR,DEN,NA,3.26,2.03,25.96,NA,NA,0.19,1.2,5.03,NA,0.05,NA,5.45,NA,55594,FanDuel,16189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,64,170,12,10,Denver Broncos,16,Kansas City Chiefs,KC,10,Denver Broncos,DEN,WEEKLY
Elic Ayomanor,WR,TEN,NA,4.68,2.38,30.23,NA,NA,0.18,0,0,NA,0,NA,5.29,NA,56302,FanDuel,17073,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,65,171,10,31,Tennessee Titans,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Rome Odunze,WR,CHI,NA,3.84,1.82,28.44,NA,NA,0.2,0,0,NA,0,NA,4.95,NA,55911,FanDuel,16616,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,66,176,21,6,Chicago Bears,27,San Francisco 49ers,SF,6,Chicago Bears,CHI,WEEKLY
Jerry Jeudy,WR,CLE,NA,4.55,2.27,29.71,NA,NA,0.11,0,0,NA,0,NA,4.77,NA,54518,FanDuel,14833,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,67,178,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Demario Douglas,WR,NE,NA,3.22,2.21,27.46,NA,NA,0.14,0,0,NA,0,NA,4.63,NA,55684,FanDuel,16342,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,68,182,28,19,New England Patriots,22,New York Jets,NYJ,19,New England Patriots,NE,WEEKLY
Van Jefferson,WR,TEN,NA,4.37,2.15,26.56,NA,NA,0.15,0,0,NA,0,NA,4.63,NA,54541,FanDuel,14858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,68,182,10,31,Tennessee Titans,31,Tennessee Titans,TEN,20,New Orleans Saints,NO,WEEKLY
Isaiah Hodgins,WR,NYG,NA,3.83,2.29,24.08,NA,NA,0.18,0,0,NA,0,NA,4.57,NA,55453,FanDuel,14849,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,70,185,24,21,New York Giants,35,Las Vegas Raiders,LV,21,New York Giants,NYG,WEEKLY
Malik Washington,WR,MIA,NA,4.11,2.4,21.51,NA,NA,0.14,0.52,2.18,NA,0.02,NA,4.49,NA,56117,FanDuel,16684,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,71,187,17,17,Miami Dolphins,17,Miami Dolphins,MIA,30,Tampa Bay Buccaneers,TB,WEEKLY
Isaiah Bond,WR,CLE,NA,3.48,1.76,25.3,NA,NA,0.11,0.65,2.73,NA,0.02,NA,4.44,NA,56411,FanDuel,17076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,72,189,19,8,Cleveland Browns,8,Cleveland Browns,CLE,25,Pittsburgh Steelers,PIT,WEEKLY
Xavier Legette,WR,CAR,NA,4.28,2.39,24.69,NA,NA,0.13,0,0,NA,0,NA,4.44,NA,55909,FanDuel,16639,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,72,189,1,5,Carolina Panthers,5,Carolina Panthers,CAR,28,Seattle Seahawks,SEA,WEEKLY
