player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds
Jaylen Wright,RB,MIA,1,7.5,38.2,5.1,0.1,0.4,0.2,0.6,0.6,3,0,0.2,3.2,3.2,26698774,CBS,16610,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,1,4.2,16.7,4,0.1,1.3,1,12.6,12.6,12.6,0.1,0.1,3,3,3171045,CBS,17053,NA,NA,NA,NA,NA,NA,NA
Miles Sanders,RB,DAL,1,6,25.4,4.2,0.2,1.4,1.1,6.9,6.9,6.3,0,0.2,2.8,2.8,2251305,CBS,14079,NA,NA,NA,NA,NA,NA,NA
Jerome Ford,RB,CLE,1,4.5,17.8,4,0.1,2.5,2,10.9,10.9,5.5,0,0,2.6,2.6,2966543,CBS,15713,NA,NA,NA,NA,NA,NA,NA
Blake Corum,RB,LAR,1,4.4,21,4.8,0.1,0.2,0.2,1.8,1.8,9,0,0,2.6,2.6,3169252,CBS,16593,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,1,4.6,28.3,6.2,0.1,0.6,0.5,7.3,7.3,14.6,0,0,2.6,2.6,3164710,CBS,16178,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,1,5.1,25.8,5.1,0.1,0.9,0.7,5.5,5.5,7.9,0,0.1,2.4,2.4,28873887,CBS,17059,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,FB,SF,1,0.3,1.4,4.7,0.1,1.9,1.3,14.3,14.3,11,0.1,0,2.2,2.2,1683145,CBS,11367,NA,NA,NA,NA,NA,NA,NA
Cam Akers,RB,NO,1,3.6,17.3,4.8,0.1,0.7,0.6,3.2,3.2,5.3,0.1,0,2.2,2.2,2804034,CBS,14799,NA,NA,NA,NA,NA,NA,NA
Braelon Allen,RB,NYJ,1,5.9,17.2,2.9,0.2,1.2,0.8,5.9,5.9,7.4,0,0,2.2,2.2,26726580,CBS,16596,NA,NA,NA,NA,NA,NA,NA
Antonio Gibson,RB,NE,1,4.5,19.6,4.4,0,1.7,1.3,11.2,11.2,8.6,0,0,2,2,2960976,CBS,14852,NA,NA,NA,NA,NA,NA,NA
Jeremy McNichols,RB,WAS,1,3.5,16.4,4.7,0.2,0.4,0.3,1,1,3.3,0,0.1,2,2,2139987,CBS,13143,NA,NA,NA,NA,NA,NA,NA
