team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,pos,src_id,player,dst_fumbles,bye,opp,idp_solo,pct_owned,return_tds
DEN,1.2,0,4.4,35.1,0.7,1,0.2,15.5,15.5,0,70,220,220,17.4,17.4,CBS,0511,DST,1909,NA,NA,NA,NA,NA,NA,NA
CLE,0.5,0,4.5,37.2,0.9,1.2,0.1,20.2,20.2,0,111,254,254,13.9,13.9,CBS,0507,DST,1930,NA,NA,NA,NA,NA,NA,NA
BAL,1.4,0,3.5,39.3,0.8,1.1,0.2,21.5,21.5,0,112,291,291,13.1,13.1,CBS,0531,DST,1903,NA,NA,NA,NA,NA,NA,NA
HOU,1.1,0,2.5,39.4,0.6,0.8,0.2,15.1,15.1,0,103,288,288,13.1,13.1,CBS,0532,DST,1932,NA,NA,NA,NA,NA,NA,NA
SEA,0.5,0,3.5,41,0.5,0.7,0.2,16.2,16.2,0,115,279,279,12.7,12.7,CBS,0515,DST,1926,NA,NA,NA,NA,NA,NA,NA
GB,0.4,0,3.4,42,0.7,0.9,0.1,20.2,20.2,0,126,276,276,12.2,12.2,CBS,0523,DST,1911,NA,NA,NA,NA,NA,NA,NA
TB,0.5,0,4,41.4,1,1.3,0.2,20.9,20.9,0,102,312,312,12.2,12.2,CBS,0525,DST,1927,NA,NA,NA,NA,NA,NA,NA
CHI,0.7,0,3.8,40.2,0.8,1.2,0.2,18.7,18.7,0,117,316,316,12,12,CBS,0521,DST,1906,NA,NA,NA,NA,NA,NA,NA
NYJ,0.6,0,2.5,40.5,0.6,0.8,0.1,20.7,20.7,0,102,284,284,11.5,11.5,CBS,0505,DST,1919,NA,NA,NA,NA,NA,NA,NA
LAR,0.8,0,2.9,42.8,0.8,1.1,0.2,20.8,20.8,0,111,336,336,11.3,11.3,CBS,0528,DST,1923,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,0,2.2,41.4,0.5,0.7,0.1,19.4,19.4,0,88,297,297,11.2,11.2,CBS,0509,DST,1913,NA,NA,NA,NA,NA,NA,NA
NO,1,0,2.5,38.7,0.7,1,0.2,22.8,22.8,0,119,285,285,11.1,11.1,CBS,0529,DST,1917,NA,NA,NA,NA,NA,NA,NA
DET,1.1,0.1,3.7,41.3,0.8,1.1,0.2,21.8,21.8,0,135,321,321,10.9,10.9,CBS,0522,DST,1910,NA,NA,NA,NA,NA,NA,NA
CAR,1.1,0,1.9,42.6,0.6,0.8,0.2,18.9,18.9,0,111,323,323,10.5,10.5,CBS,0527,DST,1905,NA,NA,NA,NA,NA,NA,NA
BUF,1.1,0,3.1,41.3,0.9,1.3,0.2,22.2,22.2,0,125,328,328,10.3,10.3,CBS,0501,DST,1904,NA,NA,NA,NA,NA,NA,NA
PIT,0.8,0,3.5,42.2,1,1.4,0.2,22.6,22.6,0,103,343,343,10.3,10.3,CBS,0510,DST,1922,NA,NA,NA,NA,NA,NA,NA
LAC,0.5,0,3.2,39.2,0.5,0.7,0.1,22.6,22.6,0,112,295,295,9.8,9.8,CBS,0514,DST,1924,NA,NA,NA,NA,NA,NA,NA
MIN,0.4,0,2.8,39.4,1,1.4,0.2,23.4,23.4,0,143,332,332,8.8,8.8,CBS,0524,DST,1916,NA,NA,NA,NA,NA,NA,NA
IND,0.6,0,1.9,42,0.5,0.7,0.1,19.4,19.4,0,116,328,328,8.7,8.7,CBS,0502,DST,1912,NA,NA,NA,NA,NA,NA,NA
ARI,0.8,0,2,41.6,0.9,1.2,0.2,25.9,25.9,0,107,338,338,8.6,8.6,CBS,0519,DST,1901,NA,NA,NA,NA,NA,NA,NA
NE,0.6,0.1,2.2,43.8,0.6,0.9,0.2,25.4,25.4,0,103,341,341,8,8,CBS,0504,DST,1931,NA,NA,NA,NA,NA,NA,NA
PHI,0.8,0,1.5,42.4,0.7,1,0.1,22.6,22.6,0,128,330,330,7.1,7.1,CBS,0518,DST,1921,NA,NA,NA,NA,NA,NA,NA
ATL,0.8,0,2.1,41.9,0.7,1,0.2,29.5,29.5,0,135,349,349,6.3,6.3,CBS,0526,DST,1902,NA,NA,NA,NA,NA,NA,NA
SF,0.4,0,1.3,43.3,0.8,1.1,0.1,22.8,22.8,0,108,333,333,6.3,6.3,CBS,0530,DST,1925,NA,NA,NA,NA,NA,NA,NA
NYG,0.5,0,3.4,41.8,0.6,0.8,0.1,28.2,28.2,0,155,352,352,6.2,6.2,CBS,0517,DST,1918,NA,NA,NA,NA,NA,NA,NA
WAS,0.5,0.1,2.5,44.5,0.5,0.7,0.1,29.7,29.7,0,140,395,395,5.3,5.3,CBS,0520,DST,1929,NA,NA,NA,NA,NA,NA,NA
LV,0.7,0,1.4,44.8,0.7,0.9,0.1,29.5,29.5,0,134,354,354,4.8,4.8,CBS,0513,DST,1920,NA,NA,NA,NA,NA,NA,NA
MIA,0.4,0,1.6,44.5,0.6,0.8,0.1,33.5,33.5,0,152,377,377,4.2,4.2,CBS,0503,DST,1915,NA,NA,NA,NA,NA,NA,NA
PIT,1,NA,3,60,1,NA,0,350,NA,NA,NA,350,NA,NA,NA,ESPN,0510,DST,-16023,Steelers D/ST,1,NA,NA,NA,NA,NA
DEN,1,NA,3,62,0,NA,0,298,NA,NA,NA,298,NA,NA,NA,ESPN,0511,DST,-16007,Broncos D/ST,1,NA,NA,NA,NA,NA
HOU,1,NA,2,58,0,NA,0,282,NA,NA,NA,282,NA,NA,NA,ESPN,0532,DST,-16034,Texans D/ST,1,NA,NA,NA,NA,NA
BAL,1,NA,3,61,0,NA,0,348,NA,NA,NA,348,NA,NA,NA,ESPN,0531,DST,-16033,Ravens D/ST,1,NA,NA,NA,NA,NA
MIN,0,NA,3,64,1,NA,0,399,NA,NA,NA,399,NA,NA,NA,ESPN,0524,DST,-16016,Vikings D/ST,1,NA,NA,NA,NA,NA
SEA,1,NA,3,60,0,NA,0,294,NA,NA,NA,294,NA,NA,NA,ESPN,0515,DST,-16026,Seahawks D/ST,0,NA,NA,NA,NA,NA
