id,src_id,pos,player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,data_src,fumbles_lost,site_pts,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
16582,18362,QB,Bo Nix,DEN,31.8,20,203.4,1,0.9,5.1,20.5,0.2,FleaFlicker,NA,15.18,@TBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,QB30,19/31,91.2,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14067,14860,QB,Gardner Minshew,LV,32.2,20.5,223.8,1,0.8,2.6,8.9,0.1,FleaFlicker,NA,14.76,CARSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,0,QB28,20/32,93.6,38%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16149,17623,QB,Will Levis,TEN,31.6,19.3,209.2,1,0.8,5.1,17,0.1,FleaFlicker,NA,14.74,GBSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,QB27,19/31,92,55%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15694,16845,QB,Malik Willis,GB,26.9,16.7,179.8,1,0.9,5.2,26.1,0.2,FleaFlicker,NA,14.19,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,0,QB41,16/26,94.9,23%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10313,7404,QB,Andy Dalton,CAR,31.9,20.1,218,1,0.8,2.1,7.7,0.1,FleaFlicker,NA,14.01,@LVSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,1,QB31,20/31,95.9,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12616,12079,QB,Jacoby Brissett,NE,29.5,18.7,195.1,1,0.7,4,14.5,0.1,FleaFlicker,NA,13.86,@NYJThu 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,QB32,18/29,93.3,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15699,17024,QB,Skylar Thompson,MIA,31.7,20.3,211.2,1,1,2.8,10.3,0.1,FleaFlicker,NA,13.51,@SEASun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,6,QB33,20/31,95,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14782,15522,QB,Jordan Love,GB,0,0,108.8,1,0.3,0,5.9,0.1,FleaFlicker,NA,9.67,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,0,QB13,0/0,0,93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9064,5336,QB,Joe Flacco,IND,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,CHISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0/0,0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9207,5479,QB,Josh Johnson,BAL,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,@DALSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0/0,0,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10413,7592,QB,Tyrod Taylor,NYJ,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,NEThu 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0/0,0,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10703,8598,QB,Russell Wilson,PIT,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,LACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,9,QB35,0/0,0,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11760,10311,QB,Jimmy Garoppolo,LAR,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,SFSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0/0,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12140,11183,QB,Jameis Winston,CLE,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,0,QB37,0/0,0,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12141,11184,QB,IRMarcus Mariota,WAS,0,0,0,0,0,0,0,0,FleaFlicker,NA,0,@CINMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0/0,0,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13593,lamar-jackson,QB,Lamar Jackson,BAL,30.75,19.8,229.83,1.54,0.65,9.34,55.22,0.34,NumberFire,NA,21.06,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.24,28.88,#21,1,1,21.77,8800,2.47,22.08,7500,2.94,21.77,36,0.6
13589,josh-allen,QB,Josh Allen,BUF,34.98,22.83,253.22,1.67,0.84,6.38,31.14,0.49,NumberFire,NA,20.84,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.03,28.65,#14,2,2,21.66,9300,2.33,21.89,8000,2.74,21.66,40,0.54
14777,joe-burrow,QB,Joe Burrow,CIN,34.59,23.1,255.12,2.11,0.7,4.71,19.1,0.21,NumberFire,NA,20.17,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.39,27.95,#31,3,3,20.85,7500,2.78,21.04,6100,3.45,20.85,27,0.77
14783,jalen-hurts,QB,Jalen Hurts,PHI,32.28,20.41,227.13,1.37,0.72,8.4,39.4,0.56,NumberFire,NA,20.06,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.28,27.84,#2,4,4,20.77,8500,2.44,21.02,7300,2.88,20.77,31,0.67
13116,patrick-mahomes,QB,Patrick Mahomes,KC,35.17,23.21,248,1.93,0.65,4.77,22.46,0.21,NumberFire,NA,19.64,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.88,27.4,#10,5,5,20.3,8700,2.33,20.46,7000,2.92,20.3,30,0.68
14056,kyler-murray,QB,Kyler Murray,ARI,32.84,21.75,238.74,1.54,0.66,5.67,30.68,0.35,NumberFire,NA,19.06,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.33,26.79,#23,6,6,19.7,8300,2.37,20.01,6900,2.9,19.7,32,0.62
12611,jared-goff,QB,Jared Goff,DET,36.62,24.7,275.33,1.96,0.68,1.62,6,0.09,NumberFire,NA,18.42,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73,26.11,#22,7,7,19.09,7500,2.55,19.26,6500,2.96,19.09,26,0.73
16152,anthony-richardson,QB,Anthony Richardson,IND,31.03,19.83,218.13,1.39,0.68,6.97,36.06,0.34,NumberFire,NA,17.96,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.29,25.63,#4,8,8,18.65,8000,2.33,19,6700,2.84,18.65,32,0.58
16581,jayden-daniels,QB,Jayden Daniels,WSH,30.94,20.65,231.14,1.12,0.67,9.2,38.74,0.37,NumberFire,NA,17.74,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.08,25.4,#13,9,9,18.45,7400,2.49,18.85,6200,3.04,18.45,31,0.6
16150,c-j-stroud,QB,C.J. Stroud,HOU,34.49,22.89,265.36,1.64,0.66,2.14,8.64,0.11,NumberFire,NA,17.12,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,24.74,#3,10,10,17.78,8200,2.17,17.96,7100,2.53,17.78,30,0.59
13590,baker-mayfield,QB,Baker Mayfield,TB,32.93,21.68,243.2,1.66,0.85,4.03,15.66,0.17,NumberFire,NA,16.8,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,24.4,#12,11,11,17.64,7700,2.29,17.92,6300,2.84,17.64,31,0.57
13113,deshaun-watson,QB,Deshaun Watson,CLE,30.74,19.17,200.65,1.39,0.67,6.39,30.63,0.31,NumberFire,NA,16.72,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12,24.32,#27,12,12,17.4,7300,2.38,17.67,5500,3.21,17.4,26,0.67
