player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rush_09_tds,rush_1019_tds,rush_2029_tds,rush_3039_tds,rush_4049_tds,rush_50_tds,rec_rz_tgt,rush_50_yds,rush_100_yds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
"Moss, Zack",RB,CIN,NA,12.5,50,NA,0.5,3.7,2.7,21,NA,NA,0.1,0,10.8,NA,NA,FantasySharks,14798,@CAR,0.5,0,0,0,0,0,0.6,0.1,0,0,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walker III, Kenneth",RB,SEA,NA,13.5,57,NA,0.6,2.4,1.8,13,NA,NA,0,0,10.8,NA,NA,FantasySharks,15711,@DET,0.3,0.2,0.1,0,0,0,0.3,0.1,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pollard, Tony",RB,TEN,NA,14.3,57,NA,0.4,4.4,3.4,21,NA,NA,0,0,10.6,NA,NA,FantasySharks,14085,@MIA,0.2,0,0.2,0,0,0,0.6,0.1,0,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris, Najee",RB,PIT,NA,17.1,69,NA,0.4,2.7,1.9,11,NA,NA,0,0.1,10.6,NA,NA,FantasySharks,15254,@IND,0.4,0,0,0,0,0,0.3,0,0,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stevenson, Rhamondre",RB,NEP,NA,14,59,NA,0.4,4.7,3.4,19,NA,NA,0.1,0.2,10,NA,NA,FantasySharks,15259,@SFO,0.3,0,0,0,0,0,0.7,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dobbins, J.K.",RB,LAC,NA,11.5,63,NA,0.4,2.9,2.4,12,NA,NA,0,0.1,9.8,NA,NA,FantasySharks,14800,KCC,0.1,0.1,0,0,0.2,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacobs, Josh",RB,GBP,NA,18.1,76,NA,0.2,2.5,1.8,14,NA,NA,0,0.2,9.6,NA,NA,FantasySharks,14073,MIN,0.1,0,0,0,0,0,0.2,0.1,0,0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charbonnet, Zach",RB,SEA,NA,10,40,NA,0.3,2.8,2.4,19,NA,NA,0.2,0,8.8,NA,NA,FantasySharks,16169,@DET,0.2,0.1,0,0,0,0,0.1,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ford, Jerome",RB,CLE,NA,10,44,NA,0.2,3.6,2.6,17,NA,NA,0.2,0,8.5,NA,NA,FantasySharks,15713,@LVR,0.2,0,0,0,0,0,0.2,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Rachaad",RB,TBB,NA,7,26,NA,0.2,5,4.5,35,NA,NA,0.2,0.1,8,NA,NA,FantasySharks,15721,PHI,0.2,0,0,0,0,0,0.6,0.1,0.1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Javonte",RB,DEN,NA,12.8,44,NA,0.2,4,3.3,20,NA,NA,0.1,0.1,7.9,NA,NA,FantasySharks,15256,@NYJ,0.2,0,0,0,0,0,0.3,0.1,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White, Zamir",RB,LVR,NA,14,55,NA,0.2,3.2,2.3,14,NA,NA,0,0.2,7.9,NA,NA,FantasySharks,15714,CLE,0.2,0,0,0,0,0,0.2,0.1,0,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mattison, Alexander",RB,LVR,NA,9,30,NA,0.3,2.5,1.8,18,NA,NA,0.2,0,7.8,NA,NA,FantasySharks,14223,CLE,0.3,0,0,0,0,0,0.2,0.1,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swift, D'Andre",RB,CHI,NA,13.1,47,NA,0.2,3.2,2.2,15,NA,NA,0,0,7.6,NA,NA,FantasySharks,14797,LAR,0.2,0,0,0,0,0,0.2,0.1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irving, Bucky",RB,TBB,NA,13,56,NA,0.2,2,1.6,8,NA,NA,0,0,7.6,NA,NA,FantasySharks,16598,PHI,0.2,0,0,0,0,0,0.1,0,0,7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Ezekiel",RB,DAL,NA,10.6,39,NA,0.3,3.4,2.6,15,NA,NA,0,0,7.5,NA,NA,FantasySharks,12625,@NYG,0.3,0,0,0,0,0,0.5,0.1,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perine, Samaje",RB,KCC,NA,8.7,35,NA,0.2,3.5,2.9,22,NA,NA,0.1,0.1,7.3,NA,NA,FantasySharks,13133,@LAC,0.2,0,0,0,0,0,0.3,0.1,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allgeier, Tyler",RB,ATL,NA,10.2,47,NA,0.2,1.2,1,10,NA,NA,0.1,0,7.1,NA,NA,FantasySharks,15712,NOS,0.1,0,0,0,0,0,0.1,0,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen, Braelon",RB,NYJ,NA,9,36,NA,0.2,2.5,1.8,13,NA,NA,0.1,0,6.9,NA,NA,FantasySharks,16596,DEN,0.1,0,0.1,0,0,0,0.2,0.1,0,1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren, Jaylen",RB,PIT,NA,8.1,39,NA,0.2,3.7,3,18,NA,NA,0,0.1,6.6,NA,NA,FantasySharks,15742,@IND,0.1,0.1,0,0,0,0,0.4,0.1,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Roschon",RB,CHI,NA,8.1,39,NA,0.1,2.6,2.1,13,NA,NA,0,0,5.8,NA,NA,FantasySharks,16175,LAR,0.1,0,0,0,0,0,0.2,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spears, Tyjae",RB,TEN,NA,5.4,23,NA,0.1,4,3.3,25,NA,NA,0.1,0,5.6,NA,NA,FantasySharks,16165,@MIA,0,0,0,0,0,0,0.3,0.1,0.1,12,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edwards, Gus",RB,LAC,NA,10,36,NA,0.3,0.7,0.6,5,NA,NA,0,0.1,5.5,NA,NA,FantasySharks,13850,KCC,0.2,0,0,0,0,0,0,0,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chandler, Ty",RB,MIN,NA,8.1,34,NA,0.1,1.8,1.5,10,NA,NA,0,0,5.3,NA,NA,FantasySharks,15723,@GBP,0.1,0,0,0,0,0,0.3,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dowdle, Rico",RB,DAL,NA,7,28,NA,0.1,2.3,1.7,13,NA,NA,0.1,0,5.2,NA,NA,FantasySharks,14823,@NYG,0.1,0,0,0,0,0,0.2,0.1,0,2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McNichols, Jeremy",RB,WAS,NA,6.5,22,NA,0.2,2.1,1.8,18,NA,NA,0,0.1,5.1,NA,NA,FantasySharks,13143,@ARI,0.2,0,0,0,0,0,0.1,0.1,0,14,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gibson, Antonio",RB,NEP,NA,6.2,32,NA,0.1,2.3,1.8,12,NA,NA,0,0,5,NA,NA,FantasySharks,14852,@SFO,0.1,0,0,0,0,0,0.1,0.1,0,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill, Justice",RB,BAL,NA,4.8,23,NA,0.1,3.2,2.1,17,NA,NA,0,0,4.7,NA,NA,FantasySharks,14086,BUF,0.1,0,0,0,0,0,0.2,0.1,0,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Herbert, Khalil",RB,CHI,NA,6.8,31,NA,0.2,1.6,1.1,6,NA,NA,0,0,4.7,NA,NA,FantasySharks,15271,LAR,0.1,0,0,0,0,0,0.2,0,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown, Chase",RB,CIN,NA,6,33,NA,0,1.8,1.5,10,NA,NA,0,0,4.6,NA,NA,FantasySharks,16181,@CAR,0,0,0,0,0,0,0,0,0,26,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akers, Cam",RB,HOU,NA,6.6,22,NA,0.1,2,1.3,8,NA,NA,0.2,0.1,4.6,NA,NA,FantasySharks,14799,JAC,0.1,0,0,0,0,0,0.4,0,0,3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Jamaal",RB,NOS,NA,8,26,NA,0.2,1.5,1.3,6,NA,NA,0,0,4.5,NA,NA,FantasySharks,13139,@ATL,0.1,0.1,0,0,0,0,0.1,0,0,4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Jaleel",RB,DEN,NA,5.7,22,NA,0.2,2.7,2.3,11,NA,NA,0.1,0.1,4.5,NA,NA,FantasySharks,16390,@NYJ,0.2,0,0,0,0,0,0.4,0.1,0,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strong Jr., Pierre",RB,CLE,NA,7.1,24,NA,0.2,1.6,1.2,8,NA,NA,0,0,4.4,NA,NA,FantasySharks,15733,@LVR,0.2,0,0,0,0,0,0.1,0,0,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis, Ray",RB,BUF,NA,5.5,21,NA,0.2,1.3,1.1,7,NA,NA,0,0,4.2,NA,NA,FantasySharks,16603,@BAL,0.2,0,0,0,0,0,0.1,0,0,6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gainwell, Kenneth",RB,PHI,NA,4.3,21,NA,0.1,2.2,1.7,12,NA,NA,0,0,3.8,NA,NA,FantasySharks,15255,@TBB,0.1,0,0,0,0,0,0.1,0.1,0,8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Miles",RB,CAR,NA,7,24,NA,0.1,2,1.6,8,NA,NA,0,0,3.8,NA,NA,FantasySharks,14079,CIN,0.1,0,0,0,0,0,0.1,0,0,1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunt, Kareem",RB,KCC,NA,5.8,17,NA,0.3,0.9,0.5,3,NA,NA,0,0.1,3.7,NA,NA,FantasySharks,13138,@LAC,0.3,0,0,0,0,0,0.1,0,0,2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sermon, Trey",RB,IND,NA,4.7,23,NA,0.1,1,0.8,5,NA,NA,0,0,3.7,NA,NA,FantasySharks,15257,PIT,0.1,0,0,0,0,0,0,0,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Emanuel",RB,GBP,NA,4.9,24,NA,0.1,1.5,1.1,5,NA,NA,0,0,3.4,NA,NA,FantasySharks,16432,MIN,0.1,0,0,0,0,0,0.3,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guerendo, Isaac",RB,SFO,NA,3.7,18,NA,0.1,1.7,1.1,10,NA,NA,0,0,3.4,NA,NA,FantasySharks,16688,NEP,0,0,0,0,0,0,0.1,0,0,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foreman, D'Onta",RB,CLE,NA,6.3,23,NA,0.1,0.9,0.6,4,NA,NA,0,0.1,3.3,NA,NA,FantasySharks,13134,@LVR,0.1,0,0,0,0,0,0,0,0,5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, Ty",RB,BUF,NA,3,13,NA,0,1.3,0.9,10,NA,NA,0.1,0,3.1,NA,NA,FantasySharks,14095,@BAL,0,0,0,0,0,0,0.4,0,0,15,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steele, Carson",RB,KCC,NA,4.3,17,NA,0,1.8,1.2,11,NA,NA,0.1,0.1,3.1,NA,NA,FantasySharks,16612,@LAC,0,0,0,0,0,0,0.3,0,0,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierce, Dameon",RB,HOU,NA,6.8,20,NA,0.1,0.7,0.5,4,NA,NA,0,0,3.1,NA,NA,FantasySharks,15717,JAC,0.1,0,0,0,0,0,0.1,0,0,12,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demercado, Emari",RB,ARI,NA,3.2,19,NA,0,1.5,1.2,9,NA,NA,0,0,2.9,NA,NA,FantasySharks,16385,WAS,0,0,0,0,0,0,0.3,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson, Jeffery",RB,MIA,NA,3.8,18,NA,0,1.6,1.2,7,NA,NA,0,0,2.7,NA,NA,FantasySharks,14017,TEN,0,0,0,0,0,0,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corum, Blake",RB,LAR,NA,5.1,19,NA,0.1,0.5,0.4,3,NA,NA,0,0,2.6,NA,NA,FantasySharks,16593,@CHI,0,0,0,0,0,0,0,0,0,8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luepke, Hunter",RB,DAL,NA,0.4,1,NA,0.2,0.9,0.6,12,NA,NA,0,0,2.5,NA,NA,FantasySharks,16391,@NYG,0.2,0,0,0,0,0,0,0.1,0,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benson, Trey",RB,ARI,NA,4.9,14,NA,0.1,1.3,1.1,6,NA,NA,0,0,2.3,NA,NA,FantasySharks,16594,WAS,0,0,0,0,0,0,0.1,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bigsby, Tank",RB,JAC,NA,4.1,17,NA,0.1,0.5,0.2,1,NA,NA,0,0,2.3,NA,NA,FantasySharks,16164,@HOU,0.1,0,0,0,0,0,0,0,0,7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Cordarrelle",RB,PIT,NA,3.4,14,NA,0,1.3,0.8,4,NA,NA,0,0,2,NA,NA,FantasySharks,11225,@IND,0,0,0,0,0,0,0.3,0,0,17,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tracy, Tyrone",RB,NYG,NA,3.3,11,NA,0,1.8,1.2,9,NA,NA,0,0,2,NA,NA,FantasySharks,16747,DAL,0,0,0,0,0,0,0.2,0,0,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reynolds, Craig",RB,DET,NA,2.5,8,NA,0,0.7,0.6,6,NA,NA,0,0,1.7,NA,NA,FantasySharks,14727,SEA,0,0,0,0,0,0,0.1,0,0,20,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogunbowale, Dare",RB,HOU,NA,2.3,7,NA,0,1.5,1.1,9,NA,NA,0,0,1.6,NA,NA,FantasySharks,13148,JAC,0,0,0,0,0,0,0.1,0,0,4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juszczyk, Kyle",RB,SFO,NA,0.3,0,NA,0,1.7,1.1,11,NA,NA,0.1,0,1.5,NA,NA,FantasySharks,11367,NEP,0,0,0,0,0,0,0.2,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingold, Alec",RB,MIA,NA,0.7,3,NA,0.1,1.2,0.6,5,NA,NA,0,0,1.5,NA,NA,FantasySharks,14420,TEN,0.1,0,0,0,0,0,0.1,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson, D'Ernest",RB,JAC,NA,2.3,7,NA,0,0.7,0.4,7,NA,NA,0,0,1.4,NA,NA,FantasySharks,14331,@HOU,0,0,0,0,0,0,0.1,0,0,6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blackshear, Raheem",RB,CAR,NA,1.2,4,NA,0.1,0.6,0.5,4,NA,NA,0,0,1.4,NA,NA,FantasySharks,15973,CIN,0.1,0,0,0,0,0,0,0,0,35,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badie, Tyler",RB,DEN,NA,2,12,NA,0,0.4,0.3,1,NA,NA,0,0,1.3,NA,NA,FantasySharks,15718,@NYJ,0,0,0,0,0,0,0.2,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abdullah, Ameer",RB,LVR,NA,1,5,NA,0,1.6,1.4,8,NA,NA,0,0,1.3,NA,NA,FantasySharks,12155,CLE,0,0,0,0,0,0,0.2,0,0,22,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricard, Patrick",RB,BAL,NA,1.9,7,NA,0,0.8,0.4,4,NA,NA,0.1,0.1,1.3,NA,NA,FantasySharks,13455,BUF,0,0,0,0,0,0,0.2,0,0,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abanikanda, Israel",RB,NYJ,NA,2.8,7,NA,0,1.4,0.8,5,NA,NA,0,0,1.1,NA,NA,FantasySharks,16168,DEN,0,0,0,0,0,0,0.1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vaughn, Deuce",RB,DAL,NA,2.7,6,NA,0,1.1,0.8,5,NA,NA,0,0,1.1,NA,NA,FantasySharks,16176,@NYG,0,0,0,0,0,0,0.1,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor, Patrick",RB,SFO,NA,1.3,5,NA,0,0.7,0.6,4,NA,NA,0,0,0.9,NA,NA,FantasySharks,14817,NEP,0,0,0,0,0,0,0.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goodson, Tyler",RB,IND,NA,1.3,7,NA,0,0.9,0.5,2,NA,NA,0,0,0.9,NA,NA,FantasySharks,15730,PIT,0,0,0,0,0,0,0.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watson, Blake",RB,DEN,NA,1.7,5,NA,0,1.3,1,6,NA,NA,0,0.2,0.8,NA,NA,FantasySharks,16803,@NYJ,0,0,0,0,0,0,0.2,0,0,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Avery",RB,ATL,NA,1.6,6,NA,0,0.5,0.4,2,NA,NA,0,0,0.8,NA,NA,FantasySharks,15454,NOS,0,0,0,0,0,0,0.1,0,0,12,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rivers, Ronnie",RB,LAR,NA,1.8,5,NA,0,0.6,0.5,2,NA,NA,0,0,0.7,NA,NA,FantasySharks,15726,@CHI,0,0,0,0,0,0,0.1,0,0,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut, Julius",RB,TEN,NA,1,2,NA,0,0.4,0.4,5,NA,NA,0,0,0.7,NA,NA,FantasySharks,15965,@MIA,0,0,0,0,0,0,0,0,0,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wright, Jaylen",RB,MIA,NA,2,6,NA,0,0.3,0.2,0,NA,NA,0,0,0.6,NA,NA,FantasySharks,16610,TEN,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gray, Eric",RB,NYG,NA,1.4,4,NA,0,0.7,0.6,3,NA,NA,0,0,0.6,NA,NA,FantasySharks,16173,DAL,0,0,0,0,0,0,0,0,0,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mims, Jordan",RB,NOS,NA,1.7,5,NA,0,0.8,0.3,1,NA,NA,0,0.1,0.6,NA,NA,FantasySharks,16424,@ATL,0,0,0,0,0,0,0.1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Trayveon",RB,CIN,NA,1.1,5,NA,0,0.4,0.3,1,NA,NA,0,0,0.6,NA,NA,FantasySharks,14076,@CAR,0,0,0,0,0,0,0,0,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McClellan, Jase",RB,ATL,NA,1.4,5,NA,0,0.4,0.3,1,NA,NA,0,0.1,0.6,NA,NA,FantasySharks,16605,NOS,0,0,0,0,0,0,0.1,0,0,10,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ham, C.J.",RB,MIN,NA,0.4,2,NA,0,0.8,0.7,3,NA,NA,0,0.1,0.5,NA,NA,FantasySharks,12923,@GBP,0,0,0,0,0,0,0,0,0,23,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shipley, Will",RB,PHI,NA,1,4,NA,0,0.3,0.1,1,NA,NA,0,0,0.4,NA,NA,FantasySharks,16601,@TBB,0,0,0,0,0,0,0,0,0,18,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vidal, Kimani",RB,LAC,NA,1.3,4,NA,0,0.2,0.1,0,NA,NA,0,0.1,0.3,NA,NA,FantasySharks,16757,KCC,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boone, Mike",RB,CAR,NA,0.6,2,NA,0,0.2,0.2,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,13868,CIN,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Sean",RB,TBB,NA,0.9,2,NA,0,0.1,0.1,0.1,NA,NA,0,0,0.2,NA,NA,FantasySharks,16166,PHI,0,0,0,0,0,0,0,0,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hasty, JaMycal",RB,NEP,NA,0.4,1,NA,0,0.3,0.1,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,14821,@SFO,0,0,0,0,0,0,0,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McIntosh, Kenny",RB,SEA,NA,0.4,1,NA,0,0.2,0.1,1,NA,NA,0,0,0.2,NA,NA,FantasySharks,16170,@DET,0,0,0,0,0,0,0,0,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
