player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Younghoe Koo,K,ATL,1,2.7,3,0,0,0.7,0.7,0.8,0.8,0.7,0.8,0.5,0.5,3.9,4,12,12,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,1,2.1,2.5,0,0,0.7,0.7,0.6,0.7,0.7,0.8,0.2,0.2,3.8,3.9,10.1,10.1,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2.2,2.6,0,0,0.5,0.5,0.7,0.7,0.6,0.8,0.4,0.4,2.6,2.6,9.2,9.2,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,2,2.4,0,0,0.5,0.5,0.8,0.8,0.5,0.8,0.2,0.2,2.9,3.1,8.9,8.9,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.9,2.3,0,0,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,2.9,3,8.6,8.6,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.9,2.3,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.2,0.2,2.8,2.8,8.5,8.5,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,2.1,2.4,0,0,0.5,0.5,0.6,0.6,0.6,0.7,0.4,0.4,1.9,2,8.2,8.2,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.2,0,0,0.6,0.6,0.6,0.7,0.4,0.5,0.3,0.3,2.3,2.4,8,8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,1,1.9,2.2,0,0,0.6,0.6,0.6,0.7,0.5,0.7,0.2,0.2,2.2,2.5,7.9,7.9,3163734,CBS,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.8,2.1,0,0,0.5,0.5,0.5,0.6,0.5,0.7,0.2,0.2,2.4,2.4,7.8,7.8,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,1,1.7,2.1,0,0,0.5,0.5,0.6,0.6,0.4,0.4,0.2,0.2,2.7,2.7,7.8,7.8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,K,SF,1,1.9,2.3,0,0,0.5,0.5,0.7,0.7,0.4,0.7,0.2,0.2,2.1,2.4,7.8,7.8,2866578,CBS,16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.8,1.9,0,0,0.4,0.4,0.6,0.6,0.6,0.7,0.1,0.1,2.3,2.5,7.7,7.7,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,2,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.3,2.2,2.3,7.6,7.6,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.7,1.9,0,0,0.5,0.5,0.4,0.4,0.5,0.5,0.3,0.3,2.5,2.6,7.6,7.6,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.7,1.9,0,0,0.4,0.4,0.5,0.6,0.4,0.5,0.2,0.2,2.4,2.5,7.5,7.5,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,1,1.7,1.9,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,2,2.2,7.1,7.1,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.6,2,0,0,0.4,0.4,0.6,0.7,0.5,0.8,0.1,0.1,2.1,2.2,6.9,6.9,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
