player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Ka'imi Fairbairn,K,HOU,1,2.4,2.8,0,0,0.6,0.7,0.8,0.8,0.6,0.8,0.4,0.4,2.9,2.9,10.1,10.1,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2.1,2.5,0,0,0.6,0.6,0.5,0.6,0.5,0.7,0.4,0.4,3.2,3.3,9.5,9.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,2.1,2.4,0,0,0.4,0.4,0.8,0.8,0.6,0.6,0.3,0.3,2.9,2.9,9.2,9.2,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,2,2.5,0,0,0.5,0.5,0.7,0.7,0.5,0.7,0.3,0.3,3,3.2,9,9,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,2,2.6,0,0,0.7,0.7,0.6,0.6,0.5,0.8,0.3,0.3,2.7,2.7,8.7,8.7,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CIN,1,1.8,2.4,0,0,0.5,0.5,0.6,0.8,0.4,0.6,0.2,0.2,3.2,3.3,8.6,8.6,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,2,2.3,0,0,0.6,0.6,0.6,0.6,0.4,0.6,0.3,0.3,2.5,2.5,8.5,8.5,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.9,2.2,0,0,0.5,0.5,0.6,0.7,0.5,0.6,0.3,0.3,2.7,2.7,8.4,8.4,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.8,2.1,0,0,0.5,0.5,0.7,0.7,0.4,0.6,0.2,0.2,2.7,2.7,8.1,8.1,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,WAS,1,1.8,2.2,0,0,0.5,0.5,0.6,0.6,0.6,0.7,0.2,0.2,2.6,2.7,8,8,2061033,CBS,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.6,1.7,0,0,0.3,0.3,0.6,0.6,0.4,0.4,0.3,0.3,3.1,3.1,7.9,7.9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.8,2.1,0,0,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,2.4,2.4,7.8,7.8,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,1.9,2,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.1,2.3,7.8,7.8,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.7,2,0,0,0.4,0.5,0.6,0.6,0.4,0.7,0.2,0.2,2.6,2.8,7.7,7.7,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.7,1.9,0,0,0.5,0.5,0.5,0.5,0.4,0.4,0.2,0.2,2.5,2.6,7.6,7.6,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
