player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Ka'imi Fairbairn,K,HOU,1,2.4,2.7,0,0,0.6,0.6,0.7,0.7,0.6,0.8,0.5,0.5,3.1,3.2,10.3,10.3,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2.2,2.4,0,0,0.6,0.6,0.6,0.6,0.6,0.7,0.4,0.4,3,3,9.6,9.6,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,2.1,2.4,0,0,0.4,0.5,0.8,0.8,0.6,0.7,0.2,0.2,3,3.1,9.3,9.3,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,1,2.2,2.4,0,0,0.7,0.7,0.5,0.5,0.7,0.7,0.4,0.4,2.3,2.4,8.9,8.9,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.9,2.2,0,0,0.5,0.5,0.7,0.7,0.6,0.7,0.1,0.1,3.2,3.3,8.9,8.9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.9,2.2,0,0,0.5,0.5,0.6,0.6,0.4,0.5,0.3,0.3,3,3,8.7,8.7,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.1,2.3,0,0,0.5,0.5,0.6,0.7,0.6,0.7,0.4,0.4,2.3,2.4,8.6,8.6,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,2.1,2.4,0,0,0.5,0.5,0.6,0.6,0.6,0.7,0.4,0.4,2.3,2.4,8.6,8.6,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.9,2.2,0,0,0.4,0.5,0.5,0.5,0.5,0.7,0.3,0.3,2.9,3,8.6,8.6,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.8,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.8,2.9,8.2,8.2,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
