id,src_id,pos,player,team,rush_att,rush_yds,rush_tds,rec_yds,rec_tds,rec,rec_tgt,pass_att,pass_comp,pass_yds,pass_tds,pass_int,data_src,fumbles_lost,site_pts,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
13638,17289,WR,Braxton Berrios,MIA,0,0.3,0,8.9,0.1,1,NA,NA,NA,NA,NA,NA,FantasyPros,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16619,23092,WR,Troy Franklin,DEN,0,0,0,8.2,0,0.7,NA,NA,NA,NA,NA,NA,FantasyPros,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16364,25468,WR,Jalen Brooks,DAL,0,0,0,8.1,0,2,NA,NA,NA,NA,NA,NA,FantasyPros,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16183,25251,WR,Jalin Hyatt,NYG,0,0,0,8.4,0,0.7,NA,NA,NA,NA,NA,NA,FantasyPros,0,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13156,16427,WR,JuJu Smith-Schuster,KC,0,0,0,7,0.1,0.7,NA,NA,NA,NA,NA,NA,FantasyPros,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14315,18656,WR,Ashton Dulin,IND,0,0.1,0,6.5,0.1,0.5,NA,NA,NA,NA,NA,NA,FantasyPros,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16299,25334,WR,Derius Davis,LAC,0.4,2.2,0,5,0,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13348,16757,WR,David Moore,CAR,0,0.1,0,6.9,0,0.5,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16629,26160,WR,Roman Wilson,PIT,0,0.1,0,6.3,0,0.5,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16640,25289,WR,Jacob Cowing,SF,0,0.1,0,5.6,0,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13893,17888,WR,Trent Sherfield Sr.,MIN,0,0,0,5.9,0,0.5,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16201,25332,WR,Xavier Hutchinson,HOU,0,0.2,0,5.4,0,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16858,26546,WR,Mason Tipton,NO,0,0,0,4.9,0.1,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16636,26023,WR,Malachi Corley,NYJ,0,0.1,0,5.3,0,0.5,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16630,26379,WR,Isaiah Williams,DET,0,0,0,5.1,0,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15995,23423,WR,DJ Turner,LV,0.3,1.7,0,3.2,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12184,13976,WR,Jamison Crowder,WAS,0,0,0,4.5,0,0.4,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15785,24049,WR,Bo Melton,GB,0.1,0.5,0,3.8,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16883,26626,WR,Kameron Johnson,TB,0.3,1.6,0,2.3,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15109,19747,WR,Nick Westbrook-Ikhine,TEN,0,0.1,0,4.1,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16416,25758,WR,Xavier Gipson,NYJ,0,0.4,0,3.6,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16760,26413,WR,Casey Washington,ATL,0,0,0,3.8,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11228,11610,WR,Robert Woods,HOU,0,0.1,0,3.5,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14847,19270,WR,Devin Duvernay,JAC,0.3,1.4,0,2.7,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13488,16972,WR,Zach Pascal,ARI,0.1,0.6,0,2.8,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16684,26314,WR,Malik Washington,MIA,0,0.3,0,3,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16205,25442,WR,Tyler Scott,CHI,0,0.3,0,2.9,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15766,23905,WR,Skyy Moore,KC,0,0.1,0,3.1,0,0.3,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16751,26354,WR,Bub Means,NO,0,0,0,2.9,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16413,25668,WR,Malik Heath,GB,0,0.1,0,2.3,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16621,26011,WR,Devontez Walker,BAL,0,0,0,2.2,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15767,24214,WR,Velus Jones Jr.,CHI,0.1,1.2,0,1.5,0,0.2,NA,NA,NA,NA,NA,NA,FantasyPros,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
