player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Matthew Wright,K,KC,1,2.2,2.5,0,0,0.5,0.5,0.8,0.8,0.7,0.8,0.2,0.2,3.4,3.4,10,10,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,WAS,1,2.1,2.5,0,0,0.6,0.6,0.7,0.7,0.6,0.8,0.2,0.2,3,3,9.3,9.3,2061033,CBS,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,2.1,2.4,0,0,0.5,0.6,0.6,0.6,0.6,0.7,0.4,0.4,2.8,3,9.1,9.1,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,2,2.4,0,0,0.4,0.5,0.7,0.8,0.5,0.7,0.3,0.3,3.1,3.2,9.1,9.1,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.9,2,0,0,0.4,0.4,0.6,0.7,0.5,0.5,0.3,0.3,3.3,3.4,9,9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.1,2.5,0,0,0.5,0.5,0.6,0.7,0.7,0.8,0.4,0.4,2.3,2.4,8.6,8.6,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.8,2.3,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,3,3.1,8.4,8.4,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.8,1.9,0,0,0.6,0.6,0.5,0.5,0.4,0.5,0.3,0.3,3,3.1,8.4,8.4,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,2,2.2,0,0,0.6,0.6,0.5,0.6,0.5,0.6,0.3,0.3,2.4,2.4,8.4,8.4,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,1.9,2.2,0,0,0.4,0.4,0.7,0.7,0.5,0.6,0.3,0.3,2.7,2.8,8.4,8.4,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
