team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value
NE,0.69,NA,2.6,NA,0.52,NA,0.16,22.5,NA,NA,NA,330.33,NA,6.68,NA,NumberFire,0504,new-england-dst,D,New England D/ST,NA,NA,NA,NA,CHI,0.76,12.6,#23,11,6.69,3600,1.86,6.69,2500,2.68,6.69,10,0.67
DET,0.66,NA,2.99,NA,0.33,NA,0.17,22.75,NA,NA,NA,352.72,NA,6.64,NA,NumberFire,0522,detroit-dst,D,Detroit D/ST,NA,NA,NA,NA,HOU,0.72,12.56,#16,12,6.6,4000,1.65,6.6,3100,2.13,6.6,18,0.37
NYJ,0.56,NA,2.32,NA,0.64,NA,0.17,22,NA,NA,NA,310.42,NA,6.56,NA,NumberFire,0505,new-york-jets-dst,D,New York Jets D/ST,NA,NA,NA,NA,ARI,0.66,12.46,#12,13,6.59,4700,1.4,6.59,2900,2.27,6.59,13,0.51
BUF,0.69,NA,1.98,NA,0.52,NA,0.17,21.5,NA,NA,NA,330.42,NA,6.43,NA,NumberFire,0501,buffalo-dst,D,Buffalo D/ST,NA,NA,NA,NA,IND,0.56,12.3,#18,14,6.39,4600,1.39,6.39,3200,2,6.39,16,0.4
TEN,0.49,NA,2.82,NA,0.45,NA,0.16,22.5,NA,NA,NA,313.59,NA,6.35,NA,NumberFire,0508,tennessee-dst,D,Tennessee D/ST,NA,NA,NA,NA,LAC,0.49,12.21,#20,15,6.35,3400,1.87,6.35,2700,2.35,6.35,10,0.64
PIT,0.64,NA,2.61,NA,0.62,NA,0.14,24.5,NA,NA,NA,349.92,NA,6.28,NA,NumberFire,0510,pittsburgh-dst,D,Pittsburgh D/ST,NA,NA,NA,NA,WSH,0.44,12.12,#1,16,6.23,4200,1.48,6.23,3000,2.08,6.23,18,0.35
LA,0.81,NA,2.38,NA,0.47,NA,0.16,24,NA,NA,NA,385.71,NA,6.25,NA,NumberFire,0528,los-angeles-rams-d-st,D,Los Angeles Rams D/ST,NA,NA,NA,NA,MIA,0.41,12.09,#27,17,6.27,4000,1.57,6.27,2700,2.32,6.27,15,0.42
CAR,0.67,NA,2.27,NA,0.45,NA,0.16,23,NA,NA,NA,332.36,NA,6.05,NA,NumberFire,0527,carolina-dst,D,Carolina D/ST,NA,NA,NA,NA,NYG,0.25,11.85,#26,18,6,3300,1.82,6,2700,2.22,6,10,0.6
ATL,0.66,NA,1.96,NA,0.4,NA,0.18,21.75,NA,NA,NA,340.78,NA,6.03,NA,NumberFire,0526,atlanta-dst,D,Atlanta D/ST,NA,NA,NA,NA,NO,0.24,11.82,#21,19,5.99,4300,1.39,5.99,3400,1.76,5.99,11,0.54
DAL,0.58,NA,2.73,NA,0.52,NA,0.14,24.75,NA,NA,NA,340.48,NA,5.98,NA,NumberFire,0516,dallas-dst,D,Dallas D/ST,NA,NA,NA,NA,PHI,0.2,11.76,#10,20,5.95,3300,1.8,5.95,2400,2.48,5.95,10,0.6
NO,0.65,NA,2.34,NA,0.57,NA,0.14,24.75,NA,NA,NA,371.42,NA,5.86,NA,NumberFire,0529,new-orleans-dst,D,New Orleans D/ST,NA,NA,NA,NA,ATL,0.1,11.62,#8,21,5.82,3800,1.53,5.82,2800,2.08,5.82,12,0.49
DEN,0.69,NA,2.51,NA,0.39,NA,0.14,25.5,NA,NA,NA,341.16,NA,5.51,NA,NumberFire,0511,denver-dst,D,Denver D/ST,NA,NA,NA,NA,KC,-0.18,11.2,#7,22,5.52,4100,1.35,5.52,2400,2.3,5.52,18,0.31
HOU,0.56,NA,2.62,NA,0.46,NA,0.15,25.75,NA,NA,NA,348.18,NA,5.5,NA,NumberFire,0532,houston-dst,D,Houston D/ST,NA,NA,NA,NA,DET,-0.19,11.19,#4,23,5.47,3900,1.4,5.47,2600,2.1,5.47,16,0.34
MIA,0.78,NA,2.49,NA,0.38,NA,0.14,26.5,NA,NA,NA,360.54,NA,5.45,NA,NumberFire,0503,miami-dst,D,Miami D/ST,NA,NA,NA,NA,LA,-0.23,11.13,#15,24,5.45,3900,1.4,5.45,2500,2.18,5.45,10,0.55
