player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Nick Folk,K,TEN,1,1.3,1.4,0,0,0.4,0.4,0.3,0.3,0.4,0.4,0.2,0.2,1.6,1.7,5.5,5.5,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,1,1.1,1.4,0,0,0.3,0.3,0.4,0.4,0.3,0.4,0.2,0.2,1.4,1.6,4.7,4.7,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3821683,ESPN,14258,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,3953687,ESPN,16414,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,3050478,ESPN,13303,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,4,NA,NA,15683,ESPN,10976,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,4372066,ESPN,16286,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,4689936,ESPN,16846,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3150744,ESPN,14717,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4567104,ESPN,16681,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4360234,ESPN,15368,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,2971573,ESPN,12860,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,17372,ESPN,11936,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11122,ESPN,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4259619,ESPN,16444,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,3,NA,NA,3917232,ESPN,14983,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KCC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3055899,ESPN,13354,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,3,NA,NA,3049899,ESPN,13403,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473037,ESPN,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4566192,ESPN,16775,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4249087,ESPN,14244,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4034949,ESPN,13719,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14993,ESPN,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,3124679,ESPN,13832,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,NA,10621,ESPN,8851,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4362081,ESPN,15979,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4361765,ESPN,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15965,ESPN,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,17427,ESPN,11945,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,2,NA,NA,4686361,ESPN,16680,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3975763,ESPN,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3051909,ESPN,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,NA,NA,2985659,ESPN,12956,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,2,NA,NA,3124084,ESPN,14600,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123052,ESPN,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16339,ESPN,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Bullock,K,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15091,ESPN,10862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",K,LAC,NA,2.2,2.4,0,NA,0.7,NA,0.4,NA,0.7,NA,0.4,NA,2,2.3,9.6,NA,NA,FantasySharks,15979,NA,NA,NA,NA,NA,TEN,0.2,NA,NA,NA,NA,NA,NA,NA
"Moody, Jake",K,SFO,NA,2,2.2,0,NA,0.8,NA,0.4,NA,0.5,NA,0.3,NA,3,3.1,9.5,NA,NA,FantasySharks,16286,NA,NA,NA,NA,NA,@TBB,0.2,NA,NA,NA,NA,NA,NA,NA
"Aubrey, Brandon",K,DAL,NA,2.1,2.3,0,NA,0.3,NA,0.6,NA,0.5,NA,0.7,NA,2,2.1,9.4,NA,NA,FantasySharks,16414,NA,NA,NA,NA,NA,PHI,0.2,NA,NA,NA,NA,NA,NA,NA
"Bates, Jake",K,DET,NA,1.5,1.6,0,NA,0.3,NA,0.6,NA,0.4,NA,0.1,NA,3.8,4,8.7,NA,NA,FantasySharks,16846,NA,NA,NA,NA,NA,@HOU,0.1,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,2.1,2.4,0,NA,0.5,NA,0.7,NA,0.5,NA,0.4,NA,2.2,2.3,8.7,NA,NA,FantasySharks,13403,NA,NA,NA,NA,NA,@NOS,0.4,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.7,1.9,0,NA,0.5,NA,0.4,NA,0.6,NA,0.2,NA,3,3,8.7,NA,NA,FantasySharks,13303,NA,NA,NA,NA,NA,@DAL,0.2,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,2.1,2.5,0,NA,0.5,NA,0.7,NA,0.2,NA,0.7,NA,1.9,1.9,8.7,NA,NA,FantasySharks,12860,NA,NA,NA,NA,NA,DET,0.4,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",K,PIT,NA,2.1,2.3,0,NA,0.7,NA,0.5,NA,0.5,NA,0.4,NA,1.8,1.8,8.7,NA,NA,FantasySharks,11936,NA,NA,NA,NA,NA,@WAS,0.2,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",K,NOS,NA,1.9,2.2,0,NA,0.5,NA,0.5,NA,0.6,NA,0.3,NA,2.3,2.5,8.6,NA,NA,FantasySharks,16444,NA,NA,NA,NA,NA,ATL,0.2,NA,NA,NA,NA,NA,NA,NA
"Seibert, Austin",K,WAS,NA,2.1,2.5,0,NA,0.8,NA,0.6,NA,0.6,NA,0.1,NA,2.2,2.3,8.5,NA,NA,FantasySharks,14258,NA,NA,NA,NA,NA,PIT,0.3,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,1.8,2.1,0,NA,0.5,NA,0.6,NA,0.5,NA,0.2,NA,3.2,3.2,8.3,NA,NA,FantasySharks,10976,NA,NA,NA,NA,NA,CIN,0.4,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.8,2,0.1,NA,0.5,NA,0.6,NA,0.4,NA,0.3,NA,2.3,2.3,8,NA,NA,FantasySharks,13354,NA,NA,NA,NA,NA,DEN,0.2,NA,NA,NA,NA,NA,NA,NA
"Reichard, Will",K,MIN,NA,1.6,1.9,0,NA,0.4,NA,0.5,NA,0.4,NA,0.4,NA,2.5,2.6,7.6,NA,NA,FantasySharks,16681,NA,NA,NA,NA,NA,@JAC,0.3,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,TBB,NA,1.5,1.7,0,NA,0.4,NA,0.4,NA,0.1,NA,0.5,NA,2.5,2.5,7.6,NA,NA,FantasySharks,14717,NA,NA,NA,NA,NA,SFO,0.2,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,DEN,NA,1.8,2,0,NA,0.3,NA,0.7,NA,0.5,NA,0.2,NA,1.9,1.9,7.5,NA,NA,FantasySharks,12956,NA,NA,NA,NA,NA,@KCC,0.2,NA,NA,NA,NA,NA,NA,NA
"Karty, Joshua",K,LAR,NA,1.7,2,0,NA,0.6,NA,0.6,NA,0.3,NA,0.2,NA,2.2,2.5,7.3,NA,NA,FantasySharks,16775,NA,NA,NA,NA,NA,MIA,0.3,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,IND,NA,1.8,2.2,0,NA,0.5,NA,0.7,NA,0.3,NA,0.3,NA,2.1,2.1,7.3,NA,NA,FantasySharks,14244,NA,NA,NA,NA,NA,BUF,0.4,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",K,MIA,NA,1.6,2,0,NA,0.4,NA,0.5,NA,0.3,NA,0.4,NA,2.2,2.3,7,NA,NA,FantasySharks,13832,NA,NA,NA,NA,NA,@LAR,0.4,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.6,1.8,0,NA,0.4,NA,0.3,NA,0.3,NA,0.5,NA,1.8,2,6.9,NA,NA,FantasySharks,11945,NA,NA,NA,NA,NA,NEP,0.3,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.4,1.7,0,NA,0.4,NA,0.5,NA,0.3,NA,0.2,NA,2.7,2.9,6.8,NA,NA,FantasySharks,14983,NA,NA,NA,NA,NA,@IND,0.3,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.4,1.8,0,NA,0.5,NA,0.3,NA,0.3,NA,0.3,NA,2.5,2.6,6.4,NA,NA,FantasySharks,15368,NA,NA,NA,NA,NA,@BAL,0.4,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",K,ARI,NA,1.5,1.8,0,NA,0.2,NA,0.6,NA,0.3,NA,0.3,NA,1.7,1.7,6,NA,NA,FantasySharks,16292,NA,NA,NA,NA,NA,NYJ,0.3,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,TEN,NA,1.3,1.3,0,NA,0.5,NA,0.2,NA,0.4,NA,0.2,NA,1.5,1.6,6,NA,NA,FantasySharks,8851,NA,NA,NA,NA,NA,@LAC,0.1,NA,NA,NA,NA,NA,NA,NA
"Little, Cam",K,JAC,NA,1.3,1.5,0,NA,0.3,NA,0.4,NA,0.4,NA,0.2,NA,1.7,1.7,5.9,NA,NA,FantasySharks,16680,NA,NA,NA,NA,NA,MIN,0.2,NA,NA,NA,NA,NA,NA,NA
"Carlson, Anders",K,SFO,NA,1.5,1.8,0,NA,0.3,NA,0.8,NA,0.3,NA,0.1,NA,1.4,1.8,5.9,NA,NA,FantasySharks,16339,NA,NA,NA,NA,NA,@TBB,0.2,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.4,1.6,0,NA,0.4,NA,0.4,NA,0.5,NA,0.1,NA,1.5,1.6,5.9,NA,NA,FantasySharks,13719,NA,NA,NA,NA,NA,NYG,0.2,NA,NA,NA,NA,NA,NA,NA
"McAtamney, Jude",K,NYG,NA,1.6,1.9,0,NA,0.3,NA,0.7,NA,0.3,NA,0.2,NA,1.3,1.3,5.7,NA,NA,FantasySharks,16848,NA,NA,NA,NA,NA,@CAR,0.3,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,NEP,NA,1.1,1.5,0,NA,0.3,NA,0.4,NA,0.3,NA,0.3,NA,1.6,1.7,4.9,NA,NA,FantasySharks,14600,NA,NA,NA,NA,NA,@CHI,0.3,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,1.3,1.8,0,NA,0.3,NA,0.5,NA,0.3,NA,0.3,NA,1,1,4.6,NA,NA,FantasySharks,9694,NA,NA,NA,NA,NA,@CAR,0.4,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,1.65,1.9,0.02,NA,0.48,NA,0.58,NA,0.43,NA,0.15,NA,3.75,NA,9.45,NA,jake-bates,NumberFire,16846,NA,NA,NA,NA,NA,HOU,NA,4.3,14.6,#11,1,9.46,9.46,9.46
Will Reichard,K,MIN,NA,1.89,2.3,0.04,NA,0.52,NA,0.61,NA,0.63,NA,0.1,NA,2.92,NA,9.45,NA,will-reichard,NumberFire,16681,NA,NA,NA,NA,NA,JAC,NA,5.29,13.61,#31,1,9.45,9.45,9.45
Cameron Dicker,K,LAC,NA,2.08,2.42,0.02,NA,0.9,NA,0.48,NA,0.48,NA,0.16,NA,2.44,NA,9.37,NA,cameron-dicker,NumberFire,15979,NA,NA,NA,NA,NA,TEN,NA,4.19,14.55,#10,3,9.36,9.36,9.36
Anders Carlson,K,SF,NA,1.72,1.87,0.02,NA,0.48,NA,0.47,NA,0.57,NA,0.17,NA,3,NA,9.06,NA,anders-carlson,NumberFire,16339,NA,NA,NA,NA,NA,TB,NA,5.16,12.96,#29,4,9.04,9.04,9.04
Chris Boswell,K,PIT,NA,1.91,2.07,0,NA,0.62,NA,0.62,NA,0.49,NA,0.2,NA,2.31,NA,9.01,NA,chris-boswell,NumberFire,11936,NA,NA,NA,NA,NA,WSH,NA,5.69,12.33,#26,5,8.99,8.99,8.99
Cairo Santos,K,CHI,NA,1.78,2.07,0.04,NA,0.34,NA,0.67,NA,0.51,NA,0.23,NA,2.65,NA,9,NA,cairo-santos,NumberFire,11945,NA,NA,NA,NA,NA,NE,NA,4.65,13.35,#28,6,8.99,8.99,8.99
Austin Seibert,K,WSH,NA,1.75,2.06,0.03,NA,0.69,NA,0.65,NA,0.29,NA,0.1,NA,3.21,NA,8.97,NA,austin-seibert,NumberFire,14258,NA,NA,NA,NA,NA,PIT,NA,5.25,12.69,#4,7,8.98,8.98,8.98
Justin Tucker,K,BAL,NA,1.63,2.07,0.02,NA,0.49,NA,0.53,NA,0.55,NA,0.04,NA,3.4,NA,8.9,NA,justin-tucker,NumberFire,10976,NA,NA,NA,NA,NA,CIN,NA,6,11.8,#24,8,8.92,8.92,8.92
Nick Folk,K,TEN,NA,1.99,2.17,0,NA,0.31,NA,0.62,NA,0.66,NA,0.42,NA,1.38,NA,8.88,NA,nick-folk,NumberFire,8851,NA,NA,NA,NA,NA,LAC,NA,4.19,13.57,#1,9,8.91,8.91,8.91
Brandon Aubrey,K,DAL,NA,2.02,2.31,0.02,NA,0.65,NA,0.71,NA,0.4,NA,0.24,NA,1.91,NA,8.83,NA,brandon-aubrey,NumberFire,16414,NA,NA,NA,NA,NA,PHI,NA,3.38,14.28,#12,10,8.85,8.85,8.85
Riley Patterson,K,NYJ,NA,1.67,1.92,0.04,NA,0.54,NA,0.6,NA,0.41,NA,0.09,NA,3.2,NA,8.83,NA,riley-patterson,NumberFire,15369,NA,NA,NA,NA,NA,ARI,NA,4.57,13.09,#27,10,8.83,8.83,8.83
Blake Grupe,K,NO,NA,2,2.17,0.02,NA,0.55,NA,0.6,NA,0.54,NA,0.27,NA,1.76,NA,8.8,NA,blake-grupe,NumberFire,16444,NA,NA,NA,NA,NA,ATL,NA,4.24,13.36,#18,12,8.78,8.78,8.78
Harrison Butker,K,KC,NA,1.92,2.31,0.06,NA,0.46,NA,0.65,NA,0.67,NA,0.09,NA,2.15,NA,8.8,NA,harrison-butker,NumberFire,13354,NA,NA,NA,NA,NA,DEN,NA,4.26,13.34,#3,12,8.79,8.79,8.79
Younghoe Koo,K,ATL,NA,1.75,2.1,0.02,NA,0.44,NA,0.6,NA,0.58,NA,0.09,NA,2.84,NA,8.8,NA,younghoe-koo,NumberFire,13403,NA,NA,NA,NA,NA,NO,NA,4.18,13.42,#17,12,8.79,8.79,8.79
Tyler Bass,K,BUF,NA,1.6,1.86,0,NA,0.56,NA,0.53,NA,0.35,NA,0.15,NA,3.1,NA,8.52,NA,tyler-bass,NumberFire,14983,NA,NA,NA,NA,NA,IND,NA,5.02,12.02,#16,15,8.52,8.52,8.52
