player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Sanders,K,MIA,1,2.1,2.4,0,0,0.5,0.5,0.7,0.7,0.5,0.7,0.4,0.4,2.8,2.8,9.1,9.1,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.8,2.2,0,0,0.6,0.6,0.7,0.7,0.4,0.5,0.1,0.1,3.6,3.7,9,9,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.1,2.5,0,0,0.5,0.5,0.6,0.7,0.6,0.8,0.4,0.4,2.7,2.8,9,9,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,2,2.2,0,0,0.6,0.6,0.5,0.5,0.5,0.5,0.3,0.3,3,3.1,9,9,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,2.1,2.3,0,0,0.6,0.6,0.6,0.6,0.5,0.7,0.4,0.4,2.6,2.7,8.9,8.9,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,2,2.4,0,0,0.5,0.5,0.7,0.8,0.5,0.8,0.2,0.2,2.9,3.2,8.9,8.9,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Parker Romo,K,MIN,1,2.1,2.5,0,0,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,2.2,2.5,8.5,8.5,2245258,CBS,16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.9,2.4,0,0,0.6,0.6,0.5,0.6,0.5,0.7,0.2,0.2,2.4,2.4,8.1,8.1,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,KC,1,1.8,2.1,0,0,0.4,0.4,0.7,0.7,0.6,0.7,0.1,0.1,2.4,2.5,7.8,7.8,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.7,2,0,0,0.4,0.4,0.7,0.7,0.4,0.6,0.2,0.2,2.6,2.6,7.7,7.7,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
