player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Younghoe Koo,K,ATL,1,2.6,3.1,0,0,0.7,0.7,0.8,0.8,0.6,0.9,0.5,0.5,3.7,3.8,11.5,11.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.3,2.6,0,0,0.5,0.6,0.6,0.8,0.7,0.7,0.4,0.4,2.6,2.7,9.5,9.5,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Seibert,K,WAS,1,2,2.3,0,0,0.7,0.7,0.6,0.6,0.7,0.7,0.1,0.1,3.1,3.1,9.1,9.1,2179668,CBS,14258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2.1,2.5,0,0,0.5,0.5,0.7,0.8,0.5,0.6,0.4,0.4,2.6,2.7,8.9,8.9,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2,2.3,0,0,0.6,0.6,0.6,0.7,0.5,0.5,0.3,0.3,2.8,2.9,8.8,8.8,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.8,2.1,0,0,0.5,0.5,0.5,0.6,0.5,0.6,0.2,0.2,3.4,3.5,8.8,8.8,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.9,2.4,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,3,3.1,8.7,8.7,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.8,2.1,0,0,0.5,0.5,0.7,0.7,0.4,0.6,0.2,0.2,3.1,3.3,8.5,8.5,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.8,2.1,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,2.7,2.8,8.1,8.1,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.7,2.1,0,0,0.5,0.5,0.5,0.5,0.4,0.6,0.3,0.3,3,3.2,8.1,8.1,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,1,1.7,2,0,0,0.4,0.4,0.5,0.5,0.6,0.7,0.3,0.3,2.7,2.9,7.8,7.8,2876348,CBS,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.9,2.1,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,2.1,2.1,7.8,7.8,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.8,2.1,0,0,0.4,0.4,0.7,0.7,0.5,0.7,0.2,0.2,2.2,2.2,7.6,7.6,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.7,2,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,2.5,2.5,7.6,7.6,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.4,0.6,0.3,0.3,2.4,2.7,7.2,7.2,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.5,1.7,0,0,0.4,0.4,0.5,0.6,0.4,0.5,0.2,0.2,2.7,2.8,7.2,7.2,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,NYJ,1,1.6,1.8,0,0,0.4,0.4,0.6,0.7,0.5,0.6,0.1,0.1,2.3,2.4,7.1,7.1,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.6,1.8,0,0,0.5,0.5,0.4,0.5,0.5,0.6,0.2,0.2,2.3,2.3,7.1,7.1,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
