player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Younghoe Koo,K,ATL,1,2.3,2.6,0,0,0.6,0.6,0.6,0.7,0.7,0.8,0.4,0.4,3.6,3.7,10.5,10.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,2.2,2.5,0,0,0.5,0.5,0.6,0.7,0.6,0.7,0.4,0.4,2.6,2.8,9.2,9.2,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.9,2.3,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.3,0.3,3.2,3.3,8.9,8.9,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2.1,2.5,0,0,0.5,0.5,0.7,0.7,0.6,0.8,0.4,0.4,2.4,2.5,8.7,8.7,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,1,1.8,2.3,0,0,0.6,0.6,0.6,0.6,0.6,0.8,0.2,0.2,3.1,3.2,8.5,8.5,2964952,CBS,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,2.1,2.4,0,0,0.5,0.5,0.8,0.8,0.7,0.9,0.2,0.2,2.1,2.2,8.4,8.4,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,2,0,0,0.5,0.5,0.5,0.6,0.4,0.4,0.3,0.3,3.3,3.4,8.4,8.4,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,SF,1,1.8,2.2,0,0,0.4,0.4,0.6,0.7,0.5,0.7,0.2,0.2,2.8,2.8,8.2,8.2,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,NYG,1,1.9,2.2,0,0,0.5,0.6,0.6,0.6,0.4,0.6,0.3,0.3,2.3,2.5,8,8,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,1,1.8,1.9,0,0,0.4,0.4,0.5,0.5,0.6,0.6,0.3,0.3,2.5,2.6,7.9,7.9,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.8,2.1,0,0,0.4,0.5,0.5,0.5,0.5,0.7,0.3,0.3,2.5,2.6,7.9,7.9,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,1.9,2.1,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.3,0.3,2.2,2.2,7.9,7.9,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.9,2.1,0,0,0.5,0.5,0.6,0.6,0.5,0.6,0.4,0.4,2.1,2.1,7.8,7.8,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.6,2,0,0,0.5,0.5,0.6,0.6,0.4,0.6,0.1,0.1,2.8,3.1,7.6,7.6,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.8,1.9,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,2.1,2.3,7.5,7.5,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.8,2.1,0,0,0.4,0.4,0.5,0.6,0.5,0.6,0.3,0.3,2.1,2.1,7.5,7.5,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,1,1.7,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.5,0.3,0.3,2.3,2.3,7.4,7.4,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
