player,team,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,fumbles_lost,site_pts,src_id,data_src,pos,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,curr_site_pts,draft_rank,pass_comp_pct,pass_rate,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Jaren Hall,MIN,0,0,9,0,0.1,0,0.1,0,NA,0.48,17796,FleaFlicker,QB,16154,SFMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0/0,0,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,BAL,0,0,6.3,0,0.1,0,0.2,0,NA,0.46,15705,FleaFlicker,QB,14789,DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0/0,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacoby Brissett,WAS,0,0,6.8,0,0,0,0.1,0,NA,0.44,12079,FleaFlicker,QB,12616,@NYGSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,QB40,0/0,0,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teddy Bridgewater,DET,0,0,7.7,0,0,0,0,0,NA,0.42,10240,FleaFlicker,QB,11640,@BALSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0/0,0,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,PIT,0,0,5.1,0,0,0,0,0,NA,0.42,12893,FleaFlicker,QB,13115,@LARSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0/0,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,NO,0,0,7.5,0,0,0,0,0,NA,0.38,11183,FleaFlicker,QB,12140,JACL 24-31,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,QB35,0/0,0,15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ Walker,CLE,0,0,7.5,0,0.1,0,0,0,NA,0.38,13341,FleaFlicker,QB,13416,@INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,QB39,0/0,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,PHI,34.55,22.5,249.41,1.61,0.76,9.57,45.46,0.64,NA,22.94,jalen-hurts,NumberFire,QB,14783,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.03,30.85,#25,1,1,23.72,9400,2.52,23.94,8100,2.96,23.72,38,0.62,NA
Patrick Mahomes,KC,36.81,24.56,282.68,2.09,0.6,4.48,19.99,0.19,NA,21.35,patrick-mahomes,NumberFire,QB,13116,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.51,29.19,#23,2,2,21.93,NA,NA,22.13,NA,NA,21.93,39,0.56,NA
Lamar Jackson,BAL,30.02,19.45,205.1,1.48,0.68,9.98,61.69,0.38,NA,20.72,lamar-jackson,NumberFire,QB,13593,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.91,28.53,#10,3,3,21.39,8000,2.67,21.7,7600,2.86,21.39,31,0.69,NA
Josh Allen,BUF,34.11,23.06,241.57,1.66,0.77,5.56,27.99,0.29,NA,18.97,josh-allen,NumberFire,QB,13589,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,26.69,#12,4,4,19.71,9000,2.19,19.94,8200,2.43,19.71,38,0.52,NA
Tua Tagovailoa,MIA,36.45,24.31,301.21,1.8,0.82,1.46,6.11,0.06,NA,18.32,tua-tagovailoa,NumberFire,QB,14778,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.63,26.01,#22,5,5,19.18,8500,2.26,22.35,7700,2.9,19.18,33,0.58,NA
Russell Wilson,DEN,31.35,20.34,226.71,1.53,0.54,5.13,28.28,0.15,NA,17.44,russell-wilson,NumberFire,QB,10703,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,25.08,#21,6,6,17.98,7200,2.5,18.23,5400,3.38,17.98,28,0.64,NA
Geno Smith,SEA,34.46,23.19,247.12,1.81,0.94,3.39,14.12,0.16,NA,17.37,geno-smith-1,NumberFire,QB,11150,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,25.01,#31,7,7,18.28,7000,2.61,18.47,6000,3.08,18.28,28,0.65,NA
Justin Herbert,LAC,36.11,24.43,245.61,1.41,0.65,5.11,20.82,0.19,NA,17.21,justin-herbert,NumberFire,QB,14779,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.58,24.84,#6,8,8,17.84,NA,NA,17.99,NA,NA,17.84,35,0.51,NA
Deshaun Watson,CLE,30.01,18.97,221.82,1.31,0.65,6.28,29.22,0.27,NA,16.86,deshaun-watson,NumberFire,QB,13113,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,24.47,#17,9,9,17.48,7500,2.33,17.78,5700,3.12,17.48,27,0.65,NA
Jordan Love,GB,32.85,20.88,238.57,1.52,0.8,4.76,18.78,0.21,NA,16.79,jordan-love,NumberFire,QB,14782,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.19,24.39,#32,10,10,17.6,7800,2.26,17.83,5800,3.07,17.6,30,0.59,NA
Brock Purdy,SF,31,21.34,237.79,1.59,0.68,2.29,9.29,0.12,NA,15.96,brock-purdy,NumberFire,QB,15698,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,23.51,#19,12,11,16.64,7400,2.25,16.79,5500,3.05,16.64,29,0.57,NA
Matthew Stafford,LA,33.64,20.25,238.87,1.69,0.75,1.75,6.41,0.06,NA,15.67,matthew-stafford,NumberFire,QB,9431,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13,23.21,#6,13,12,16.41,6700,2.45,16.54,6500,2.54,16.41,29,0.57,NA
Sam Howell,WSH,31.53,20.82,224.61,1.17,0.75,5.48,23.62,0.21,NA,15.43,sam-howell,NumberFire,QB,15693,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,22.95,#16,14,13,16.14,7400,2.18,16.38,5500,2.98,16.14,26,0.62,NA
Kirk Cousins,MIN,35.96,24.14,256.4,1.37,0.64,1.9,6.86,0.07,NA,15.02,kirk-cousins,NumberFire,QB,10700,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,22.52,#5,16,14,15.7,7300,2.15,16,6900,2.32,15.7,28,0.56,NA
Jared Goff,DET,35.16,22.86,246.96,1.37,0.66,2.08,7.34,0.08,NA,14.94,jared-goff,NumberFire,QB,12611,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,22.43,#4,17,15,15.61,7600,2.05,15.81,6400,2.47,15.61,27,0.58,NA
Trevor Lawrence,JAC,34.16,21.56,225.82,1.23,0.68,3.51,16.31,0.12,NA,14.45,trevor-lawrence,NumberFire,QB,15237,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99,21.91,#8,18,16,15.12,7500,2.02,15.42,6300,2.45,15.12,25,0.6,NA
Tyrod Taylor,NYG,29.74,17.7,196.89,0.89,0.62,6.61,31.56,0.22,NA,14.26,tyrod-taylor,NumberFire,QB,10413,WSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,21.71,#26,19,17,14.85,6500,2.28,15.11,5100,2.96,14.85,20,0.74,NA
Kenny Pickett,PIT,31.41,18.65,207.79,1.18,0.73,4.15,16.81,0.2,NA,14.25,kenny-pickett,NumberFire,QB,15692,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,21.7,#14,21,18,14.96,6500,2.3,15.11,5000,3.02,14.96,22,0.68,NA
Baker Mayfield,TB,32.63,20.9,210.92,1.26,0.9,4.15,16.26,0.15,NA,13.76,baker-mayfield,NumberFire,QB,13590,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,21.17,#15,23,19,14.66,6600,2.22,14.93,5300,2.82,14.66,24,0.61,NA
Derek Carr,NO,32.66,20.65,224.75,1.28,0.65,1.44,5.47,0.05,NA,13.37,derek-carr,NumberFire,QB,11644,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,20.75,#2,24,20,14.03,6500,2.16,14.22,5400,2.63,14.03,25,0.56,NA
Joshua Dobbs,ARI,32.47,20.34,204.76,0.87,0.91,5.82,24.84,0.26,NA,13.3,joshua-dobbs,NumberFire,QB,13119,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.92,20.68,#18,25,21,14.2,6600,2.15,14.54,5300,2.74,14.2,24,0.59,NA
Brian Hoyer,LV,32.62,20.66,236.64,1.17,0.82,1.65,5.86,0.07,NA,13.29,brian-hoyer,NumberFire,QB,9714,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,20.67,#29,26,22,14.13,6300,2.24,14.28,4900,2.91,14.13,20,0.71,NA
Gardner Minshew,IND,31.31,18.82,206.63,1.01,0.74,4.44,16.96,0.14,NA,12.77,gardner-minshew,NumberFire,QB,14067,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.43,20.11,#1,28,23,13.46,6400,2.1,13.82,5200,2.66,13.46,21,0.64,NA
Desmond Ridder,ATL,28.38,18.41,190.75,0.96,0.64,2.51,10.03,0.09,NA,11.46,desmond-ridder,NumberFire,QB,15697,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22,18.7,#11,38,24,12.09,6900,1.75,12.27,5200,2.36,12.09,22,0.55,NA
Mac Jones,NE,31.48,20.45,194.16,0.9,0.78,2.21,8.59,0.06,NA,10.82,mac-jones,NumberFire,QB,15241,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,18,#9,44,25,11.59,6300,1.84,11.74,4900,2.4,11.59,20,0.58,NA
Tyson Bagent,CHI,28.08,17.88,178.22,0.72,0.82,3.11,12.64,0.15,NA,10.31,tyson-bagent,NumberFire,QB,16384,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17,17.45,#30,46,26,11.11,6300,1.76,11.27,4900,2.3,11.11,20,0.56,NA
Patrick Mahomes,KC,NA,NA,314.8,2.17,0.82,NA,27.18,0.2,0.05,23.77,2558125,NFL,QB,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Jalen Hurts,PHI,NA,NA,243.54,1.55,0.9,NA,41.25,0.44,0.05,21.07,2564832,NFL,QB,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Josh Allen,BUF,NA,NA,285.86,1.96,0.91,NA,21.61,0.19,0.09,20.9,2560955,NFL,QB,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Lamar Jackson,BAL,NA,NA,218.31,1.27,0.68,NA,56.65,0.38,0.09,20.4,2560757,NFL,QB,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Justin Herbert,LAC,NA,NA,283.48,1.8,0.9,NA,14.15,0.16,0.03,19.37,2565045,NFL,QB,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Deshaun Watson,CLE,NA,NA,242.99,1.56,0.59,NA,27.96,0.2,0.06,19.04,2558063,NFL,QB,13113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19
Geno Smith,SEA,NA,NA,264.5,1.78,0.59,NA,17.15,0.14,0.09,18.96,2539335,NFL,QB,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Tua Tagovailoa,MIA,NA,NA,296.71,1.93,0.9,NA,4.76,0.06,0.08,18.52,2564499,NFL,QB,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jared Goff,DET,NA,NA,283.32,1.74,0.75,NA,7.22,0.07,0.1,17.99,2555334,NFL,QB,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Matthew Stafford,LA,NA,NA,272.61,1.87,0.7,NA,5.09,0.06,0.06,17.91,79860,NFL,QB,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Brock Purdy,SF,NA,NA,260.91,1.82,0.87,NA,9.42,0.13,0.04,17.74,2568216,NFL,QB,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Trevor Lawrence,JAX,NA,NA,246.42,1.4,0.98,NA,27.9,0.15,0.17,17.17,2566163,NFL,QB,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Kirk Cousins,MIN,NA,NA,279.34,1.68,0.84,NA,3.43,0.07,0.05,17.14,2532820,NFL,QB,10700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Russell Wilson,DEN,NA,NA,228.62,1.42,0.72,NA,24.47,0.21,0.03,17.09,2532975,NFL,QB,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jordan Love,GB,NA,NA,243.36,1.56,1.1,NA,18.94,0.19,0.06,16.91,2564007,NFL,QB,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11
Sam Howell,WAS,NA,NA,233.53,1.27,0.78,NA,18.29,0.2,0.05,15.95,2568333,NFL,QB,15693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Baker Mayfield,TB,NA,NA,229.89,1.42,0.75,NA,19.12,0.1,0.06,15.95,2560800,NFL,QB,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Derek Carr,NO,NA,NA,251.29,1.66,0.82,NA,4.13,0.07,0.03,15.88,2543499,NFL,QB,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Joshua Dobbs,ARI,NA,NA,217.5,1.14,0.89,NA,25.44,0.19,0.09,15.14,2558167,NFL,QB,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
Desmond Ridder,ATL,NA,NA,215.71,1.17,0.71,NA,18.31,0.14,0.07,14.56,2567256,NFL,QB,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
Brian Hoyer,LV,NA,NA,216.32,1.2,0.58,NA,14.17,0.12,0.08,14.33,81294,NFL,QB,9714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Kenny Pickett,PIT,NA,NA,220.61,1.08,0.74,NA,16.94,0.14,0.04,14.3,2568162,NFL,QB,15692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Tyson Bagent,CHI,NA,NA,211.85,1.2,1.03,NA,14.95,0.17,0.06,13.73,2570467,NFL,QB,16384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Tyrod Taylor,NYG,NA,NA,185.32,1.09,0.56,NA,21.61,0.16,0.02,13.73,2495240,NFL,QB,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mac Jones,NE,NA,NA,217.46,1.14,0.92,NA,11.2,0.13,0.08,13.34,2566334,NFL,QB,15241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Gardner Minshew,IND,NA,NA,222.57,1.22,0.88,NA,5.95,0.07,0.07,13.18,2562796,NFL,QB,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14
Aidan O'Connell,LV,NA,NA,56,0.14,0.16,NA,0.06,0.01,0.01,2.53,2570044,NFL,QB,16159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bailey Zappe,NE,NA,NA,31.17,0.07,0.15,NA,0.04,0.01,0.01,1.27,2567961,NFL,QB,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Clifford,GB,NA,NA,14.87,0.1,0.13,NA,0.53,0.02,0.01,0.97,2569762,NFL,QB,16313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Tommy DeVito,NYG,NA,NA,21.29,0.06,0.12,NA,0.11,0.02,0.01,0.96,2570578,NFL,QB,16441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Darnold,SF,NA,NA,15.97,0.06,0.06,NA,0.04,0.02,0.01,0.86,2561036,NFL,QB,13592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton Tune,ARI,NA,NA,15.44,0.05,0.1,NA,0.32,0.02,0.01,0.83,2570236,NFL,QB,16160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Jacoby Brissett,WAS,NA,NA,13.64,0.04,0.03,NA,0.09,0.02,0.01,0.77,2555261,NFL,QB,12616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Jaren Hall,MIN,NA,NA,18.04,0.06,0.16,NA,0.24,0.02,0.01,0.77,2570083,NFL,QB,16154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Heinicke,ATL,NA,NA,14.94,0.05,0.05,NA,0.09,NA,NA,0.77,2553656,NFL,QB,12476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Tyler Huntley,BAL,NA,NA,12.65,0.07,0.09,NA,0.35,0.02,0.01,0.74,2563560,NFL,QB,14789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Trubisky,PIT,NA,NA,10.23,0.07,0.06,NA,0.02,0.01,NA,0.69,2558008,NFL,QB,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Teddy Bridgewater,DET,NA,NA,15.35,0.04,0.07,NA,NA,NA,NA,0.67,2543465,NFL,QB,11640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Kyle Trask,TB,NA,NA,11.32,0.07,0.06,NA,NA,0.01,0.01,0.65,2566571,NFL,QB,15242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,NO,NA,NA,15.06,0.04,0.08,NA,NA,0.01,0.01,0.64,2552033,NFL,QB,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blaine Gabbert,KC,NA,NA,11.65,0.04,0.06,NA,0.01,0.01,NA,0.59,2495441,NFL,QB,10262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
PJ Walker,CLE,NA,NA,14.99,0.05,0.12,NA,0.05,NA,NA,0.56,2558904,NFL,QB,13416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
