team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
JAC,0.9,NA,2.8,NA,0.5,0.8,0.2,17.7,NA,NA,NA,308.1,NA,10.75,NA,FleaFlicker,0509,2342,DST,Jacksonville Jaguars,NA,NA,NA,NA,CINMon 8:15 PM,9,NA,D/ST15,0,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.8,NA,2.9,NA,0.6,0.8,0.2,17.6,NA,NA,NA,333.4,NA,10.58,NA,FleaFlicker,0510,2352,DST,Pittsburgh Steelers,NA,NA,NA,NA,ARISun 1:00 PM,6,NA,D/ST6,0,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.9,NA,2.6,NA,0.5,0.8,0.2,20,NA,NA,NA,328.2,NA,10.23,NA,FleaFlicker,0512,2343,DST,Kansas City Chiefs,NA,NA,NA,NA,@GBSun 8:20 PM,10,NA,D/ST11,0,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.6,NA,3,NA,0.5,0.7,0.1,20.8,NA,NA,NA,314.8,NA,10.09,NA,FleaFlicker,0532,2340,DST,Houston Texans,NA,NA,NA,NA,DENSun 1:00 PM,7,NA,D/ST27,0,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,1.1,NA,2.3,NA,0.6,0.8,0.2,16.6,NA,NA,NA,295,NA,10.03,NA,FleaFlicker,0526,2329,DST,Atlanta Falcons,NA,NA,NA,NA,@NYJSun 1:00 PM,11,NA,D/ST21,0,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.7,NA,2.7,NA,0.6,0.8,0.1,24.3,NA,NA,NA,374.3,NA,9.93,NA,FleaFlicker,0518,2351,DST,Philadelphia Eagles,NA,NA,NA,NA,SFSun 4:25 PM,10,NA,D/ST7,0,83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.7,NA,2.5,NA,0.5,0.9,0.2,21.2,NA,NA,NA,312.7,NA,9.69,NA,FleaFlicker,0502,2341,DST,Indianapolis Colts,NA,NA,NA,NA,@TENSun 1:00 PM,11,NA,D/ST20,0,57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,NA,2.4,NA,0.6,0.8,0.2,18.5,NA,NA,NA,317.5,NA,9.68,NA,FleaFlicker,0505,2349,DST,New York Jets,NA,NA,NA,NA,ATLSun 1:00 PM,7,NA,D/ST4,0,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,NA,2.3,NA,0.5,0.9,0.1,25,NA,NA,NA,395.5,NA,9.49,NA,FleaFlicker,0511,2337,DST,Denver Broncos,NA,NA,NA,NA,@HOUSun 1:00 PM,9,NA,D/ST10,0,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.8,NA,2.2,NA,0.5,0.8,0.2,18.2,NA,NA,NA,337.5,NA,9.36,NA,FleaFlicker,0514,2353,DST,Los Angeles Chargers,NA,NA,NA,NA,@NESun 1:00 PM,5,NA,D/ST24,0,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
