team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,curr_site_pts,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
Jacksonville Jaguars,0.79,0.06,2.6,NA,0.65,NA,0.16,20,NA,NA,NA,NA,NA,6.86,NA,NFL,0509,100015,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Indianapolis Colts,0.87,0.04,2.72,NA,0.6,NA,0.15,21.01,NA,NA,NA,NA,NA,6.82,NA,NFL,0502,100014,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Los Angeles Chargers,0.97,0.03,2.45,NA,0.57,NA,0.17,19.8,NA,NA,NA,NA,NA,6.79,NA,NFL,0514,100028,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Cleveland Browns,1.02,0.03,2.5,NA,0.61,NA,0.14,20.61,NA,NA,NA,NA,NA,6.78,NA,NFL,0507,100007,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Miami Dolphins,0.97,0.04,2.68,NA,0.47,NA,0.16,21.28,NA,NA,NA,NA,NA,6.78,NA,NFL,0503,100019,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
San Francisco 49ers,0.95,0.03,2.6,NA,0.58,NA,0.14,21.86,NA,NA,NA,NA,NA,6.74,NA,NFL,0530,100029,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Tennessee Titans,0.8,0.03,2.56,NA,0.61,NA,0.14,21.63,NA,NA,NA,NA,NA,6.46,NA,NFL,0508,100012,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Philadelphia Eagles,0.78,0.03,2.41,NA,0.66,NA,0.15,21.07,NA,NA,NA,NA,NA,6.43,NA,NFL,0518,100025,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Los Angeles Rams,0.9,0.04,2.27,NA,0.57,NA,0.15,22.97,NA,NA,NA,NA,NA,6.37,NA,NFL,0528,100017,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Denver Broncos,0.95,0.03,2.12,NA,0.56,NA,0.16,25.21,NA,NA,NA,NA,NA,6.28,NA,NFL,0511,100009,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
New Orleans Saints,0.9,0.03,1.95,NA,0.67,NA,0.15,24.52,NA,NA,NA,NA,NA,6.23,NA,NFL,0529,100022,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Detroit Lions,0.85,0.03,2.24,NA,0.55,NA,0.16,23.93,NA,NA,NA,NA,NA,6.18,NA,NFL,0522,100010,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Seattle Seahawks,0.85,0.03,2.3,NA,0.61,NA,0.14,27.59,NA,NA,NA,NA,NA,6.18,NA,NFL,0515,100030,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
Carolina Panthers,0.7,0.03,2.53,NA,0.56,NA,0.15,24.14,NA,NA,NA,NA,NA,6.13,NA,NFL,0527,100004,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Green Bay Packers,0.93,0.03,1.83,NA,0.61,NA,0.15,22.37,NA,NA,NA,NA,NA,6.05,NA,NFL,0523,100011,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
New England Patriots,0.78,0.03,2.09,NA,0.65,NA,0.15,21.97,NA,NA,NA,NA,NA,6.03,NA,NFL,0504,100021,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Cincinnati Bengals,0.78,0.02,2.08,NA,0.6,NA,0.15,26.3,NA,NA,NA,NA,NA,6.02,NA,NFL,0506,100006,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04
Washington Commanders,0.76,0.03,1.9,NA,0.7,NA,0.14,23.23,NA,NA,NA,NA,NA,5.84,NA,NFL,0520,100032,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
Arizona Cardinals,0.67,0.03,2.11,NA,0.65,NA,0.15,25.08,NA,NA,NA,NA,NA,5.77,NA,NFL,0519,100026,DST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01
