player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,pass_att,pass_comp,pass_yds,pass_tds,pass_int,rush_att,rush_yds,rush_tds,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,return_yds,scoring_opp,bye,curr_site_pts,draft_rank,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points
Hunter Henry,TE,NE,NA,NA,3,33,NA,NA,0.2,NA,4.5,NA,15603,FFToday,12676,NA,NA,NA,NA,NA,0,0,0,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Everett,TE,LAC,NA,NA,3,32,NA,NA,0.2,NA,4.4,NA,15865,FFToday,13236,NA,NA,NA,NA,NA,0,0,0,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,NA,NA,3,32,NA,NA,0.2,NA,4.4,NA,17335,FFToday,14861,NA,NA,NA,NA,NA,0,0,0,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,NA,NA,3,37,NA,NA,0.1,NA,4.3,NA,18171,FFToday,15802,NA,NA,NA,NA,NA,0,0,0,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevin Jordan,TE,HOU,NA,NA,3,34,NA,NA,0.1,NA,4,NA,17619,FFToday,15330,NA,NA,NA,NA,NA,0,0,0,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,NA,NA,3,33,NA,NA,0.1,NA,3.9,NA,15605,FFToday,12678,NA,NA,NA,NA,NA,0,0,0,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,SEA,NA,NA,2,24,NA,NA,0.2,NA,3.6,NA,16564,FFToday,14137,NA,NA,NA,NA,NA,0,0,0,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,NA,NA,2,30,NA,NA,0.1,NA,3.6,NA,18167,FFToday,15889,NA,NA,NA,NA,NA,0,0,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Hudson,TE,CIN,NA,NA,2,28,NA,NA,0.1,NA,3.4,NA,16849,FFToday,14370,NA,NA,NA,NA,NA,0,0,0,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Parham,TE,LAC,NA,NA,2,17,NA,NA,0.1,NA,2.3,NA,17296,FFToday,14341,NA,NA,NA,NA,NA,0,0,0,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,NA,NA,2,17,NA,NA,0.1,NA,2.3,NA,17231,FFToday,14870,NA,NA,NA,NA,NA,0,0,0,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Stoll,TE,PHI,NA,NA,1,16,NA,NA,0.1,NA,2.2,NA,17786,FFToday,15541,NA,NA,NA,NA,NA,0,0,0,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irv Smith,TE,CIN,NA,NA,1,8,NA,NA,0.1,NA,1.4,NA,16704,FFToday,14141,NA,NA,NA,NA,NA,0,0,0,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mo Alie-Cox,TE,IND,NA,NA,1,10,NA,NA,0,NA,1,NA,16376,FFToday,13246,NA,NA,NA,NA,NA,0,0,0,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham Smythe,TE,MIA,NA,NA,1,10,NA,NA,0,NA,1,NA,16176,FFToday,13676,NA,NA,NA,NA,NA,0,0,0,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,NA,6.4,6.4,67,NA,NA,0.5,0,9.48,NA,9360,FleaFlicker,11244,NA,NA,NA,NA,NA,0,0,0,@GBSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,TE1,0.5,67,99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,NA,4.6,4.6,61.8,NA,NA,0.4,0,8.36,NA,13023,FleaFlicker,13299,NA,NA,NA,NA,NA,0,0,0,@PHISun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,TE3,0.4,61.8,98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Njoku,TE,CLE,NA,4.9,4.9,52.9,NA,NA,0.3,0,6.99,NA,12904,FleaFlicker,13192,NA,NA,NA,NA,NA,0,0,0,@LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,TE9,0.3,52.9,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,NA,5.1,5.1,54.1,NA,NA,0.2,0,6.87,NA,16895,FleaFlicker,15794,NA,NA,NA,NA,NA,0,0,0,@PITSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,TE8,0.2,54.1,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,NA,4.7,4.7,48.1,NA,NA,0.3,0,6.77,NA,17681,FleaFlicker,16214,NA,NA,NA,NA,NA,0,0,0,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,TE4,0.3,48.1,90%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,JAC,NA,5,5,50.1,NA,NA,0.2,0,6.28,NA,12906,FleaFlicker,13189,NA,NA,NA,NA,NA,0,0,0,CINMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,TE7,0.2,50.1,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Ferguson,TE,DAL,NA,3.9,3.9,39.6,NA,NA,0.3,0,5.86,NA,16933,FleaFlicker,15799,NA,NA,NA,NA,NA,0,0,0,SEAW 41-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.86,TE11,0.3,39.6,74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,NA,3.6,3.6,37.7,NA,NA,0.3,0,5.37,NA,16293,FleaFlicker,15331,NA,NA,NA,NA,NA,0,0,0,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,TE13,0.3,37.7,86%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,NA,3.4,3.4,39.8,NA,NA,0.2,0,4.98,NA,16256,FleaFlicker,15329,NA,NA,NA,NA,NA,0,0,0,@NYJSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE14,0.2,39.8,89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logan Thomas,TE,WAS,NA,3.4,3.4,34.4,NA,NA,0.2,0,4.84,NA,10353,FleaFlicker,11647,NA,NA,NA,NA,NA,0,0,0,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,TE18,0.2,34.4,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,NA,2.8,2.8,33.4,NA,NA,0.2,0,4.75,NA,16036,FleaFlicker,14861,NA,NA,NA,NA,NA,0,0,0,DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE16,0.2,33.4,46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,NA,2.7,2.7,31.2,NA,NA,0.2,0,4.24,NA,12088,FleaFlicker,12676,NA,NA,NA,NA,NA,0,0,0,LACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE21,0.2,31.2,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,NA,3,3,31.1,NA,NA,0.2,0,4.23,NA,16937,FleaFlicker,15802,NA,NA,NA,NA,NA,0,0,0,CARSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,TE17,0.2,31.1,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,NA,2.7,2.7,30.3,NA,NA,0.2,0,4.03,NA,16912,FleaFlicker,15889,NA,NA,NA,NA,NA,0,0,0,INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,TE25,0.2,30.3,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Everett,TE,LAC,NA,2.8,2.8,27.7,NA,NA,0.2,0,4.01,NA,12972,FleaFlicker,13236,NA,NA,NA,NA,NA,0,0,0,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,TE24,0.2,27.7,51%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Conklin,TE,NYJ,NA,3,3,30.6,NA,NA,0.1,0,3.92,NA,13980,FleaFlicker,13847,NA,NA,NA,NA,NA,0,0,0,ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,TE29,0.1,30.6,39%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LAR,NA,2.7,2.7,27.4,NA,NA,0.2,0,3.68,NA,12140,FleaFlicker,12678,NA,NA,NA,NA,NA,0,0,0,CLESun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,TE22,0.2,27.4,66%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanner Hudson,TE,CIN,NA,2.6,2.6,28,NA,NA,0.1,0,3.62,NA,14275,FleaFlicker,14370,NA,NA,NA,NA,NA,0,0,0,@JACMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,28,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,NA,2.8,2.8,26.2,NA,NA,0.2,0.1,3.54,NA,13653,FleaFlicker,13424,NA,NA,NA,NA,NA,0,0,0,DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE6,0.2,26.2,73%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jonnu Smith,TE,ATL,NA,2.4,2.4,26.5,NA,NA,0.1,0,3.47,NA,12974,FleaFlicker,13193,NA,NA,NA,NA,NA,0,0,0,@NYJSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE20,0.1,26.5,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brevin Jordan,TE,HOU,NA,2.2,2.2,23.5,NA,NA,0.1,0,3.23,NA,16420,FleaFlicker,15330,NA,NA,NA,NA,NA,0,0,0,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,23.5,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tucker Kraft,TE,GB,NA,2.1,2.1,23.5,NA,NA,0.1,0,3.05,NA,17675,FleaFlicker,16222,NA,NA,NA,NA,NA,0,0,0,KCSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,TE35,0.1,23.5,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,SEA,NA,1.9,1.9,20.3,NA,NA,0.1,0,2.67,NA,14665,FleaFlicker,14137,NA,NA,NA,NA,NA,0,0,0,@DALL 35-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.67,TE34,0.1,20.3,28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Gesicki,TE,NE,NA,1.7,1.7,19.5,NA,NA,0.1,0,2.65,NA,13845,FleaFlicker,13672,NA,NA,NA,NA,NA,0,0,0,LACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE33,0.1,19.5,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kylen Granson,TE,IND,NA,1.7,1.7,17.8,NA,NA,0.1,0,2.42,NA,16340,FleaFlicker,15419,NA,NA,NA,NA,NA,0,0,0,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,TE41,0.1,17.8,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Trautman,TE,DEN,NA,1.7,1.7,16.3,NA,NA,0.1,0,2.39,NA,15575,FleaFlicker,14870,NA,NA,NA,NA,NA,0,0,0,@HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,TE40,0.1,16.3,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donald Parham,TE,LAC,NA,1.5,1.5,14.8,NA,NA,0.1,0,2.18,NA,15183,FleaFlicker,14341,NA,NA,NA,NA,NA,0,0,0,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,TE30,0.1,14.8,24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Gray,TE,KC,NA,1.6,1.6,15.7,NA,NA,0.1,0,2.15,NA,16430,FleaFlicker,15337,NA,NA,NA,NA,NA,0,0,0,@GBSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,TE39,0.1,15.7,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,TE,NYJ,NA,1.7,1.7,16.1,NA,NA,0.1,0,2.07,NA,16833,FleaFlicker,15796,NA,NA,NA,NA,NA,0,0,0,ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,16.1,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stephen Sullivan,TE,CAR,NA,1.5,1.5,15.4,NA,NA,0.1,0,2.06,NA,15754,FleaFlicker,15026,NA,NA,NA,NA,NA,0,0,0,@TBSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,15.4,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Durham Smythe,TE,MIA,NA,1.5,1.5,14.2,NA,NA,0.1,0,2,NA,13905,FleaFlicker,13676,NA,NA,NA,NA,NA,0,0,0,@WASSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,14.2,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ian Thomas,TE,CAR,NA,1.5,1.5,15,NA,NA,0.1,0,1.96,NA,13874,FleaFlicker,13678,NA,NA,NA,NA,NA,0,0,0,@TBSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,15,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Ogletree,TE,IND,NA,1.2,1.2,13.3,NA,NA,0.1,0,1.85,NA,16951,FleaFlicker,15916,NA,NA,NA,NA,NA,0,0,0,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,13.3,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jack Stoll,TE,PHI,NA,1.3,1.3,13.2,NA,NA,0.1,0,1.84,NA,16621,FleaFlicker,15541,NA,NA,NA,NA,NA,0,0,0,SFSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.1,13.2,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irv Smith,TE,CIN,NA,1.3,1.3,11.4,NA,NA,0.1,0,1.6,NA,14701,FleaFlicker,14141,NA,NA,NA,NA,NA,0,0,0,@JACMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,11.4,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Farrell,TE,JAC,NA,1.1,1.1,11.3,NA,NA,0.1,0,1.53,NA,16417,FleaFlicker,15335,NA,NA,NA,NA,NA,0,0,0,CINMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,11.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Schoonmaker,TE,DAL,NA,1,1,9.5,NA,NA,0.1,0,1.47,NA,17649,FleaFlicker,16221,NA,NA,NA,NA,NA,0,0,0,SEAW 41-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.47,NA,0.1,9.5,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Mallory,TE,IND,NA,0.9,0.9,10.2,NA,NA,0.1,0,1.44,NA,17730,FleaFlicker,16220,NA,NA,NA,NA,NA,0,0,0,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,10.2,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby Parkinson,TE,SEA,NA,1.1,1.1,10.1,NA,NA,0.1,0,1.41,NA,15679,FleaFlicker,14871,NA,NA,NA,NA,NA,0,0,0,@DALL 35-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.1,10.1,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Dissly,TE,SEA,NA,1.1,1.1,10.8,NA,NA,0.1,0,1.36,NA,14475,FleaFlicker,13763,NA,NA,NA,NA,NA,0,0,0,@DALL 35-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.36,NA,0.1,10.8,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connor Heyward,TE,PIT,NA,0.9,0.9,9.1,NA,NA,0.1,0,1.27,NA,16971,FleaFlicker,15800,NA,NA,NA,NA,NA,0,0,0,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,9.1,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Whyle,TE,TEN,NA,0.7,0.7,8.3,NA,NA,0.1,0,1.23,NA,17734,FleaFlicker,16312,NA,NA,NA,NA,NA,0,0,0,INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,8.3,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Beck,TE,HOU,NA,1,1,8.2,NA,NA,0.1,0,1.18,NA,14951,FleaFlicker,14319,NA,NA,NA,NA,NA,0,0,0,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,8.2,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Saubert,TE,HOU,NA,0.9,0.9,8.8,NA,NA,0.1,0,1.16,NA,13110,FleaFlicker,13315,NA,NA,NA,NA,NA,0,0,0,DENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,8.8,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josiah Deguara,TE,GB,NA,0.9,0.9,7.5,NA,NA,0.1,0,1.09,NA,15567,FleaFlicker,14876,NA,NA,NA,NA,NA,0,0,0,KCSun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0.1,7.5,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Higgins,TE,ARI,NA,0.7,0.7,7.9,NA,NA,0.1,0,1.09,NA,17726,FleaFlicker,16333,NA,NA,NA,NA,NA,0,0,0,@PITSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0.1,7.9,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mo Alie-Cox,TE,IND,NA,0.8,0.8,8.3,NA,NA,0,0,1.05,NA,12887,FleaFlicker,13246,NA,NA,NA,NA,NA,0,0,0,@TENSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,8.3,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stone Smartt,TE,LAC,NA,0.7,0.7,7.3,NA,NA,0.1,0,1.03,NA,17123,FleaFlicker,16113,NA,NA,NA,NA,NA,0,0,0,@NESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0.1,7.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Sample,TE,CIN,NA,0.8,0.8,7.4,NA,NA,0.1,0,1.02,NA,14714,FleaFlicker,14146,NA,NA,NA,NA,NA,0,0,0,@JACMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0.1,7.4,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Wright,TE,DET,NA,0.7,0.7,7,NA,NA,0.1,0,1,NA,16572,FleaFlicker,15626,NA,NA,NA,NA,NA,0,0,0,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.1,7,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pharaoh Brown,TE,NE,NA,0.6,0.6,7.1,NA,NA,0,0,0.93,NA,13377,FleaFlicker,13994,NA,NA,NA,NA,NA,0,0,0,LACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,7.1,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Bates,TE,WAS,NA,0.7,0.7,6.9,NA,NA,0,0,0.91,NA,16360,FleaFlicker,15344,NA,NA,NA,NA,NA,0,0,0,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,6.9,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foster Moreau,TE,NO,NA,0.5,0.5,6,NA,NA,0.1,0,0.89,NA,14781,FleaFlicker,14239,NA,NA,NA,NA,NA,0,0,0,DETSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,6,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Turner,TE,WAS,NA,0.6,0.6,5.8,NA,NA,0,0,0.82,NA,16988,FleaFlicker,15803,NA,NA,NA,NA,NA,0,0,0,MIASun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,5.8,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Payne Durham,TE,TB,NA,0.6,0.6,5.8,NA,NA,0,0,0.82,NA,17768,FleaFlicker,16218,NA,NA,NA,NA,NA,0,0,0,CARSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,5.8,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Akins,TE,CLE,NA,0.5,0.5,5.7,NA,NA,0,0,0.81,NA,13844,FleaFlicker,13753,NA,NA,NA,NA,NA,0,0,0,@LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,5.7,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Bryant,TE,CLE,NA,0.7,0.7,5.4,NA,NA,0,0,0.76,NA,15644,FleaFlicker,14875,NA,NA,NA,NA,NA,0,0,0,@LARSun 4:25 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,5.4,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geoff Swaim,TE,ARI,NA,0.5,0.5,4.3,NA,NA,0,0,0.67,NA,11287,FleaFlicker,12378,NA,NA,NA,NA,NA,0,0,0,@PITSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,4.3,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Washington,TE,PIT,NA,0.4,0.4,4.3,NA,NA,0,0,0.61,NA,17639,FleaFlicker,16216,NA,NA,NA,NA,NA,0,0,0,ARISun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,4.3,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Uzomah,TE,NYJ,NA,0.4,0.4,4,NA,NA,0,0,0.58,NA,11276,FleaFlicker,12317,NA,NA,NA,NA,NA,0,0,0,ATLSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,4,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,NA,NA,6.26,60.11,NA,NA,0.57,NA,9.42,NA,travis-kelce-1,NumberFire,11244,NA,NA,NA,NA,NA,0,0,0,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99,15.85,#16,63,1,12.52,8000,1.57,15.68,12.52
George Kittle,TE,SF,NA,NA,4.16,52.98,NA,NA,0.35,NA,7.36,NA,george-kittle,NumberFire,13299,NA,NA,NA,NA,NA,0,0,0,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,13.06,#18,84,2,9.44,7400,1.28,11.55,9.44
Trey McBride,TE,ARI,NA,NA,4.7,55.82,NA,NA,0.26,NA,7.13,NA,trey-mcbride,NumberFire,15794,NA,NA,NA,NA,NA,0,0,0,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,12.75,#6,88,3,9.45,6700,1.41,11.83,9.45
Taysom Hill,TE,NO,NA,NA,2.99,30.37,NA,NA,0.17,NA,6.76,NA,taysom-hill,NumberFire,13424,NA,NA,NA,NA,NA,4.94,17.38,0.18,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,12.25,#21,91,4,8.27,6500,1.27,9.83,8.27
Sam LaPorta,TE,DET,NA,NA,4.32,43.82,NA,NA,0.36,NA,6.53,NA,sam-laporta,NumberFire,16214,NA,NA,NA,NA,NA,0,0,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,11.94,#9,95,5,8.68,7000,1.24,10.86,8.68
Evan Engram,TE,JAC,NA,NA,4.9,49.49,NA,NA,0.27,NA,6.49,NA,evan-engram,NumberFire,13189,NA,NA,NA,NA,NA,0,0,0,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,11.88,#26,98,6,8.96,5600,1.6,11.45,8.96
