team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NA,0.7,0,2.1,NA,0.7,1,0.1,24,NA,NA,NA,367.9,NA,5.7,NA,FantasyPros,0511,8090,DST,Denver Broncos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.8,0,2.1,NA,0.5,0.9,0.2,23.7,NA,NA,NA,342.6,NA,5.6,NA,FantasyPros,0517,8200,DST,New York Giants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2.3,NA,0.5,0.6,0.2,21.2,NA,NA,NA,330.8,NA,5.6,NA,FantasyPros,0527,8040,DST,Carolina Panthers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,2,NA,0.5,0.8,0.2,22,NA,NA,NA,356.1,NA,5.5,NA,FantasyPros,0505,8210,DST,New York Jets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.7,NA,0.5,0.7,0.2,21.1,NA,NA,NA,333.4,NA,5.2,NA,FantasyPros,0504,8180,DST,New England Patriots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.6,0,2.1,NA,0.5,0.6,0.1,28.2,NA,NA,NA,418.2,NA,5.1,NA,FantasyPros,0519,8000,DST,Arizona Cardinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.7,0,1.8,NA,0.5,0.6,0.1,27.1,NA,NA,NA,364.7,NA,5,NA,FantasyPros,0520,8310,DST,Washington Commanders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1.1,0.1,3.8,NA,0.5,NA,0.5,15.8,NA,NA,NA,219.3,NA,16.4,NA,FantasySharks,0503,NA,D,"Dolphins, Miami",NA,NA,NA,NA,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOS,1.2,0,2.1,NA,0.7,NA,0.3,15.9,NA,NA,NA,265.6,NA,14.1,NA,FantasySharks,0529,NA,D,"Saints, New Orleans",NA,NA,NA,NA,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCC,0.7,0,3.9,NA,0.6,NA,0.1,15.2,NA,NA,NA,250.3,NA,13.9,NA,FantasySharks,0512,NA,D,"Chiefs, Kansas City",NA,NA,NA,NA,@NEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,0.1,3.7,NA,0.5,NA,0.2,16.8,NA,NA,NA,281.9,NA,13.7,NA,FantasySharks,0531,NA,D,"Ravens, Baltimore",NA,NA,NA,NA,@JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFO,1.4,0,3.4,NA,0.4,NA,0,14.2,NA,NA,NA,266.1,NA,13.5,NA,FantasySharks,0530,NA,D,"49ers, San Francisco",NA,NA,NA,NA,@ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1.2,0,2.8,NA,0.6,NA,0.2,21.3,NA,NA,NA,268.3,NA,12.8,NA,FantasySharks,0507,NA,D,"Browns, Cleveland",NA,NA,NA,NA,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.6,0.1,2.5,NA,0.8,NA,0.1,16.1,NA,NA,NA,245.9,NA,12.3,NA,FantasySharks,0526,NA,D,"Falcons, Atlanta",NA,NA,NA,NA,@CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.7,0.1,2.5,NA,0.5,NA,0.4,20.6,NA,NA,NA,334.5,NA,12.2,NA,FantasySharks,0516,NA,D,"Cowboys, Dallas",NA,NA,NA,NA,@BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,1,0,2.8,NA,0.7,NA,0.1,18,NA,NA,NA,323.8,NA,11.9,NA,FantasySharks,0506,NA,D,"Bengals, Cincinnati",NA,NA,NA,NA,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.7,0,2.4,NA,0.6,NA,0.1,19.5,NA,NA,NA,335.4,NA,10.7,NA,FantasySharks,0524,NA,D,"Vikings, Minnesota",NA,NA,NA,NA,@CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,0,3.2,NA,0.7,NA,0.2,23.5,NA,NA,NA,351.6,NA,10.4,NA,FantasySharks,0515,NA,D,"Seahawks, Seattle",NA,NA,NA,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVR,0.8,0.1,2.4,NA,0.4,NA,0.1,19.6,NA,NA,NA,345.1,NA,10.2,NA,FantasySharks,0513,NA,D,"Raiders, Las Vegas",NA,NA,NA,NA,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.5,0,3.1,NA,0.5,NA,0.2,23,NA,NA,NA,326.6,NA,10.1,NA,FantasySharks,0518,NA,D,"Eagles, Philadelphia",NA,NA,NA,NA,@SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,0.2,2.6,NA,0.4,NA,0.2,21.4,NA,NA,NA,316.7,NA,9.9,NA,FantasySharks,0505,NA,D,"Jets, New York",NA,NA,NA,NA,@MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.8,0.1,2.6,NA,1,NA,0.1,22.8,NA,NA,NA,385.5,NA,9.8,NA,FantasySharks,0511,NA,D,"Broncos, Denver",NA,NA,NA,NA,@DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1.4,0,1.8,NA,0.4,NA,0.1,22.4,NA,NA,NA,301.6,NA,9.7,NA,FantasySharks,0521,NA,D,"Bears, Chicago",NA,NA,NA,NA,@CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.5,0,1.4,NA,0.1,NA,0.2,24.7,NA,NA,NA,293.7,NA,9.5,NA,FantasySharks,0527,NA,D,"Panthers, Carolina",NA,NA,NA,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.9,0.1,2.3,NA,0.4,NA,0.1,19.9,NA,NA,NA,365.7,NA,9.5,NA,FantasySharks,0510,NA,D,"Steelers, Pittsburgh",NA,NA,NA,NA,@IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEP,0.7,0.1,1.9,NA,0.4,NA,0.1,19,NA,NA,NA,303.7,NA,9.5,NA,FantasySharks,0504,NA,D,"Patriots, New England",NA,NA,NA,NA,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBP,0.5,0,2,NA,0.7,NA,0.1,20.9,NA,NA,NA,360.4,NA,9.2,NA,FantasySharks,0523,NA,D,"Packers, Green Bay",NA,NA,NA,NA,TBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,0.1,2.3,NA,0.4,NA,0.1,23.2,NA,NA,NA,313,NA,8.8,NA,FantasySharks,0522,NA,D,"Lions, Detroit",NA,NA,NA,NA,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.9,0,2.8,NA,0.5,NA,0.4,28.9,NA,NA,NA,401.7,NA,8.8,NA,FantasySharks,0502,NA,D,"Colts, Indianapolis",NA,NA,NA,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.9,0,2.5,NA,0.5,NA,0.1,23.1,NA,NA,NA,363.4,NA,8.7,NA,FantasySharks,0532,NA,D,"Texans, Houston",NA,NA,NA,NA,@TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.7,0.2,2.5,NA,0.3,NA,0,21.5,NA,NA,NA,333.1,NA,8.7,NA,FantasySharks,0528,NA,D,"Rams, Los Angeles",NA,NA,NA,NA,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,1.1,0,1.7,NA,0.5,NA,0.2,26.2,NA,NA,NA,408.7,NA,7.8,NA,FantasySharks,0517,NA,D,"Giants, New York",NA,NA,NA,NA,@NOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.3,0,2.6,NA,0.6,NA,0,24.3,NA,NA,NA,364.2,NA,7.3,NA,FantasySharks,0508,NA,D,"Titans, Tennessee",NA,NA,NA,NA,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,1.7,NA,0.6,NA,0.1,25.8,NA,NA,NA,417.6,NA,7.1,NA,FantasySharks,0509,NA,D,"Jaguars, Jacksonville",NA,NA,NA,NA,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBB,0.7,0.1,2.6,NA,0.4,NA,0,23.4,NA,NA,NA,402.3,NA,7,NA,FantasySharks,0525,NA,D,"Buccaneers, Tampa Bay",NA,NA,NA,NA,@GBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.5,0,2,NA,0.5,NA,0.1,26.7,NA,NA,NA,439.9,NA,6.4,NA,FantasySharks,0501,NA,D,"Bills, Buffalo",NA,NA,NA,NA,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,0,1.9,NA,0.2,NA,0,28.4,NA,NA,NA,401.5,NA,4.7,NA,FantasySharks,0519,NA,D,"Cardinals, Arizona",NA,NA,NA,NA,SFO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.3,0,2.1,NA,0.3,NA,0,36.5,NA,NA,NA,442.7,NA,3.4,NA,FantasySharks,0520,NA,D,"Commanders, Washington",NA,NA,NA,NA,@LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0,0,0.3,NA,0.1,NA,0,39.8,NA,NA,NA,447.9,NA,0.6,NA,FantasySharks,0514,NA,D,"Chargers, Los Angeles",NA,NA,NA,NA,@LVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,0.8,NA,3.8,NA,0.5,0.7,0.2,18.8,NA,NA,NA,304,NA,12.24,NA,FleaFlicker,0523,2339,DST,Green Bay Packers,NA,NA,NA,NA,TBSun 1:00 PM,6,D/ST21,0,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.8,NA,3.5,NA,0.5,0.9,0.2,15.4,NA,NA,NA,301.5,NA,11.97,NA,FleaFlicker,0503,2344,DST,Miami Dolphins,NA,NA,NA,NA,NYJSun 1:00 PM,10,D/ST5,0,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.9,NA,3.4,NA,0.5,0.7,0.2,16.6,NA,NA,NA,295.5,NA,11.5,NA,FleaFlicker,0529,2347,DST,New Orleans Saints,NA,NA,NA,NA,NYGSun 1:00 PM,11,D/ST10,0,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.8,NA,3.1,NA,0.5,0.8,0.2,17.8,NA,NA,NA,329.9,NA,11.12,NA,FleaFlicker,0507,2335,DST,Cleveland Browns,NA,NA,NA,NA,CHISun 1:00 PM,5,D/ST12,0,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,0.9,NA,3.2,NA,0.5,0.7,0.1,21.6,NA,NA,NA,344.2,NA,10.92,NA,FleaFlicker,0528,2356,DST,Los Angeles Rams,NA,NA,NA,NA,WASSun 4:05 PM,10,D/ST19,0,18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,NA,2.8,NA,0.6,1,0.1,21,NA,NA,NA,315.9,NA,10.71,NA,FleaFlicker,0502,2341,DST,Indianapolis Colts,NA,NA,NA,NA,PITSat 4:30 PM,11,D/ST17,0,64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.8,NA,2.9,NA,0.6,0.8,0.1,24.1,NA,NA,NA,356.8,NA,10.63,NA,FleaFlicker,0518,2351,DST,Philadelphia Eagles,NA,NA,NA,NA,@SEAMon 8:15 PM,10,D/ST9,0,82%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,0.9,NA,2.6,NA,0.6,0.9,0.1,23.6,NA,NA,NA,358.7,NA,10.49,NA,FleaFlicker,0516,2336,DST,Dallas Cowboys,NA,NA,NA,NA,@BUFSun 4:25 PM,7,D/ST1,0,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,0.8,NA,2.7,NA,0.6,0.8,0.2,18.6,NA,NA,NA,303.8,NA,10.27,NA,FleaFlicker,0510,2352,DST,Pittsburgh Steelers,NA,NA,NA,NA,@INDSat 4:30 PM,6,D/ST11,0,91%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1,NA,2.6,NA,0.5,0.8,0.2,17.6,NA,NA,NA,315.8,NA,10.19,NA,FleaFlicker,0530,2355,DST,San Francisco 49ers,NA,NA,NA,NA,@ARISun 4:05 PM,9,D/ST2,0,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.8,NA,2.7,NA,0.5,0.8,0.1,23.5,NA,NA,NA,333,NA,10.08,NA,FleaFlicker,0525,2357,DST,Tampa Bay Buccaneers,NA,NA,NA,NA,@GBSun 1:00 PM,5,D/ST26,0,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.7,NA,2.7,NA,0.5,0.8,0.2,19.5,NA,NA,NA,320.4,NA,9.94,NA,FleaFlicker,0514,2353,DST,Los Angeles Chargers,NA,NA,NA,NA,@LVThu 8:15 PM,5,D/ST28,0,37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,0.8,NA,2.4,NA,0.6,0.9,0.2,18.3,NA,NA,NA,318.4,NA,9.9,NA,FleaFlicker,0526,2329,DST,Atlanta Falcons,NA,NA,NA,NA,@CARSun 1:00 PM,11,D/ST18,0,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.7,NA,2.4,NA,0.6,1,0.2,20.3,NA,NA,NA,317.2,NA,9.87,NA,FleaFlicker,0524,2345,DST,Minnesota Vikings,NA,NA,NA,NA,@CINSat 1:00 PM,13,D/ST15,0,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.7,NA,2.9,NA,0.5,0.6,0.2,20.4,NA,NA,NA,317.4,NA,9.83,NA,FleaFlicker,0522,2338,DST,Detroit Lions,NA,NA,NA,NA,DENSat 8:15 PM,9,D/ST25,0,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,0.9,NA,2.5,NA,0.5,0.7,0.2,19.4,NA,NA,NA,343.2,NA,9.77,NA,FleaFlicker,0512,2343,DST,Kansas City Chiefs,NA,NA,NA,NA,@NESun 1:00 PM,10,D/ST8,0,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.7,NA,2.6,NA,0.5,0.8,0.1,24.5,NA,NA,NA,370.1,NA,9.7,NA,FleaFlicker,0501,2331,DST,Buffalo Bills,NA,NA,NA,NA,DALSun 4:25 PM,13,D/ST6,0,85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,0.8,NA,2.4,NA,0.5,0.8,0.2,19,NA,NA,NA,330.5,NA,9.64,NA,FleaFlicker,0531,2330,DST,Baltimore Ravens,NA,NA,NA,NA,@JACSun 8:20 PM,13,D/ST3,0,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.9,NA,2.5,NA,0.5,0.7,0.1,20.4,NA,NA,NA,320.1,NA,9.64,NA,FleaFlicker,0513,2350,DST,Las Vegas Raiders,NA,NA,NA,NA,LACThu 8:15 PM,13,D/ST22,0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.8,NA,2.6,NA,0.6,0.6,0.2,18.9,NA,NA,NA,303.5,NA,9.61,NA,FleaFlicker,0532,2340,DST,Houston Texans,NA,NA,NA,NA,@TENSun 1:00 PM,7,D/ST27,0,42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.9,NA,2.2,NA,0.6,0.8,0.2,19.9,NA,NA,NA,366.4,NA,9.48,NA,FleaFlicker,0506,2334,DST,Cincinnati Bengals,NA,NA,NA,NA,MINSat 1:00 PM,7,D/ST13,0,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.7,NA,2.1,NA,0.7,1,0.1,24,NA,NA,NA,367.9,NA,9.33,NA,FleaFlicker,0511,2337,DST,Denver Broncos,NA,NA,NA,NA,@DETSat 8:15 PM,9,D/ST7,0,52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.8,NA,2.5,NA,0.6,0.7,0.1,26,NA,NA,NA,378,NA,9.26,NA,FleaFlicker,0515,2354,DST,Seattle Seahawks,NA,NA,NA,NA,PHIMon 8:15 PM,5,D/ST23,0,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,NA,2.3,NA,0.6,0.8,0.1,22.6,NA,NA,NA,343.7,NA,9.25,NA,FleaFlicker,0509,2342,DST,Jacksonville Jaguars,NA,NA,NA,NA,BALSun 8:20 PM,9,D/ST14,0,47%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.8,NA,2.1,NA,0.5,0.9,0.2,23.7,NA,NA,NA,342.6,NA,9.15,NA,FleaFlicker,0517,2348,DST,New York Giants,NA,NA,NA,NA,@NOSun 1:00 PM,13,D/ST29,0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,0.7,NA,2.4,NA,0.6,0.7,0.1,24.6,NA,NA,NA,384.3,NA,9.04,NA,FleaFlicker,0508,2358,DST,Tennessee Titans,NA,NA,NA,NA,HOUSun 1:00 PM,7,D/ST30,0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.8,NA,2,NA,0.6,0.8,0.1,21.4,NA,NA,NA,347.9,NA,8.97,NA,FleaFlicker,0521,2333,DST,Chicago Bears,NA,NA,NA,NA,@CLESun 1:00 PM,13,D/ST24,0,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,NA,2.3,NA,0.5,0.6,0.1,21.2,NA,NA,NA,330.8,NA,8.69,NA,FleaFlicker,0527,2332,DST,Carolina Panthers,NA,NA,NA,NA,ATLSun 1:00 PM,7,D/ST32,0,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,NA,2,NA,0.5,0.8,0.2,22,NA,NA,NA,356.1,NA,8.68,NA,FleaFlicker,0505,2349,DST,New York Jets,NA,NA,NA,NA,@MIASun 1:00 PM,7,D/ST4,0,83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.6,NA,2.1,NA,0.5,0.6,0.1,28.2,NA,NA,NA,418.2,NA,7.89,NA,FleaFlicker,0519,2328,DST,Arizona Cardinals,NA,NA,NA,NA,SFSun 4:05 PM,14,D/ST31,0,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,0.7,NA,1.7,NA,0.5,0.7,0.2,21.1,NA,NA,NA,333.4,NA,7.8,NA,FleaFlicker,0504,2346,DST,New England Patriots,NA,NA,NA,NA,KCSun 1:00 PM,11,D/ST16,0,49%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,NA,1.8,NA,0.5,0.6,0.1,27.1,NA,NA,NA,364.7,NA,7.6,NA,FleaFlicker,0520,2359,DST,Washington Commanders,NA,NA,NA,NA,@LARSun 4:05 PM,14,D/ST20,0,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,0.6,NA,4.67,NA,0.57,NA,0.22,16,NA,NA,NA,279.83,NA,10.72,NA,NumberFire,0529,new-orleans-dst,D,New Orleans D/ST,NA,NA,NA,NA,NYG,NA,NA,NA,NA,3.99,17.45,#29,1,10.74,10.74,3800,2.83,10.74,17,0.63,NA
LV,1.04,NA,2.72,NA,0.62,NA,0.21,15.25,NA,NA,NA,302.31,NA,9.97,NA,NumberFire,0513,las-vegas-d-st,D,Las Vegas D/ST,NA,NA,NA,NA,LAC,NA,NA,NA,NA,3.39,16.55,#13,2,9.98,9.98,3000,3.33,9.98,14,0.71,NA
KC,0.68,NA,2.71,NA,0.58,NA,0.24,13.75,NA,NA,NA,300.54,NA,9.74,NA,NumberFire,0512,kansas-city-dst,D,Kansas City D/ST,NA,NA,NA,NA,NE,NA,NA,NA,NA,3.2,16.28,#30,3,9.74,9.74,3900,2.5,9.74,16,0.61,NA
MIA,0.61,NA,3.14,NA,0.66,NA,0.22,15.75,NA,NA,NA,287.55,NA,9.5,NA,NumberFire,0503,miami-dst,D,Miami D/ST,NA,NA,NA,NA,NYJ,NA,NA,NA,NA,3.01,15.99,#32,4,9.48,9.48,4000,2.37,9.48,17,0.56,NA
ATL,0.68,NA,3.15,NA,0.48,NA,0.21,15.75,NA,NA,NA,282.99,NA,9.26,NA,NumberFire,0526,atlanta-dst,D,Atlanta D/ST,NA,NA,NA,NA,CAR,NA,NA,NA,NA,2.82,15.7,#31,5,9.21,9.21,3600,2.56,9.21,12,0.77,NA
CLE,0.71,NA,3.45,NA,0.52,NA,0.19,17.25,NA,NA,NA,303.92,NA,9.2,NA,NumberFire,0507,cleveland-dst,D,Cleveland D/ST,NA,NA,NA,NA,CHI,NA,NA,NA,NA,2.77,15.63,#22,6,9.16,9.16,3500,2.62,9.16,18,0.51,NA
SF,0.66,NA,2.94,NA,0.53,NA,0.21,17,NA,NA,NA,298.15,NA,8.77,NA,NumberFire,0530,san-francisco-dst,D,San Francisco D/ST,NA,NA,NA,NA,ARI,NA,NA,NA,NA,2.43,15.11,#26,7,8.74,8.74,4400,1.99,8.74,18,0.49,NA
LA,0.82,NA,3.82,NA,0.53,NA,0.18,21,NA,NA,NA,318.26,NA,8.69,NA,NumberFire,0528,los-angeles-rams-d-st,D,Los Angeles Rams D/ST,NA,NA,NA,NA,WSH,NA,NA,NA,NA,2.36,15.02,#24,8,8.69,8.69,3100,2.8,8.69,12,0.72,NA
CIN,0.75,NA,2.53,NA,0.64,NA,0.2,18,NA,NA,NA,316.05,NA,8.37,NA,NumberFire,0506,cincinnati-dst,D,Cincinnati D/ST,NA,NA,NA,NA,MIN,NA,NA,NA,NA,2.11,14.63,#16,9,8.38,8.38,3600,2.33,8.38,16,0.52,NA
TEN,0.83,NA,2.43,NA,0.4,NA,0.2,17.5,NA,NA,NA,340.25,NA,8.1,NA,NumberFire,0508,tennessee-dst,D,Tennessee D/ST,NA,NA,NA,NA,HOU,NA,NA,NA,NA,1.89,14.31,#11,10,8.07,8.07,3700,2.18,8.07,11,0.73,NA
GB,0.87,NA,2.4,NA,0.49,NA,0.19,19.75,NA,NA,NA,317.24,NA,7.65,NA,NumberFire,0523,green-bay-dst,D,Green Bay D/ST,NA,NA,NA,NA,TB,NA,NA,NA,NA,1.53,13.77,#14,11,7.67,7.67,3000,2.56,7.67,13,0.59,NA
BAL,0.71,NA,2.63,NA,0.52,NA,0.19,20,NA,NA,NA,323.85,NA,7.55,NA,NumberFire,0531,baltimore-dst,D,Baltimore D/ST,NA,NA,NA,NA,JAC,NA,NA,NA,NA,1.45,13.65,#17,12,7.55,7.55,3400,2.22,7.55,20,0.38,NA
LAC,0.66,NA,2.26,NA,0.51,NA,0.19,18.25,NA,NA,NA,317.56,NA,7.53,NA,NumberFire,0514,los-angeles-chargers-d-st,D,Los Angeles Chargers D/ST,NA,NA,NA,NA,LV,NA,NA,NA,NA,1.43,13.63,#27,13,7.5,7.5,3200,2.34,7.5,16,0.47,NA
PHI,1.01,NA,2.91,NA,0.34,NA,0.17,22.25,NA,NA,NA,328.16,NA,7.41,NA,NumberFire,0518,philadelphia-dst,D,Philadelphia D/ST,NA,NA,NA,NA,SEA,NA,NA,NA,NA,1.34,13.48,#15,14,7.41,7.41,3500,2.12,7.41,13,0.57,NA
HOU,0.62,NA,2.95,NA,0.4,NA,0.17,20,NA,NA,NA,321.98,NA,7.4,NA,NumberFire,0532,houston-dst,D,Houston D/ST,NA,NA,NA,NA,TEN,NA,NA,NA,NA,1.33,13.47,#19,15,7.39,7.39,3400,2.17,7.39,13,0.57,NA
CAR,0.6,NA,2.26,NA,0.52,NA,0.19,18.75,NA,NA,NA,317.97,NA,7.27,NA,NumberFire,0527,carolina-dst,D,Carolina D/ST,NA,NA,NA,NA,ATL,NA,NA,NA,NA,1.23,13.31,#23,16,7.27,7.27,2800,2.6,7.27,10,0.73,NA
PIT,0.63,NA,3.06,NA,0.52,NA,0.15,22.25,NA,NA,NA,331.58,NA,7.11,NA,NumberFire,0510,pittsburgh-dst,D,Pittsburgh D/ST,NA,NA,NA,NA,IND,NA,NA,NA,NA,1.1,13.12,#18,17,7.08,7.08,3300,2.15,7.08,18,0.39,NA
IND,0.83,NA,2.09,NA,0.4,NA,0.18,19.75,NA,NA,NA,322.33,NA,7.07,NA,NumberFire,0502,indianapolis-dst,D,Indianapolis D/ST,NA,NA,NA,NA,PIT,NA,NA,NA,NA,1.07,13.07,#25,18,7.1,7.1,3500,2.03,7.1,19,0.37,NA
MIN,0.71,NA,2.82,NA,0.36,NA,0.16,21.5,NA,NA,NA,312.93,NA,6.92,NA,NumberFire,0524,minnesota-dst,D,Minnesota D/ST,NA,NA,NA,NA,CIN,NA,NA,NA,NA,0.95,12.89,#12,19,6.87,6.87,2800,2.45,6.87,19,0.36,NA
