team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
NE,0.7,0,1.4,44.3,0.8,1.2,0.2,20.9,20.9,0,92,334,334,9.6,9.6,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BUF,0.9,0,2.9,44.8,0.8,1.1,0.2,23,23,0,122,352,352,9.5,9.5,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,1.2,0,2.2,44,0.8,1.1,0.2,23.3,23.3,0,110,319,319,9.4,9.4,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.8,0,2.3,45.1,1.1,1.5,0.2,22.6,22.6,0,151,363,363,9.3,9.3,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.9,0,2.4,42.7,0.7,1,0.2,25.3,25.3,0,122,352,352,8.8,8.8,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,0.7,0,1.9,46.3,1.1,1.5,0.2,24.8,24.8,0,135,376,376,8.7,8.7,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,0.8,0,2.1,43,0.9,1.2,0.2,21.1,21.1,0,123,324,324,8.7,8.7,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,0,3.2,44.9,0.5,0.7,0.1,23.8,23.8,0,82,326,326,8.4,8.4,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.9,0,2.9,41.1,0.7,1,0.2,30.1,30.1,0,107,352,352,7.3,7.3,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,0.5,0,2.1,42.7,0.8,1.1,0.1,28.4,28.4,0,141,380,380,5.3,5.3,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,NA,3,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,0529,-16018,DST,Saints D/ST,0,1,306,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,NA,3,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,0531,-16033,DST,Ravens D/ST,1,1,343,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
