player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,curr_site_pts,draft_rank,pass_comp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,two_pts
Dak Prescott,QB,DAL,1,35.1,23.5,287,287,2.4,0.9,104.1,3.2,11.9,3.7,0.2,0.1,25.6,25.6,1824864,CBS,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Dobbs,QB,MIN,1,37,25.3,259,259,2,0.8,97.2,5,21.3,4.3,0.4,0.5,23.8,23.8,2071844,CBS,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,1,30.2,20.8,226,226,1.6,0.9,95.9,9.1,38.8,4.3,0.6,0.2,23,23,2240246,CBS,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Mahomes,QB,KC,1,37.7,26.2,275,275,1.9,0.8,98.3,4.4,28.3,6.4,0.1,0.2,23,23,2142052,CBS,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamar Jackson,QB,BAL,1,29.1,19.3,232,232,1.7,0.7,100,7.9,49.6,6.3,0.2,0.4,22.2,22.2,2181169,CBS,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Allen,QB,BUF,1,34.8,23.1,239,239,1.6,1.1,88.2,4.7,26.5,5.6,0.3,0.2,19.8,19.8,2181054,CBS,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Goff,QB,DET,1,36,24.2,256,256,1.7,0.7,95.4,2,2.9,1.5,0.1,0.1,19.2,19.2,2061053,CBS,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brock Purdy,QB,SF,1,27.6,18.8,247,247,1.6,0.5,107.9,2.8,10,3.6,0.1,0.2,18.8,18.8,2961306,CBS,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Herbert,QB,LAC,1,34.7,22.5,229,229,1.5,0.7,89.6,3.8,13.8,3.6,0.2,0,18.8,18.8,2221960,CBS,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Lawrence,QB,JAC,1,32.9,23.3,248,248,1.4,0.7,97.8,4.3,21.8,5.1,0.2,0.4,18.4,18.4,2967185,CBS,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
