player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points,fg_att_50,fg_att_4049
"Bass, Tyler",BUF,1.6,1.7,3.5,8.5,NA,FantasySharks,K,14983,@NYJ,3.7,0,0.5,0.5,0.5,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",SEA,1.9,2.2,2.7,8.5,NA,FantasySharks,K,12437,LAR,2.7,0,0.5,0.9,0.2,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",PIT,2.1,2.5,1.8,8.5,NA,FantasySharks,K,11936,SFO,1.8,0,0.3,0.6,0.7,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",IND,1.9,2.1,1.9,8.4,NA,FantasySharks,K,14244,JAC,2,0,0.5,0.5,0.4,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",CAR,1.9,2,1.9,8.4,NA,FantasySharks,K,13719,@ATL,2,0,0.2,0.8,0.8,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",NEP,1.9,2,2.1,8.2,NA,FantasySharks,K,16292,PHI,2.4,0,0.5,0.5,0.5,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",WAS,2,2.3,1.8,8.1,NA,FantasySharks,K,14600,ARI,2.1,0.1,0.8,0.3,0.6,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",ARI,1.9,2.1,1.9,8.1,NA,FantasySharks,K,8930,@WAS,2,0,0.4,0.7,0.3,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",TBB,2,2.4,1.4,7.9,NA,FantasySharks,K,14717,@MIN,1.4,0,0.5,0.4,0.7,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",NYG,1.7,1.8,1.7,7.9,NA,FantasySharks,K,9694,DAL,1.8,0,0.2,0.6,0.5,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",JAC,1.8,2.2,1.9,7.8,NA,FantasySharks,K,11947,@IND,2,0,0.4,0.3,0.7,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
