player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,rec_rz_tgt,rec_09_tds,rec_1019_tds,rec_2029_tds,rec_3039_tds,rec_4049_tds,rec_50_tds,rush_yds,rush_tds,return_yds,scoring_opp,bye,draft_rank,rush_att,misc_tds,misc_yds,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,pass_comp,pass_att,pass_yds,pass_tds,pass_int
Donald Parham Jr.,TE,LAC,NA,NA,0.52,5.54,NA,NA,0.04,NA,0.82,NA,donald-parham-jr,NumberFire,14341,MIA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.58,4.22,#23,303,56,1.05,4400,0.24,1.31,2600,0.5,1.05,NA,NA,NA,NA,NA
James Mitchell,TE,DET,NA,NA,0.47,5.19,NA,NA,0.04,NA,0.76,NA,james-mitchell,NumberFire,15909,KC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.62,4.14,#12,309,57,0.99,NA,NA,1.23,NA,NA,0.99,NA,NA,NA,NA,NA
Hunter Long,TE,LA,NA,NA,0.45,5.23,NA,NA,0.04,NA,0.75,NA,hunter-long,NumberFire,15334,SEA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.62,4.12,#25,310,58,0.99,4300,0.23,1.21,2500,0.48,0.99,NA,NA,NA,NA,NA
Jonnu Smith,TE,ATL,NA,NA,0.52,4.84,NA,NA,0.04,NA,0.73,NA,jonnu-smith,NumberFire,13193,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.64,4.1,#18,314,59,0.98,4600,0.21,1.24,2700,0.46,0.98,NA,NA,NA,NA,NA
Tommy Tremble,TE,CAR,NA,NA,0.54,5.19,NA,NA,0.03,NA,0.71,NA,tommy-tremble,NumberFire,15332,ATL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.65,4.07,#32,319,60,0.97,4400,0.22,1.24,2500,0.5,0.97,NA,NA,NA,NA,NA
Peyton Hendershot,TE,DAL,NA,NA,0.47,4.69,NA,NA,0.04,NA,0.71,NA,peyton-hendershot,NumberFire,16000,NYG,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.65,4.07,#28,319,60,0.94,NA,NA,1.18,NA,NA,0.94,NA,NA,NA,NA,NA
Luke Schoonmaker,TE,DAL,NA,NA,0.47,4.73,NA,NA,0.04,NA,0.71,NA,luke-schoonmaker,NumberFire,16221,NYG,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.65,4.07,#28,319,60,0.95,NA,NA,1.18,NA,NA,0.95,NA,NA,NA,NA,NA
C.J. Uzomah,TE,NYJ,NA,NA,0.55,4.85,NA,NA,0.04,NA,0.71,NA,c-j-uzomah,NumberFire,12317,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.65,4.07,#6,319,60,1,NA,NA,1.28,NA,NA,1,NA,NA,NA,NA,NA
Ko Kieft,TE,TB,NA,NA,0.46,4.93,NA,NA,0.03,NA,0.69,NA,ko-kieft,NumberFire,15929,MIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.66,4.04,#24,326,64,0.9,4300,0.21,1.13,2500,0.45,0.9,NA,NA,NA,NA,NA
Drew Sample,TE,CIN,NA,NA,0.5,4.39,NA,NA,0.03,NA,0.64,NA,drew-sample,NumberFire,14146,CLE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.7,3.98,#22,332,65,0.87,4300,0.2,1.12,2500,0.45,0.87,NA,NA,NA,NA,NA
Tucker Kraft,TE,GB,NA,NA,0.47,4.64,NA,NA,0.03,NA,0.64,NA,tucker-kraft,NumberFire,16222,CHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.7,3.98,#27,332,65,0.88,4000,0.22,1.11,2500,0.44,0.88,NA,NA,NA,NA,NA
Tyler Davis,TE,GB,NA,NA,0.46,4.54,NA,NA,0.03,NA,0.63,NA,tyler-davis,NumberFire,14996,CHI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.7,3.96,#27,334,67,0.86,4100,0.21,1.09,2500,0.44,0.86,NA,NA,NA,NA,NA
Stephen Sullivan,TE,CAR,NA,NA,0.44,4.47,NA,NA,0.03,NA,0.6,NA,stephen-sullivan,NumberFire,15026,ATL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.72,3.92,#32,338,68,0.85,4000,0.21,1.07,2500,0.43,0.85,NA,NA,NA,NA,NA
Teagan Quitoriano,TE,HOU,NA,NA,0.44,4.24,NA,NA,0.03,NA,0.6,NA,teagan-quitoriano,NumberFire,15905,BAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.72,3.92,#7,338,68,0.82,4400,0.19,1.04,2500,0.42,0.82,NA,NA,NA,NA,NA
Armani Rogers,TE,WSH,NA,NA,0.43,4.08,NA,NA,0.03,NA,0.59,NA,armani-rogers,NumberFire,15990,ARI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.73,3.91,#30,341,70,0.8,4000,0.2,1.02,2500,0.41,0.8,NA,NA,NA,NA,NA
John Bates,TE,WSH,NA,NA,0.43,4.08,NA,NA,0.03,NA,0.58,NA,john-bates,NumberFire,15344,ARI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.73,3.89,#30,344,71,0.8,4300,0.19,1.02,2500,0.41,0.8,NA,NA,NA,NA,NA
Harrison Bryant,TE,CLE,NA,NA,0.4,3.81,NA,NA,0.03,NA,0.54,NA,harrison-bryant,NumberFire,14875,CIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.76,3.84,#11,354,72,0.76,4500,0.17,0.96,2500,0.38,0.76,NA,NA,NA,NA,NA
Daniel Bellinger,TE,NYG,NA,NA,0.45,3.84,NA,NA,0.02,NA,0.53,NA,daniel-bellinger,NumberFire,15873,DAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.77,3.83,#3,356,73,0.73,NA,NA,0.95,NA,NA,0.73,NA,NA,NA,NA,NA
Albert Okwuegbunam,TE,PHI,NA,NA,0.41,3.68,NA,NA,0.02,NA,0.51,NA,albert-okwuegbunam,NumberFire,14873,NE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.78,3.8,#4,359,74,0.69,4100,0.17,0.9,2700,0.33,0.69,NA,NA,NA,NA,NA
Foster Moreau,TE,NO,NA,NA,0.32,3.69,NA,NA,0.02,NA,0.51,NA,foster-moreau,NumberFire,14239,TEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.78,3.8,#21,359,74,0.65,4500,0.14,0.81,2700,0.3,0.65,NA,NA,NA,NA,NA
Robert Tonyan,TE,CHI,NA,NA,0.33,2.95,NA,NA,0.03,NA,0.48,NA,robert-tonyan,NumberFire,13427,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.8,3.76,#15,362,76,0.64,4600,0.14,0.81,3100,0.26,0.64,NA,NA,NA,NA,NA
Jeremy Ruckert,TE,NYJ,NA,NA,0.32,2.92,NA,NA,0.02,NA,0.42,NA,jeremy-ruckert,NumberFire,15796,BUF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.84,3.68,#6,365,77,0.57,NA,NA,0.73,NA,NA,0.57,NA,NA,NA,NA,NA
Luke Farrell,TE,JAC,NA,NA,0.25,2.59,NA,NA,0.02,NA,0.38,NA,luke-farrell,NumberFire,15335,IND,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.86,3.62,#13,372,78,0.5,4100,0.12,0.63,2500,0.25,0.5,NA,NA,NA,NA,NA
Shane Zylstra,TE,DET,NA,NA,0.23,2.45,NA,NA,0.02,NA,0.37,NA,shane-zylstra,NumberFire,15604,KC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.87,3.61,#12,375,79,0.48,NA,NA,0.6,NA,NA,0.48,NA,NA,NA,NA,NA
Quintin Morris,TE,BUF,NA,NA,0.24,2.43,NA,NA,0.02,NA,0.35,NA,quintin-morris,NumberFire,15341,NYJ,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.88,3.58,#2,386,80,0.48,NA,NA,0.6,NA,NA,0.48,NA,NA,NA,NA,NA
Ben Ellefson,TE,MIN,NA,NA,0.24,2.14,NA,NA,0.02,NA,0.34,NA,ben-ellefson,NumberFire,15088,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.89,3.57,#16,387,81,0.45,NA,NA,0.57,NA,NA,0.45,NA,NA,NA,NA,NA
Johnny Mundt,TE,MIN,NA,NA,0.24,2.09,NA,NA,0.02,NA,0.34,NA,johnny-mundt,NumberFire,13940,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.89,3.57,#16,387,81,0.45,4200,0.11,0.57,2500,0.23,0.45,NA,NA,NA,NA,NA
Josh Oliver,TE,MIN,NA,NA,0.23,2.06,NA,NA,0.02,NA,0.33,NA,josh-oliver,NumberFire,14209,TB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.9,3.56,#16,392,83,0.44,4300,0.1,0.56,2500,0.22,0.44,NA,NA,NA,NA,NA
Charlie Kolar,TE,BAL,NA,NA,0.2,1.92,NA,NA,0.02,NA,0.31,NA,charlie-kolar,NumberFire,15795,HOU,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.91,3.53,#26,396,84,0.41,4300,0.1,0.51,2500,0.2,0.41,NA,NA,NA,NA,NA
Cole Turner,TE,WSH,NA,NA,0.21,1.99,NA,NA,0.01,NA,0.29,NA,cole-turner,NumberFire,15803,ARI,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.5,#30,399,85,0.36,4100,0.09,0.47,2500,0.19,0.36,NA,NA,NA,NA,NA
Jordan Akins,TE,CLE,NA,NA,0.2,2.15,NA,NA,0.01,NA,0.29,NA,jordan-akins,NumberFire,13753,CIN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.5,#11,399,85,0.38,4300,0.09,0.48,2600,0.18,0.38,NA,NA,NA,NA,NA
Ross Dwelley,TE,SF,NA,NA,0.2,2.02,NA,NA,0.01,NA,0.29,NA,ross-dwelley,NumberFire,13988,PIT,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.92,3.5,#20,399,85,0.36,4200,0.09,0.46,2500,0.18,0.36,NA,NA,NA,NA,NA
Jesper Horsted,TE,LV,NA,NA,0.22,2.05,NA,NA,0.01,NA,0.28,NA,jesper-horsted,NumberFire,14752,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#9,407,88,0.38,4100,0.09,0.49,2500,0.2,0.38,NA,NA,NA,NA,NA
Connor Heyward,TE,PIT,NA,NA,0.21,2.03,NA,NA,0.01,NA,0.28,NA,connor-heyward,NumberFire,15800,SF,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.93,3.49,#1,407,88,0.37,4400,0.08,0.47,2500,0.19,0.37,NA,NA,NA,NA,NA
Charlie Woerner,TE,SF,NA,NA,0.2,1.91,NA,NA,0.01,NA,0.27,NA,charlie-woerner,NumberFire,14984,PIT,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.94,3.48,#20,411,90,0.35,4100,0.09,0.45,2500,0.18,0.35,NA,NA,NA,NA,NA
Chris Myarick,TE,NYG,NA,NA,0.22,1.92,NA,NA,0.01,NA,0.27,NA,chris-myarick,NumberFire,15620,DAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.94,3.48,#3,411,90,0.36,NA,NA,0.47,NA,NA,0.36,NA,NA,NA,NA,NA
Tommy Sweeney,TE,NYG,NA,NA,0.22,1.92,NA,NA,0.01,NA,0.26,NA,tommy-sweeney,NumberFire,14294,DAL,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.94,3.46,#3,415,92,0.36,NA,NA,0.47,NA,NA,0.36,NA,NA,NA,NA,NA
Grant Calcaterra,TE,PHI,NA,NA,0.2,1.87,NA,NA,0.01,NA,0.26,NA,grant-calcaterra,NumberFire,15804,NE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.94,3.46,#4,415,92,0.35,4000,0.09,0.45,2500,0.18,0.35,NA,NA,NA,NA,NA
Jack Stoll,TE,PHI,NA,NA,0.2,1.83,NA,NA,0.01,NA,0.25,NA,jack-stoll,NumberFire,15541,NE,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.95,3.45,#4,418,94,0.34,4100,0.08,0.44,2500,0.18,0.34,NA,NA,NA,NA,NA
MyCole Pruitt,TE,ATL,NA,NA,0.18,1.66,NA,NA,0.01,NA,0.25,NA,mycole-pruitt,NumberFire,12309,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.95,3.45,#18,418,94,0.32,4200,0.08,0.41,2500,0.16,0.32,NA,NA,NA,NA,NA
Jacob Hollister,TE,LV,NA,NA,0.22,1.77,NA,NA,0.01,NA,0.25,NA,jacob-hollister,NumberFire,13391,DEN,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.95,3.45,#9,418,94,0.35,4100,0.09,0.46,2500,0.18,0.35,NA,NA,NA,NA,NA
Feleipe Franks,TE,ATL,NA,NA,0.18,1.63,NA,NA,0.01,NA,0.24,NA,feleipe-franks,NumberFire,15244,CAR,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.95,3.43,#18,421,97,0.31,4100,0.08,0.4,2500,0.16,0.31,NA,NA,NA,NA,NA
Jake Tonges,TE,CHI,NA,NA,0.16,1.47,NA,NA,0.01,NA,0.23,NA,jake-tonges,NumberFire,16036,GB,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,-2.96,3.42,#15,426,98,0.29,4200,0.07,0.37,2500,0.15,0.29,NA,NA,NA,NA,NA
Mark Andrews,TE,BAL,NA,NA,5.57,63.51,NA,NA,0.36,NA,14.36,NA,2560957,NFL,13671,NA,NA,NA,NA,NA,NA,NA,NA,2.19,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T.J. Hockenson,TE,MIN,NA,NA,5.67,57.69,NA,NA,0.34,NA,13.49,NA,2562378,NFL,14138,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Kittle,TE,SF,NA,NA,4.06,57.57,NA,NA,0.43,NA,12.46,NA,2558266,NFL,13299,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan Engram,TE,JAX,NA,NA,5.19,47.81,NA,NA,0.28,NA,11.8,NA,2557858,NFL,13189,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travis Kelce,TE,KC,NA,NA,4.09,51.52,NA,NA,0.39,NA,11.59,NA,2540258,NFL,11244,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Schultz,TE,HOU,NA,NA,4.1,48.98,NA,NA,0.37,NA,11.22,NA,2560866,NFL,13772,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Higbee,TE,LA,NA,NA,5.01,42.87,NA,NA,0.29,NA,11.04,NA,2555364,NFL,12678,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Goedert,TE,PHI,NA,NA,4.3,50.46,NA,NA,0.28,NA,11.03,NA,2560995,NFL,13674,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darren Waller,TE,NYG,NA,NA,3.61,53.79,NA,NA,0.33,NA,10.98,NA,2552408,NFL,12263,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juwan Johnson,TE,NO,NA,NA,3.77,44.22,NA,NA,0.36,NA,10.36,NA,2564676,NFL,14861,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Everett,TE,LAC,NA,NA,4.17,40.33,NA,NA,0.26,NA,9.77,NA,2557889,NFL,13236,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Pitts,TE,ATL,NA,NA,3.77,41.08,NA,NA,0.27,NA,9.5,NA,2565830,NFL,15329,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hayden Hurst,TE,CAR,NA,NA,3.89,39.88,NA,NA,0.22,NA,9.21,NA,2560747,NFL,13680,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Njoku,TE,CLE,NA,NA,3.61,36.06,NA,NA,0.28,NA,8.99,NA,2557986,NFL,13192,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dulcich,TE,DEN,NA,NA,3.33,40.98,NA,NA,0.25,NA,8.94,NA,2567520,NFL,15797,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chigoziem Okonkwo,TE,TEN,NA,NA,3.37,35.35,NA,NA,0.21,NA,8.25,NA,2567658,NFL,15889,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pat Freiermuth,TE,PIT,NA,NA,3.49,34.83,NA,NA,0.21,NA,8.24,NA,2566442,NFL,15331,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Henry,TE,NE,NA,NA,3.02,37.06,NA,NA,0.21,NA,7.99,NA,2555341,NFL,12676,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Logan Thomas,TE,WAS,NA,NA,3.08,35.24,NA,NA,0.2,NA,7.82,NA,2543767,NFL,11647,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irv Smith,TE,CIN,NA,NA,3.16,30.34,NA,NA,0.26,NA,7.76,NA,2562738,NFL,14141,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Hooper,TE,LV,NA,NA,3.23,31.79,NA,NA,0.22,NA,7.74,NA,2555415,NFL,12677,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Conklin,TE,NYJ,NA,NA,3.27,31.24,NA,NA,0.18,NA,7.52,NA,2561027,NFL,13675,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade Otton,TE,TB,NA,NA,3.23,32.58,NA,NA,0.16,NA,7.46,NA,2568312,NFL,15802,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Kmet,TE,CHI,NA,NA,2.81,28.78,NA,NA,0.22,NA,7.05,NA,2563704,NFL,14867,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Fant,TE,SEA,NA,NA,2.42,28.33,NA,NA,0.21,NA,6.52,NA,2562383,NFL,14137,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kylen Granson,TE,IND,NA,NA,2.59,28.83,NA,NA,0.15,NA,6.4,NA,2566145,NFL,15419,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trey McBride,TE,ARI,NA,NA,2.24,27.87,NA,NA,0.16,NA,5.99,NA,2568117,NFL,15794,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Akins,TE,CLE,NA,NA,2.17,28.04,NA,NA,0.13,NA,5.76,NA,2560951,NFL,13753,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dawson Knox,TE,BUF,NA,NA,2.1,23.3,NA,NA,0.15,NA,5.34,NA,2562681,NFL,14143,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Dissly,TE,SEA,NA,NA,2.08,21.71,NA,NA,0.14,NA,5.1,NA,2561046,NFL,13763,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam LaPorta,TE,DET,NA,NA,2.01,20.32,NA,NA,0.15,NA,4.96,NA,2569726,NFL,16214,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Musgrave,TE,GB,NA,NA,1.92,19.71,NA,NA,0.16,NA,4.86,NA,2569780,NFL,16215,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Likely,TE,BAL,NA,NA,1.77,25.12,NA,NA,0.09,NA,4.83,NA,2567283,NFL,15798,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Gesicki,TE,NE,NA,NA,1.72,21.04,NA,NA,0.13,NA,4.61,NA,2560994,NFL,13672,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noah Gray,TE,KC,NA,NA,1.84,18.88,NA,NA,0.11,NA,4.56,NA,2566178,NFL,15337,NA,NA,NA,NA,NA,NA,NA,NA,1.12,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taysom Hill,TE,NO,NA,NA,1.21,10.48,NA,NA,0.09,NA,4.41,NA,2558954,NFL,13424,NA,NA,NA,NA,NA,NA,NA,NA,9.54,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalton Kincaid,TE,BUF,NA,NA,1.66,18.53,NA,NA,0.14,NA,4.37,NA,2569594,NFL,16213,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
