player,pos,team,games,pass_att,pass_comp,pass_yds,pass_yds_g,pass_tds,pass_int,pass_rate,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,opp,pass_09_tds,pass_1019_tds,pass_2029_tds,pass_3039_tds,pass_4049_tds,pass_50_tds,sacks,scoring_opp,bye,draft_rank,pass_comp_pct,pct_owned,curr_site_pts,site_ci_low,site_ci_high,opp_rank,ranks_ovr,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,two_pts
Zach Wilson,QB,NYJ,NA,28,17.5,197,NA,1,0.9,97.1,3.7,16.2,NA,0.1,NA,14.68,NA,16233,FleaFlicker,15239,HOUSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,7,QB37,17/27,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Carr,QB,NO,NA,32.6,21.3,229.4,NA,1,0.8,97,1.7,5.7,NA,0.1,NA,14.65,NA,10315,FleaFlicker,11644,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,1,QB22,21/32,69%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tommy DeVito,QB,NYG,NA,28.7,18.4,193.6,NA,1,0.8,96.3,4.3,21,NA,0.1,NA,14.58,NA,18099,FleaFlicker,16441,GBMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,QB30,18/28,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitch Trubisky,QB,PIT,NA,27.4,17.8,199.7,NA,1,0.9,97.6,3.7,13.7,NA,0.1,NA,14.39,NA,12893,FleaFlicker,13115,NEL 18-21,NA,NA,NA,NA,NA,NA,NA,NA,6,QB39,17/27,16%,14.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aidan O'Connell,QB,LV,NA,31.9,20.6,226.9,NA,1,0.9,97,1.8,6.1,NA,0.1,NA,14.38,NA,17695,FleaFlicker,16159,MINSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,QB28,20/31,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Levis,QB,TEN,NA,32.3,19.4,217.6,NA,1,0.8,90.2,2.5,9.1,NA,0.1,NA,14.35,NA,17623,FleaFlicker,16149,@MIAMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,7,QB24,19/32,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Young,QB,CAR,NA,31.5,19.4,199.4,NA,1,0.8,90.7,3.1,12.4,NA,0.1,NA,13.75,NA,17602,FleaFlicker,16148,@NOSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,7,QB25,19/31,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Flacco,QB,CLE,NA,28.1,16.7,195.6,NA,1,0.7,90.6,1.2,3.5,NA,0,NA,12.62,NA,5336,FleaFlicker,9064,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,QB26,16/28,21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bailey Zappe,QB,NE,NA,26.1,15.9,180.6,NA,1,0.9,91.8,2.6,10.6,NA,0.1,NA,12.61,NA,16908,FleaFlicker,15696,@PITW 21-18,NA,NA,NA,NA,NA,NA,NA,NA,1,QB31,15/26,18%,12.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geno Smith,QB,SEA,NA,15.9,10.8,153.5,NA,1,0.6,122.4,0.8,5.3,NA,0,NA,11.26,NA,9372,FleaFlicker,11150,@SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,QB16,10/15,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Lock,QB,SEA,NA,28.7,17.7,130.6,NA,1,0.6,83.9,2.2,5.8,NA,0.1,NA,10.01,NA,14722,FleaFlicker,14057,@SFSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,17/28,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Beathard,QB,JAC,NA,15.5,10,81,NA,0.4,0.4,80.1,1,3,NA,0,NA,5.11,NA,12960,FleaFlicker,13125,@CLESun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,10/15,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorian Thompson-Robinson,QB,CLE,NA,7.8,4.8,39.4,NA,0.2,0.1,72.9,1.4,4.1,NA,0,NA,3.04,NA,17753,FleaFlicker,16158,JACSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,5,QB32,4/7,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRDTyrod Taylor,QB,NYG,NA,0,0,12,NA,0.1,0,0,0,0.2,NA,0,NA,0.9,NA,7592,FleaFlicker,10413,GBMon 8:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,QB29,0/0,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jameis Winston,QB,NO,NA,0,0,13.1,NA,0.1,0.1,0,0,0,NA,0,NA,0.77,NA,11183,FleaFlicker,12140,CARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,1,QB33,0/0,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,NA,0,0,12.1,NA,0,0,0,0,0.2,NA,0,NA,0.75,NA,13143,FleaFlicker,13124,PHISun 8:20 PM,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0/0,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Rudolph,QB,PIT,NA,0,0,10.8,NA,0.1,0.1,0,0,0,NA,0,NA,0.66,NA,13810,FleaFlicker,13595,NEL 18-21,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0/0,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Huntley,QB,BAL,NA,0,0,7.8,NA,0.1,0.1,0,0,0.2,NA,0,NA,0.63,NA,15705,FleaFlicker,14789,LARSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0/0,10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AJ McCarron,QB,CIN,NA,0,0,10.1,NA,0,0.1,0,0,0,NA,0,NA,0.57,NA,10458,FleaFlicker,11643,INDSun 1:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0/0,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Garoppolo,QB,LV,NA,0,0,8.8,NA,0.1,0,0,0,0,NA,0,NA,0.56,NA,10311,FleaFlicker,11760,MINSun 4:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0/0,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Hurts,QB,PHI,NA,34.07,21.88,243.21,NA,1.41,0.71,NA,9.16,42.17,NA,0.61,NA,21.51,NA,jalen-hurts,NumberFire,14783,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66,29.36,#3,1,1,22.24,8800,2.53,22.45,22.24,NA
Josh Allen,QB,BUF,NA,35.08,23.51,248.16,NA,1.67,0.75,NA,6.7,34.69,NA,0.4,NA,20.56,NA,josh-allen,NumberFire,13589,KC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.76,28.36,#8,2,2,21.31,9000,2.37,21.57,21.31,NA
Dak Prescott,QB,DAL,NA,36.91,25.12,269.71,NA,2.18,0.76,NA,3.88,17.98,NA,0.18,NA,20.4,NA,dak-prescott,NumberFire,12620,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.61,28.19,#25,3,3,21.15,8700,2.43,21.45,21.15,NA
Brock Purdy,QB,SF,NA,31.33,21.48,267.27,NA,1.92,0.67,NA,4.55,18.97,NA,0.25,NA,20.08,NA,brock-purdy,NumberFire,15698,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,27.86,#23,5,4,20.76,8100,2.56,20.98,20.76,NA
Patrick Mahomes,QB,KC,NA,36.28,24.47,251.87,NA,1.97,0.65,NA,5.03,22.92,NA,0.18,NA,19.79,NA,patrick-mahomes,NumberFire,13116,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03,27.55,#11,6,5,20.42,8400,2.43,20.61,20.42,NA
Lamar Jackson,QB,BAL,NA,25.44,16.71,186.68,NA,1.24,0.55,NA,10.83,61.84,NA,0.41,NA,19.39,NA,lamar-jackson,NumberFire,13593,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.65,27.13,#16,7,6,19.92,8000,2.49,20.27,19.92,NA
Tua Tagovailoa,QB,MIA,NA,34.28,23.62,282.61,NA,2.16,0.76,NA,1.7,6.5,NA,0.09,NA,19.37,NA,tua-tagovailoa,NumberFire,14778,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.63,27.11,#26,8,7,20.09,8000,2.51,20.29,20.09,NA
Justin Fields,QB,CHI,NA,29.14,18.3,205.46,NA,1.16,0.74,NA,9.84,51.93,NA,0.37,NA,18.25,NA,justin-fields,NumberFire,15238,DET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57,25.93,#20,9,8,19.01,7900,2.41,19.32,19.01,NA
Justin Herbert,QB,LAC,NA,35.62,23.68,256.34,NA,1.49,0.61,NA,5.05,20.32,NA,0.23,NA,18.16,NA,justin-herbert,NumberFire,14779,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48,25.84,#30,10,9,18.74,7800,2.4,18.93,18.74,NA
Russell Wilson,QB,DEN,NA,29.51,19.8,217.02,NA,1.38,0.52,NA,5.82,30.25,NA,0.18,NA,16.87,NA,russell-wilson,NumberFire,10703,LAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26,24.48,#28,12,10,17.35,7400,2.34,17.61,17.35,NA
Jake Browning,QB,CIN,NA,34.36,22.62,234.59,NA,1.49,0.75,NA,4.1,18.15,NA,0.2,NA,16.46,NA,jake-browning,NumberFire,14358,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,24.04,#14,13,11,17.21,6500,2.65,17.46,17.21,NA
Jared Goff,QB,DET,NA,35.06,23.77,258.23,NA,1.53,0.64,NA,1.66,5.86,NA,0.07,NA,15.89,NA,jared-goff,NumberFire,12611,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,23.44,#21,14,12,16.54,7500,2.21,16.73,16.54,NA
Joshua Dobbs,QB,MIN,NA,33.97,22.36,219.09,NA,1.37,0.77,NA,4.86,21.14,NA,0.25,NA,15.67,NA,joshua-dobbs,NumberFire,13119,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13,23.21,#24,15,13,16.43,7300,2.25,16.81,16.43,NA
Gardner Minshew,QB,IND,NA,32.5,20.59,240.29,NA,1.28,0.63,NA,3.94,16.91,NA,0.17,NA,15.62,NA,gardner-minshew,NumberFire,14067,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.09,23.15,#27,16,14,16.25,6900,2.36,16.58,16.25,NA
Jordan Love,QB,GB,NA,32.21,20,227.49,NA,1.32,0.73,NA,3.41,15.22,NA,0.15,NA,15,NA,jordan-love,NumberFire,14782,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.51,22.49,#17,18,15,15.75,7700,2.05,15.96,15.75,NA
Baker Mayfield,QB,TB,NA,33.24,21.08,224.64,NA,1.23,0.88,NA,3.62,14.6,NA,0.14,NA,14.02,NA,baker-mayfield,NumberFire,13590,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59,21.45,#7,21,16,14.93,6800,2.2,15.18,14.93,NA
C.J. Stroud,QB,HOU,NA,28.44,18.02,217.22,NA,0.97,0.57,NA,4.47,18.62,NA,0.18,NA,13.91,NA,c-j-stroud,NumberFire,16150,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,21.33,#5,23,17,14.5,7700,1.88,14.76,14.5,NA
Derek Carr,QB,NO,NA,32.91,21.57,227.52,NA,1.32,0.66,NA,1.79,6.11,NA,0.07,NA,13.75,NA,derek-carr,NumberFire,11644,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,21.16,#29,24,18,14.43,6600,2.19,14.64,14.43,NA
Desmond Ridder,QB,ATL,NA,26.93,17.28,189.38,NA,1.13,0.58,NA,3.7,15.38,NA,0.2,NA,13.22,NA,desmond-ridder,NumberFire,15697,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,20.59,#19,27,19,13.75,6700,2.05,14.04,13.75,NA
Aidan O'Connell,QB,LV,NA,30.93,20.45,212.59,NA,1.08,0.7,NA,2.47,10.55,NA,0.11,NA,12.87,NA,aidan-o-connell,NumberFire,16159,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,20.22,#10,30,20,13.56,6400,2.12,13.74,13.56,NA
Will Levis,QB,TEN,NA,32.04,20.08,221.68,NA,0.99,0.67,NA,2.55,10.8,NA,0.09,NA,12.75,NA,will-levis,NumberFire,16149,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,20.09,#6,33,21,13.42,6600,2.03,13.64,13.42,NA
Trevor Lawrence,QB,JAC,NA,32.99,20.98,229.32,NA,0.86,0.69,NA,3,12.11,NA,0.11,NA,12.67,NA,trevor-lawrence,NumberFire,15237,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34,20,#2,35,22,13.37,7600,1.76,13.62,13.37,NA
Tommy DeVito,QB,NYG,NA,27.14,17.48,187.32,NA,0.81,0.6,NA,5.81,25.48,NA,0.17,NA,12.54,NA,tommy-devito,NumberFire,16441,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,19.86,#18,37,23,13.12,6600,1.99,13.45,13.12,NA
Mitchell Trubisky,QB,PIT,NA,28.72,19,199.33,NA,0.94,0.78,NA,3.8,16.09,NA,0.14,NA,12.38,NA,mitchell-trubisky,NumberFire,13115,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,19.69,#13,39,24,13.16,6500,2.02,13.32,13.16,NA
Bryce Young,QB,CAR,NA,31.53,19.07,184.74,NA,0.92,0.7,NA,2.83,12.41,NA,0.1,NA,11.15,NA,bryce-young,NumberFire,16148,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94,18.36,#12,45,25,11.83,6400,1.85,12.06,11.83,NA
Matthew Stafford,QB,LA,NA,27.92,17,184.73,NA,0.87,0.61,NA,1.6,6.07,NA,0.04,NA,10.43,NA,matthew-stafford,NumberFire,9431,BAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,17.58,#1,56,26,11.01,7000,1.57,11.1,11.01,NA
Zach Wilson,QB,NYJ,NA,27.96,17.5,186.94,NA,0.55,0.86,NA,3.67,15.51,NA,0.15,NA,10.03,NA,zach-wilson,NumberFire,15239,HOU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,17.14,#22,60,27,10.91,6300,1.73,11.13,10.91,NA
Bailey Zappe,QB,NE,NA,29.11,17.89,187.25,NA,0.61,0.68,NA,2.26,9.2,NA,0.04,NA,9.43,NA,bailey-zappe,NumberFire,15696,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38,16.48,#9,64,28,10.09,6400,1.58,10.29,10.09,NA
Geno Smith,QB,SEA,NA,17.59,11.45,121.13,NA,0.61,0.48,NA,1.4,5.77,NA,0.04,NA,7.06,NA,geno-smith-1,NumberFire,11150,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,13.85,#4,95,29,7.5,6700,1.12,7.58,7.5,NA
Dorian Thompson-Robinson,QB,CLE,NA,15.53,9.62,102.19,NA,0.49,0.35,NA,2.89,12.31,NA,0.1,NA,6.92,NA,dorian-thompson-robinson,NumberFire,16158,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,13.69,#15,96,30,7.29,6400,1.14,7.43,7.29,NA
Drew Lock,QB,SEA,NA,17.65,10.96,115.9,NA,0.45,0.56,NA,1.16,4.67,NA,0.04,NA,5.85,NA,drew-lock,NumberFire,14057,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,12.47,#4,118,31,6.4,6200,1.03,6.51,6.4,NA
Joe Flacco,QB,CLE,NA,15.58,9.4,100.87,NA,0.44,0.33,NA,1.12,3.94,NA,0.04,NA,5.54,NA,joe-flacco,NumberFire,9064,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03,12.11,#15,126,32,5.9,6400,0.92,6.02,5.9,NA
Jalen Hurts,QB,PHI,NA,NA,NA,237.67,NA,1.59,0.76,NA,NA,51.7,NA,0.47,0.11,22.38,NA,2564832,NFL,14783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Josh Allen,QB,BUF,NA,NA,NA,264.05,NA,1.81,0.83,NA,NA,36.76,NA,0.37,0.16,22.16,NA,2560955,NFL,13589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
Patrick Mahomes,QB,KC,NA,NA,NA,278.68,NA,2.13,0.92,NA,NA,27.37,NA,0.16,0.02,21.66,NA,2558125,NFL,13116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Dak Prescott,QB,DAL,NA,NA,NA,298.76,NA,2,0.93,NA,NA,15.88,NA,0.17,0.08,20.72,NA,2555260,NFL,12620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Justin Fields,QB,CHI,NA,NA,NA,199.96,NA,1.43,0.69,NA,NA,63.85,NA,0.33,0.07,20.68,NA,2565920,NFL,15238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Justin Herbert,QB,LAC,NA,NA,NA,274.84,NA,1.83,0.82,NA,NA,25.5,NA,0.19,0.04,20.46,NA,2565045,NFL,14779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Brock Purdy,QB,SF,NA,NA,NA,279.7,NA,2.01,0.86,NA,NA,16.77,NA,0.17,0.05,20.21,NA,2568216,NFL,15698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Lamar Jackson,QB,BAL,NA,NA,NA,209.34,NA,1.27,0.52,NA,NA,47.52,NA,0.36,0.08,19.35,NA,2560757,NFL,13593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Jared Goff,QB,DET,NA,NA,NA,295.04,NA,1.93,0.8,NA,NA,5.91,NA,0.07,0.1,19.05,NA,2555334,NFL,12611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Joshua Dobbs,QB,MIN,NA,NA,NA,243.41,NA,1.41,0.74,NA,NA,32.65,NA,0.26,0.12,18.74,NA,2558167,NFL,13119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Tua Tagovailoa,QB,MIA,NA,NA,NA,274.99,NA,1.82,0.77,NA,NA,7.72,NA,0.08,0.15,17.69,NA,2564499,NFL,14778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Love,QB,GB,NA,NA,NA,255.35,NA,1.67,0.97,NA,NA,13.53,NA,0.14,0.04,17.27,NA,2564007,NFL,14782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
Russell Wilson,QB,DEN,NA,NA,NA,215.22,NA,1.34,0.59,NA,NA,27.71,NA,0.26,0.06,17.06,NA,2532975,NFL,10703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
C.J. Stroud,QB,HOU,NA,NA,NA,246.32,NA,1.6,0.83,NA,NA,16.54,NA,0.15,0.12,17.05,NA,2569819,NFL,16150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
Jake Browning,QB,CIN,NA,NA,NA,242.53,NA,1.42,0.86,NA,NA,19.01,NA,0.2,0.13,16.6,NA,2562634,NFL,14358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Baker Mayfield,QB,TB,NA,NA,NA,248.05,NA,1.51,0.77,NA,NA,10.87,NA,0.08,0.04,16.09,NA,2560800,NFL,13590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Desmond Ridder,QB,ATL,NA,NA,NA,224.12,NA,1.26,0.67,NA,NA,19.87,NA,0.18,0.13,15.59,NA,2567256,NFL,15697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Geno Smith,QB,SEA,NA,NA,NA,252.73,NA,1.42,0.84,NA,NA,9.35,NA,0.1,0.07,15.56,NA,2539335,NFL,11150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Gardner Minshew,QB,IND,NA,NA,NA,241.29,NA,1.41,0.79,NA,NA,7.55,NA,0.13,0.08,15.35,NA,2562796,NFL,14067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Trevor Lawrence,QB,JAX,NA,NA,NA,215.78,NA,1.2,0.8,NA,NA,18.85,NA,0.2,0.15,14.94,NA,2566163,NFL,15237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Mitchell Trubisky,QB,PIT,NA,NA,NA,225.9,NA,1.3,0.91,NA,NA,13.89,NA,0.14,0.02,14.93,NA,2558008,NFL,13115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
Matthew Stafford,QB,LA,NA,NA,NA,236.78,NA,1.37,0.66,NA,NA,1.55,NA,0.04,0.04,14.13,NA,79860,NFL,9431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09
Derek Carr,QB,NO,NA,NA,NA,227.7,NA,1.34,0.75,NA,NA,4.49,NA,0.08,0.05,13.92,NA,2543499,NFL,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
Aidan O'Connell,QB,LV,NA,NA,NA,232.27,NA,1.3,0.98,NA,NA,5.05,NA,0.08,0.06,13.5,NA,2570044,NFL,16159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Tommy DeVito,QB,NYG,NA,NA,NA,176.7,NA,1.11,0.76,NA,NA,24.68,NA,0.17,0.08,13.42,NA,2570578,NFL,16441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Joe Flacco,QB,CLE,NA,NA,NA,232.49,NA,1.3,0.75,NA,NA,0.29,NA,0.05,0.03,13.33,NA,382,NFL,9064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Zach Wilson,QB,NYJ,NA,NA,NA,207.03,NA,1,0.87,NA,NA,16.98,NA,0.12,0.08,13.06,NA,2566391,NFL,15239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13
Bryce Young,QB,CAR,NA,NA,NA,196.58,NA,1.05,0.7,NA,NA,12.2,NA,0.09,0.07,12.48,NA,2569606,NFL,16148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
Will Levis,QB,TEN,NA,NA,NA,208.95,NA,0.97,0.91,NA,NA,12,NA,0.1,0.06,12.2,NA,2569798,NFL,16149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Bailey Zappe,QB,NE,NA,NA,NA,191.48,NA,1.01,0.94,NA,NA,12.59,NA,0.1,0.07,11.64,NA,2567961,NFL,15696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
Tyrod Taylor,QB,NYG,NA,NA,NA,23.98,NA,0.12,0.08,NA,NA,0.38,NA,0.02,NA,1.5,NA,2495240,NFL,10413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03
Jameis Winston,QB,NO,NA,NA,NA,26.12,NA,0.1,0.14,NA,NA,0.06,NA,0.02,0.01,1.27,NA,2552033,NFL,12140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cooper Rush,QB,DAL,NA,NA,NA,24.27,NA,0.07,0.08,NA,NA,0.4,NA,0.02,0.02,1.21,NA,2559242,NFL,13124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
