team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,pos,player,dst_fum_recvr,dst_fumbles,dst_yds_against,dst_pts_against,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,yahoo_site_points,return_tds
HOU,1.2,0.1,3.7,35,0.9,1.3,0.2,13.2,13.2,0,81,258,258,17.3,17.3,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,1,0,3.1,40.3,1.1,1.5,0.2,13.4,13.4,0,106,278,278,16.5,16.5,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,0.9,0,3.9,36.7,0.7,0.9,0.2,16.8,16.8,0,94,236,236,16.3,16.3,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.3,0,2.9,39.4,0.7,0.9,0.2,12.8,12.8,0,100,292,292,16.1,16.1,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,1,0,5.1,39.8,0.7,1,0.2,14,14,0,122,256,256,15.7,15.7,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,1.1,0,3.3,40.7,1,1.4,0.2,15.8,15.8,0,83,273,273,14.7,14.7,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1,0,4,39.2,0.7,0.9,0.2,15.8,15.8,0,107,279,279,14.6,14.6,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,1.6,0,3.6,42.4,0.8,1.1,0.3,20.4,20.4,0,144,326,326,14.2,14.2,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1.2,0,3.1,38.2,0.7,0.9,0.2,15.4,15.4,0,108,261,261,14.1,14.1,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1,0,4.5,40.1,0.5,0.7,0.2,21,21,0,82,286,286,12.7,12.7,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
